Operation ShadowHammer .		attack_activity attack_activity malware
We have contacted ASUS and informed them about the attack on Jan 31 , 2019 , supporting their investigation with IOCs and descriptions of the malware .		malware malware malware company malware malware reference_word malware reference_word reference_word malware time time time time malware malware malware malware malware malware malware malware malware reference_word reference_word malware
Although precise attribution is not available at the moment , certain evidence we have collected allows us to link this attack to the ShadowPad incident from 2017 .		malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware reference_word reference_word malware malware attack_activity malware malware time malware
The actor behind the ShadowPad incident has been publicly identified by Microsoft in court documents as BARIUM .		reference_word reference_word malware malware attack_activity malware malware malware malware malware malware company malware malware malware malware threatActor_name malware
BARIUM is an APT actor known to be using the Winnti backdoor .		threatActor_name malware malware malware malware malware malware malware malware malware malware others others
Recently , our colleagues from ESET wrote about another supply chain attack in which BARIUM was also involved , that we believe is connected to this case as well .		others others person person others security_team others others others others others others others others threatActor_name others others others others others others others others others others others others others others others
It should be noted that the numbers are also highly influenced by the distribution of Kaspersky users around the world .		others others others others others others others others others others others others others others others tool person others others others others
In principle , the distribution of victims should match the distribution of ASUS users around the world .		others others others others others others person others others others others others company person others others others others
We ’ve also created a tool which can be run to determine if your computer has been one of the surgically selected targets of this attack .		others others others others others reference_word reference_word others others others sample_function sample_function sample_function others others others others others others others others others others others others reference_word reference_word others
To check this , it compares MAC addresses of all adapters to a list of predefined values hardcoded in the malware and alerts if a match was found .		others others others others reference_word sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others others sample_function others others others others others others
Download an archive with the tool ( .exe ) Also , you may check MAC addresses online .		sample_name sample_name sample_name sample_name sample_name sample_name others others others others others others others others others others others others
HEUR : Trojan.Win32.ShadowHammer.gen .		others others sample_name others
HEUR : asushotfix.com .		malware others domain_evil others
HEUR : 141.105.71.116.		malware others IP_evil others
HEUR : http://liveupdate01.asus.com/pub/ASUS/nb/Apps_for_Win8/LiveUpdate/Liveupdate_Test_VER365.zip .		malware others url_evil url_evil url_evil others
HEUR : https://liveupdate01s.asus.com/pub/ASUS/nb/Apps_for_Win8/LiveUpdate/Liveupdate_Test_VER362.zip .		malware others url_evil url_evil url_evil others
HEUR : https://liveupdate01s.asus.com/pub/ASUS/nb/Apps_for_Win8/LiveUpdate/Liveupdate_Test_VER360.zip .		malware others url_evil url_evil url_evil others
HEUR : https://liveupdate01s.asus.com/pub/ASUS/nb/Apps_for_Win8/LiveUpdate/Liveupdate_Test_VER359.zip .		malware others url_evil url_evil url_evil others
HEUR : aa15eb28292321b586c27d8401703494 .		malware others md5 others
HEUR : bebb16193e4b80f4bc053e4fa818aa4e2832885392469cd5b8ace5cec7e4ca19 .		malware others sha2 others
