APT28 : AT THE CENTER OF THE STORM .		threatActor_name others others others others others others others others
Correspondence of other individuals targeted in the same phishing campaign , including former Secretary of State Colin Powell and Clinton campaign staffer William Rinehart , were published on the  “ DC Leaks ” website .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others threatActor_aliases threatActor_aliases others others others
U.S. Democratic  Congressional Campaign Committee ( DCCC ) MARCH -  OCTOBER 2016 In July , the DCCC announced that it was investigating an ongoing “ cybersecurity incident ” that the FBI believed was linked to the compromise of the DNC .		others government government government government others government others time time time time time time others others government others others others others others others others others attack_activity attack_activity others others others security_team others others others others others others others others government others
House Speaker Nancy Pelosi later confirmed that the DCCC had suffered a network compromise .		others others others others others others others others government others others others others others others
Investigators indicated that the actors may have gained access to DCCC systems as early as March .		others others others others others others others others others others government others others others others others others
In August , the Guccifer 2.0 persona contacted reporters covering U.S. House of Representative races to announce newly leaked documents from the DCCC pertaining to Democratic  candidates .		others others others others threatActor_aliases threatActor_aliases others others others others others others others others others others others others others others others others government others others others others others
From August to October , Guccifer 2.0 posted several additional installments of what appear to be internal DCCC documents on “ his ” WordPress site .		others others others others others threatActor_aliases threatActor_aliases others others others others others others others others others others government others others others others others others others others
TV5Monde FEBRUARY 2015 , APRIL 2015 In February , FireEye identified CORESHELL traffic beaconing from TV5Monde ’s network , confirming that APT28 had compromised TV5Monde ’s network .		others time time others time time time time others security_team others others others others others others others others others others others others threatActor_name others others industry industry industry industry others
In April 2015 , alleged pro-ISIS hacktivist group CyberCaliphate defaced TV5Monde ’s websites and social media profiles and forced the company ’s 11 broadcast channels offline .		time time time others others others others others threatActor_aliases others industry industry industry industry others industry industry industry others industry industry industry industry industry industry industry industry industry others
FireEye identified overlaps between the domain registration details of CyberCaliphate ’s website and APT28 infrastructure .		security_team others others others others others others others others others others others others others threatActor_name others others
Ukrainian Central  Election Commission ( CEC ) MAY 2014 Ukrainian officials revealed that the investigation into the compromise of the CEC ’s internal network identified malware traced to APT28 .		government government government government others government others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others
During the May 2014 Ukrainian presidential election , purported pro-Russian hacktivists CyberBerkut conducted a series of malicious activities against the CEC including a system compromise , data destruction , a data leak , a distributed denial-of-service ( DDoS ) attack , and an attempted defacement of the CEC website with fake election results .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others protocol protocol others protocol others others others others others others others others others others others others others others others others
