Platinum is back .		threatActor_name others others others
Each command has its own parameters , e.g .		others others others others others others others others others
the C&C server that it requests to download or upload files , or split a file while uploading .		others tool tool tool tool others others others others others others others others others others others others others others others others
While investigating further , we found another tool that turned out to be a configuration manager – an executable whose purpose was to create configuration and command files for the backdoors .		others others others others others others others others others others others others others others tool tool others others others others others others others sub_activity sub_activity others sub_activity sub_activity others others others others
The utility can configure more than 150 options .		others others others others others others others others others
The second command it supports is updatecfg , whose job was to put values specified by the operator into the configuration file .		others others others others others others others others others others others others others others others others others others others others others others others
Also , the config manager supports Upload , Download , Execute , Search , UpdateConfig , AddKeyword , ChangeKeywordFile , ChangeKey , Upgrade and Uninstall commands .		others others others tool tool others others others others others others others others others others others others others others others others others others others others others others
After executing any of these it creates a command file , protected the same way as the configuration file , and stores it in the “ CommandDir ” directory ( the path is specified in the configuration , option 11 ) .		others others others others others others sample_function sample_function sample_function sample_function others others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others others others others others others others
As described in the ‘ Steganography backdoor ’ section , this backdoor doesn’t handle command files and doesn’t support commands such as ChangeKeywordFile and ChangeKey , so we figured that there was another backdoor , which made a pair with the config manager we had found .		others others others others others malware malware others others others others malware others others others others others others others others others others others others others others tool others tool others others others others others others others others malware others others others others others others others others others others others others others
Although it would appear such a utility should run on the attacker side , we found a victim infected with this and a corresponding backdoor located in the vicinity .		others others others others others others others others others others others others others others others others others others others others others others others others malware others others others others others
We called it a P2P backdoor .		others others others others malware malware others
This backdoor shares many features with the previous one .		others malware others others others others others others others others
For example , many of the commands have similar names , both backdoors ’ configuration files have options with identical names and are protected the same way , and the paths to the backdoor files are similar to legitimate ones .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others malware others others others others others others others
However , there are significant differences , too .		others others others others others others others others others
The new backdoor actively uses many more of the options from the config , supports more commands , is capable of interacting with other infected victims and connecting them into a network ( see the “ Commands ” section for details ) , and works with the C&C server in a different way .		others others malware others others others others others others others others others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function others sample_function sample_function sample_function sample_function sample_function others others others others others others others others others others others others others others others tool tool tool tool others others others others others
In addition , this backdoor actively uses logging : we found a log file dating back to 2012 on one victim PC .		others others others others malware others others others others others others others others others others others others time others others others others others
This backdoor has the ability to sniff network traffic .		others malware others others others others sample_function sample_function sample_function others
After the backdoor is run , it starts a sniffer for each network interface , in order to detect a specially structured packet , which is sent to the victim ’s ProbePort specified in the configuration .		others others malware others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
When the sniffer finds a packet like that , it interprets it as a request to establish a connection and sets TransferPort ( specified in the configuration ) to listening mode .		others others others others others others others others others others others others others others others others others others others others others tool others others others others others others others others others others
The requester immediately connects to the victim ’s TransferPort and both sides perform additional checks , exchanging their encryption keys .		others others others others others others others others others tool others others others others others others others others others others others others
Then the connection requester sends commands to the victim , and the victim processes these interactively .		others others others others others others others others others others others others others others others others others
This approach allows the backdoor to maintain listening mode without keeping any socket in listening mode – it only creates a listening socket when it knows that someone is trying to connect .		others others others others malware others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The backdoor supports the same commands as the steganography backdoor and implements an additional one .		others malware others others others others others others others malware others others others others others others
The backdoor leverages the Windows index service and can search files for keywords provided by the attacker .		others malware others others OS_name tool tool others others others others others others others others others others others
This search can be initiated by an attacker request or on a schedule – keywords for a scheduled search are stored in a dedicated file .		others others others others others others others others others others others others others others others others others others others others others others others others others others
All commands are supplied to the backdoor through command files .		others others others others others others malware others others others others
The command files are protected the same way as the config .		others others others others others others others others others others others others
This consists of a command id ( id ) , a command date ( dt ) , a command name ( t ) and arguments ( cmd ) .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The creators of the malware also provide the ability to combine infected victims into a P2P network .		others others others others others others others others others others others others others others others tool tool others
This can help the attacker , for example , when two infected victims share the same local network , but only one of them has access to the internet .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
In this case , the attacker can send a command file to the unreachable victim via the reachable one .		others others others others others others others others others others others others others others others others others others others others
The instruction for the reachable victim that the command is intended for the other host is placed directly inside the command file .		others others others others others others others others others others others others others others others others others others others others others others others
When the attacker prepares the file , a list of infected hosts involved in transferring the file to the destination is included as the h1 , h2 , h3 , etc .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
options .		others others
The order in which the command file will be transferred through the victims to the destination host is included as the p1 , p2 , etc .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
options .		others others
For example , if the p1 option equals ‘ 2->3->1 ’ and the p2 option equals to ‘ 2->3->4 ’ the command file will be delivered to the hosts with the indexes 1 and 4 through hosts 2 and then 3 .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Each host is described as follows : %Host IP% : %Host ProbePort% : %Host TransferPort% .		others others others others others others others others others others others others others others tool others others others others tool others others
We have discovered a new attack by this group and noted that the actors are still working on improving their malicious utility and using new techniques for making the APT stealthier .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
A couple of years ago , we predicted that more and more APT and malware developers would use steganography , and here is proof : the actors used two interesting steganography techniques in this APT .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
One more interesting detail is that the actors decided to implement the utilities they need as one huge set – this reminds us of the framework-based architecture that is becoming more and more popular .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Finally , based on the custom cryptor used by the actors , we have been able to attribute this attack to the notorious PLATINUM group , which means this group is still active .		others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others others others others others others others others others others
This list includes only IoCs related to the described modules of the attack .		others others others others others others others others others others others others others others
All IoCs are available to customers of the Kaspersky Intelligence Reporting service ( contact intelreports@kaspersky.com ) .		others others others others others others others others security_team security_team security_team others others others url url url others others
PLATINUM : Steganography backdoor installer , 26a83effbe14b63683f0c3e0a3f657a9 , 4b4c3b57416c03ca7f57ff7241797456 , 58b10ac25df04a318a19260110d43894 .		threatActor_name others tool tool tool others sha1 others sha1 others sha1 others
PLATINUM : Obsolete steganography backdoor launcher ,d95d939337d789046bbda2083f88a4a0 , b22499568d51759cf13bf8c05322dba2 .		threatActor_name others tool tool tool tool others sha1 others sha1 others
PLATINUM : Steganography backdoor , 5591704fd870919930e8ae1bd0447706 , 9179a84643bd6d1c1b8e6fe0d2330dab , c7fda2be17735eeaeb6c56d30fc86215 , d1936dc97566625b2bfcab3103c048cb , d1a5801abb9f0dc0a44f19b2208e2b9a .		threatActor_name others tool tool others sha1 others sha1 others sha1 others sha1 others sha1 others
PLATINUM : P2P backdoor , 0668df90c701cd75db2aa43a0481718d , e764a1ff12e68badb6d54f16886a128f .		threatActor_name others tool tool others sha1 others sha1 others
PLATINUM : Config manager , 8dfabe7db613bcfc6d9afef4941cd769 , 37c76973a55134925c733f4f50108555 .		threatActor_name others tool tool others sha1 others sha1 others
