Additional Insights on Shamoon2 .		others others others malware others
Researchers at Palo Alto have attributed sloo.exe and related activities to threat actors of a likely Iranian state-sponsored origin which they ’ve named Magic Hound .		person others location location others others sample_name others others others others others others others others others location others others others others others others others threatActor_name threatActor_name others
The group Magic Hound is linked via infrastructure and tools to the Rocket Kitten threat actor group although Palo Alto cannot confirm the extent of any relationship between the two groups .		reference_word reference_word threatActor_name threatActor_name others others others others others others others others threatActor_name threatActor_name others others others others location location others others others others others others others others others others others others others
Dell Secureworks analysts recently concluded that domains discussed in the IBM report were linked to the Iranian PuppyRAT .		company person others others others others others others others others company others others others others others location threatActor_name others
In addition , Dell analysts have assessed with high-confidence these activities are attributable to Iranian state-sponsored activities .		others others others company others others others others others others others others others others others others others others
IOCs for this version were :  Shamoon2: 07d6406036d6e06dc8019e3ade6ee7de .		tool others others others others others malware others md5 others
Shamoon2: 104.238.184.252 .		malware others IP_evil others
Shamoon2: 5.254.100.200 Shamoon2: URLs .		malware others IP_evil malware others tool others
Shamoon2: analytics-google.org : 69/checkFile.aspx .		malware others IP_evil IP_evil IP_evil others
These additional IOCs will hopefully provide more context into the ongoing threat .		others others tool others others others others others others others others others others
The link to possible Iranian threat actors supports ongoing analysis that Shamoon2 was perpetrated by Iranian state-sponsored threat actors .		others others others others location others others others others others others malware others others others location others others others others
The last sample discussed may be malware-0 or at least part of the overall development and subsequent deployment of tools used to install Shamoon on Saudi systems .		others others others others others others others others others others others others others others others others others others others others others others others malware others tool others others
Shamoon2: 2a0df97277ddb361cecf8726df6d78ac .		malware others md5 others
Shamoon2: 5e5ea1a67c2538dbc01df28e4ea87472 .		malware others md5 others
Shamoon2: d30b8468d16b631cafe458fd94cc3196 .		malware others md5 others
Shamoon2: 83be35956e5d409306a81e88a1dc89fd .		malware others md5 others
Shamoon2: 07d6406036d6e06dc8019e3ade6ee7de .		malware others md5 others
Shamoon2: 104.218.120.128 .		malware others IP_evil others
Shamoon2: 69.87.223.26 .		malware others IP_evil others
Shamoon2: 5.254.100.200 .		malware others IP_evil others
Shamoon2: 45.63.10.99 .		malware others IP_evil others
Shamoon2: 104.238.184.252 .		malware others IP_evil others
Shamoon2: analytics-google.org : 69/checkFile.aspx .		malware others domain_evil domain_evil domain_evil others
Shamoon2: analytics-google.org .		malware others domain_evil others
Shamoon2: 69.87.223.26:8080/p .		malware others domain_evil others
Shamoon2: go-microstf.com .		malware others domain_evil others
Shamoon2: 69.87.223.26:8080/eiloShaegae1 .		malware others domain_evil others
Shamoon2: get.adobe.go-microstf.com .		malware others domain_evil others
Shamoon2: go-microstf.com/checkfile.aspx .		malware others domain_evil others
