Hiding in plain sight : PhantomLance walks into a market .		others others others others others malware others others others others others
Based on our detection statistics and spotted version stamps , we believe that this version is a replacement for Version 3 , which we did not observe in 2019 .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others time others
Below are the most valuable points and main differences from the Version 1 .		others others others others others others others others others others others others others others
The malicious payload APK is now packed in an encrypted file in the assets directory and is decrypted by the first stage using an AES algorithm .		others malware malware malware others others others others others others others others others others others others others others others others others others others others encryption_algo encryption_algo others
A decryption key and initialization vector ( IV ) are located in the first 32 + 16 bytes of the encrypted payload .		others others others others others others others others others others others others others others others others others others others others others others others
As you can see , before the APK magic , the file header contains strings that are used for making further reflection calls to payload methods .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
Here is the first-stage code fragment with explanations regarding the payload loading process .		others others others others others others others others others others others others others others
All Version 2 payloads use the same package name , “ com.android.play.games ” , which probably mimics the official Google Play Games package , “ com.google.android.play.games ” .		others malware malware malware others others others others others others others sample_name others others others others others others others others others others others others others others others others
Moreover , we spotted developer version stamps in decrypted payloads .		others others others others others others others others others others others
65d399e6a77acf7e63ba771877f96f8e 5.10.6084 .		md5 string others
6bf9b834d841b13348851f2dc033773e 5.10.6090 .		md5 string others
8d5c64fdaae76bb74831c0543a7865c3 5.10.9018 .		md5 string others
3285ae59877c6241200f784b62531694 5.10.9018. e648a2cc826707aec33208408b882e31 5.10.9018 .		md5 others md5 string others
It is worth mentioning payload manifests , which do not contain any permission requests .		others others others others others others others others others others others others others others others
As stated in the description of Version 1 , permissions required by the malicious features are granted via an undocumented Android API .		others others others others others others others others others others others others others others others others others others others others tool tool others
We have found two different certificates used for signing Version 2 payloads .		others others others others others tool others others malware malware malware malware others
6bf9b834d841b13348851f2dc033773e Serial Number : 0xa4ed88e620b8262e Issuer : CN=Lotvolron .		md5 others others others string others others others others
65d399e6a77acf7e63ba771877f96f8e Validity : from = Wed Jan 20 11:30:49 MSK 2010 .		md5 others others others others others others others others others others others
8d5c64fdaae76bb74831c0543a7865c3 Serial Number : 0xd47c08706d440384 .		md5 others others others string others
3285ae59877c6241200f784b62531694 Issuer : CN=Ventoplex .		md5 others others others others
e648a2cc826707aec33208408b882e31 Validity : from = Wed Apr 13 05:21:26 MSK 2011 .		md5 others others others others others others others others others others others
Although validity dates look spoofed in both cases and do not point to any real deployment times , by analyzing all payload certificates , we discovered that the second one ( Ventoplex ) was used to sign Version 3 payloads as well .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others string others others others others others others others others others others others
The latest samples of PhantomLance discovered in the early 2020 introduced a new technique for decrypting payloads : the malicious payload was shipped with its dropper , encrypted with AES .		others others others others malware others others time time time others others others others others others others others others others others others others others others others others others others encryption_algo others
The key is not stored anywhere in the dropper itself but sent to the device using Google ’s Firebase remote config system .		others others others others others others others others others others others others others others others others tool tool tool tool others others others others
The other technical features are very similar to the ones we observed in Version 2 , so we tagged this generation as Version 2.1 .		others others others others others others others others others others others others others others others others others others others others others others others others others
We were able to make a valid request to PhantomLance ’s Firebase API .		others others others others others others others others others malware malware malware malware malware others
The response consisted of a JSON struct containing the AES decryption key , where the “ code_disable ” value is the decryption key for payload .		others others others others others tool others others others tool tool tool others others others others string others others others others others others others others others
What is important , the dropper expects that the AES decryption key will be stored in a parameter named “ code ” , so this specific variant should not function properly .		others others others others malware malware others others others tool tool tool others others others others others others others others string others others others others others others others others others others others
Besides , we noticed that Firebase previously returned one more field , named “ conf_disable ” , which has the same value as the “ code_disable ” , so we assume that the actors are still tinkering with this new feature .		others others others others others tool others others others others others others others others string others others others others others others others others others others string others others others others others others others others others others others others others others others others
Another interesting technique that the actors are trying to implement is a third-stage payload implant .		others others others others others others others others others others others others others others others others
The second-stage payload ( MD5: 83cd59e3ed1ba15f7a8cadfe9183e156 ) contains an APK file named “ data ” ( MD5: 7048d56d923e049ca7f3d97fb5ba9812 ) with a corrupted header in the assets path .		others malware malware others encryption_algo others md5 others others others others others others others sample_name others others encryption_algo others md5 others others others others others others others others others others
The second stage reads this APK file , decrypts it and rewrites its first 27 bytes as described below .		others others others others others others others others others others others others others others others others others others others others
This results in an APK file ( MD5: c399d93146f3d12feb32da23b75304ba ) that appears to be a typical PhantomLance payload configured with already known C2 servers ( cloud.anofrio.com , video.viodger.com , api.anaehler.com ) .		others others others others others others others encryption_algo others md5 others others others others others others others malware others others others others others tool tool others domain_evil others domain_evil others domain_evil others others
This third-stage APK is deployed with a custom native library named “ data.raw ” , also stored at the assets path .		others malware malware others others others others others others others others others sample_name others others others others others others others others others
This library is used for achieving persistence on the infected device and appears to be a custom daemonized ELF executable based on the open-source “ daemon.c ” Superuser tool component , while in previous samples , we saw MarsDaemon used for this purpose .		others others others others others others others others others others others others others others others others others others others others others others others others others tool others others others others others others others others others others others others tool others others others others others
While we have found that Version 2 has been used as a replacement for this one , as we have not observed any new deployments of Version 3 in 2019 , it still looks more advanced in terms of technical details than Version 2 .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others time others others others others others others others others others others others others others others others
According to our detection statistics and deployment dates on application markets , Version 3 was active at least from 2016 to 2018 .		others others others others others others others others others others others others others others others others others others time time time time others
Below are the most valuable points and main differences between Version 3 and Version 2 .		others others others others others others others others others others others others others others others others
The first-stage dropper appears even more obfuscated than that in Version 2 ; it uses a similar way of decrypting the payload , but it has minor differences .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The encrypted content is split into multiple asset files under 10256 bytes in size plus an encrypted config file , and contains payload decryption details .		others others others others others others others others others others others others others others others others others others others others others others others others others others
Below is the payload decryption sequence .		others others others others others others others
Decrypt the payload config file from the assets with both a hardcoded name and AES key .		others others others others others others others others others others others others others others others others others
Read the following values from the decrypted payload config file in this order :  AES key for APK payload decryption Class and method names for reflection calls to the payload MD5 for APK payload integrity check Number and names of the split APK payload parts .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others encryption_algo others others others others others others others others others others others others others others others
Decrypt the APK payload header hardcoded in the first stage with the AES key from the payload config .		others others others others others others others others others others others others others others others others others others others
Write it to the APK payload file .		others others others others others others others others
Using decrypted names of the split payload parts , decrypt their content and append them to the APK payload file one by one .		others others others others others others others others others others others others others others others others others others others others others others others others
Check the integrity of the resulting APK payload file by comparing with the MD5 value decrypted from the payload config .		others others others others others others others others others others others others others others others others others others others others others
Load and run the APK payload .		others others others others others others others
Each Version 3 payload has the same package name , “ com.android.process.gpsp ” , and is signed with the same certificate ( CN=Ventoplex ) , used to sign some of the Version 2 payloads .		others malware malware malware others others others others others others others sample_name others others others others others others others others tool others string others others others others others others others others others others others others
The only developer version stamp that we have found in Version 3 payloads is “ 10.2.98 ” .		others others others others others others others others others others others others others others others string others others
Another notable finding is the 243e2c6433815f2ecc204ada4821e7d6 sample , which we believe belongs to a Version 3 payload .		others others others others others md5 others others others others others others others others others others others others
However , no related dropper has been spotted in the wild , and unlike the other payloads , it is signed with a debug certificate and not obfuscated at all , revealing all variable/class/method names and even BuildConfig values .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others sample_name others others
Our guess that this is a debug developer version that somehow got leaked .		others others others others others others others others others others others others others others
As a conclusion to this technical review , it is worth saying that all payloads across the different versions , even Version 1 , which is in fact a clear payload without a dropper , share a code structure and locations where sensitive strings , such as С2 addresses , are stored .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others tool others others others others others
The main spreading vector used by the threat actors is distribution through application marketplaces .		others others others others others others others others others others others others others others others
Apart from the com.zimice.browserturbo , which we have reported to Google , and  com.physlane.opengl , reported by Dr .		others others others malware others others others others others others company others others malware others others others others others
Web , we have observed tracks indicating that many malicious applications were deployed to Google Play in the past and have now been removed .		others others others others others others others others others malware malware others others others location location others others others others others others others others others
Besides , we have identified multiple third-party marketplaces that , unlike Google Play , still host the malicious applications , such as https://apkcombo.com , https://apk.support/ , https://apkpure.com , https://apkpourandroid.com and many others .		others others others others others others others others others others others others others others others others others others others others others others domain domain domain others domain domain domain others domain domain domain others domain domain domain others others others others
In nearly every case of malware deployment , the threat actors try to build a fake developer profile by creating a Github account that contains only a fake end-user license agreement ( EULA ) .		others others others others others others others others others others others others others others others others others others others others others tool tool others others others others others tool tool tool others tool others others
An example is the one below , reported by us to Google .		others others others others others others others others others others others company others
The account contains only one report with one file described as some type of EULA .		others others others others others others others others others others others others others others tool others
During our extensive investigation , we spotted a certain tactic often used by the threat actors for distributing their malware .		others others others others others others others others others others others others others others others others others others others others others
The initial versions of applications uploaded to app marketplaces did not contain any malicious payloads or code for dropping a payload .		others others others others others others others others others others others others others others others others others others others others others others
These versions were accepted because they contained nothing suspicious , but follow-up versions were updated with both malicious payloads and code to drop and execute these payloads .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
We were able to confirm this behavior in all of the samples , and we were able to find two versions of the applications , with and without a payload .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
An example of this behavior can be seen in Ads Skipper ( https://apkpure.ai/ads-skipper ) , in ApkPure .		others others others others others others others others others tool tool others domain domain domain others others others location others
Third-party marketplaces like those mentioned in the table above often serve as a mirror for Google Play : they simply copy applications and metadata from Google Play to their own servers .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Therefore , it is safe to assume that the samples listed in the table were copied from Google Play as well .		others others others others others others others others others others others others others others others others others others others others others others
While analyzing the С2 server infrastructure , we quickly identified multiple domains that shared similarities with previous ones but were not linked to any known malware samples .		others others others tool tool others others others others others others others others others others others others others others others others others others others others others others others
This allowed us to uncover more pieces of the attackers ’ infrastructure .		others others others others others others others others others others others others others
Tracking PhantomLance ’s old infrastructure , which dated back four years , we noticed that the expired domain names had been extended .		others malware others others others others others others others others others others others others others others others others others others others others others others
The maintenance suggested that the infrastructure might be used again in the future .		others others others others others others others others others others others others others others
osloger.biz 2015-12-09 2019-12-01. log4jv.info 2015-12-09 2019-11-26. sqllitlever.info 2015-12-09 2019-11-26. anofrio.com 2017-05-16 2020-03-30. anaehler.com 2017-05-16 2020-03-30. viodger.com 2017-05-16 2020-04-07 .		domain_evil time others domain_evil time others domain_evil time others domain_evil time others domain_evil time others domain_evil time time others
The PhantomLance TTPs indicate that samples are configured only with subdomains as C2 servers , while most , but not all , parent domains do not have their own IP resolution .		others malware others others others others others others others others others others tool tool others others others others others others others others others others others others others others others others others others
We checked the ones that did have a valid resolution and found that they all resolved to the same IP address : 188.166.203.57 .		others others others others others others others others others others others others others others others others others others others others others others IP_evil others
It belongs to the DigitalOcean cloud infrastructure provider and , according to Domaintools , hosts a total of 129 websites .		others others others others company others others others others others others others tool others others others others others others others others
Looking up records for this IP address in our passive DNS database suggests that a few dozen of these websites are legitimate , as well as the aforementioned PhantomLance domains and two more interesting overlaps with OceanLotus infrastructure :  browsersyn.com : known domain used as a C2 in a previously publicly reported sample ( MD5: b1990e19efaf88206f7bffe9df0d9419 ) considered by the industry to be the OceanLotus APT .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others malware others others others others others others others threatActor_name others others domain_evil others others others others others others tool others others others others others others others encryption_algo others md5 others others others others others others others others threatActor_name threatActor_name others
cerisecaird.com : privately received information indicates that this domain is related to OceanLotus as well .		domain_evil others others others others others others others others others others others threatActor_name others others others
We have observed around 300 infection attacks on Android devices in India , Vietnam , Bangladesh , Indonesia , etc .		others others others others others attack_activity attack_activity others others others others location others location others location others location others others others
starting in 2016 .		others others time others
Below is a rough cartographic representation of countries with top attempted attacks .		others others others others others others others others others others others others others
We have also seen a number of detections in Nepal , Myanmar and Malaysia .		others others others others others others others others others location others location others location others
As you can see , this part of South Asia seems to be targeted by the actors the most .		others others others others others others others others location location others others others others others others others others others others
Note that due to the chosen distribution vector ( publication of malicious samples on publicly available application stores ) , there should be secondary infection of random victims not directly related to the actors ’ interests .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
To get more details on targeted victims , we looked at the types of applications that the malware mimicked .		others others others others others others others others others others others others others others others others others others others others
Apart from common luring applications , such as Flash plugins , cleaners and updaters , there were those that specifically targeted Vietnam .		others others others others others others others others tool tool others others others others others others others others others others others location others
Publisher description ( https://apk.support/app-en/com.codedexon.churchaddress ) translated from Vietnamese :  Information about churches near you or the whole of Vietnam , information about patronies , priests , phone numbers , websites , email , activities , holidays .		others others others url_evil url_evil url_evil others others others others others others others others others others others others others others location others others others others others others others others others others others others others others others others others others
In this section , we provide a correlation of PhantomLance ’s activity with previously reported campaigns related to the OceanLotus APT .		others others others others others others others others others attack_activity attack_activity attack_activity attack_activity others others others others others others others threatActor_name threatActor_name others
In May 2019 , Antiy Labs published a report in which they described an Android malware campaign , claiming that it was related to OceanLotus APT .		others time time others security_team security_team others others others others others others others others attack_activity attack_activity attack_activity others others others others others others others threatActor_name threatActor_name others
We checked the provided indicators using information from our telemetry and found that the very first tracks of these samples date back to December 2014 .		others others others others others others others others others others others others others others others others others others others others others others others time time others
It is important to note that according to our detection statistics , the majority of users affected by this campaign were located in Vietnam , with the exception of a small number of individuals located in China .		others others others others others others others others others others others others others others others others others others others others others others others location others others others others others others others others others others others others location others
The main infection vector seems to be links to malicious applications hosted on third-party websites , possibly distributed via SMS or email spearphishing attacks .		others others others others others others others others others others others others others others others others others others others tool others attack_activity attack_activity attack_activity others
Examples below .		others others others
The latest registered malware download event occurred in December 2017 .		others others others malware others others others others time time others
We observed a small amount of activity in 2018 , but judging by the volume of hosted malware and the number of detections we observed , the main campaign took place from late 2014 to 2017 .		others others others others others others others others time others others others others others others others others others others others others others others others others others others others others others others others time time time time others
To best visualize the similarities we discovered , we made a code structure comparison of the sample from the old reported OceanLotus Android campaign ( MD5: 0e7c2adda3bc65242a365ef72b91f3a8 ) and the only unobfuscated ( probably a developer version ) PhantomLance payload v3 ( MD5: 243e2c6433815f2ecc204ada4821e7d6 ) .		others others others others others others others others others others others others others others others others others others others others others attack_activity attack_activity attack_activity others encryption_algo others md5 others others others others others others others others others others others malware others others others encryption_algo others md5 others others
Despite the multiple differences , we observed a similar pattern used in malware implementation .		others others others others others others others others others others others others others others others
It seems that the developers have renamed “ module ” to “ plugin ” , but the meaning remains the same .		others others others others others others others others others others others others others others others others others others others others others others
Overlapping classes look quite similar and have the same functionality .		others others others others others others others others others others others
For example , here is a comparison of the methods contained in the Parser classes .		others others others others others others others others others others others others others others others others
Using our malware attribution technology , we can see that the PhantomLance payloads are at least 20% similar to the ones from the old OceanLotus Android campaign .		others others others others others others others others others others others malware others others others others others others others others others others others others others attack_activity attack_activity attack_activity others
There are multiple public reports of macOS backdoors linked by the industry to OceanLotus .		others others others others others others malware malware others others others others others threatActor_name others
We examined these in order to find possible overlaps , with the caveat that it was really difficult to compare malware implemented for two completely different platforms , since two different programming languages were obviously used for the implementation process .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
However , during the analysis of the macOS payload ( MD5: 306d3ed0a7c899b5ef9d0e3c91f05193 ) dated early 2018 , we were able to catch a few minor tracks of the code pattern used in the Android malware implementation described above .		others others others others others others others malware malware others encryption_algo others md5 others others time time others others others others others others others others others others others others others others others others others malware malware others others others others
In particular , three out of seven main classes had the same names and similar functionality : “ Converter ” , “ Packet ” and “ Parser ” .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Another notable attribution token that applies to most of OceanLotus malware across platforms is usage of three redundant , different C2 servers by each sample , mostly subdomains .		others others others others others others others others others malware malware others others others others others others others others others tool tool others others others others others others others
Below is an example of this from the samples examined above and OceanLotus Windows malware described in our private report .		others others others others others others others others others others others others malware malware others others others others others others others
0d5c03da348dce513bf575545493f3e3 mine.remaariegarcia.com egg.stralisemariegar.com api.anaehler.com PhantomLance Android .		md5 domain_evil domain_evil domain_evil malware malware others
d1eb52ef6c2445c848157beaba54044f sadma.knrowz.com ckoen.dmkatti.com itpk.mostmkru.com OceanLotus Android campaign 2014-2017 .		md5 domain_evil domain_evil domain_evil malware malware malware malware others
306d3ed0a7c899b5ef9d0e3c91f05193 ssl.arkouthrie.com s3.hiahornber.com widget.shoreoa.com OceanLotus MacOS backdoor .		md5 domain_evil domain_evil domain_evil malware malware malware others
51f9a7d4263b3a565dec7083ca00340f ps.andreagahuvrauvin.com paste.christienollmache.xyz att.illagedrivestralia.xyz OceanLotus Windows backdoor .		md5 domain_evil domain_evil domain_evil malware malware malware others
Based on the complete analysis of previous campaigns , with the actors ’ interests in victims located in Vietnam , infrastructure overlaps between PhantomLance and OceanLotus for Windows , multiple code similarities between an old Android campaign and MacOS backdoors , we attribute the set of the Android activity ( campaign 2014-2017 and PhantomLance ) to OceanLotus with medium confidence .		others others others others others others others others others others others others others others others target_crowd others others location others others others others malware others malware malware malware others others others others others others attack_activity attack_activity attack_activity others malware malware others others others others others others others attack_activity attack_activity others attack_activity attack_activity others malware others others threatActor_name others others others others
Considering the timeline of the Android campaigns , we believe that the activity reported by Antiy Labs is a previous campaign that was conducted by OceanLotus until 2017 , and PhantomLance is a successor , active since 2016 .		others others others others others attack_activity attack_activity others others others others attack_activity attack_activity others others security_team security_team others others others others others others others others threatActor_name others time others others malware others others others others others time time others
In summarizing the results of this research , we are able to assess the scope and evolution of the actors ’ Android set of activity , operating for almost six years .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
PhantomLance : 2e06bbc26611305b28b40349a600f95c .		malware others md5 others
PhantomLance : b1990e19efaf88206f7bffe9df0d9419 .		malware others md5 others
PhantomLance : 7048d56d923e049ca7f3d97fb5ba9812 .		malware others md5 others
PhantomLance : a330456d7ca25c88060dc158049f3298 .		malware others md5 others
PhantomLance : a097b8d49386c8aab0bb38bbfdf315b2 .		malware others md5 others
PhantomLance : 7285f44fa75c3c7a27bbb4870fc0cdca .		malware others md5 others
PhantomLance : mine.remaariegarcia.com .		malware others domain_evil others
PhantomLance : egg.stralisemariegar.com .		malware others domain_evil others
PhantomLance : api.anaehler.com .		malware others domain_evil others
