The Gamaredon Group Toolset Evolution .		others threatActor_name others others others others
One such self-extracting archive ( ca87eb1a21c6d4ffd782b225b178ba65463f73de6f4c736eb135be5864f556dc ) was first observed around April of 2014 .		others others sub_activity sub_activity others sha1 others others others others others time time time others
The password ( reused by many of the password protected SFX payloads ) it used to extract itself is “ 1234567890__ ” .		others others others others others others others others others others others others others others others others others others others others others others others
The files included in this SFX file we observed include a batch file named “ 123.cmd ” and another SFX named “ setting.exe ” .		others others others others reference_word reference_word reference_word others others others others others others others others sample_name others others others others others others sample_name others others
This second SFX contains a .MSI installer package which installs Remote Manipulator System and a batch script which handles the installation .		reference_word reference_word reference_word others others tool tool tool others sub_activity tool tool tool others others sub_activity sub_activity others sub_activity sub_activity sub_activity others
Later payloads would write batch scripts to disk as well as wget binaries .		others sub_activity others others sub_activity sub_activity others others others others others tool others others
The batch scripts would use the wget binaries to download and execute additional executables .		reference_word reference_word reference_word others others others tool others others sub_activity sub_activity sub_activity sub_activity sub_activity others
The scripts would also use wget to send POST requests to command and control ( C2 ) servers that would contain information about the compromised system .		reference_word reference_word others others others tool others sub_activity function sub_activity sub_activity tool tool tool others tool others others others others others others others others others others others
Some of these payloads included decoy documents that would open when the malware is executed .		others others others others others others others others others others others others others others others others
Three examples of this type of payload include .		others others others others others others others others others
payload : a6a44ee854c846f31d15b0ca2d6001fb0bdddc85f17e2e56abb2fa9373e8cfe7 .		others others sha1 others
payload : b5199a302f053e5e9cb7e82cc1e502b5edbf04699c2839acb514592f2eeabb13 .		others others sha1 others
payload : 3ef3a06605b462ea31b821eb76b1ea0fdf664e17d010c1d5e57284632f339d4b .		others others sha1 others
We first observed these samples using wget in 2014 .		person others others others others others tool others time others
The filenames and decoy documents these samples used attempt to lure individuals by using the presidential administration of Ukraine , Ukrainian national security and defense , the Anti-Terrorist Operation Zone in the Ukraine , and Ukrainian patriotism as subjects .		others others others others others others others others others others others others others others others industry industry industry industry others industry industry industry industry industry others industry industry industry industry industry industry industry others others industry industry others others others
Other observed payloads would , again , use SFX files to deliver a batch script and an executable that allowed remote access through the VNC protocol .		others others sub_activity others others others others others sub_activity sub_activity others others others sub_activity sub_activity others others sub_activity others others sub_activity sub_activity others others tool others others
These VNC exectuables would either be included in the SFX file or downloaded by the batch script .		others protocol sub_activity others others others others others others sub_activity sub_activity others others others others sub_activity sub_activity others
We found one URL ( now taken down ) that hosted a VNC executable that the malware would attempt to download and install at hxxp://prestigeclub.frantov.com.ua/press-center/press/chrome-xvnc-v5517.exe .		others others others others others others others others others others others others tool others others others others others others others others others others others url_evil url_evil url_evil others
The batch script would then attempt to have the VNC program connect to a command and control ( C2 ) server to enable the server to control the compromised system .		others sub_activity sub_activity others others others others others others tool sub_activity others others others tool tool tool others tool others others others others others others others others others others others others
All VNC installations on compromised systems that we observed have used the same configuration file , RC4 key file , and passwords .		others tool sub_activity others location location others others others others others others others others others others encryption_algo others others others others others others
One such sample , cfb8216be1a50aa3d425072942ff70f92102d4f4b155ab2cf1e7059244b99d31 first appeared around January of 2015 .		others others others others sha1 others others others time time time others
The path configured in the VNC configuration file across all implants employing VNC ( UltraVNC.ini ) is “ Y:\ПРОБА\Создание троянов\создание RMS\vnc ” .		others others others others others tool others others others others others others tool others sample_name others others others others others others others others others others
This isn’t the only place hardcoded Cyrillic file paths are used by implants .		others others others others others others others others sub_activity sub_activity others others others others others others
Many of the batch scripts also use hardcoded paths such as “ Главное меню\Программы\Автозагрузка ” .		others others others sub_activity sub_activity others others sub_activity sub_activity others others others others others others others
Many payloads also include a VBS script which raises a dialog box to the users asking them to run the malware again .		others sub_activity others others others sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others
It reads , “ Ошибка при инициализации приложения ( 0xc0000005 ) .		others others others others others others others others others others others others
Повторить попытку открытия файла?		others others others others others
” ( English Translation from Russian : Application failed to initialize ( 0xc0000005 ) .		others others others others others others others others others others others others others others others
Try to open the file again? )		others others others others others others others others
.		others
Some of the SFX files also include another legitimate application called ChkFlsh.exe ( 8c9d690e765c7656152ad980edd2200b81d2afceef882ed81287fe212249f845 ) .		others others others sub_activity sub_activity others others others others others others sample_name others sha1 others others
This application was written by a Ukrainian programmer and is used to check performance of USB flash drives .		reference_word reference_word others others others others person person others others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
Its value to the attackers to the attackers isn’t clear but one possibility is that it is somehow used to steal or monitor files on USB devices .		others others others others person others others others others others others others others others others others others reference_word others others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
In our research , we found this application present in some SFX files along with VNC programs and in some SFX files that didn’t have VNC programs included .		others others others others others others reference_word reference_word others others others sub_activity sub_activity others others tool others others others others sub_activity sub_activity others others others others others tool others others others
While the most recent samples observed still use batch scripts and SFX files , the Gamaredon Group has moved away from applications like wget , Remote Manipulator Tool , VNC and ChkFlsh.exe .		others others others sub_activity sub_activity others others others sub_activity sub_activity others sub_activity sub_activity others others threatActor_name others others others others others others others tool others tool tool tool others tool others sample_name others
Instead of using wget the attackers are distributing custom developed downloaders , and instead of Remote Manipulator or VNC the malware is using a custom developed remote access implant .		others others others tool others person others others sub_activity sub_activity sub_activity others others others others tool tool others tool others malware others others others sub_activity sub_activity sub_activity sub_activity sub_activity others
In June of 2015 a custom downloader used by many newer samples was first seen in the wild and is often included in SFX implants with the name “ LocalSMS.dll ” .		others time time time others sub_activity sub_activity others others others others others others others others others others others others others others others others sub_activity sub_activity others others others others sample_name others others
This downloader makes requests to adobe.update-service.net ( hardcoded in the sample ) and is further discussed in Appendix A .		others others others others others domain_evil others others others others others others others others others others others others others others
In February 2016 , another custom tool now often included in SFX implants was seen in the wild .		others time time others others sub_activity sub_activity others others others others sub_activity sub_activity others others others others others others
This SFX file ( 3773ddd462b01f9272656f3150f2c3de19e77199cf5fac1f44287d11593614f9 ) contains a new Trojan ( 598c55b89e819b23eac34547ad02e5cd59e1b8fcb23b5063a251d8e8fae8b824 ) we refer to as “ Pteranodon.		reference_word reference_word reference_word others sha1 others others others others malware others sha1 others others others others others others malware others
” Pteranodon is a custom backdoor which is capable of the following tasks :  Capturing screenshots at a configurable interval and uploading them to the attacker .		others malware others others others malware others others others others others others others others sample_function sample_function others others others others others others others others others person others
Downloading and executing additional files .		sample_function sample_function sample_function sample_function sample_function others
Executing arbitrary commands on the system .		sample_function sample_function sample_function others others others others
The earliest version of Pteranodon uses a hardcoded URL for command and control .		others others others others malware others others sub_activity sub_activity others sub_activity sub_activity sub_activity others
It sends POST requests to “ msrestore.ru/post.php ” using a static multipart boundary .		reference_word others function others others others domain_evil others others others sub_activity sub_activity sub_activity others
Newer versions of the tool also use hardcoded domains and multipart boundaries .		sub_activity sub_activity sub_activity reference_word reference_word others others sub_activity sub_activity others sub_activity sub_activity others
They also share similar pdb strings .		others others others others others others others
Other Pteranodon samples can be found in AutoFocus using the Pteranodon tag .		others malware others others others others others others others others malware sub_activity others
The most recent variant of Pteranodon is analyzed in Appendix A .		others others others others others others others others others others others others
We have only identified one delivery vector for the new implants thus far .		others others others others others others others others others others others others others others
A Javascript file ( f2355a66af99db5f856ebfcfeb2b9e67e5e83fff9b04cdc09ac0fabb4af556bd ) first seen in December of 2016 downloads a resource from http://samotsvety.com.ua/files/index.pht ( likely a compromised site used for staging payloads ) which previously an SFX file ( b2fb7d2977f42698ea92d1576fdd4da7ad7bb34f52a63e4066f158a4b1ffb875 ) containing two of the Gamaredon custom tools .		others sub_activity sub_activity others sha1 others others others others time time time others others others others url_evil url_evil url_evil others others others others others others others others others others others others others sub_activity sub_activity others sha1 others others others others others threatActor_name sub_activity sub_activity others
A related sample ( e24715900aa5c9de807b0c8f6ba8015683af26c42c66f94bee38e50a34e034c4 ) used the same distinct Mutex and contains a larger set of tools for analysis .		others sub_activity sub_activity others sha1 others others others others others sub_activity others others others sub_activity sub_activity sub_activity sub_activity others others others
The original name of the file is “ AdapterTroubleshooter.exe ” and the file uses icons which resemble those used by OpenVPN .		others others others others reference_word reference_word others others sample_name others others others others others others others others others others others tool others
Upon examining the sample ’s file activity within AutoFocus it is clear the sample is a self-extracting executable .		others others others others others others others others others tool others others others others others others others others others others
Opening the sample with 7zip inside of a virtual machine , all the files contents can be examined .		others reference_word reference_word others tool others others others sub_activity sub_activity others others others others others others others others others
400f53a89d08d47f608e1288d9873bf8d421fc7cd642c5e821674f38e07a1501 : LocalSMS.dll Wed Apr 29 08:10:30 2015 c:\users\viber\documents\visual studio 2013\projects\contextmenu\release\contextmenu.pdb .		sha2 others sample_name time time time time time others others others others others others
d01df47b6187631c9a93bdad1298439ab1a1c5529b3319f3614b6ec2455e5726 : MpClients.dll Thu Sep 08 05:01:00 2016 c:\users\user\documents\visual studio 2015\projects\updaterv1\release\updaterv1.pdb .		sha2 others sample_name time time time time time others others others others others others
f2296bcb6be68dfb330baec2091fb11a42a51928ba057164213580e6ff0e1126 : OfficeUpdate.dll Wed Dec 07 09:25:57 2016 .		sha2 others sample_name time time time time time others
2ded2f3b5b5b6155ce818893c67887cbfa8b539be6c983e314ccf2177552da20 : SmartArtGraphicsLog.lnk .		sha2 others sample_name others
46a39da996b01e26ddd71d51c9704de2aa641cd3443f6fe0e5c485f1cd9fa65d : UsrClass.lnk .		sha2 others sample_name others
a972ad0ddc00d5c04d9fe26f1748e12008efdd6524c9d2ea4e6c2d3e42d82b7b : condirs.cmd .		sha2 others sample_name others
37c78ee7826d63bb9219de594ed6693f18da5db60e3cbc86795bd10b296f12ac :w inrestore.dll Mon Jan 09 03:12:39 2017 c:\develop\ready\winrestore – proxy\release\winrestore.pdb .		sha2 others sample_name sample_name time time time time time others others others others others others
90ba0f95896736b799f8651ef0600d4fa85c6c3e056e54eab5bb216327912edd : wmphost.exe Thu Dec 01 08:23:32 2016 c:\develop\ready\mouse-move\mouse-move\release\mouse-move.pdb .		sha2 others sample_name time time time time time others others others others
The bootstrapping logic for the sample relies on the contents of “ condirs.cmd ” .		others others others others others others others others others others others others sample_name others others
Briefly , the logic within “ condirs.cmd ” follows :  1 .		others others others others others others sample_name others others others others others
Ensure “ %LOCALAPPDATA%\Microsoft\Windows\ ” exists .		others others others others others others others others others
2 .		others others
Kill and delete processes , files , and scheduled tasks which may interfere with the sample executing .		sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others others others
3 .		others others
Copy “ winrestore.dll ” to “ %LOCALAPPDATA%\Microsoft\Windows\UsrClass.dat{4f6fe187-7034-11de-b675-001d09fa5win}.dll ” .		others others sample_name others others others others others others others others others others others others others
4 .		others others
Copy “ OfficeUpdate.dll ” to “ %LOCALAPPDATA%\Microsoft\Windows\UsrClass.dat{4f6fe187-7034-11de-b675-001d09fa5off}.dll ” .		others others sample_name others others others others others others others others others others others others others
5 .		others others
Determine if the operating system is Windows XP or Windows 7 .		others others others others others others OS_name OS_name others OS_name OS_name others
6 .		others others
If the system is running Windows XP .		others others others others others OS_name OS_name others
a .		others others
Set the directory to copy files into as “ %WINDIR%\Setup\State\Office ” .		sub_activity sub_activity sub_activity others sub_activity sub_activity others others others others others others others others others
b .		others others
Copy “ UsrClass.lnk ” to “ %USERPROFILE%\Главное меню\Программы\Автозагрузка\ ” .		others others sample_name others others others others others others others others others others
c. Copy “ SmartArtGraphicsLog.lnk ” to “ %USERPROFILE%\Главное меню\Программы\Автозагрузка\ ” .		others others others sample_name others others others others others others others others others others
7 .		others others
If the system is running Windows 7 .		others others others others others OS_name OS_name others
a .		others others
Set the directory to copy files into as “ %APPDATA%\Microsoft\Office ” .		sub_activity sub_activity sub_activity others sub_activity sub_activity others others others others others others others others others
b .		others others
Copy “ UsrClass.lnk ” to “ %APPDATA%\Microsoft\Windows\Start Menu\Programs\Startup\ ” .		others others sample_name others others others others others others others others others others
c. Copy “ SmartArtGraphicsLog.lnk ” to “ %APPDATA%\Microsoft\Windows\Start Menu\Programs\Startup\ ” .		others others others sample_name others others others others others others others others others others
8 .		others others
Copy “ winrestore.dll ” to the directory set in step 6 or 7a with the filename “ MSO1234.win ” .		others others sample_name others others others others others others others others others others others others others others sample_name others others
9. copy “ LocalSMS.dll ” to the directory set in step 6 or 7a with the filename “ MSO1567.dls ” .		others others others sample_name others others others others others others others others others others others others others others sample_name others others
10. copy “ OfficeUpdate.dll ” to the directory set in step 6 or 7a with the filename “ MSO5678.usb ” .		others others others sample_name others others others others others others others others others others others others others others sample_name others others
11. copy “ MpClients.dll ” to the directory set in step 6 or 7a with the filename “ MSO8734.obn ” .		others others others sample_name others others others others others others others others others others others others others others sample_name others others
12 .		others others
Execute the exported function “ updater ” within “ MSO1234.win ” using rundll32.exe .		sub_activity sub_activity sub_activity sub_activity sub_activity function sub_activity others others sample_name others others sample_name others
13 .		others others
Execute the exported function “ EntryPoint ” within “ MSO1567.dls ” using rundll32.exe .		sub_activity sub_activity sub_activity sub_activity sub_activity function sub_activity others others sample_name others others sample_name others
It should be noted that “ UsrClass.lnk ” links to “ %WINDIR%\system32\rundll32.exe UsrClass.dat{4f6fe187-7034-11de-b675-001d09fa5win}.dll ,updater ” and “ SmartArtGraphicsLog.lnk ” links to “ C:\WINDOWS\system32\rundll32.exe UsrClass.dat{4f6fe187-7034-11de-b675-001d09fa5off}.dll ,StartBackup ” .		others others others others others others sample_name others others others others others others others others others others others others others others others others others others sample_name others others others others others others others others others others others others others others others others
These are the locations “ winrestore.dll ” and “ OfficeUpdate.dll ” were copied to in steps 3 and 4 , respectively .		others others others others others sample_name others others others sample_name others others others others others others others others others others others others
The “ condirs.cmd ” script then continues to :  1 .		others others sample_name others others others others others others others others
Schedule the following tasks :  a .		sub_activity sub_activity sub_activity sub_activity others others others
Task name “ UpdatesWinRes ” , invoke “ MSO1234.win ,updater ” .		others others others function others others sub_activity sub_activity sample_name sub_activity sub_activity sub_activity others
b .		others others
Task name “ UpdatesWinDLL ” , invoke “ MSO1567.dls ,EntryPoint ” .		others others others function others others sub_activity sub_activity sample_name sub_activity sub_activity sub_activity others
c. Task name “ UpdatesWinUSBOOK ” , invoke “ MSO5678.usb ,StartBackup ” .		others others others others function others others sub_activity sub_activity sample_name sub_activity sub_activity sub_activity others
d. Task name “ UpdatesWinOBN ” , invoke “ MSO8734.obn ,bitDefender ” .		others others others others function others others sub_activity sub_activity sample_name sub_activity sub_activity sub_activity others
2 .		others others
Ensure the directory “ %Temp%\reports\ProfileSkype\ ” exists .		others others others others others others others others others others others
3 .		others others
Kill processes named “ skype.exe ” .		others others others others sample_name others others
4 .		others others
Copy the contents of “ %AppData%\Skype ” to “ %Temp%\reports\ProfileSkype\ ” .		others others others others others others others others others others others others others others others others others others
5 .		others others
Create subdirectories under “ %Temp%\reports\%COMPUTERNAME\ ” with names : Z W P S V Q N M L K I J F H E G and D. These are drive letters .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
6 .		others others
Copy all files from all above drive letters with extensions “ doc ” , “ docx ” , “ xls ” , “ xlsx ” , “ rtf ” “ odt ” and “ txt ” into “ %TEMP%\reports\%COMPUTERNAME%\%%d\ ” where %%d is the drive letter .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
7 .		others others
Copy all files with the above extensions from all users ’ “ Desktop ” , “ Documents ” , and “ Downloads ” folders to “ %TEMP%\reports\%COMPUTERNAME%\Desktop\ ” , “ %TEMP%\reports\%COMPUTERNAME%\Documents\ ” and “ %TEMP%\reports\%COMPUTERNAME%\Downloads\ ” respectively .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
8 .		others others
Execute the exported function “ StartBackup ” within “ MSO5678.usb ” using rundll32.exe .		sub_activity sub_activity sub_activity sub_activity sub_activity function sub_activity others others sample_name others others sample_name others
9 .		others others
Execute the exported function “ bitDefender ” within “ MSO8734.obn ” using rundll32.exe .		sub_activity sub_activity sub_activity sub_activity sub_activity function sub_activity others others sample_name others others sample_name others
10 .		others others
Clean up temporary files , sleep , and delete itself .		sub_activity sub_activity sub_activity sub_activity others sub_activity others others sub_activity sub_activity others
When this script has completed , a series of implants giving the attacker the ability to steal files , capture screenshots and evade detection are deployed on the system .		others others sub_activity others others others others others others others others others person others others others attack_goal attack_goal others attack_goal attack_goal others attack_goal attack_goal others others others others others others
These individual implants are analyzed in detail in Appendix A .		others others others others others others others others others others others
While the payloads used to control compromised systems have evolved over time , many commonalities appear across the samples .		others others others others others others others others others others others others others others others others others others others others
While not every sample distributed by this group is described in this blog , hashes of the known samples are included in the Indicators of Compromise section .		others others others others others others others others others others others others others others others others others others others others others others others sub_activity sub_activity sub_activity others others
Some interesting behaviors from a few of the related samples include :  Many of the batch scripts include misspellings of common English words .		others others others others others others others others others others others others others others others sub_activity sub_activity others others others others others others others
One such example is the filename “ cmd ” .		others others others others others others others others others others
While another example , “ domen ” , is used as a variable name in a batch script which is likely meant to be “ domain ” .		others others others others others others others others others others others others others others others others sub_activity sub_activity others others others others others others others others others others
Almost all batch scripts in all samples ping localhost as a means of sleeping .		others others sub_activity sub_activity others others others sub_activity sub_activity others others others others sub_activity others
Many of the batch scripts are named “ cmd ” and some include the string “ Trons_ups ” and “ Treams ” .		others others others sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others others
Many of the batch scripts use the same commands for determining operating system version .		others others others sub_activity sub_activity others others sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity others
Many of the early samples used applications such as wget , UltraVNC , and ChkFlash .		others others others sub_activity sub_activity others others others others tool others tool others others tool others
These utilities have been replaced with custom tools in the latest sample Samples employing VNC used the same configuration and passwords .		others others others others others others sub_activity sub_activity others others sub_activity sub_activity sub_activity others tool others others sub_activity sub_activity sub_activity sub_activity others
Additionally , the infrastructure used by this group has not changed much in the past three years .		others others others others others others others others others others others others others others others others others others
Many of the samples reused the same domains for implant communication .		others others others others others others others others others others others others
Also , many of the custom developed tools use hardcoded network locations .		others others others others others sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity others
Monikers used for filenames , exported DLL functions , domains , and variable names in scripts seem to be themed and consistent .		others others others others others others others others others others others others others others others others others others others others others others others
By pivoting on indicators from one of the SFX implants within AutoFocus additional samples are easily identified by overlaps in these consistencies .		others sub_activity sub_activity sub_activity others others others others sub_activity sub_activity others tool others others others others others others others others others others others
Most samples were delivered in a similar fashion : an SFX dropping resources which are staged and loaded with a batch and/or VBS script .		others others others others others others others others others others sub_activity sub_activity sub_activity others others others others others others others sub_activity sub_activity program_language sub_activity others
The reuse of SSL certificates between IPv4 addresses as well as the reuse of IPv4 addresses between domains names is apparent when viewing a large collection of entities involved in this campaign .		others others others protocol others others protocol sub_activity others others others others others others protocol sub_activity others others others others others others others others others others others others others others others others others
The implants identified have limited , generic , and often conflicting detections on VirusTotal .		others sub_activity others others others others others others others others others others others tool others
The threat group using these implants has been active since at least 2014 and has been seen targeting individuals likely involved in the Ukrainian government .		others sub_activity sub_activity others reference_word reference_word others others others others others others time others others others others others target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd others
Some of the samples share delivery mechanisms and infrastructure with samples which are detected by a few antivirus vendors as Gamaredon .		others others others others others others others others others others others others others others others others others others others others threatActor_name others
However , newer variants deliver more advanced malware which goes unnamed .		others others others others others others others others others others others others
Periodically , researchers at Palo Alto Networks hunt through WildFire execution reports , using AutoFocus , to identify untagged samples ’ artifacts in the hopes of identifying previously undiscovered malware families , behaviors , and campaigns .		others others person others company company company sub_activity sub_activity tool sub_activity sub_activity others others tool others others others others others others others others others others others others others others others others others others others others others others
This blog presents a threat group identified by the above process using AutoFocus .		others others others others others others others others others others others others tool others
By actively hunting for malicious activity and files instead of waiting for alerts to triage , defenders can identify and building protections for new trends before they arrive on their corporate networks and endpoints .		others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others others others person others sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others others
More details about this threat group can be found in the AutoFocus tag GamaredonGroup .		others others others others others others others others others others others tool others threatActor_name others
Palo Alto Networks customers are protected from this threat in the following ways :  WildFire identifies the malware described in this report as malicious .		company company company person others others others others others others others others others others tool others others others others others others others others others others
Traps prevents execution of the malware described in this report .		tool others others others others others others others others others others
The C2 domains used by this group are blocked through Threat Prevention .		others tool sub_activity others others others others others others others tool tool others
Special thanks go out to Tom Lancaster for both his assistance in this investigation and for his charming good looks .		others others others others others person person others others others others others others others others others others others others others others
This file is a USB file stealer which can be also guessed by its internal name “ USBgrabber.dll ” .		others others others others others others others others others others others others others others others others others sample_name others others
However , the implementation is sloppy which makes it a file stealer for any newly connected logical volume on a system .		others others others others others others others others others others others others others others others others others others others others others others
This is because the malware monitors the computer for messages WM_COMMAND and WM_DEVICECHANGE , but not verifying if a USB drive was connected .		others others others reference_word reference_word sub_activity sub_activity sub_activity others others others others others others others others others others others others others others others others
The malware creates two mutexes “ __Wsnusb73__ ” and “ __Wsnusbtt73__ ” .		reference_word reference_word sub_activity sub_activity sub_activity others others others others others others others others
Then , it creates the following folder in the temp path of the local user : “ C:\Users\<Username>\AppData\Local\Temp\reports ”  This folder is used as a temporary location to copy all files from a newly connected logical drive to and upload them to the C2 server .		others others others sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others tool others others
The files are transferred to the hardcoded C2 server “ 195.62.52.93 ” one by one via HTTP POST method .		others others others others others others sub_activity tool sub_activity others IP_evil others others others others others protocol function others others
The malware also creates a SQLite database named “ asha.dat ” in the local users temp folder .		reference_word reference_word others others others sub_activity sub_activity others others sample_name others others others others others others others others
Therein , it keeps track of files which were stolen by calculating the MD5 hash of the filename followed by the file length .		others others reference_word sub_activity sub_activity others others others others others others others others others others others others others others others others others others others
Therefore , it creates a Unicode string of the original file path from the drive and concatenates the file size in bytes to it .		others others reference_word sub_activity sub_activity sub_activity sub_activity others others others others others others others others others sub_activity sub_activity sub_activity sub_activity others others others others others
Finally , it uses the API functions MD5Init() , MD5Update() and MD5Final() to calculate the hash and store it in the database .		others others reference_word others others sub_activity sub_activity function function function others function function function others function function function others sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity sub_activity others
It should be noted , that only hashes of files are added to the database that don’t have the following extensions :  DLL BIN CAB EXE ISO .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This file is essentially a simple downloader which contacts the C2 server to send some user data and get an executable as response which will be executed .		others others others others others others sub_activity others sub_activity sub_activity tool sub_activity others sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity others others others others others others others
The DLL is written in C++ and contains all of the functionality is in an export function named “ EntryPoint ” .		others others others others others program_language others others others others others others others others others others others others others function others others
The file was compiled without any compiler or linker optimizations , thus the big file size and the remaining PDB path string .		others others others others others others others others others others others others others others others others others others others others others others others
At first , the malware retrieves the temp path of the local user ( “ C:\Users\<Username>\AppData\Local\Temp\ ” ) , the computer name ( e.g .		others others others others malware sub_activity sub_activity sub_activity sub_activity others others person person others others others others others others others others others others others others others sub_activity sub_activity others others others
“ WIN-MLABCSUOVJB ” ) , the hardware profile GUID ( e.g .		others others others others others others sub_activity sub_activity sub_activity others others others
“ {826ee360-7139-11de-8d20-808e6f6e6263} ” ) and the volume serial number of C:\ drive ( e.g .		others others others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others
“ 1956047236 ” ) .		others others others others others
Next , it takes the following hardcoded string : http://adobe.update-service.net/index.php?comp= To create a URL string with the victims information for contacting the C2 server : http://adobe.update-service.net/index.php?comp=WIN-MLABCSUOVJB&id=WIN-MLABCSUOVJB_{826ee360-7139-11de-8d20-808e6f6e6263}1956047236 To create the filename where the downloaded file will be saved , the malware tries to build a random string of 10 characters .		others others reference_word others others others others others others others others others others others others sub_activity sub_activity sub_activity sub_activity others others others others others sub_activity sub_activity tool sub_activity others url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil others sub_activity sub_activity sub_activity others others others others others others others others reference_word reference_word others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
However , due to an implementation error the string always ends up being the same , namely “ frAQBc8Wsa ” .		others others others others others others others others others others others others others others others others others others string others others
