En Route with Sednit .		others others others threatActor_name others
This shellcode tries to contact Google in a way similar to that described above , and communicates the result back to the Seduploader process through shared memory .		others string others others others tool others others others others others others others others others others others others others others others others malware string others others others others
This shared memory is created with the Windows API OpenFileMapping and bears a hardcoded , random-looking name .		others others others others others others others function string function others others others others others others others others
If all the tested methods fail , Seduploader will try all the methods again , until there is a working Internet connection .		others others others others others others others malware others others others others others others others others others others others others others others others
Once the network link has been established , Seduploader builds a report on the compromised machine in the form of id=XXXXXX&w=… .		others others others others others others others others malware others others others others others others others others others others others others others others others
The id parameter contains the serial number of the hard drive and serves to identify the machine , while the w parameter contains the actual report with the following information :  List of running processes .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Hard drive information extracted from Windows registry key HKLM\SYSTEM\CurrentControlSet\Services\Disk\Enum ( preceded by disk= ) .		others others others others others tool others others string others others others others others others
Build identifier , which is a hardcoded 4-byte value ( preceded by build= ) .		others others others others others others others others others others others others others others others
Optional field named inject indicating whether the network link was established through browser injection .		others others others others others others others others others others others others others others others
The report is then encrypted with a simple algorithm :  a pseudo-randomly-generated 4-byte value is XORed with a hardcoded 4-byte value ( different in each sample ) , and serves as a key to XOR the data .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The encrypted data are then appended to the key .		others others others others others others others others others others
Finally , the resulting encrypted data are sent as the body of an HTTP POST request .		others others others others others others others others others others others others others protocol string others others
All communications with the C&C server are sent in the same manner .		others others others others tool tool tool others others others others others others others others
The build identifier was introduced in May 2015 .		others others others others others others time time others
Between then and writing this report we have seen 10 different values .		others others others others others others others others others others others others others
After the initialization step , the code enters its main loop , as described in Figure 15 .		others others others others others others others others others others others others others others others others others others
This loop comprises the following steps :  Establish the network link , with the same tests as executed during initialization .		others others others others others others others others others others others others others others others others others others others others others
Download a configuration file from the C&C server , by sending an HTTP POST request with id=XXXXXX&c=1 in the body ( before encryption ) .		others others others others others others tool tool tool others others others others others protocol string others others others others others others others others others others others others others
This configuration file provides information on how to retrieve and execute an additional payload .		others others others others others others others others others others others others others others others
Download a payload executable from the C&C server , according to the configuration file , by sending an HTTP POST request with id=XXXXXX&f=<file name> in the body ( before encryption ) .		others others others others others others tool tool tool others others others others others others others others others others others protocol string others others others others others others others others others others others others others others others others others
Run the payload executable , according to the configuration file .		others others others others others others others others others others others
Report to the C&C server the return code of the execution ( retrieved with the GetLastError API ) , by sending an HTTP POST request with id=XXXXXX&l=<error code> .		others others others tool tool tool others others others others others others others others others others others function string others others others others others protocol string others others others others others others others others others others
Downloading a configuration file first , so as then to fetch a payload binary :  this is also the workflow of Downdelph , described in the third part of this whitepaper .		others others others others others others others others others others others others others others others others others others others others others malware others others others others others others others others others others
Moreover , Seduploader and Downdelph share some wording in their configuration files , which may indicate that the same developers are behind the two components .		others others malware others malware others others others others others others others others others others others others others others others others others others others others others
According to our observations , the payload binary is usually either Sedreco or Xagent , the spying backdoors of the Sednit group .		others others others others others others others others others others others malware others malware others others others others others others threatActor_name others others
Over the last year , Seduploader became the most-used first-stage malware of the Sednit group .		others others others others others malware others others others others others others others threatActor_name others others
During this time , this component has been under intense development , for example by adding persistence methods to the dropper , or improving the payload ’s ability to contact its C&C server .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others tool tool tool others others
The purpose of Seduploader is twofold .		others others others malware others others others
First , it serves to establish a network link between the compromised machine and the C&C server , bypassing possible network security measures .		others others others others others others others others others others others others others others others tool tool tool others others others others others others others others
Second , it serves to check that the infected computer belongs to an intended target ( and in particular , does not belong to a security researcher ) .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
We do not know the exact logic used to select certain computers as being interest .		others others others others others others others others others others others others others others others others
We speculate that Sednit operators know quite precisely the target ’s environment in many cases , because they had already infected computers belonging to the same organization in the past .		others others others threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Hence the simple Seduploader report is informative enough to select real targets .		others others others malware others others others others others others others others others
The attack methods and malware described in this first part of our whitepaper demonstrate the technical abilities and the review of the literature of the Sednit group .		others others others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others others
For example , the group revamped the 0-day exploits from the Hacking Team data leak only a few days after their release , created a brand new exploit for the CVE-2014-6332 vulnerability based on a presentation at the BlackHat conference , and regularly integrated novel persistence methods into Seduploader .		others others others others reference_word others others vulnerability_cve others others others vulnerability_cve vulnerability_cve vulnerability_cve vulnerability_cve others others others others others others others others others others others others others others others vulnerability_cve others others others others others others others string others others others others others others others others others malware others
The attack methods of the Sednit group are not limited to those described in this whitepaper .		others others others others others threatActor_name others others others others others others others others others others others
In particular , we know from several investigations that they have :  Trojanized some legitimate private applications used in some Eastern European embassies , so that the employees would be infected with spying malware when running the modified executable .		others others others others others others others others others others others others others others others others others others others others target_crowd target_crowd target_crowd others others others others others others others others others others others others others others others others others
Hacked into some Linux servers using a known vulnerability for WordPress .		others others others OS_name others others others others others others string others
Hacked into some Zimbra webmail servers using a known vulnerability .		others others others tool others others others others others others others
Overall , the Sednit group is always looking for new ways to approach its targets , both with opportunistic strategies and by developing its own original methods .		others others others threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others
Sednit :  Win32/Exploit.CVE-2015-1641.H .		threatActor_name others others others
Sednit :  Win32/Exploit.CVE-2015-2424.A .		threatActor_name others others others
Sednit :  76053b58643d0630b39d8c9d3080d7db5d017020 .		threatActor_name others sha2 others
Sednit :  9b276a0f5fd824c3dff638c5c127567c65222230 .		threatActor_name others sha2 others
Sednit :  e7f7f6caaede6cc29c2e7e4888019f2d1be37cef .		threatActor_name others sha2 others
Sednit :  ef755f3fa59960838fa2b37b7dedce83ce41f05c .		threatActor_name others sha2 others
Sednit :  Exercise_Noble_Partner_16.rtf .		threatActor_name others sample_name others
Sednit :  Iran_nuclear_talks.rtf .		threatActor_name others sample_name others
Sednit :  Putin_Is_Being_Pushed_to_Prepare_for_War.rtf .		threatActor_name others sample_name others
Sednit :  Statement by the Spokesperson of European Union on the latest developments in eastern .		threatActor_name others sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name others
Sednit :  Ukraine.rtf .		threatActor_name others sample_name others
Sednit :  aljazeera-news.com .		threatActor_name others domain_evil others
Sednit :  ausameetings.com .		threatActor_name others domain_evil others
Sednit :  bbc-press.org .		threatActor_name others domain_evil others
Sednit :  cnnpolitics.eu .		threatActor_name others domain_evil others
Sednit :  dailyforeignnews.com .		threatActor_name others domain_evil others
Sednit :  dailypoliticsnews.com .		threatActor_name others domain_evil others
Sednit :  defenceiq.us .		threatActor_name others domain_evil others
Sednit :  defencereview.eu .		threatActor_name others domain_evil others
Sednit :  diplomatnews.org .		threatActor_name others domain_evil others
Sednit :  OSX/Agent.AE .		threatActor_name others others others
Sednit :  Win32/Agent.XBZ .		threatActor_name others others others
Sednit :  Win32/Agent.XIA .		threatActor_name others others others
Sednit :  Win32/Agent.XIJ .		threatActor_name others others others
Sednit :  Win32/Agent.XIO .		threatActor_name others others others
Sednit :  Win32/Agent.XFK .		threatActor_name others others others
Sednit :  Win32/Sednit.Z .		threatActor_name others others others
Sednit :  Win32/Sednit.AA .		threatActor_name others others others
Sednit :  Win32/Sednit.AB .		threatActor_name others others others
Sednit :  Win32/Sednit.AC .		threatActor_name others others others
Sednit :  015425010bd4cf9d511f7fcd0fc17fc17c23eec1 .		threatActor_name others sha2 others
Sednit :  0f7893e2647a7204dbf4b72e50678545573c3a10 .		threatActor_name others sha2 others
Sednit :  10686cc4e46cf3ffbdeb71dd565329a80787c439 .		threatActor_name others sha2 others
Sednit :  17661a04b4b150a6f70afdabe3fd9839cc56bee8 .		threatActor_name others sha2 others
Sednit :  21835aafe6d46840bb697e8b0d4aac06dec44f5b .		threatActor_name others sha2 others
Sednit :  2663eb655918c598be1b2231d7c018d8350a0ef9 .		threatActor_name others sha2 others
Sednit :  2c86a6d6e9915a7f38d119888ede60b38ab1d69d .		threatActor_name others sha2 others
Sednit :  351c3762be9948d01034c69aced97628099a90b0 .		threatActor_name others sha2 others
Sednit :  amdcache.dll .		threatActor_name others sample_name others
Sednit :  api-ms-win-core-advapi-l1-1-0.dll .		threatActor_name others sample_name others
Sednit :  api-ms-win-downlevel-profile-l1-1-0.dll .		threatActor_name others sample_name others
Sednit :  api-ms-win-samcli-dnsapi-0-0-0.dll .		threatActor_name others sample_name others
Sednit :  jhuhugit.temp .		threatActor_name others sample_name others
Sednit :  jhuhugit.tmp .		threatActor_name others sample_name others
Sednit :  jkeyskw.temp .		threatActor_name others sample_name others
Sednit :  HKCU\Software\Microsoft\Office test\Special\Perf .		threatActor_name others others others others
Sednit :  //dfc01ell6zsq3-ufhhf .		threatActor_name others others others
Sednit :  \BaseNamedObjects\513AbTAsEpcq4mf6TEacB .		threatActor_name others others others
Sednit :  \BaseNamedObjects\ASLIiasiuqpssuqkl713h .		threatActor_name others others others
Sednit :  \BaseNamedObjects\B5a20F03e6445A6987f8EC87913c9 .		threatActor_name others others others
Sednit :  \BaseNamedObjects\sSbydFdIob6NrhNTJcF89uDqE2 .		threatActor_name others others others
Sednit :  ASijnoKGszdpodPPiaoaghj8127391 .		threatActor_name others others others
Sednit :  swsupporttools.com .		threatActor_name others domain_evil others
Sednit :  www.capisp.com .		threatActor_name others domain_evil others
Sednit :  www.dataclen.org .		threatActor_name others domain_evil others
Sednit :  www.mscoresvw.com .		threatActor_name others domain_evil others
Sednit :  www.windowscheckupdater.net .		threatActor_name others domain_evil others
Sednit :  www.acledit.com .		threatActor_name others domain_evil others
Sednit :  www.biocpl.org .		threatActor_name others domain_evil others
Sednit :  www.wscapi.com .		threatActor_name others domain_evil others
Sednit :  www.tabsync.net .		threatActor_name others domain_evil others
Sednit :  www.storsvc.org .		threatActor_name others domain_evil others
Sednit :  www.winupdatesysmic.com .		threatActor_name others domain_evil others
Sednit :  D:\REDMINE\JOINER\HEADER_PAYLOAD\header_payload\Uploader\Release\Uploader.pdb .		threatActor_name others others others others others
