En Route with Sednit .		others others others threatActor_name others
Another interesting Downdelph persistence method we analyzed relies on a Windows driver , used during deployments in February 2014 .		others others malware others others others others others others others others others others others others others others others others others
Once loaded at startup as a Windows service , this driver executes and hides Downdelph , effectively acting as a rootkit 22 .		others others others others others others others others others others others others others others malware others others others others others others others others
We were able to dig up only four samples of this rootkit :   three 32-bit versions , corresponding to Cases 2 , 3 and 4 in Figure 3 , and an additional 64-bit version for which we do not have any context .		others others others others others others others others others others others malware others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Roughly summarized , the rootkit hides certain operating system artifacts ( files ,registry keys , folders ) whose location matches a rule in a set of so-called Hide rules .		others others others others malware others others others others others others others others others others others others others others others others others others others others others others others others others others
Those rules are set by the dropper and stored in the Windows Registry , making the rootkit a flexible tool able to hide any given artifacts .		others others others others others others others others others others others others others others others others malware others others others others others others others others others others
Interestingly , numerous debug messages were left by the developers in the rootkit , which allow those Hide rules in particular to be clearly seen .		others others others others others others others others others others others others malware others others others others others others others others others others others others others
For example , here are the rules used with one sample , as output in debug logs during execution :  We can observe here the three types of artifacts possibly hidden by the rootkit :  Some specific files , whose paths are given in the File rules .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others malware others others others others others others others others others others others others others others
In this case , two such rules are present and respectively serve to hide the Downdelph file and the rootkit itself  Some specific Windows Registry keys , whose paths are given in the Registry rules .		others others others others others others others others others others others others others others others malware others others others malware others others others others others others others others others others others others others others others others
In this case , three such rules are present , to hide registry keys related to the rootkit ’s Windows service , and also to hide the configuration itself , which is stored in this particular place .		others others others others others others others others others others others others others others others others others malware others others others others others others others others others others others others others others others others others others others others others
Some specific folders , whose paths are given in the Folder rules .		others others others others others others others others others others others others others
In this case , one such rule is present , to hide the Downdelph folder .		others others others others others others others others others others others others others malware others others
Finally , the Inject dll rule contains the path of a DLL that the rootkit will inject into the explorer.exe process .		others others others others others others others others others others others others others others malware others others others others others others others
In this case , it points to Downdelph .		others others others others others others others malware others
To summarize , the rootkit is configured to hide Downdelph and itself from the user , and also to inject Downdelph into explorer.exe .		others others others others malware others others others others malware others others others others others others others others others others malware others others others
We are now going to describe how those two operations are implemented .		others others others others others others others others others others others others others
We have identified two different implementations of the concealment mechanism , depending on the samples .		others others others others others others others others others others others others others others others others
The first one installs hooks in the System Service Descriptor Table ( SSDT ) , while the second one relies on the Windows filter manager .		others others others others others others others others others others others others others others others others others others others others others others others others others others
The SSDT is an internal Windows table containing addresses of core kernel routines , in such a way that hooking them allows the interception of data received by user mode programs .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This rootkit hooks three SSDT entries , corresponding to the functions ZwSetInformationFile , ZwQueryDirectoryFile and ZwEnumerateKey .		others malware others others others others others others others others others function others function others function others
These three functions are called by Windows processes to access files , directories and registry keys respectively .		others others others others others others others others others others others others others others others others others others
The logic inserted by the rootkit is pretty simple :  if the accessed artifact path matches one of the Hide rules , then the function returns as if the artifact does not exist on the system .		others others others others others malware others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
On the other hand , if the accessed artifact path is not rootkit-protected , the original SSDT function is executed .		others others others others others others others others others others others others others others others others others others others others others
For example , the hook code for ZwSetInformationFile to hide files is presented in Figure 13 .		others others others others others others others function others others others others others others others others others
With the arrival of 64-bit versions of Windows , the SSDT became protected by Kernel Patch Protection , preventing the insertion of hooks into this table .		others others others others others others others OS_name others others others others others others others others others others others others others others others others others others others
This probably explains why a different implementation of the concealment functionality was introduced in the rootkit , as described below .		others others others others others others others others others others others others others others others malware others others others others others
The Windows filter manager allows registering a driver as a minifilter , so that its code will be called on certain I/O operations .		others others others others others others others others others others others others others others others others others others others others others others others others
Such a minifilter driver can register a pre-operation callback or a post-operation callback on each I/O operation it registers to filter .		others others others others others others others others others others others others others others others others others others others others others others
Minifilter drivers are ordered based on a value called “altitude ” :  the filter manager executes driver callbacks registered for an I/O operation in the descending order of altitude .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This ordering allows , for example , prioritizing anti-virus minifilters over data-processing minifilters , in order to detect malicious files before opening them .		others others others others others others others others others others others others others others others others others others others others others others others others
In our case , the rootkit driver registers itself as a minifilter of altitude 370030 .		others others others others others malware others others others others others others others others others others
This altitude is normally associated with a Windows legacy driver named passThrough.sys , which is an example of a minifilter open-sourced by Microsoft .		others others others others others others others OS_name others others others others others others others others others others others others others others others others
Thus , the rootkit takes the place of passThrough.sys in the minifilter stack , and provides callbacks for hiding .		others others others others others others others others others others others others others others others others others others others others
The concealment functionality is mainly implemented as a pre-operation callback on the IRP_MJ_CREATE I/O operation , which corresponds to the creation or opening of files and directories .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The callback code is shown in Figure 14 .		others others others others others others others others others
Regarding hiding registry keys , the developers simply re-used the code of another minifilter example released by Microsoft for that purpose .		others others others others others others others others others others others others others others others others others company others others others others
As a final note on this rootkit ’s concealment mechanisms , we would like to mention that we found a 64-bit version of the minifilter-based rootkit made to run on Windows 7 .		others others others others others others malware others others others others others others others others others others others others others others others others others others others malware others others others others others others others
Loading such unsigned driver is normally prevented on this operating system , and we do not know if the attackers may have actually loaded it .		others others others others others others others others others others others others others others others others others others others others others others others others others others
Once the hiding mechanisms have been put in place , the rootkit injects the DLL whose path is in the Inject dll rule ( Downdelph in our case ) into explorer.exe .		others others others others others others others others others others others malware others others others others others others others others others others others others malware others others others others others others others
To do so , it first copies a shellcode into explorer.exe , which simply calls Windows API LoadLibraryW on Downdelph path .		others others others others others others others others others others others others others others others others others others others malware others others
To execute the shellcode , the rootkit then queues a kernel asynchronous procedure call , a little-known code injection technique .		others others others others others others malware others others others others others others others others others others others others others others
The code responsible for the injection is pictured in Figure 15 .		others others others others others others others others others others others others
Deploying a component as simple as Downdelph with a bootkit or a rootkit may seem excessive .		others others others others others others malware others others malware others others malware others others others others
But given the apparent rarity of Downdelph deployments over the last two years , we are inclined to speculate this is a deliberate strategy .		others others others others others others malware others others others others others others others others others others others others others others others others others others
By rarely deploying it , Sednit operators apparently kept it out of the hands of malware researchers for almost two years , which , combined with advanced persistence methods , ensured that they were able to maintain the monitoring of selected targets over the long term .		others others others others others threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Still , we are certainly missing parts of the picture concerning Downdelph , and we hope this report will encourage other researchers to contribute further pieces to the puzzle .		others others others others others others others others others others others malware others others others others others others others others others others others others others others others others others others
Hashes :  1cc2b6b208b7687763659aeb5dcb76c5c2fbbf26 49acba812894444c634b034962d46f986e0257cf 4c9c7c4fd83edaf7ec80687a7a957826de038dd7 4f92d364ce871c1aebbf3c5d2445c296ef535632 516ec3584073a1c05c0d909b8b6c15ecb10933f1 593d0eb95227e41d299659842395e76b55aa048d 5c132ae63e3b41f7b2385740b9109b473856a6a5 5fc4d555ca7e0536d18043977602d421a6fd65f9 669a02e330f5afc55a3775c4c6959b3f9e9965cf 6caa48cd9532da4cabd6994f62b8211ab9672d9e 7394ea20c3d510c938ef83a2d0195b767cd99ed7 9f3ab8779f2b81cae83f62245afb124266765939 e8aca4b0cfe509783a34ff908287f98cab968d9e ee788901cd804965f1cd00a0afc713c8623430c4 .		others others sha1 sha1 sha1 sha1 sha1 sha1 sha1 sha1 sha1 sha1 sha1 sha1 sha1 sha1 others
File Names :  apivscd.dll install_com_x32_LL_full.dll shcore.dll userinit.exe .		others others others sample_name sample_name sample_name sample_name others
C&C server IP addresses :  104.171.117.216 141.255.160.52 .		others others others others others others others IP IP others
C&C server Domain Names :  intelmeserver.com .		others others others others others others others domain others
