Technical analysis of recent attacks against Polish banks .		others others others others others others industry industry others
It is a simple commandline tool , with basic capabilities , including : -l :  list of potential services which clould be used by malware , -e [NAME] :  unpacks DLL and CHM files under given NAME .		reference_word others others others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
The installer decrypts and saves two files ( depending on target architecture in 32 or 64bit versions ) : a DLL file protected with commercial Enigma packer and a CHM file .		others reference_word others others others others others others others others others others others others others others others others others others tool tool others others others others others others others tool tool others
The DLL file can be named srservice.dll e29fe3c181ac9ddbb242688b151f3310 and is installed as a service , while the CHM file would be named srservice.chm 9216b29114fb6713ef228370cbfe4045 and saved in %WINDIR%\Help folder .		others tool tool others others others sample_name sample_name others others others others others others others others others tool tool others others others sample_name sample_name others others others tool tool tool tool others others
In reality the CHM file is an encrypted DLL injected into the process .		others others others tool tool others others others tool others others others others others
The service also decrypts the config file srservice.hlp : 8e32fccd70cec634d13795bcb1da85ff .		others others others others others others others sample_name others sample_name others
Files are encrypted using a RC4 variant called Spritz .		others others others others others tool others others tool others
The config file includes , among other information , two domain names looking like C&C server : which they are not : tradeboard.mefound.com : 443 , movis-es.ignorelist.com : 443 .		others others others others others others others others others others others others others others tool tool tool tool others others others others others others domain_evil domain_evil domain_evil others domain_evil domain_evil domain_evil others
In an interesting plot twist the malware resolves those domains to their real IP addresses , but then performs a XOR operation on the original IPs to obtain true C&C IP addresses .		others others others others others others others others reference_word others others others others others others others others others sub_activity sub_activity sub_activity sub_activity others others others others others attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others
The service.chm file is the final stage of this part of infection scenario : it's a RAT connecting to the C&C and taking orders .		others tool tool others others others others others others others others others others others reference_word others others tool sub_activity sub_activity sub_activity protocol protocol protocol others sub_activity sub_activity others
Some of the 20-something commands include :  CMDL : execute command , write result to temporary file , upload the file to C&C and delete it DEL : remove file DIE : turn off DIR : search files or folders DOWN : download and save file DRIV : list logical drives GCFG : download current config PEEX : inject into explorer.exe PKIL : kill process PVEW : display information about running processes RUN : execute SCFG : get new config , encrypt it and save UPLD : upload file to C&C WIPE : secure delete .		others others others others others others others tool others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function protocol protocol protocol sample_function sample_function sample_function tool others sample_function sample_function tool others sample_function sample_function tool others sample_function sample_function sample_function sample_function tool others sample_function sample_function sample_function sample_function tool others sample_function sample_function sample_function tool others sample_function sample_function sample_function tool others sample_function sample_function sample_name tool others sample_function sample_function tool others sample_function sample_function sample_function sample_function sample_function tool others sample_function tool others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function tool others sample_function sample_function sample_function protocol protocol protocol tool others sample_function sample_function others
Another piece of malware identified during incident response was the fdsvc.exe file 9914075cc687bdc352ee136ac6579707 probalby run manually or coming from a different infection process .		others others others others others others others others others others sample_name others sample_name others others others others others others others others others others others
The file accepts parameters pointing to a server it should connect to and the process it should inject malicious code into .		others others others others others others others others others others others others others others others others others others others others others others
The injected file was fdsvc.dll 9cc6854bc5e217104734043c89dc4ff8 which was also encrypted .		others others others others sample_name sample_name others others others others others
