The KeyBoys are back in town .		others others others others others others others
Additionally , said library sported an interesting debug path : D:\Work\VS\Horse\TSSL\TSSL_v0.3.1_20170722\TClient\Release\TClient.pdb In addition to writing a Yara rule for the dropper DLL and finding additional samples as mentioned above , we repeated the same process for the payload DLL .		others others others others others others others others others others others others others others others others others others encryption_algo others others others others tool others others others others others others others others others others others others others others others others tool others
a55b0c98ac3965067d0270a95e60e87e :  ikeext.dll IKE and AuthIP IPsec Keying Modules .		md5 others sample_name tool tool tool tool tool tool others
2e04cdf98aead9dd9a5210d7e601cca7 :  rasauto.dll Remote Access Auto Connection Manager .		md5 others sample_name tool tool tool tool tool others
d6ddecdb823de235dd650c0f7a2f3d8f :  rasauto.dll Remote Access Auto Connection Manager .		md5 others sample_name tool tool tool tool tool others
1dbbdd99cb8d7089ab31efb5dcf09706 :  sinet.dll Unknown .		md5 others sample_name others others
581ddf0208038a90f8bc2cdc75833425 :  sinet.dll Unknown .		md5 others sample_name others others
Sinet.dll may relate to SPlayer , a popular video player in China .		sample_name others others others tool others others others others others others location others
7d39cef34bdc751e9cf9d46d2f0bef95 :  D:\work\vs\UsbFerry_v2\bin\UsbFerry.pdb .		md5 others others others others others
29e44cfa7bcde079e9c7afb23ca8ef86 :  E:\Work\VS Project\cyassl-3.3.0\out\SSLClient_x64.pdb .		md5 others others others others others others
Both samples include references to a “ work ” folder , and a “ VS ” or “ VS Project ” .		others others others others others others others others others others others others others others others others others others others others others others
The latter likely points to a Visual Studio project short name , or VS .		reference_word reference_word others others others others tool tool others others others others others tool others
While the connection initially seems rather weak , it did hit the same Yara rule as mentioned before and the sample with hash 29e44cfa7bcde079e9c7afb23ca8ef86 additionally includes an SSL certificate , which , when converted , points to another custom SSL library , called WolfSSL , which is a “ a small , fast , portable implementation of TLS/SSL for embedded devices to the cloud ” .		others others others others others others others others reference_word others sub_activity sub_activity sub_activity encryption_algo sub_activity others others others others others others others others md5 others others others protocol tool others others others others others others others others others tool tool tool others others tool others others others others others others others others others others others others others protocol others sample_function sample_function sample_function sample_function sample_function others others
The same hash or binary also includes what we assess to be a campaign name or KeyBoy version identifier , which is weblogic20170727 .		others others others others others others others others others others others others others others others others threatActor_name others others others others others others others
Another sample which hit our Yara rule is 7aea7486e3a7a839f49ebc61f1680ba3 , which was first uploaded to VirusTotal on 2017-08-25 .		others others others others others encryption_algo others others md5 others others others others others others tool others time others
This sample appears to be an older variant of KeyBoy , as there are several plain-text strings present , which are consistent with CitizenLab ’s report referenced in the introduction .		reference_word reference_word others others others others others others others threatActor_name others others others others others others others others others others others others others security_team others others others others others others others others
We have mapped out the complete infrastructure that we have discovered , using Maltego .		person others sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others tool others
There was some overlap with the samples and infrastructure , and one email address appears to jump out , which is linked to several domains : 657603405@qq.com .		others others others others others others others others others others others others others others others others others others others others others others others others others others email_evil email_evil email_evil others
This email address does not appear to have been observed before .		others others others others others others others others others others others others
One other relevant point to note in regards to the infrastructure , is the use of dates , likely relating to campaign names , as part of the C2 servers .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others tool others others
Examples include :  Weblogic727.xxuz.com ( 2017-07-27 campaign ) ; and , Weblogic1709.zzux.com ( 2017-09-17 campaign ) .		others others others domain_evil others time others others others others others domain_evil others time others others others
In this report , we have analysed what we assess with high confidence , to be ( part of ) the latest KeyBoy campaign , a threat actor that has been active for several years , and displays at least a medium level of technical and operational know-how .		others others others others others others others others others others others others others others others others others others others others others others threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others others others
Several connections can be made to CitizenLab ’s report from 2016 , such as the continued usage of fake services and related DLLs , powerful capabilities , several exports and strings present in the ( sometimes decrypted ) DLLs , as well as campaign or version identifiers which are reminiscent and consistent with earlier reported identifiers .		others others others others others others security_team tool tool tool others time others others others others others others others others others others others tool others others others others others others others others others others others others others others others tool others others others others others others others others others others others others others others others others others others
While we do not have a clear visibility of targeting , it does appear that this latest campaign targets at least some Western organisations , likely for corporate espionage purposes .		others others others others others others others others others others others others others others others others others others others others others others industry industry others others others attack_goal attack_goal attack_goal others
Organisations can refer to Appendix A , in order to search of any possible indicators of compromise .		others others others others others others others others others others others others others others others others others others
Additionally , organisations may wish to disable default administrator credentials , which will prevent unauthorised services to be installed .		others others others others others others others others others others others others others others others others others others others others
Clients who are part of our threat intelligence subscription services , can refer to our latest report CTO-TIB-20171019-01A - KeyBoy's new toys , which includes more information as well as ruling in order to detect KeyBoy ’s latest campaign .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others others others others others
If you would like more information on any of the threats discussed in this alert , or you suspect you may be compromised , please feel free to get in touch , by emailing threatintelligence@uk.pwc.com .		others others others others others others others others others reference_word reference_word others others others others others others others others others others others others others others others others others others others others others others others others others others others
KeyBoy :  101.200.135.85 .		threatActor_name others IP_evil others
KeyBoy :  103.215.81.196 .		threatActor_name others IP_evil others
KeyBoy :  103.215.83.193 .		threatActor_name others IP_evil others
KeyBoy :  103.86.86.177 .		threatActor_name others IP_evil others
KeyBoy :  118.163.165.20 .		threatActor_name others IP_evil others
KeyBoy :  142.4.34.92 .		threatActor_name others IP_evil others
KeyBoy :  http://213.183.51.187/debug.dll .		threatActor_name others url_evil url_evil url_evil others
KeyBoy :  dumblamb.zzux.com .		threatActor_name others domain_evil others
KeyBoy :  foxsay.mefound.com .		threatActor_name others domain_evil others
KeyBoy :  greentree.yourtrap.com .		threatActor_name others domain_evil others
KeyBoy :  kawayi.zzux.com .		threatActor_name others domain_evil others
KeyBoy :  mianliu.party .		threatActor_name others domain_evil others
KeyBoy :  mianliu.video .		threatActor_name others domain_evil others
KeyBoy :  657603405@qq.com .		threatActor_name others email_evil email_evil email_evil others
KeyBoy :  sensr9.dat .		threatActor_name others sample_name others
KeyBoy :  sensr3.dat .		threatActor_name others sample_name others
KeyBoy :  netis9.tsp .		threatActor_name others sample_name others
KeyBoy :  netis3.tsp .		threatActor_name others sample_name others
KeyBoy :  52d11a0a5142f0b37aa2d288321ba099 .		threatActor_name others md5 others
KeyBoy :  581ddf0208038a90f8bc2cdc75833425 .		threatActor_name others md5 others
KeyBoy :  64b2ac701a0d67da134e13b2efc46900 .		threatActor_name others md5 others
KeyBoy :  1dbbdd99cb8d7089ab31efb5dcf09706 .		threatActor_name others md5 others
KeyBoy :  7aea7486e3a7a839f49ebc61f1680ba3 .		threatActor_name others md5 others
KeyBoy :  a55b0c98ac3965067d0270a95e60e87e .		threatActor_name others md5 others
KeyBoy :  f21e3b927d269b0622d94c55db9d2808758379aa413c10971fa745cd6e0503c0 .		threatActor_name others sha2 others
KeyBoy :  f15d2e9deaeb495fe8a62c05993b9f69bf07331910ed2483e1bab7d31d30231b .		threatActor_name others sha2 others
KeyBoy :  f3f55c3df39b85d934121355bed439b53501f996e9b39d4abed14c7fe8081d92 .		threatActor_name others sha2 others
KeyBoy :  750f4a9ae44438bf053ffb344b959000ea624d1964306e4b3806250f4de94bc8 .		threatActor_name others sha2 others
KeyBoy :  12dfb83a3866c93cd1c08652ed0a16a492777355985a973ef50973896795eb34 .		threatActor_name others sha2 others
KeyBoy :  5d0aef905c9f8f74bb82eba89c11ec5b27d35e560b5cacf81087fca0775a8bfa .		threatActor_name others sha2 others
