NetTraveler Spear-Phishing Email Targets Diplomat of Uzbekistan .		malware email_evil email_evil others target_crowd others location others
The configuration file is structured as an “ .ini ” file as the Trojan uses GetPrivateProfileStringA to parse the contents .		others others others others others others others others others others others others others malware others function others others others others others
The configuration file has the following contents :  Unit 42 analyzed the sample and found the following configuration fields that could appear in the CERTAPL.DLL configuration file and a brief description of each field :  The “ U00P ” and “ K00P ” values are decrypted using a simple algorithm that subtracts the index and then subtracts ten from each character , which is depicted in the following :  These two fields decrypt to the following , the U00P value being the C2 URL and the K00P value being the basis for an encryption key for the DES algorithm :  U00P : http://www.voennovosti.com/optdet/index.asp ( decrypted ) .		others others others others others others others others security_team security_team others others others others others others others others others others others others others others sample_name others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others url others others others others others others others others others others others others others encryption_algo encryption_algo others others others others others others others others others others
K00P : NAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAM ( decrypted ) .		others others others others others others others
The C2 server will respond to requests issued by the Trojan with commands to carry out activities on the compromised system .		others tool tool others others others others others others others malware others others others others others others others others others others others
We analyzed the code within NetTraveler that handles commands issued by the C2 server and found four available commands that are listed in Table 2 .		others others others others others malware others others others others others others tool tool others others others others others others others others others others others others
Command	Description .		others others others
<Unique System ID> : UNINSTALL Deletes %APPDATA%\cert2013.dat and %STARTUP%\consent.lnk and exits the process .		others others others others others others others others url url url url url url url url url others others others others others
This attempts to uninstall the Trojan , but will not work as the filenames are not used by this version of NetTraveler .		others others others others others others others others others others others others others others others others others others others others others malware others
<Unique System ID> : RUN_REBOOT Reboots the system .		others others others others others others others others others others others
<Unique System ID> : RUN_STARTUP Downloads a file to %TEMP%\Temp.bmp and copies it to the startup folder .		others others others others others others others others others others others sample_name sample_name sample_name sample_name others others others others others others others others
<Unique System ID> : RUN_DIRECT Download a file to %TEMP%\tmp.bmp and execute it .		others others others others others others others others others others others sample_name sample_name sample_name sample_name others others others others
Table 2 Commands available within NetTraveler and a description of their functionality .		others others others others others malware others others others others others others others
At the time of analysis , the domain voennovosti.com was resolving to IP ‘ 98.126.38.107 ’ , which is hosted by Krypt Technologies .		others others others others others others others others domain others others others others others IP others others others others others others others others others
A report published by Kaspersky Labs in 2011 on NetTraveler also mentions the C2 servers were being hosted by Krypt Technolgies .		others others others others security_team security_team others time others malware others others others tool tool others others others others others others others
This web hosting service provider continues to be the hosting provider of choice for the threat actors behind NetTraveler .		others others others others others others others others others others others others others others others others person others malware others
NetTraveler has been used to target diplomats , embassies and government institutions for over a decade , and remains the tool of choice by the adversaries behind these cyber espionage campaigns .		malware others others others others others target_crowd others government others government government others others others others others others others others others others others others others others others others others others others others
The use of NetTraveler for such a long period of time shows its effectiveness and success by the adversaries in targeting their victims with impunity .		others others others malware others others others others others others others others others others others others others others others others others others target_crowd others others others
As seen in this case , the threat actors continue to evolve and employ new techniques within their modus operandi , like ‘ DLL side-loading ’ to install malware .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
It is likely that the use of ‘ DLL side loading ’ attack technique will increase due to it ’s effectiveness to bypass traditional security systems .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
It is essential to raise awareness on such attacks to better protect organizations from adversaries who maybe backed by nation states .		others others others others others others others others others others others others others others others others others others others others others others
WildFire correctly classifies NetTraveler as malicious .		tool others others malware others others others
AutoFocus tags are created to identify NetTraveler samples and respective IOCs are added to Palo Alto Networks Threat Prevention .		others others others others others others malware others others others others others others others others others others others others others
