Downeks and Quasar RAT Used in Recent Targeted Attacks Against Governments .		malware others malware malware others others others others others others target_crowd others
However , based upon the timeframe of subsequent telemetry we observe , we understand the attack chain as follows :  The initial dropper ( which varies across attacks ) is delivered to the victim via email or web :  File Name : Joint Ministerial Council between the GCC and the EU Council.exe ” .		others others others others others others others others others others others others others others others attack_activity attack_activity others others others others others others others others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others others sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name others others
SHA256: 0d235478ae9cc87b7b907181ccd151b618d74955716ba2dbc40a74dc1cdfc4aa .		others others sha2 others
The initial dropper , upon execution , extracts an embedded Downeks instance :  File Name : ati.exe .		others others others others others others others sub_activity sub_activity sub_activity malware sub_activity others others others others sample_name others
SHA256: f19bc664558177b7269f52edcec74ecdb38ed2ab9e706b68d9cbb3a53c243dec .		others others sha2 others
Downeks makes a POST request to dw.downloadtesting.com , resulting in the installation of the Quasar RAT on the victim machine .		malware others others sub_activity sub_activity others domain_evil others others others others sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others
Additional Downeks downloaders connecting to the previously-observed server dw.downloadtesting.com were also found in this attack :  SHA256: 15abd32342e87455b73f1e2ecf9ab10331600eb4eae54e1dfc25ba2f9d8c2e8a .		others malware others others others others tool tool domain_evil others others others others others others others others others sha2 others
SHA256: 9a8d73cb7069832b9523c55224ae4153ea529ecc50392fef59da5b5d1db1c740 .		others others sha2 others
Further research identified dozens of Dowenks and Quasar samples related to these attackers .		others others others others others malware others malware others others others others person others
All included decoy documents written in Arabic ( all related to Middle Eastern politics ) or Hebrew .		others others tool others others others others others others others others location location others others others others others
Most of them use the same mutex structure , share the same fake icon and unique metadata details , file writes , registry operations , and fake common program metadata , as seen in DustySky samples .		others others reference_word others sample_function sample_function sample_function sample_function others others sample_function sample_function sample_function sample_function others sample_function sample_function sample_function others sample_function sample_function others sample_function sample_function others others sample_function sample_function sample_function sample_function others others others others attack_activity others others
The Downeks downloader and Quasar C2 infrastructures are each self-contained and independent of each other .		others malware tool others malware protocol tool others others others others others others others others others
However , we did find a single shared IP address demonstrably connecting the Downeks downloader and Quasar C2 infrastructure s.  We saw five samples built on the same date in December 2015 , and six on the same date in January , further solidifying the link between each sample .		others others others others others others others others protocol others others others others malware tool others malware protocol tool others others others others others others others others others others others time time others others others others others others others others time others others others others others others others others others
We analyzed a Quasar sample we found that was communicating with an active C2 server at the time of analysis :  SHA256: 4393ff391396cdfd229517dd98aa7faecad04da479fe8ca322f035ceee363273 .		others others others malware sample_name others others others others others others others others protocol others others others others others others others others others sha2 others
Quasar is a publicly-available commodity RAT , an evolution of his earlier xRAT , by German developer “ MaxXor ” .		malware others others others others tool others others others others others others tool others others location others others person others others
This sample is a modified version of Quasar , most likely forked from open source version 1.2.0.0 on GitHub .		reference_word reference_word others others others others others malware others others others others others others others others others others others others
The client was likely built using the Quasar server client builder .		others others others others others others others malware others others others others
We observed the following customizations :  C2 server : app.progsupdate.com , which resolved to 185.141.25.68 ) , over port 4664 .		others others others others others others protocol others others domain_evil others others others others IP_evil others others others others others others
Quasar mutex name : VMFvdCsC7RFqerZinfV0sxJFo .		malware others others others sample_name others
Keylogger log location : Users\hJTQwqwwSCkZU\AppData\Roaming\GoogleDesktop\<date> .		others others others others others others others others others
The malware uses fake version information to appear as a Microsoft update program , as well as Google Desktop once unpacked .		others reference_word others tool tool tool others others others others company others others others others others others tool tool tool tool others
This sample is packed by “ Netz ” , a simple .NET Framework packer which stores the original executable compressed ( zlib ) as a resource .		reference_word reference_word others others others others tool others others others others reference_word reference_word reference_word others others others others others others others others others others others others others
At runtime , the packer decompresses the resource and uses Reflection to load the assembly , find its Entry point , and Invoke it .		others others others others reference_word sample_function sample_function sample_function others others others others sample_function sample_function sample_function others sample_function sample_function sample_function sample_function others others sample_function sample_function others
Extracting the payload is straight forward – we simply dump the resource and decompress it .		sample_function sample_function sample_function others others others others others others others others others others others others others
We discovered that the sample was obfuscated using .NET reactor .		others others others sample_name sample_name others tool others tool tool others
It is possible to decompile the deobfuscated sample and retrieve most of the original source code but not enough to compile it easily .		others others others others others others others others others others others others others others others others others others others others others others others others
After deobfuscation we extracted :  SHA256: d773b12894d4a0ffb0df328e7e1aa4a7112455e88945a10471650e503eecdb3d .		others tool others others others others others sha2 others
After decompiling the sample , we were able to document the modifications from the open-source Quasar .		others others others others others others others others others others others others others others others malware others
The configuration of Quasar is stored in the Settings object , which is encrypted with a password which is itself stored unencrypted .		sample_function sample_function sample_function malware others others others others function function others others others others others others others others others reference_word others others others
Modifications :  The ISCHECKIP and INSTARTUPFOLDER are not found in open source Quasar samples .		others others others function others function others others others others others others malware others others
The sample we analyzed is using RijndaelManaged with ECB mode and PKCS7 padding .		reference_word reference_word others others others others encryption_algo others encryption_algo encryption_algo others encryption_algo encryption_algo others
The key is the SHA256 hash of the hard-coded password .		others others others others encryption_algo others others others others others others
The password of the sample we analyzed is : “6y7u^Y&U6y7u^Y&U6y7u^Y&U ” .		others others others reference_word reference_word others others others others others string string string string string string string others others
Although at first glance this appears somewhat complex , it is in fact a rather simple , repeated keyboard sequence .		others others others others others others others others others others others others others others others others others others others others others
We observe similar keyboard patterns in other samples : “ 567%^& ” , “ zxc!		others others others others others others others others others others string string string string others others others string string
@#ASD ” .		string string string others others
Modifications :  Uses SHA256 instead of MD5 to create the key .		others others others encryption_algo others others encryption_algo others others others others others
Uses RijndaelManaged instead of AES for encryption .		others encryption_algo others others encryption_algo others others others
( with ECB mode , which is considered weak ) .		others others encryption_algo encryption_algo others others others others others others others
Quasar contains the NetSerializer library that handles serialization of high level IPacket objects that the client and server use to communicate .		malware others others tool tool others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others tool tool tool others others sample_function others
The serialization assigns unique IDs for serializable objects types .		others sample_function others others others others others others others others
The open source and several other samples we found give a dynamically-assigned 1 byte ID at compile time .		others others others others others others others others others others others others others others others others others others others
The sample we analyzed changed that behavior and hard-coded DWORD for each object type .		reference_word reference_word others others others others others others others others others others others others others
This is a better implementation , as it allows servers and clients from different versions to communicate with each other to some extent .		others others others others others others others others others others others others others others others others others others others others others others others others
The sample we analyzed is most likely forked from open source quasar 1.2.0.0 .		reference_word reference_word others others others others others others others others others malware malware others
We find multiple file/object names hinting at the version , but must compelling :  Quasar version 1.1.0.0 names the encryption module name space “ Encryption ” , while subsequent Quasar versions use “ Cryptography ” – which we observe in this sample .		others others others others others others others others others others others others others others malware malware malware others others others others others others others string others others others others malware malware others others string others others others others others others reference_word reference_word others
Quasar version 1.3.0.0 changed the encryption key generation , and stopped saving the password in the sample .		malware malware malware sample_function sample_function sample_function sample_function sample_function others others sample_function sample_function sample_function sample_function others reference_word reference_word others
There are more indications as well , such as names of objects , files etc .		others others others others others others others others others sample_function sample_function sample_function others sample_function others others
Other samples we analyzed had different combinations of modification to cryptography and serialization .		others others others others others others others others sample_function sample_function sample_function others sample_function others
Our decompilation of the serialization library was not complete enough to allow simple recompilation .		others others others others tool tool others others others others others others others others others
Instead , we downloaded and compiled the 1.2.0.0 server of the open-source Quasar RAT , having determined that this seemed likely the most similar version .		others others others others others others others others others others others others malware tool others others others others reference_word others others others others others others others
The out-of-the-box server could not communicate with the client sample owing to the previously documented modifications that we had observed .		others tool tool others others others others others others others others others others others others others others others others others others
We incorporated those changes into our build , discovering that this worked for most sample versions with almost no further modification .		others others others others others others others others others others others others others others others others others others others others others others
Both the client and the server use the same code to serialize and encrypt the communications .		others others others others others tool others others others others others sample_function others sample_function sample_function sample_function others
Instead of compiling a different server for each client , our server uses the code from within the client to communicate with it .		others others others others others tool others others others others tool tool others others others others others others others others sample_function others others others
Using Reflection , the server can load the assembly of the client to find the relevant functions and passwords .		others others others others tool others sample_function sample_function sample_function others others others others sample_function sample_function sample_function sample_function sample_function others others
This was more complex .		others others others others others
Both the client and server uses the same API , but the client serializer cannot serialize server objects , because they are not the same as their “ mirrored ” objects inside the client .		others others others others others others others others function others others others others others others others others others others others others others others others others others others others others others others others others others others others
In some cases these objects are completely different , for example the server commands to get the file system .		others others others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
Our solution is to :  Translate on the fly the objects the server send to mirrored matching client objects ( will not work if client doesn’t have this object , or renamed it ) .		others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others others others others others others others others others others others others others
Copy the content from the server object into the new client object ( will not work if client implementation is different ) .		sub_activity sub_activity sub_activity others others others others others others others others others others others others others others others others others others others others
Serialize the client object ( which will be later encrypted and sent ) .		sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others
Deserialize the decrypted response into another client response object .		sub_activity sub_activity sub_activity others others others others others others others
Translate the client response object into the server version of the client response object .		sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others
Copy the contents from the client response object into the translated server object .		sub_activity sub_activity sub_activity others others others others others others others others others others others
Return the translated object .		sub_activity sub_activity sub_activity sub_activity others
Our sample communicates with app.progsupdate.com , which resolved to 185.141.25.68 , over TCP port 4664 .		others others others others domain others others others others IP others others protocol others others others
The server sends a command .		sub_activity sub_activity sub_activity sub_activity sub_activity others
for example , “ Get System Information ” .		others others others others sample_name sample_name sample_name others others
The command is translated to an IPacket of type GetSystemInfo .		others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity function others
The packet is serialized into a stream of bytes .		others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
The stream of bytes is encrypted ( in some versions there is also optional compression step ) .		others sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others
The stream of bytes is sent over TCP to the client .		others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
The client receives and decrypts the packet .		others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
The client deserializes the packet into IPacket GetSystemInfo .		others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
The relevant handler of the client is called , collects the system information and sends it back inside IPacket of GetSystemInfoResponse .		others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity others others others others others others others function others
Each of these layers seems to be different to some extent in the various samples we found .		others others others others others others others others others others others others others others others others others others
The IPacket , Serialization and Encryption framework code is shared between the client and the server , therefore we can use it with Reflection .		others others others sample_function others sample_function sample_function sample_function others others others others others others others others others others others others others others others others others
However the Server handlers and command function are not , so we cannot create a completely perfect simulation .		others others others others others others others others others others others others others others others others others others others others
The attacker can issue commands ( not all commands appear in different samples ) through the Quasar server GUI for each client :  Get system information .		others person others others others others others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function others sub_activity sub_activity sub_activity others
Get file system .		sub_activity sub_activity sub_activity others
Upload / download / execute files .		sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
Startup manager .		sub_activity sub_activity others
Open task manager .		sub_activity sub_activity sub_activity others
Kill / start processes .		sub_activity sub_activity sub_activity sub_activity others
Edit registry .		sub_activity sub_activity others
Reverse Proxy .		sub_activity sub_activity others
Shutdown / restart the computer .		sub_activity sub_activity sub_activity sub_activity sub_activity others
Open remote desktop connection .		sub_activity sub_activity sub_activity sub_activity others
Observe the desktop and actions of active user .		sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
Issue remote mouse clicks and keyboard strokes .		sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
Password stealing .		sub_activity sub_activity others
Retrieve Keylogger logs .		sub_activity sub_activity sub_activity others
Visit website .		sub_activity sub_activity others
Display a message box .		sub_activity sub_activity sub_activity sub_activity others
The file system commands underling handlers and IPacket were modified to support more features , so these commands don’t work out of the box and required manual implementation from us .		others tool tool others sample_function sample_function sample_function sample_function others others others others others others others others others others others others others others others others others others others others others others others others others
With further analysis of the Quasar RAT C2 Server , we uncovered vulnerabilities in the server code , which would allow remote code execution .		others others others others others malware tool protocol others others others others others others others others others others others others others others others others others
This might allow a second attacker to install code of their choice – for example , their own Quasar RAT – on the original attacker ’s server .		others others others person person person others sample_function sample_function others others others others others others others others others malware tool others others others others others others others others others
We refer to this ( somewhat ironic ) technique as a “ Double Edged Sword Attack ” .		others others others others others others others others others others others others attack_activity attack_activity attack_activity attack_activity others others
We did not apply this to any live C2 servers – we only tested this with our own servers in our lab .		others others others others others others others others protocol others others others others others reference_word others others others others others others others others
In the lab , we changed our Quasar RAT source code to use the known encryption key , and to send fake victim IP address , City , Country code , Flag , and Username .		others others others others others sub_activity sub_activity malware tool sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity sub_activity others others others sub_activity sub_activity sub_activity protocol sub_activity others others others others others others others others others others others
The Quasar server does not verify the RAT data , and displays this data in the RAT Server GUI when the RAT is executed and connects to the server .		others malware tool others others others others tool others others others others others others others others tool others others others others tool others others others others others others others others
We found this could be used to supply compelling “ victim data ” to convince the attacker to connect to this “ victim ” via the GUI .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Quasar server includes a File Manager window , allowing the attacker to select victim files , and trigger file operations – for example , uploading a file from victim machine to server .		malware tool others others tool tool tool others others others others others sample_function sample_function sample_function others others sample_function sample_function sample_function others others others others others others others others others others others others others
Uploaded files are written to the server sub directory “ clients\user_name@machine_name_ipaddress ” .		others others others others others others others others others others sample_name sample_name sample_name others others
Quasar server does not verify that the size , filename , extension , or header of the uploaded file is the same as requested .		malware tool others others others others others others others others others others others others others others others others others others others others others others others
Therefore , if we convince the attacker to request the file “ secret_info.doc ( 20KB ) ” , we can instead return to the server any file of our choice , of any size or type .		others others others others others others others others others others others others sample_name sample_name sample_name sample_name others others others others others others others others others others others others others others others others others others others others others
When the Quasar server retrieves the name of the uploaded file from the victim , it does not verify that it is a valid file path .		others others malware tool sample_function sample_function sample_function others others others others others others others others others others sample_function sample_function others others others others others others others others
Therefore sending the file path “ ..\..\ secret_info.doc ”  will result in writing our file instead to the same directory as the Quasar server code .		others others others others others others sample_name sample_name sample_name sample_name sample_name others others others others others others others others others others others others others others malware tool others others
Quasar server does not even verify that a file was requested from the victim .		malware tool others sample_function sample_function sample_function others others others others sample_function sample_function sample_function sample_function others
Immediately when the File Manager window is opened by the attacker , the Quasar server sends two commands to the RAT : GetDrives and listDirectory ( to populate the list of the victim ’s files in the RAT Server GUI ) .		others others tool tool tool tool others others others others person others others malware tool others others others others others tool others others others others others others others others others others others others others others others others others tool tool tool others others
We can respond to those commands by instead sending two files of our choice to the Quasar server .		others others others others others others others others others others others others others others others others malware tool others
Again , we control the content of the file , the size and the path and filename .		others others others others others others others others others others others others others others others others others others
Quasar is a .NET Framework assembly , loading multiple DLLs upon launch , for example “ dnsapi.dll ” .		malware others others tool tool others others sample_function sample_function sample_function sample_function sample_function others others others others sample_name others others
Quasar server is vulnerable to a simple DLL hijacking attack , by using this technique to replace server DLLs .		malware tool others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
When the attacker restarts the Quasar application , our uploaded “ dnsapi.dll ” will instead be loaded .		others others person others others malware others others others others others sample_name others others others others others others
Through this vector , we could drop our own Quasar client on the attacker ’s server and execute it .		others others others others others others others others others malware tool others others others others others others others others reference_word others
Our Quasar RAT will connect to our own ( secured , of course ) Quasar server , allowing us to control that attacker ’s server with his own RAT .		others malware tool others others others others others others others others others others others malware tool others others others others sample_function sample_function sample_function sample_function sample_function sample_function others others others tool others
We can also replace “ shfolder.dll ” ( and add a DLL export proxy to avoid a crash ) , which is loaded whenever the attacker clicks the builder tab – allowing us to infect the server while it runs , without the need to wait for application restart .		others others others others others sample_name others others others others others others others others others others others others others others others others others others others person others others others others others others others others sample_function sample_function sample_function others others others others others others others others others others others others others
Although Downeks has been publicly examined to some extent , our analysis found several features not previously described .		others malware others others others others others others others others others others others others others others others others others
Earlier Downeks samples were all written in native code .		others malware others others others others others others others others
However , among our Downeks samples , we found new versions apparently written in .NET .		others others others others malware others others others others others others others others others tool others
We observe many behavioral similarities and unique strings across both the native-Downeks versions , and the new .NET Downeks versions .		others others others others others others others others others others others others others others others others malware malware malware malware others
Almost all of the strings and behaviors we describe in this analysis of a .NET version are also present in the native version .		others others others others others others others others others others others others others others reference_word reference_word others others others others others others others others
We observed these samples deployed only against Hebrew-speaking targets .		others others reference_word reference_word others others others target_crowd target_crowd others
Downeks .NET internal name is “ SharpDownloader ” , “ Sharp ” may be a reference to the language it was written in – C# .		malware malware others others others others string others others others string others others others others others others others others others others others others others program_language program_language others
As seen in previous Downeks versions , it uses masquerades with icons , filenames and metadata imitating popular legitimate applications such as VMware workstation and CCleaner , or common file formats such as DOC and PDF .		others others others others malware others others others others tool tool tool others tool others tool tool tool tool tool others others tool tool others tool others others others others others others others tool others tool others
All 3 samples were compiled with the same timestamp .		others others others others others others others others others others
Downeks.NET is obfuscated using “ Yano ” and can be easily de-obfuscated using the de4dot utility .		malware others others others others tool others others others others others others others tool tool tool others
SHA256: 4dcf5bd2c7a5822831d9f22f46bd2369c4c9df17cc99eb29975b5e8ae7e88606 .		others others sha2 others
SHA256: 905f6a62749ca6f0fd33345d6a8b1831d87e9fd1f81a59cd3add82643b367693 .		others others sha2 others
SHA256: c885f09b10feb88d7d176fe1a01ed8b480deb42324d2bb825e96fe1408e2a35f .		others others sha2 others
Downeks is a backdoor with only very basic capabilities .		malware others others others others others others others others others
It communicates with the C2 server using HTTP POST requests .		reference_word others others others protocol tool others protocol sample_function sample_function others
It runs in an infinite loop , in each iteration it requests a command from the C2 , and then it sleeps for a time period it receives in the C2 response ( defaulting to 1 second if no sleep-time sent ) .		reference_word sample_function sample_function sample_function sample_function sample_function others others others others reference_word sub_activity sub_activity sub_activity sub_activity sub_activity protocol others others others reference_word sub_activity sub_activity sub_activity sub_activity sub_activity others others others others protocol others others others others others others others others others others others others
The data that is sent in the POST is serialized with json , which is then is encrypted , and finally encoded in base64 .		others others others others others others others function others others others tool others others others others others others others others others others others others others
The json format is typically { “mth ” :  ” some_method ” , “ data ” :  ” some_encrypted_data ” } .		others tool others others others others others others others others others others others others others others others others others others others others others
The C2 server responds using the same format and serialization/encryption/encoding .		others protocol tool others others sample_function sample_function sample_function others sample_function others
As described in earlier analyses , Downeks ’ main purpose is as a downloader .		others others others others others others malware others others others others others others others others
Unfortunately , we were unable to get any C2 servers to issue download commands to any samples that we tested in our lab .		others others others others others others others others protocol tool others others others others others others others others others others others others others others
The download is initiated upon receiving json with a “ download ” command , which includes the URL of the file to be downloaded .		others sample_function others others others others others others others others others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
Downeks can also be instructed to execute binaries that already exist on the victim machine .		malware others others others sample_function sample_function sample_function sample_function others others others others others others others others
After successful execution , Downeks returns the results to the C2 server .		others others others others malware others others others others others protocol tool others
Downeks also has a self-update capability , if instructed by the C2 .		malware others others others sample_function sample_function others others others others others protocol others
Downeks can be instructed with the “ img ” command to capture the victim screen and transmit it back to the C2 .		malware others others others others tool tool tool tool tool others sample_function sample_function sample_function sample_function others sample_function sample_function sample_function sample_function sample_function protocol others
The parameters “ wth ” and “ qlt ” specify “ width ” and “ quality ” .		others others others string others others others string others others others string others others others string others others
Downeks .NET creates a file in the “ Appdata ” directory , based on certain properties of the machine .		malware malware others others others others others others string others others others others others others others others others others others
During our analysis , Downeks created a file in “ Appdata\Roaming ” containing only “ SD{new line} 0 ” ( “ SD ” possibly for “ SharpDownloader ” ) .		others others others others malware others others others others others string others others others others string string string string string string others others others string others others others others string others others others
Although this file itself is not particularly interesting , the older ( native ) Downeks versions also creates a file in Appdata\Roaming , with identical data .		others others others others others others others others others others others others others others malware others others sample_function sample_function sample_function others tool others others others others others
The filenames across the two variants bear striking similarities .		others others others others others others others others others others
The .NET variant creates “ 1FABFBFF0000065132F71D94 ” , while the native version creates “ 000206511FABFBFF ” .		others tool others others others sha2 others others others others others others others others sha2 others others
We observed the string “ 1FABFBFF0000065132F71D94 ” in memory during debugging of the native variant .		others others others others others sha2 others others others others others others others others others others
This is a pseudo-unique ID for each machine , based on install date taken from the registry , volume serial number , OS version and service pack , Processor architecture , and computer name .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Downeks enumerates any antivirus products installed on the victim machine and transmits the list to the C2 .		malware others others others others others others others others others others others others others others others protocol others
It constructs this list using the WMI query : “SELECT displayName FROM AntivirusProduct ” .		reference_word others others others others others OS_name function others others others function others function others others
Downeks achieves host persistence through either the registry “ run ” key or with a shortcut in the start-up folder .		malware others sample_function sample_function others others others tool tool tool tool tool others others others tool tool tool tool tool others
In another similarity between both variants , Dowenks assesses the victim ’s external IP using an HTTP request to http://www.myexternalip.com/raw .		others others others others others others others malware attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others others tool tool others url_evil url_evil url_evil others
Downeks can be instructed by the C2 to perform a few other commands :  Check if the computer name and user name , or external IP address , is in a provided list and if so , display a message box with a message as defined by the C2 .		malware others others others others others protocol others others others others others others others sub_activity others others others others others others others others others others protocol others others others others others others others others others others others others others others others others others others others others others others protocol others
Kill any running process and attempt to delete the associated executable .		sub_activity sub_activity sub_activity sub_activity others others others sub_activity sub_activity sub_activity sub_activity others
“ Setup ” command – sends various info about the machine with each iteration of the C2 communications loop .		others others others others others sub_activity sub_activity sub_activity others others others others others others others others protocol others others others
Downeks has static encryption keys hardcoded in the code .		malware others others others others others others others others others
Palo Alto Networks customers are protected from Downeks and Quasar used in this attack :  WildFire properly classifies these Downeks and Quasar samples as malicious .		company company company target_crowd others others others malware others malware others others others others others tool others sample_function others malware sample_function malware sample_function sample_function sample_function others
Traps detects and blocks malicious behavior exhibited by new , unknown Quasar samples .		tool sample_function sample_function sample_function sample_function sample_function sample_function others others others others malware others others
C2 servers associated with this activity are blocked through Threat Prevention DNS signatures .		protocol tool sample_function others others others others others others sample_function sample_function protocol sample_function others
AutoFocus customers can monitor this activity using the Downeks and QuasarRAT tags .		tool tool others sample_function sample_function sample_function others others malware others tool others others
downloadtesting.com .		domain others
gameoolines.com .		domain others
onlinesoft.space .		domain others
newphoneapp.com .		domain others
gamestoplay.bid .		domain others
smartsftp.pw .		domain others
3053e1e8df7e525ef98a77190cefce258aea365e2998425ecc8e139230680156 .		sha2 others
f19bc664558177b7269f52edcec74ecdb38ed2ab9e706b68d9cbb3a53c243dec .		sha2 others
0d235478ae9cc87b7b907181ccd151b618d74955716ba2dbc40a74dc1cdfc4aa .		sha2 others
96c1346351a53c865afef5e087a8cbcf8e28d652fbc083a93399a8b94328d456 .		sha2 others
15abd32342e87455b73f1e2ecf9ab10331600eb4eae54e1dfc25ba2f9d8c2e8a .		sha2 others
b66e5af52fd4d802f64788692b3eafe6b5ff61cea09c06a237a96b6cdb90b41a .		sha2 others
