Unraveling the Lamberts Toolkit .		others others threatActor_name others others
To run unsigned code in kernel mode on 64-bit Windows , White Lambert uses an exploit against a signed , legitimate SiSoftware Sandra driver .		others others others others others others others others OS_name OS_name others others others others others others others others others others others tool tool others others
The same method was used before by Turla , ProjectSauron , and Equation 's Grayfish , with other known , legitimate drivers .		others others others others others others others tool tool tool tool tool tool tool tool others others others others others others others others
Pink Lambert is a suite of tools initially discovered on a White Lambert victim .		malware malware others others others others others others others others others malware malware target_crowd others
It includes a beaconing implant , partially based on publicly available source code .		others others others others others others others others others others others others others others
The source code on top of which Pink Lambert 's beaconing implant was created is " A Fully Featured Windows HTTP Wrapper in C++ " .		others others others others others others others malware malware others others others others others others others others others others OS_name others others others program_language others others
Other tools in the Pink Lambert suite include USB stealer modules and a very complex multi-platform orchestrator .		others others others others malware malware others others others others others others others others others others others others
In a second incident , a Pink Lambert orchestrator was found on another White Lambert victim , substantiating the connection between the Pink and White Lamberts .		others others others others others others malware malware others others others others others malware malware target_crowd others others others others others others others others others others others
Gray Lambert is the most recent tool in the Lamberts ' arsenal .		malware malware others others others others others others others reference_word reference_word reference_word others
It is a network-driven backdoor , similar in functionality to White Lambert .		others others others others others others others others others others malware malware others
Unlike White Lambert , which runs in kernel mode , Gray Lambert is a user-mode implant .		others malware malware others others others others others others others malware malware others others others others others
The compilation and coding style of Gray Lambert is similar to the Pink Lambert USB stealers .		others others others others others others malware malware others others others others malware malware others others others
Gray Lambert initially appeared on the computers of victims infected by White Lambert , which could suggest the authors were upgrading White Lambert infections to Gray .		malware malware others others others others others others others others others malware malware others others others others others others others others malware malware others others others others
This migration activity was last observed in October 2016 .		attack_activity attack_activity attack_activity others others others others time time others
Some of the known filenames for Gray Lambert are mwapi32.dll and poolstr.dll 'C it should be pointed though that the filenames used by the Lamberts are generally unique and have never been used twice .		others others others others others others malware malware others sample_name others sample_name sample_name sample_name others others others others others others others others others others others threatActor_name others others others others others others others others others others
Most of the Blue and Green Lambert samples have two C&C servers hardcoded in their configuration block : a hostname and an IP address .		others others others malware malware malware malware others others others protocol protocol protocol others others others others others others others others others others others protocol others others
Using our own pDNS as well as DomainTools IP history , we plotted the times when the C&C servers were active and pointing to the same IP address as the one from the configuration block .		others others others others others others others others protocol others others others others others others others others protocol protocol protocol others others others others others others others others protocol others others others others others others others others others
Another worthwhile analysis method focuses on the set of Blue Lambert samples that have exports .		others others others others others others others others others malware malware others others others others others
Although most compilation timestamps in the PE header appear to have been tampered ( to reflect a 2003-2004 range ) , the authors forgot to alter the timestamps in the export section .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This allowed us to identify not just the activity / compilation timestamps , but also the method used for faking the compilation timestamps in the PE header .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
It seems the algorithm used to tamper with the samples was the following : subtract 0x10 from the highest byte of timestamp ( which amounts to about 8 and half years ) and then randomize the lowest 3 bytes .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This way we conclude that for Blue Lamberts , that original compilation time of samples was in the range of 2012-2015 .		others others others others others others malware malware others others others others others others others others others others others others time others
As it can be seen from the chart above , Green Lambert is the oldest and longest-running in the family , while Gray is the newest .		others others others others others others others others others others malware malware others others others others others others others others others others others others others others others
White , Blue and Pink somehow overlap in deployment , with Blue replacing Green Lambert .		others others others others others others others others others others others others others malware malware others
Black Lambert was seen only briefly and we assume it was " retired " from the arsenal after being discovered by FireEye in 2014 .		malware malware others others others others others others others others others others others others others others others others others others others security_team time time others
The threat group (s ) behind the Lambert toolkits have used a large number of codenames extensively throughout their projects .		others others others others others others others others others others others others others others others others others others others others others others
Some of these codenames are references to old computer games , Star Trek , and cartoons , which is very unusual for high profile APT groups .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
We really enjoyed going through the backstories of these codenames and wanted to provide them below for others to enjoy as well .		others others others others others others others others others others others others others others others others others others others others others others others
For instance , one of the Green Lambert versions has the internal codename " GORDON FLASH " , which can also be read as " FLASH GORDON " .		others others others others others others malware malware others others others others others others others others others others others others others others others others others others others others others
Flash Gordon is the hero of a space opera adventure comic strip created by and originally drawn by Alex Raymond .		others others others others others others others others others others others others others others others others others others others others others
It was first published in 1934 and subsequently turned into a popular film in 1980 .		others others others others time time others others others others others others others time time others
The Lamberts toolkit spans across several years , with most activity occurring in 2013 and 2014 .		others reference_word reference_word others others others others others others others others others time time time time others
Overall , the toolkit includes highly sophisticated malware , which relies on high-level techniques to sniff network traffic , run plugins in memory without touching the disk , and leverages exploits against signed drivers to run unsigned code on 64-bit Windows .		others others reference_word reference_word others others others others others others others others others others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others OS_name OS_name others
To further exemplify the proficiency of the attackers leveraging the Lamberts toolkit , deployment of Black Lambert included a rather sophisticated TTF zero day exploit , CVE-2014-4148 .		others others others others others others others others others others others others others others others malware malware others others others others vulnerability_cve vulnerability_cve vulnerability_cve others others vulnerability_cve others
Taking that into account , we classify the Lamberts as the same level of complexity as Regin , ProjectSauron , Equation and Duqu2 , which makes them one of the most sophisticated cyber espionage toolkits we have ever analysed .		others others others others others others others others others others others others others others others others threatActor_name others threatActor_name others threatActor_name others threatActor_name others others others others others others others others others others others others others others others others others
As usual , defense against attacks such as those from the Lamberts/Longhorn should include a multi-layered approach .		others others others others others others others others others others others others others others others others others others
Kaspersky products include special mitigation strategies against the malware used by this group , as well as the many other APT groups we track .		security_team others others others others others others others others others others others others others others others others others others others others others others others others
We will continue tracking the Lamberts and sharing new findings with our intel report subscribers , as well as with the general public .		others others others others others threatActor_name others others others others others others others others others others others others others others others others others others
If you would like to be the first to hear our news , we suggest you subscribe to our intel reports .		others others others others others others others others others others others others others others others others others others others others others others
Kaspersky Lab products successfully detect and eradicate all the known malware from the Lamberts family .		security_team others others others others others others others others others others others others malware others others
For more information about the Lamberts , please contact : intelreports@kaspersky.com		others others others others others threatActor_name others others others others others others others
