Second Wave of Shamoon 2 Attacks Identified .		others others others malware malware others others others
The kernel driver is the 64-bit version of the commercial RawDisk driver by EldoS Corporation , which is the exact same file as the “ drdisk.sys ” driver extracted from the Disttrack 64-bit payload in the ‘ X509 ’ resource in the first reported Shamoon 2 attack .		others others others others others others others others others others others others others company company others others others others others others others others others others sample_name others others others others others malware others tool others others others others others others others others others others malware malware attack_activity others
The Disttrack payload will use this kernel driver to access the master boot record ( MBR ) , partition tables and files and folders on the system to overwrite them with the same image of the deceased Syrian boy as in the previous Shamoon 2 attack .		others malware tool others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others attack_activity attack_activity attack_activity others
During our analysis , we again observed the wiper setting the system time to a random date between August 1 and August 20 , 2012 .		others others others others others others others others others others others others others others others others others others time time time time time time time others
As mentioned in our previous blog , the reason the wiper sets the system time to this random date in August 2012 is due to a temporary license key needed to use the RawDisk kernel driver .		others others others others others person others others others others others others others others others others others others others others time time others others others others others others others others others others others others others others others
The temporary license key used in this attack is the exact same as the first attack .		others others others others others others reference_word reference_word others others others others others others reference_word reference_word others
Since our original blog , we ’ve successfully decrypted the license key .		others others others others others others others others others others others others others others
The expiration date in the temporary license key is an 8-byte field ( highlighted by the orange box ) that corresponds to Microsoft ’s FILETIME structure , which represents the number of 100-nanosecond intervals since January 1 , 1601 ( UTC ) .		others others others others others others others others others others others others others others others others others others others others others others company others others tool others others others others others others others others others others time time time time others others others others
In the temporary license key used in all of the Shamoon related attacks , the expiration date was set to August 30 , 2012 at 8:34:29 UTC , which is the reason the wiper sets the system time to a random day between August 1 and August 20 , 2012 .		others others others others others others others others others others malware others others others others others others others others others time time time time time time others others others others others others others others others others others others others others others others others time time time time time time time others
Also , we found that the temporary license key was registered to “ binnatova@bsunanotechnology.com ” .		others others others others others others others others others others others others others domain domain domain others others
We are unsure how this email address is involved with Shamoon , as it was likely compromised back in 2012 and used by the actor to obtain the temporary license for RawDisk .		others others others others others others others others others others malware others others others others others others others others time others others others others person others others others others others others others others
We analyzed a second Disttrack payload associated with Shamoon 2 , which suggests that the threat actors targeted a second Saudi Arabian organization in this attack campaign .		others others attack_activity attack_activity malware attack_activity others others malware malware others others others others others person person others target_crowd target_crowd location location target_crowd others reference_word reference_word reference_word others
The actors used the Disttrack payload to spread to other systems on the local network using legitimate credentials .		others person others others malware tool others others others target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd others others others others
The legitimate credentials were specific to the targeted organization and were complex enough to suggest that the threat actors carried out a previous attack to obtain the credentials .		others others others others others others others target_crowd target_crowd others others others others others others others others person person others others others others others others others others others others
Also , the actors hardcoded credentials found in Huawei ’s official documentation for its VDI solutions , suggesting that the threat actors may have had access to appliances hosting the infrastructure .		others others others person others others others others company others others others others others others counter_measure others others others others others person person others others others others others others others others others others
The Disttrack wiper was set to begin overwriting systems on November 29 , 2016 at 1:30 AM , which aligns with the Shamoon actor ’s tactic to maximize its impact by attacking at a time when the targeted organization would have less staff and resources available onsite .		others malware attack_activity others others others others sub_activity sub_activity others time time time time time time time others others others others others malware person others others others others others others others others others others others others others others others others others others others others others others others others others
Palo Alto Networks customers are protected from the Disttrack payload used in this attack : WildFire properly classifies Disttrack samples as malicious .		security_team security_team security_team person others others others others malware attack_activity others others others others others counter_measure others others malware others others others others
Threat protection AV signature of Virus/Win32.WGeneric.ktoto detects the new payload .		others others others others others others others others others tool others
AutoFocus customers can monitor Disttrack activity using the Disttrack tag .		person person others others malware attack_activity others others tool tool others
Shamoon 2 ：010d4517c81bcdc438cb36fdf612274498d08db19bba174462ecbede7d9ce6bb ( 64-bit Disttrack ) .		malware malware others others reference_word malware others others
Shamoon 2 ：efd2f4c3fe4e9f2c9ac680a9c670cca378cef6b8776f2362ed278317bfb1fca8 ( Communication ) .		malware malware others others reference_word others others
Shamoon 2 ：113525c6bea55fa2a2c6cf406184092d743f9d099535923a12cdd9b9192009c4 ( Wiper ) .		malware malware others others reference_word others others
Shamoon 2 ：5a826b4fa10891cf63aae832fc645ce680a483b915c608ca26cedbb173b1b80a ( vdsk911.sys ) .		malware malware others others sample_name others others
Shamoon 2 ：ntertmgr32.exe .		malware malware others others
Shamoon 2 ：ntertmgr64.exe .		malware malware others others
Shamoon 2 ：vdsk911.sys .		malware malware others others
Shamoon 2 ：dcT21x400i.pnf .		malware malware others others
Shamoon 2 ：vsfnp7_6.pnf .		malware malware others others
Shamoon 2 ： caiaw00e.exe .		malware malware others sample_name others
Shamoon 2 ：sbuvideo.exe .		malware malware others others
Shamoon 2 ：caiaw00i.exe .		malware malware others others
Shamoon 2 ：olvume.exe .		malware malware others others
Shamoon 2 ：usinwb2.exe .		malware malware others others
Shamoon 2 ：briaw005.exe .		malware malware others others
Shamoon 2 ：fpwwlwf.exe .		malware malware others others
Shamoon 2 ：epiaw003.exe .		malware malware others others
Shamoon 2 ：briaw002.exe .		malware malware others others
Shamoon 2 ：olvsnap.exe .		malware malware others others
Shamoon 2 ：dmwaudio.exe .		malware malware others others
Shamoon 2 ：briaw006.exe .		malware malware others others
Shamoon 2 ：miWApRpl.exe .		malware malware others others
Shamoon 2 ：caiaw00b.exe .		malware malware others others
Shamoon 2 ：lxiaw003.exe .		malware malware others others
Shamoon 2 ：pdwmtphw.exe .		malware malware others others
Shamoon 2 ：caiaw00a.exe .		malware malware others others
Shamoon 2 ：sdwprint.exe .		malware malware others others
Shamoon 2 ：caiaw00d.exe .		malware malware others others
Shamoon 2 ：kyiaw002.exe .		malware malware others others
Shamoon 2 ：sdwscdrv.exe .		malware malware others others
Shamoon 2 ：briaw00a.exe .		malware malware others others
Shamoon 2 ：saiaw002.exe .		malware malware others others
Shamoon 2 ：_mvscdsc.exe .		malware malware others others
Shamoon 2 ：hdvmp32.exe .		malware malware others others
Shamoon 2 ：_s3wcap32.exe .		malware malware others others
Shamoon 2 ：hpiaw001.exe .		malware malware others others
Shamoon 2 ：lxiaw004.exe .		malware malware others others
Shamoon 2 ：cniaw001.exe .		malware malware others others
Shamoon 2 ：lxiaw006.exe .		malware malware others others
Shamoon 2 ：caiaw00f.exe .		malware malware others others
Shamoon 2 ：newtvsc.exe .		malware malware others others
