"Tick" Group Continues Attacks .		others threatActor_name others others others others others
Tick was spotted last year , but they are actively and silently attacking various organizations in South Korea and Japan for a number of years .		threatActor_name others others others others others others others others others others others others target_crowd target_crowd others location location others location others others others others others others
While some of the group ’s tools , tactics , and procedures ( TTPs ) have been covered within this article , it is likely there is much that still remains uncovered .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Daserf : 04080fbab754dbf0c7529f8bbe661afef9c2cba74e3797428538ed5c243d705a .		malware others sha2 others
Daserf : f8458a0711653071bf59a3153293771a6fb5d1de9af7ea814de58f473cba9d06 .		malware others sha2 others
Daserf : e8edde4519763bb6669ba99e33b4803a7655805b8c3475b49af0a49913577e51 .		malware others sha2 others
Daserf : 21111136d523970e27833dd2db15d7c50803d8f6f4f377d4d9602ba9fbd355cd .		malware others sha2 others
Daserf : 9c7a34390e92d4551c26a3feb5b181757b3309995acd1f92e0f63f888aa89423 .		malware others sha2 others
Invader : 0df20ccd074b722d5fe1358b329c7bdebcd7e3902a1ca4ca8d5a98cc5ce4c287 .		malware others sha2 others
Invader : e9574627349aeb7dd7f5b9f9c5ede7faa06511d7fdf98804526ca1b2e7ce127e .		malware others sha2 others
Invader : 57e1d3122e6dc88d9eb2989f081de88a0e6864e767281d509ff58834928895fb .		malware others sha2 others
9002:933d66b43b3ce9a572ee3127b255b4baf69d6fdd7cb24da609b52ee277baa76e .		others others
9002:2bec20540d200758a223a7e8f7b2f98cd4949e106c1907d3f194216208c5b2fe .		others others
9002:055fe8002de293401852310ae76cb730c570f2037c3c832a52a79b70e2cb7831 .		others others
Minzen : 797d9c00022eaa2f86ddc9374f60d7ad92128ca07204b3e2fe791c08da9ce2b1 .		malware others sha2 others
Minzen : 9374040a9e2f47f7037edaac19f21ff1ef6a999ff98c306504f89a37196074a2 .		malware others sha2 others
Minzen : 26727d139b593486237b975e7bdf93a8148c52d5fb48d5fe540a634a16a6ba82 .		malware others sha2 others
NamelessHdoor : dfc8a6da93481e9dab767c8b42e2ffbcd08fb813123c91b723a6e6d70196636f .		malware others sha2 others
Gh0stRAt Downloader : ce47e7827da145823a6f2b755975d1d2f5eda045b4c542c9b9d05544f3a9b974 .		malware malware others sha2 others
Gh0stRAt Downloader : e34f4a9c598ad3bb243cb39969fb9509427ff9c08e63e8811ad26b72af046f0c .		malware malware others sha2 others
Custom Gh0st : 8e5a0a5f733f62712b840e7f5051a2bd68508ea207e582a190c8947a06e26f40 .		malware malware others sha2 others
Datper : 7d70d659c421b50604ce3e0a1bf423ab7e54b9df361360933bac3bb852a31849 .		malware others sha2 others
HomamDownloader : a624d2cd6dee3b6150df3ca61ee0f992e2d6b08b3107f5b00f8bf8bcfe07ebe7 .		malware others sha2 others
C2 : lywjrea.gmarketshop.net .		threatActor_name others domain_evil others
C2 : krjregh.sacreeflame.com .		threatActor_name others domain_evil others
C2 : psfir.sacreeflame.com .		threatActor_name others domain_evil others
C2 : lywja.healthsvsolu.com .		threatActor_name others domain_evil others
C2 : phot.healthsvsolu.com .		threatActor_name others domain_evil others
C2 : blog.softfix.co.kr .		threatActor_name others domain_evil others
C2 : news.softfix.co.kr .		threatActor_name others domain_evil others
C2 : www.gokickes.com .		threatActor_name others domain_evil others
C2 : log.gokickes.com .		threatActor_name others domain_evil others
C2 : sansei.jpn.com .		threatActor_name others domain_evil others
