BACKDOOR SPECIALLY COMPILED FOR YOU .		others others others others others others
The DATA_TOKEN value is hardcoded in the source code and probably serves to check the integrity of the message during decryption by the C&C server .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The key used for RC4-encryption is the concatenation of a hardcoded 50-byte value and a pseudo-randomly generated 4-byte value , named register and appended to the encrypted data .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
AgentKernel::run() then enters in an infinite loop relaying communications between the modules and the C&C server :  It fetches ModuleMsg objects from the modules , which are then transmitted to the C&C server by the process previously described for the initial report .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
For example , the RemoteKeylogger module regularly sends a message containing the captured keystrokes to the C&C server .		others others others others others others others others others others others others others others others others others others others others others
It retrieves CryptRawPacket objects sent by the C&C server from a C++ vector dubbed _get_ questions and filled by the ChannelController::getDataFromServer() method .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Those objects are decrypted and deserialized into ModuleMsg objects , which are then transmitted to the intended module .		others others others others others others others others others others others others others others others others others others others
For example , the C&C server can send a message with the command START for the RemoteKeylogger module , which then begins its keylogging activity .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
AgentKernel accepted commands :  GET_AGENT_INFO 1 Reports IDs and settings of modules and channels to the C&C server .		others others others others others others others others others others others others others others others others others others others others others
PING_REQUEST 2 Reports IDs of modules to the C&C server .		others others others others others others others others others others others others others
CHANGE_PING_TIMEOUT 31 Sets the parameter defining the amount of time to wait before initially contacting the C&C server to the given value .		others others others others others others others others others others others others others others others others others others others others others others others others others
CHANGE_STEP_TIME 32 Sets the parameter defining the amount of time to wait between two attempts to reach the C&C server to the given value .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
SET_PARAMETERS 33 Saves the two previous parameters current values into the LocalStorage SQLite3 database , such that those values will be re-used at next startup .		others others others others others others others others others others others others others others others others others others others others others others others others others others
CHANGE_CHANNEL 41 Changes the currently selected channel to the channel identified by the given ID ( see next section for details on the channels ) .		others others others others others others others others others others others others others others others others others others others others others others others others others others
CHANNEL_SET_PARAMETERS 42 Changes the settings of the channel identified by the given ID .		others others others others others others others others others others others others others others
For example , it may be used to change the C&C server address .		others others others others others others others others others others others others others others others others
LOAD_NEW_MODULE 51 Instantiates an IAgentModule object from the given data , and registers this new module with the kernel .		others others others others others others others others others others others others others others others others others others others others
UNLOAD_MODULE 52 Unloads the module identified by the given ID .		others others others others others others others others others others others
LOAD_NEW_CHANNEL 53 Instantiates an IAgentChannel object from the given data , and registers this new channel with the kernel .		others others others others others others others others others others others others others others others others others others others others
UNLOAD_CHANNEL 54 Unloads the channel identified by the given ID .		others others others others others others others others others others others
UNINSTALL_XAGENT 61 Kills the Xagent process ( no uninstallation procedure implemented ) .		others others others others others others others others others others others others others
Xagent version 2 Linux channels :  HttpChannel 0x2102 HTTP WinHttp .		others others others others others others others others others others others
MailChannel 0x2302 SMTP to send emails and POP3 to receive emails ( over TLS ) AgentExternSMTPChannel ( only to send emails ) .		others others others others others others others others others others others others others others others others others others others others others others others
Each channel is identified by a 2-byte ID similar to the previously described module ID .		others others others others others others others others others others others others others others others others
There exists an implementation for the HTTP-based channel on Windows , while we only found a channel to send emails , without the ability to receive emails , on this platform .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
By implementing the IAgentChannel abstract class , the channels provide a getRawPacket() method to fetch a message from the C&C server , and a sendRawPacket() method to send a message to the C&C server .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
As previously explained , those messages are CryptRawPacket objects .		others others others others others others others others others others
We describe in this section the implementations of these methods for the two Linux channels .		others others others others others others others others others others others others others others others others
