MuddyWater expands operations .		threatActor_name others others others
Malicious obfuscated VBA code is executed when the macro is first enabled .		others others program_language others others others others others others others others others others
In some cases , the malicious macro is also executed when the user activates a fake text box .		others others others others others others others others others others others others others others others others others others others
The macro payload , which is Base64 encoded , does the following :  Drops two or three files into the “ ProgramData ”  folder .		others others others others others others encryption_algo others others others others others others others others others others others others others others string others others others
The dropped files are either in the root of the “ ProgramData ”  folder or in a subdirectory .		others others others others others others others others others others others string others others others others others others others
The file names may vary from one version of the malware to another .		others others others others others others others others others others others others others others
Adds a registry entry in the current user ’s RUN key ( HKCU ) for later execution when the user next logs in .		others others others others others others others others others others string others others string others others others others others others others others others others others
In some cases , the macro spawns the malicious payload/process instantly without waiting for the next time the user logs in .		others others others others others others others others others others others others others others others others others others others others others others
The registry keys and executables may vary from one version of the malware to another .		others others others others others others others others others others others others others others others others
The next time the user logs in , the dropped payload will be executed .		others others others others others others others others others others others others others others others
The executables have been chosen specifically for bypassing whitelisting solutions since they are all from Microsoft and very likely whitelisted .		others others others others others others others others others others others others others others others company others others others others others
Regardless of the file extensions , the files dropped by the macro are EITHER INF , SCT and text files OR VBS and text files .		others others others others others others others others others others others others others string string others string others others others others program_language others others others others
INF is launched via the advpack.dll “ LaunchINFSection ”  function .		string others others others others sample_name others string others others others
INF registers the SCT file ( scriptlet file ) via scrobj.dll ( Microsoft Scriptlet library ) .		string others others string others others reference_word others others others sample_name others tool string string others others
Via WMI ( winmgmt ) , the JavaScript or VBscript code in the SCT file spawns a PowerShell one-liner which finally consumes the text file .		others tool others string others others others program_language others program_language others others others string others others others tool others others others others others others others others
The VBS file decodes itself and calls mshta.exe , passing on one line of VBScript code to it , which in turn spawns a PowerShell one-liner which finally consumes the text file ( usually Base64-encoded text ) .		others program_language others others others others others sample_name others others others others others others program_language others others others others others others others others others tool others others others others others others others others others others others others others
When PowerShell is invoked whether via WMI , wscript.exe , or mshta.exe , it executes a one-liner PowerShell code ( as outlined above ) that reads the encoded text file dropped in ProgramData and then decodes it .		others tool others others others others tool others sample_name others others sample_name others others others others others tool others others others others others others others others others others others others others others string others others others others others
The resulting code has multiple layers of obfuscation .		others others others others others others others others others
The first thing the PowerShell code does is to disable office “ Macro Warnings ”  and “ Protected View ”  .		others others others others tool others others others others others others others tool tool others others others tool tool others others
This is to ensure future attacks don’t require user interaction .		others others others others others others others others others others others others others
It also allows macro code to access internal VBA objects for stealthier macro code execution in future attacks .		reference_word others others others others others others others program_language others others others others others others others others others others
Next , it checks the running processes against a list of hard-coded process names ;  if any are found , the machine is forcefully rebooted .		others others reference_word others others others others others others others others others others others others others others others others others others others others others others others
The names are linked to various tools used by malware researchers .		others others others others others others others others others others others others
In some cases , it calculates the checksum of each running process name , and if it matches any hard-coded checksums , it causes a BSOD via the ntdll.dll “ NtRaiseHardError ”  function .		others others others others reference_word others others others others others others others others others others others others others others others others others reference_word others others others others others sample_name others function others others others
A URL is selected at random from a long list of embedded URLs held in an array named $dragon_middle .		others string others others others others others others others others others others others others others others others others others string others
The selected URL is subsequently used for communication with the CnC server .		others others string others others others others others others others tool others others
If it can’t send data to the chosen CnC URL , it tries to obtain another random URL from $middle_dragon , then sleeps from one to 30 seconds and loops again .		others others others others others others others others others others tool string others others others others others others others string others others string others others others others others others others others others others others others
The code then tries to obtain the victim ’s public IP via “ https://api.ipify.org/ ”  .		others reference_word others others others others others others others others others protocol others others url_evil url_evil url_evil others others
The public IP is then POSTed along with OS Version , Internal IP , Machine Name , Domain Name , UserName after being encrypted to the previously chosen URL to register a new victim .		others others protocol others others others others others OS_name others others others others others others others others others others others others others others others others others others others string others others others others others others
This allows the attackers to accept or reject victims depending on their IPs , countries , geolocations , target enterprises , etc .		others others others person others others others others others others others others others others others others others others others others others others others
Depending on the response from the attacker ’s CnC , the victim is assigned an ID $sysid .		others others others others others others others others others tool others others others others others others string others others others
This ID is sent to the CnC with each request for commands to execute .		others string others others others others tool others others others others others others others others
“ upload ”  , “ screenshot ”  , “ Excel ”  , “ Outlook ”  , “ risk ”  , “ reboot ”  , “ shutdown ”  , “ clean ”  .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
These commands vary from one version to another .		others others others others others others others others others
The “ screenshot ”  command takes a screenshot that is saved as a.PNG file in “ ProgramData ”  .		others others others others others others others others others others others others others others others others string others others
The “ Excel ”  command receives another stage of the PowerShell code , saves it in “ c:\programdata\a.ps1 ”  and then asks Excel to execute this PowerShell script via DDE .		others others tool others others others others others others others tool others others others others others others others others others others others others others tool others others others tool others others string others
The “ Outlook ”  command receives another stage of the PowerShell code , saves it in “ c:\programdata\a.ps1 ”  and then asks Outlook via COM , via MSHTA.exe , to execute it .		others others tool others others others others others others others tool others others others others others others others others others others others others others tool others string others others sample_name others others others others others
The “ risk ”  command receives another stage of the PowerShell code , saves it in “ c:\programdata\a.ps1 ”  and then asks Explorer.exe via COM interaction to execute it .		others others others others others others others others others others tool others others others others others others others others others others others others others sample_name others string others others others others others
The “ upload ”  command downloads files from the CnC and saves them locally in “ C:\ProgramData ”  .		others others others others others others others others others tool others others others others others others others others others others others
The “ clean ”  command destroys the victim ’s disk drives C , D , E , F and then reboots .		others others others others others others others others others others others others others others others others others others others others others others others
The “ reboot ”  and “ shutdown ”  commands immediately reboot and shut down the victim ’s machine .		others others others others others others others others others others others others others others others others others others others others
In one version of the malware , the code checks if the “ ProgramData ”  folder has folders or files with the keywords “ Kasper ”  , “ Panda ”  , or “ ESET ”  .		others others others others others others others others others others others others others string others others others others others others others others others others string others others others string others others others others company others others
Most victims of MuddyWater were found in Jordan , Turkey , Iraq , Pakistan , Saudi Arabia , Afghanistan and Azerbaijan .		others target_crowd others threatActor_name others others others location others location others location others location others location location others location others location others
Other victims were also recorded in Russia , Iran , Bahrain , Austria and Mali .		others target_crowd others others others others location others location others location others location others location others
The malicious decoy documents used in the attacks suggest they are geopolitically motivated , targeting sensitive personnel and organizations .		others others others others others others others others others others others others others others others others others others others others
The deobfuscated PowerShell code used by the MuddyWater group resembles previously seen PowerShell scripts that most likely served as prototypes .		others others tool others others others others threatActor_name others others others others tool others others others others others others others others
Multiple documents used in the attacks also contain embedded paths from their authors ’ machines .		others others others others others others others others others others others others others others others others
These paths are embedded by Office under various circumstances , for instance , when somebody adds a binary object ( an OLE control , e.g .		others others others others others tool others others others others others others others others others others others others others others others string others others others others
text box or command button ) into a Word document .		others others others others others others others others tool others others
The paths discovered are :   C:\Users\leo\AppData\Local\Temp\Word8.0\MSForms.exd .		others others others others others others others others others
C:\Users\poopak\AppData\Local\Temp\Word8.0\MSForms.exd .		others others others others
C:\Users\Vendetta\AppData\Local\Temp\Word8.0\MSForms.exd .		others others others others
C:\Users\Turk\AppData\Local\Temp\Word8.0\MSForms.exd .		others others others others
Leo , Poopak , Vendetta and Turk are the usernames of those creating the documents or the templates on which they are based .		others others others others others others others others others others others others others others others others others others others others others others others others
Turk could point to a person of Turkish origin .		others others others others others others others others others others
Poopak is a Persian girl ’s name or might suggest the authors are not entirely happy with “ Pak ”  , which could be short for Pakistan .		others others others others others others others others others others others others others others others others others others others others others others others others others others others location others
Leo could be one of the attacker ’s names .		others others others others others others others others others others others
We also don’t rule out the possibility of false flags , with the attackers using random usernames to confuse researchers .		others others others others others others others others others others others others others others others others others others others others others others others
In multiple instances , we have also found Chinese text inside the samples , possibly indicating the reuse of code by the attackers .		others others others others others others others others others others others others others others others others others others others others others others others others
Chinese text found in PowerShell code in multiple samples :  Unable to connect to the URL , please wait for the dragon… , Unable to access local computer register , Task Scheduler access denied .		others others others others tool others others others others others others others others others others string others others others others others others others others others others others others others others others others others others others
We have also noticed that for some samples , e.g .		others others others others others others others others others others others
5a42a712e3b3cfa1db32d9e3d832f8f1 , the PowerShell code had only three CnC URLs , which leads us to believe that most of the CnC URLs in $dragon_middle found in other samples could actually be ‘ noise ’  to distract researchers or trigger false positives .		md5 others others tool others others others others tool others others others others others others others others others others others tool others others others string others others others others others others others others others others others others others others others others others others
http://www.cankayasrc.com/style/js/main.php .		url_evil url_evil url_evil others
http://ektamservis.com/includes/main.php .		url_evil url_evil url_evil others
http://gtme.ae/font-awesome/css/main.php .		url_evil url_evil url_evil others
Effective protection from targeted attacks focuses on advanced detective , preventive and investigative capabilities via solutions and training , allowing an organization to control any activities on their network or suspicious files on user systems .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The best way to prevent attackers from finding and leveraging security holes , is to eliminate the holes altogether , including those related to improper system configurations or errors in proprietary applications .		others others others others others others others others others others others others others others others counter_measure counter_measure counter_measure counter_measure others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
Organizations are also recommended to implement the following steps for an enhanced level of protection at their premises .		others others others others others others others others others others others others others others others others others others others
Use PowerShell Constrained Language Mode as it uses IEX , Add-Type , and New-Object .		others tool others others others others others others tool others tool others others tool others
Lock PowerShell Execution Policy , must be set to “ AllSigned ”  via GPO .		others tool others others others others others others others others others others others string others
A whitelisting solution to prevent certain process child-parent execution hierarchies .		others others others others others others others others others others others
The MuddyWaters group has carried out a large number of attacks and demonstrated advanced social engineering , in addition to the active development of attacks , infrastructure and the use of new methods and techniques .		others threatActor_name others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
The attackers are actively improving their toolkit in an effort to minimize their exposure to security products and services .		others person others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
Kaspersky Lab expects these types of attacks to intensify in the near future .		security_team security_team others others others others others others others others others others others others
In order to protect your company from malware , Kaspersky Lab researchers recommend implementing the following measures :  Educate generic staff to be able to distinguish malicious behavior like phishing links .		others others others others others others others others others security_team security_team others others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
Educate information security staff to have full configuration , investigative and hunting abilities .		sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
Use a proven corporate-grade security solution in combination with anti-targeted attack solutions capable of detecting attacks by analyzing network anomalies .		sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
Provide security staff with access to the latest threat intelligence data , which will arm them with helpful tools for targeted attack prevention and discovery , such as indicators of compromise and YARA rules .		sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity tool sub_activity others
Make sure enterprise-grade patch management processes are well established and executed .		sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
High-profile organizations should have elevated levels of cybersecurity , attacks against them are inevitable and are unlikely to ever cease .		others others others others others others others others others others others others others others others others others others others others others
In the advanced stages of this research , we were able not only to observe additional files and tools from the attackers ’ arsenal but also some OPSEC mistakes made by the attackers .		others others others others others others others others others others others others others others others others others others others others others others others others others others others string others others others others others others
Further details about the attackers ’ arsenal , additional indicators of compromise , YARA rules and attribution information is available to customers of Kaspersky Intelligence Reporting .		others others others others others others others others others others others others others tool others others others others others others others others others others others others others
Contact :  intelreports@kaspersky.com .		others others others others others others
MuddyWater :  08acd1149b09bf6455c553f512b51085 .		threatActor_name others md5 others
MuddyWater :  a9ec30226c83ba6d7abb8d2011cdae14 .		threatActor_name others md5 others
MuddyWater :  E5683fb480353c0dec333a7573710748 .		threatActor_name others md5 others
MuddyWater :  159238b473f80272fdcd0a8ddf336a91 .		threatActor_name others md5 others
MuddyWater :  16ac1a2c1e1c3b49e1a3a48fb71cc74f .		threatActor_name others md5 others
MuddyWater :  1b086ab28e3d6f73c6605f9ae087ad4a .		threatActor_name others md5 others
MuddyWater :  23c82e8c028af5c64cbe37314732ec19 .		threatActor_name others md5 others
MuddyWater :  24e1bd221ba3813ed7b6056136237587 .		threatActor_name others md5 others
MuddyWater :  2e82e242cb0684b98a8f6f2c0e8a12f3 .		threatActor_name others md5 others
MuddyWater :  37f7e6e5f073508e1ee552ebea5d200e .		threatActor_name others md5 others
MuddyWater :  3bb14adb551663fd2328d59f653ba757 .		threatActor_name others md5 others
MuddyWater :  3c2a0d6d0ecf06f1be9ad411d06f7ba8 .		threatActor_name others md5 others
MuddyWater :  4c5a5c236c9f4480b3d725f297673fad .		threatActor_name others md5 others
MuddyWater :  4f873578956d2790101443f24e4bd4d3 .		threatActor_name others md5 others
MuddyWater :  5466c8a099d1d30096775b1f4357d3cf .		threatActor_name others md5 others
MuddyWater :  59502e209aedf80e170e653306ca1553 .		threatActor_name others md5 others
MuddyWater :  5a42a712e3b3cfa1db32d9e3d832f8f1 .		threatActor_name others md5 others
MuddyWater :  5bd61a94e7698574eaf82ef277316463 .		threatActor_name others md5 others
MuddyWater :  5de97ae178888f2dd222bb8a66060ac2 .		threatActor_name others md5 others
MuddyWater :  665947cf7037a6772687b69279753cdf .		threatActor_name others md5 others
MuddyWater :  7a2ff07283ddc69d9f34cfa0d3c936d4 .		threatActor_name others md5 others
MuddyWater :  7beb94f602e97785370fec2d059d54a5 .		threatActor_name others md5 others
MuddyWater :  801f34abbf90ac2b4fb4b6289830cd16 .		threatActor_name others md5 others
MuddyWater :  864d6321be50f29e7a7a4bfab746245a .		threatActor_name others md5 others
MuddyWater :  8a36d91ca331f62642dbcafc2ea1b1ab .		threatActor_name others md5 others
MuddyWater :  9486593e4fb5a4d440093d54a3519187 .		threatActor_name others md5 others
MuddyWater :  94edf251b5fe7cc19488b5f0c3c3e359 .		threatActor_name others md5 others
MuddyWater :  %SystemDrive%\ProgramData\EventManager.dll .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\EventManager.logs .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\WindowsDefenderService.ini .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\Defender.sct .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\DefenderService.inf .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\WindowsDefender.ini .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\ZIPSDK\InstallConfNT.vbs .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\ZIPSDK\ProjectConfManagerNT.ini .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\WindowsDefenderTask.ini .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\WindowsDefenderTask.txt .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\WindowsDefenderTask.xml .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\DefenderNT\ConfigRegister.vbs .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\DefenderNT\SetupConf.ini .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\ASDKiMalwareSDK\ProjectConfSDK.vbs .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\ASDKiMalwareSDK\SetupConfSDK.ini .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\FirefoxSDK\ConfigRegisterSDK.ini .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\FirefoxSDK\ConfigRegisterSDK.vbs .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\OneDrive.dll .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\OneDrive.html .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\OneDrive.ini .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\WindowsNT\WindowsNT.ini .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\WindowsNT\WindowsNT.vbs .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\SYSTEM32SDK\ConfManagerNT.vbs .		threatActor_name others others others others others others
MuddyWater :  %SystemDrive%\ProgramData\SYSTEM32SDK\ProjectConfManagerNT.ini .		threatActor_name others others others others others others
MuddyWater :  %windir%\System32\Tasks\Microsoft\WindowsDefenderUpdater .		threatActor_name others others others others others others
MuddyWater :  %windir%\System32\Tasks\Microsoft\MicrosoftOneDrive .		threatActor_name others others others others others others
MuddyWater :  %windir%\System32\Tasks\Microsoft\WindowsDifenderUpdate .		threatActor_name others others others others others others
MuddyWater :  %windir%\System32\Tasks\Microsoft\WindowsSystem32SDK .		threatActor_name others others others others others others
MuddyWater :  %windir%\System32\Tasks\Microsoft\WindowsDefenderSDK .		threatActor_name others others others others others others
MuddyWater :  %windir%\System32\Tasks\Microsoft\WindowsMalwareDefenderSDK .		threatActor_name others others others others others others
MuddyWater :  %windir%\System32\Tasks\Microsoft\WindowsMalwareByteSDK .		threatActor_name others others others others others others
MuddyWater :  http://www.cankayasrc.com/style/js/main.php .		threatActor_name others url_evil url_evil url_evil others
MuddyWater :  http://ektamservis.com/includes/main.php .		threatActor_name others url_evil url_evil url_evil others
MuddyWater :  http://gtme.ae/font-awesome/css/main.php .		threatActor_name others url_evil url_evil url_evil others
MuddyWater :  https://www.adfg.ae/wp-includes/widgets/main.php .		threatActor_name others url_evil url_evil url_evil others
MuddyWater :  http://adibf.ae/wp-includes/js/main.php .		threatActor_name others url_evil url_evil url_evil others
MuddyWater :  http://hubinasia.com/wp-includes/widgets/main.php .		threatActor_name others url_evil url_evil url_evil others
MuddyWater :  https://benangin.com/wp-includes/widgets/main.php .		threatActor_name others url_evil url_evil url_evil others
MuddyWater :  104.237.233.60 .		threatActor_name others IP_evil others
MuddyWater :  104.237.255.212 .		threatActor_name others IP_evil others
MuddyWater :  104.237.233.40 .		threatActor_name others IP_evil others
MuddyWater :  5.9.0.155 .		threatActor_name others IP_evil others
