GRIZZLY STEPPE – Russian Malicious Cyber Activity .		attack_activity attack_activity others others others others others others
DHS encourages network administrators to implement the recommendations below , which can prevent as many as 85 percent of targeted cyber-attacks .		government others person person others others others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
These strategies are common sense to many , but DHS continues to see intrusions because organizations fail to use these basic measures .		others others others others others others others others others government others others sub_activity sub_activity others others others others others others others others others
Patch applications and operating systems – Vulnerable applications and operating systems are the targets of most attacks .		sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others others
Ensuring these are patched with the latest updates greatly reduces the number of exploitable entry points available to an attacker .		others reference_word others others others others others others others others others others others tool tool tool others others others person others
Use best practices when updating software and patches by only downloading updates from authenticated vendor sites .		others others others others others others others tool others others others others others tool tool tool others
Application whitelisting – Whitelisting is one of the best security strategies because it allows only specified programs to run while blocking all others , including malicious software .		tool tool others tool others others others others others others tool others reference_word others others sample_function sample_function sample_function sample_function others sample_function sample_function sample_function others others others others others
Restrict administrative privileges – Threat actors are increasingly focused on gaining control of legitimate credentials , especially those associated with highly privileged accounts .		sub_activity sub_activity sub_activity others person person others others others others sub_activity sub_activity sub_activity sub_activity sub_activity others others reference_word others others others others others others
Reduce privileges to only those needed for a user's duties .		sub_activity sub_activity others others others others others others person others others others
Separate administrators into privilege tiers with limited access to other tiers .		others person others others others others others others others others others others
Network Segmentation and Segregation into Security Zones – Segment networks into logical enclaves and restrict host-to-host communications paths .		sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others
This helps protect sensitive information and critical services and limits damage from network perimeter breaches .		reference_word others sample_function sample_function sample_function sample_function sample_function sample_function others sample_function sample_function others others others others others
Input validation – Input validation is a method of sanitizing untrusted user input provided by users of a web application , and may prevent many types of web application security flaws , such as SQLi , XSS , and command injection .		sub_activity sub_activity others others others others others others others others others others others others others person others others tool tool others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others vul_aliases others vul_aliases others others sub_activity sub_activity others
File Reputation – Tune Anti-Virus file reputation systems to the most aggressive setting possible ; some products can limit execution to only the highest reputation files , stopping a wide range of untrustworthy code from gaining control .		others others others sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others others others tool others sample_function sample_function others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others
Understanding firewalls – When anyone or anything can access your network at any time , your network is more susceptible to being attacked .		sub_activity sub_activity others others others others others others others others others others others others others others others others others others others others others others
Firewalls can be configured to block data from certain locations ( IP whitelisting ) or applications while allowing relevant and necessary data through .		tool others others others others sample_function sample_function others others others others tool tool others others tool others sample_function sample_function sample_function sample_function sample_function sample_function others
Implement your security incident response and business continuity plan .		sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
It may take time for your organization's IT professionals to isolate and remove threats to your systems and restore normal operations .		others others others others others others others others tool person others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity others
Meanwhile , you should take steps to maintain your organization's essential functions according to your business continuity plan .		others others others others others others others others others others others others others others others others others others others others
Organizations should maintain and regularly test backup plans , disaster recovery plans , and business continuity procedures .		industry others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity others others sub_activity sub_activity sub_activity others
Contact DHS or law enforcement immediately .		sub_activity government sub_activity sub_activity sub_activity others others
We encourage you to contact DHS NCCIC ( NCCICCustomerService@hq.dhs.gov or 888-282-0870 ) , the FBI through a local field office or the FBI's Cyber Division ( CyWatch@ic.fbi.gov or 855-292-3937 ) to report an intrusion and to request incident response resources or technical assistance .		others others others others others government government others others others others others others others others others government others others others others others others others industry industry industry industry others others others others others others others others others others others others others others others others others others others others others
Routinely evaluate known and published vulnerabilities , perform software updates and technology refreshes periodically , and audit external-facing systems for known Web application vulnerabilities .		others sub_activity sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others sub_activity sub_activity sub_activity others others others others others others
Take steps to harden both Web applications and the servers hosting them to reduce the risk of network intrusion via this vector .		others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others reference_word others sample_function sample_function sample_function sample_function sample_function sample_function others others others others
Use and configure available firewalls to block attacks .		others others others others tool others sample_function sample_function others
Take steps to further secure Windows systems such as installing and configuring Microsoft's Enhanced Mitigation Experience Toolkit ( EMET ) and Microsoft AppLocker .		others others others others sub_activity OS_name sub_activity others others sub_activity sub_activity sub_activity company others tool tool tool tool others tool others others tool tool others
Monitor and remove any unauthorized code present in any www directories .		sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others
Disable , discontinue , or disallow the use of Internet Control Message Protocol ( ICMP ) and Simple Network Management Protocol ( SNMP ) and response to these protocols as much as possible .		sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others protocol protocol protocol protocol others protocol others others protocol protocol protocol protocol others protocol others others others others reference_word others others others others others others
Remove non-required HTTP verbs from Web servers as typical Web servers and applications only require GET , POST , and HEAD .		sub_activity sub_activity protocol sub_activity others tool tool others others tool tool tool tool others others tool others tool others others tool others
Where possible , minimize server fingerprinting by configuring Web servers to avoid responding with banners identifying the server software and version number .		others others others others others others others others others others others others others others others others others others others others others others others
Secure both the operating system and the application .		sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
Update and patch production servers regularly .		sub_activity sub_activity sub_activity sub_activity sub_activity others others
Disable potentially harmful SQL-stored procedure calls .		sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
Sanitize and validate input to ensure that it is properly typed and does not contain escaped code .		sub_activity sub_activity sub_activity sub_activity others sample_function others others others others others others others others others others others others
Consider using type-safe stored procedures and prepared statements .		sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
Perform regular audits of transaction logs for suspicious activity .		sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
Perform penetration testing against Web services .		sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
Ensure error messages are generic and do not expose too much information .		sub_activity sub_activity sub_activity sub_activity sub_activity others others sub_activity sub_activity sub_activity sub_activity sub_activity others
Implement a Sender Policy Framework ( SPF ) record for your organization's Domain Name System ( DNS ) zone file to minimize risks relating to the receipt of spoofed messages .		sub_activity sub_activity tool tool tool others protocol others others others others others others protocol protocol protocol others protocol others others others others sample_function sample_function others others others others others others others others
Educate users to be suspicious of unsolicited phone calls , social media interactions , or email messages from individuals asking about employees or other internal information .		person person others others others others others others others others others others others others others tool tool others person sub_activity sub_activity person sub_activity sub_activity sub_activity sub_activity others
If an unknown individual claims to be from a legitimate organization , try to verify his or her identity directly with the company .		others others others person others others others others others others industry others others others others reference_word reference_word reference_word others others others others others others
Do not provide personal information or information about your organization , including its structure or networks , unless you are certain of a person's authority to have the information .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Do not reveal personal or financial information in social media or email , and do not respond to solicitations for this information .		others others others others others others tool others tool tool others tool others others others others others others others others others others others
This includes following links sent in email .		others others others others others others others others
Pay attention to the URL of a website .		others others others others tool others others tool others
Malicious websites may look identical to a legitimate site , but the URL often includes a variation in spelling or a different domain than the valid website ( e.g.		others others others others others others others others others others others others tool others others others tool others others others others others tool others others others others others others others
, .com vs. .net ) .		others others others others others others
If you are unsure whether an email request is legitimate , try to verify it by contacting the company directly .		others others others others others others tool others others others others others others others reference_word others others others others others others
Do not use contact information provided on a website connected to the request ; instead , check previous statements for contact information .		others others others others tool others others others tool others others others others others others others sub_activity sub_activity sub_activity others others tool others
Information about known phishing attacks is also available online from groups such as the Anti-Phishing Working Group ( http://www.antiphishing.org ) .		others others others others others others others others others others others others others others security_team security_team security_team others others others others others others
Take advantage of anti-phishing features offered by your email client and web browser .		others others others sample_function sample_function others others others tool tool others tool tool others
Patch all systems for critical vulnerabilities , prioritizing timely patching of software that processes Internet data , such as web browsers , browser plugins , and document readers .		counter_measure counter_measure counter_measure others others others others others others others others tool others others others others others others others tool tool others tool tool others others tool tool others
Reduce privileges to only those needed for a user's duties .		sub_activity sub_activity others others others others others others others others others others
Restrict users' ability ( permissions ) to install and run unwanted software applications , and apply the principle of " Least Privilege " to all systems and services .		sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others others others others others others others others others others others others others others others
Restricting these privileges may prevent malware from running or limit its capability to spread through the network .		others others others others sample_function sample_function others others others sample_function sample_function sample_function sample_function sample_function others others tool others
Carefully consider the risks before granting administrative rights to users on their own machines .		others others others others others others others others others person others others others tool others
Scrub and verify all administrator accounts regularly .		sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others
Configure Group Policy to restrict all users to only one login session , where possible .		tool tool tool others sample_function others person others others others tool tool others others others others
Enforce secure network authentication where possible .		sub_activity sub_activity sub_activity sub_activity others others others
Instruct administrators to use non-privileged accounts for standard functions such as Web browsing or checking Web mail .		others person others others tool tool others tool tool others others sample_function sample_function others sample_function sample_function sample_function others
Segment networks into logical enclaves and restrict host-to-host communication paths .		others others others others others others others others others others others
Containment provided by enclaving also makes incident cleanup significantly less costly .		others others others others others others others others others others others others
Configure firewalls to disallow RDP traffic coming from outside of the network boundary , except for in specific configurations such as when tunneled through a secondary VPN with lower privileges .		sub_activity sub_activity sub_activity sub_activity protocol sub_activity others others others others others others others others others others others others others others others others others others others others tool others others others others
Audit existing firewall rules and close all ports that are not explicitly needed for business .		others others others others others others others others others others others others others others others others
Specifically , carefully consider which ports should be connecting outbound versus inbound .		others others others others others others others others others others others others others
Enforce a strict lockout policy for network users and closely monitor logs for failed login activity .		sub_activity sub_activity sub_activity sub_activity sub_activity others others person others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
This can be indicative of failed intrusion activity .		reference_word others others others others others others others others
If remote access between zones is an unavoidable business need , log and monitor these connections closely .		others others others others others others others others others others others others others others others others others others
In environments with a high risk of interception or intrusion , organizations should consider supplementing password authentication with other forms of authentication such as challenge/response or multifactor authentication using biometric or physical tokens .		others others others others others others others others others others others industry others others sub_activity sub_activity sub_activity others others others others others others others others others others others others tool others tool tool others
Enforce a tiered administrative model with dedicated administrator workstations and separate administrative accounts that are used exclusively for each tier to prevent tools , such as Mimikatz , for credential theft from harvesting domain-level credentials .		sub_activity sub_activity sub_activity sub_activity sub_activity others others others tool others others tool tool others others others others others sub_activity sub_activity sub_activity tool tool others others others tool others others sub_activity sub_activity others others others others others
Implement multi-factor authentication ( e.g.		sub_activity sub_activity sub_activity others others others
, smart cards ) or at minimum ensure users choose complex passwords that change regularly .		others tool tool others others others others others person others others tool others others others others
Be aware that some services ( e.g.		others others others others tool others others others
, FTP , telnet , and .rlogin ) transmit user credentials in clear text .		others protocol others protocol others others others others sample_function sample_function sample_function others tool tool others
Minimize the use of these services where possible or consider more secure alternatives .		others others others others reference_word others others others others others others others others others
Properly secure password files by making hashed passwords more difficult to acquire .		others tool tool others others others tool tool others others others others others
Password hashes can be cracked within seconds using freely available tools .		others others others others others others others others others others others others
Consider restricting access to sensitive password hashes by using a shadow password file or equivalent on UNIX systems .		others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others others tool tool others tool others OS_name others others
Replace or modify services so that all user credentials are passed through an encrypted channel .		sub_activity sub_activity sub_activity sub_activity others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
Avoid password policies that reduce the overall strength of credentials .		sub_activity sub_activity sub_activity others others others others others others others others
Policies to avoid include lack of password expiration date , lack of lockout policy , low or disabled password complexity requirements , and password history set to zero .		tool others sample_function others sample_function sample_function sample_function sample_function sample_function others sample_function sample_function sample_function sample_function others sample_function sample_function sample_function sample_function sample_function sample_function others others sample_function sample_function sample_function sample_function sample_function others
Ensure that users are not re-using passwords between zones by setting policies and conducting regular audits .		others others sub_activity sub_activity sub_activity sub_activity sub_activity others others others sub_activity sub_activity others sub_activity sub_activity sub_activity others
Use unique passwords for local accounts for each device .		sub_activity sub_activity sub_activity others others others others others others others
Ensure event logging ( applications , events , login activities , security attributes , etc . )		others tool tool others tool others tool others tool tool others tool tool others others others others
is turned on or monitored for identification of security issues .		others others others others others others others others others others others
Configure network logs to provide enough information to assist in quickly developing an accurate determination of a security incident .		sub_activity sub_activity sub_activity others sample_function sample_function sample_function others others others others sub_activity sub_activity sub_activity sub_activity others others others others others
Upgrade PowerShell to new versions with enhanced logging features and monitor the logs to detect usage of PowerShell commands , which are often malware-related .		sub_activity tool sub_activity sub_activity sub_activity others others others others others sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others
Secure logs , potentially in a centralized location , and protect them from modification .		sub_activity sub_activity others others others others others others others others others others others others others
Prepare an incident response plan that can be rapidly implemented in case of a cyber intrusion .		sub_activity sub_activity sub_activity sub_activity sub_activity others others others others sub_activity others others others others others others others
DHS offers a variety of resources for organizations to help recognize and address their cybersecurity risks .		government sub_activity sub_activity sub_activity sub_activity sub_activity others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
Resources include discussion points , steps to start evaluating a cybersecurity program , and a list of hands-on resources available to organizations .		tool others tool tool others tool tool tool tool tool tool tool others others tool tool tool tool tool others others others others
For a list of services , visit https://www.us-cert.gov/ccubedvp .		others others others others others others others others others others others
Other resources include :  The Cyber Security Advisors ( CSA ) program bolsters cybersecurity preparedness , risk mitigation , and incident response capabilities of critical infrastructure entities and more closely aligns them with the Federal Government .		others others others others others security_team security_team security_team others security_team others others sub_activity others others others others others others others others others others others others others others others others others others others others others government government others
CSAs are DHS personnel assigned to districts throughout the country and territories , with at least one advisor in each of the 10 CSA regions , which mirror the Federal Emergency Management Agency regions .		person others government others others others others others others others others others others others others others others person others others others others others security_team others others others others others government government government government others others
For more information , email cyberadvisor@hq.dhs.gov .		others others others others others others others others others
Cyber Resilience Review ( CRR ) is a no-cost , voluntary assessment to evaluate and enhance cybersecurity within critical infrastructure sectors , as well as state , local , tribal , and territorial governments .		tool tool tool others tool others others others others others others tool others sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others others others others others others others
The goal of the CRR is to develop an understanding and measurement of key cybersecurity capabilities to provide meaningful indicators of an entity's operational resilience and ability to manage cyber risk to critical services during normal operations and times of operational stress and crisis .		others others others others tool others others sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others sub_activity sub_activity sub_activity others others sample_function sample_function sample_function sample_function others sample_function sample_function sample_function sample_function sample_function others others others others others others others others others others others others others others
Visit https://www.cert.org/resilience/rmm.html to learn more about the CERT Resilience Management Model .		others others others others others others others others others security_team others others others others
Enhanced Cybersecurity Services ( ECS ) helps critical infrastructure owners and operators protect their systems by sharing sensitive and classified cyber threat information with Commercial Service Providers ( CSPs ) and Operational Implementers ( OIs ) .		tool tool tool others tool others sample_function sample_function sample_function sample_function others sample_function sample_function sample_function sample_function others others others others others others others others others industry industry industry others industry others others industry industry others industry others others
CSPs then use the cyber threat information to protect CI customers .		industry others others others others others tool others sub_activity tool person others
OIs use the threat information to protect internal networks .		industry others others others tool others sub_activity sub_activity sub_activity others
For more information , email ECS_Program@hq.dhs.gov .		others others others others others others others others others
The Cybersecurity Information Sharing and Collaboration Program ( CISCP ) is a voluntary information-sharing and collaboration program between and among critical infrastructure partners and the Federal Government .		others tool tool tool tool tool tool others tool others others others others tool tool tool tool others others others others others person others others government government others
For more information , email CISCP@us-cert.gov .		others others others others others others others others others
The Automated Indicator Sharing ( AIS ) initiative is a DHS effort to create a system where as soon as a company or federal agency observes an attempted compromise , the indicator will be shared in real time with all of our partners , protecting them from that particular threat .		others tool tool tool others tool others others others others government others others sub_activity sub_activity sub_activity others others others others others others others others others others others others others others others tool sample_function sample_function sample_function others others others others others others others person others sample_function reference_word sample_function sample_function sample_function sample_function others
That means adversaries can only use an attack once , which increases their costs and ultimately reduces the prevalence of cyber-attacks .		others others others others others others others others others others others others others others others others others others others others others others
While AIS will not eliminate sophisticated cyber threats , it will allow companies and federal agencies to concentrate more on them by clearing away less sophisticated attacks .		others tool others others others others others others others reference_word others others company others industry industry others sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity sub_activity others
AIS participants connect to a DHS-managed system in the NCCIC that allows bidirectional sharing of cyber threat indicators .		tool person others others others tool tool others others security_team others others others others others others others tool others
A server housed at each participant's location allows each to exchange indicators with the NCCIC .		others tool others others others person others others others others others sub_activity sub_activity others others security_team others
Participants will not only receive DHS-developed indicators , but can share indicators they have observed in their own network defense efforts , which DHS will then share with all AIS participants .		person others others others others others others others others others others tool reference_word others others others reference_word others tool others others others others government others others sub_activity sub_activity sub_activity tool person others
For more information , visit https://www.dhs.gov/ais .		others others others others others others others others others
The Cybersecurity Framework ( Framework ) , developed by the National Institute of Standards and Technology ( NIST ) in collaboration with the public and private sectors , is a tool that can improve the cybersecurity readiness of entities .		others tool tool others tool others others others others others security_team security_team security_team security_team security_team security_team others security_team others others others others others others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function others
The Framework enables entities , regardless of size , degree of cyber risk , or cyber sophistication , to apply principles and best practices of risk management to improve the security and resiliency of critical infrastructure .		others tool others others others others others others others others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function others others others others sample_function sample_function sample_function sample_function sample_function others others others others
The Framework provides standards , guidelines , and practices that are working effectively today .		others tool others others others others others others others others others others others others others
It consists of three parts—the Framework Core , the Framework Profile , and Framework Implementation Tiers—and emphasizes five functions : Identify , Protect , Detect , Respond , and Recover .		reference_word others others others others tool tool others others tool tool others others tool tool others others others others others sample_function others sample_function others sample_function others sample_function others others sample_function others
Use of the Framework is strictly voluntary .		others others others others others others others others
For more information , visit https://www.nist.gov/cyberframework or email cyberframework@nist.gov .		others others others others others others others others others others others others others others
