CYBER ADVISORY .		attack_activity attack_activity others
This intelligence alert is relevant for security operations center ( SOC ) analysts and engineers , intelligence analysts and management , and executive leadership .		others others others others others others security_team security_team security_team others security_team others person others person others person person person person others others person person others
SOC analysts and engineers can use this alert ’s detailed information pertaining to the workings of the malware families and indicators of compromise ( IoCs ) to contain or mitigate the discussed threat through monitoring or blocking .		security_team person others person others others others others others others tool tool others others others others others others others others others tool tool tool others tool others others sample_function sample_function sample_function sample_function sample_function sample_function others others others others others
SOC analysts can use the information provided in the analysis and mitigation sections of this alert for hunting activities for systems that may have been compromised already .		security_team person others others others tool tool tool tool tool others tool tool tool tool tool others sample_function sample_function sample_function sample_function others others others others others others others
Analysts and security engineers can use the IoCs by adding them to hunting lists on Endpoint Detection and Response ( EDR ) solutions , as well as network- and host-based blacklists to detect and deny malware implantation and command-and-control ( C2 ) communication .		person others person person others others others tool others sub_activity sub_activity sub_activity sub_activity sub_activity others tool tool tool tool others tool others others others others others others tool tool tool tool others sample_function others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
Intelligence analysts may want to use the information provided in this alert to better inform their own analyses .		person person others others others others others tool tool others others others others sample_function sample_function sample_function sample_function sample_function others
The information can also help inform ongoing intelligence analyses and forensic investigations , particularly with respect to compromise discovery , damage assessment , and attribution .		reference_word reference_word others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others others sample_function sample_function others sample_function sample_function others others sample_function others
Management and executive leadership may use this information to assess the risks associated with the threat described to make the appropriate operational and policy decisions .		person others person person others others reference_word reference_word others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
Knowledge of SNAKEMACKEREL's tactics , techniques , and procedures ( TTPs ) helps to better inform detection and response to attacks by this threat group .		others others threatActor_name others others others others others others others others others others others others others others others others others others others others reference_word reference_word reference_word others
This report provides a technical overview of a BREXIT-themed lure Microsoft Office document that is used to drop a Delphi version of the Zekapab first-stage malware which has been previously reported by iDefense analysts .		others others others others others others others others others tool tool tool tool others others others others sample_function sample_function malware sample_function sample_function sample_function malware sample_function sample_function others others others others others others security_team person others
However , additional research on the C2 server 109.248.148.42 revealed a new .NET version of Zekapab that is designed for the same purpose .		others others others others others others tool others domain_evil others others others others others others malware others others others others others others others others
iDefense analysts recently came across the following malicious document that is purportedly related to the recent BREXIT negotiations between the UK and the EU .		security_team person others others others others others tool tool others others others others others others others others others others others location others others government others
The file has the following metadata :  Filename : Brexit 15.11.2018.docx .		reference_word reference_word others others others others others others others sample_name sample_name others
MD5: 405655be03df45881aa88b55603bef1d .		others others md5 others
File size : 18.9 KB ( 19354 bytes ) .		others others others others others others others others others others
Author : USER .		others others others others
Last modified by : Joohn .		others others others others person others
Company : Grizli777 .		others others company others
Creation date : 2018:11:14 14:17:00 .		others others others time time others
Modified date : 2018:11:15 04:50:00 .		others others others time time others
Of note , the Company name Grizli777 is indicative of a cracked version of  Microsoft Word .		others others others others others others company others others others others others others others others others others
To trick the targeted individual into enabling macros , the attackers deliberately used jumbled-up text as content .		others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others person others others tool tool others others others
The document loads malicious content from http://109.248.148.42/office/thememl/2012/main/attachedTemplate.dotm via the settings.xml.rels component that is embedded within the DOCX document .		reference_word reference_word others others others others url_evil url_evil url_evil others others tool others others others others others others tool tool others
The downloaded macro component includes a function called AutoClose() as well as two payloads embedded via Base64 encoded strings .		others others tool tool others others others others tool tool tool others others others others others others others encryption_algo others others others
