APT trends report Q1 2020 .		others others others time time others
The project is broader than we initially thought , supporting an Android implant , and probably supporting implants for Windows , Linux , and MacOS .		reference_word reference_word others others others others others others others others others OS_name others others others others others others others OS_name others OS_name others others OS_name others
For the time being , we are calling this APT group TwoSail Junk .		others others others others others others others others others others others threatActor_name threatActor_name others
We believe this is a Chinese-speaking group ; it maintains infrastructure mostly within Hong Kong , along with a couple of hosts located in Singapore and Shanghai .		others others others others others others others others reference_word sub_activity sub_activity others others location location others others others others others others sub_activity others others location others location others
TwoSail Junk directs visitors to its exploit site by posting links within the threads of forum discussions , or creating new topic threads ofтtheir own .		threatActor_name threatActor_name sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity others others others others others others others others sub_activity sub_activity sub_activity sub_activity others others others
To date , dozens of visits were recorded from within Hong Kong , with a couple from Macau .		others others others others others others others others others others location location others others others others others location others
The technical details around the functionality of the iOS implant , called LightSpy , and related infrastructure , reveal a low-to-mid capable actor .		others others others others others others others others OS_name tool others others tool others others others others others others others others others others others
However , the iOS implant is a modular and exhaustively functional iOS surveillance framework .		others others reference_word reference_word reference_word others others others others others others OS_name tool tool others
In January , a couple of recently compiled SPLM/XAgent modules were detected in an Eastern European telecoms company .		others time others others others others others others malware others others others others others industry industry industry industry others
The initial point of entry is unknown , as is their lateral movement within this organization .		others others others others others others others others others others others others others others others others others
It has become rare to identify SPLM infections , compared to past levels of Sofacy activity , so it seems that portions of this network may have been infected for some time .		others others others others others others tool others others others others others others others threatActor_name others others others others others others others others others others others others others others others others others others
In addition to these SPLM modules , Sofacy also deployed .NET XTUNNEL variants and their loaders .		others others others others malware malware others threatActor_name others others malware malware malware malware malware malware others
These 20KB XTUNNEL samples themselves seem minimal in comparison to past XTUNNEL samples , which weighed in at 1-2MB .		others others malware others others others others others others others others malware others others others others others others others others
This shift to C# by the long-standing Sofacy XTunnel codebase reminds us of Zebrocy ’s practice of re-coding and innovating long-used modules in multiple languages .		others others others program_language program_language others others others threatActor_name malware others others others others malware others others others others others others others others others others others others others
Gamaredon , a well-known APT group that has been active since at least 2013 , has traditionally focused on Ukrainian entities .		threatActor_name others others others others others others others others others others others others time others others others others others industry industry others
In recent months we have observed a campaign , made up of different waves , that has also been reported by multiple researchers on different social networks .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The attackers sent malicious documents with remote template injection , resulting in a multi-level infection scheme to deploy a malicious loader that periodically contacts a remote C2 to download additional samples .		others person sub_activity sub_activity sub_activity others tool tool tool others others others others others others others others sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity tool others sub_activity sub_activity sub_activity others
Based on past research , we know that the Gamaredon ’s toolkit includes many different malware artefacts , developed to achieve different goals .		others others others others others others others others others threatActor_name others others others others others others others others others others others others others others others
These include scanning drives for specific system files , capturing screenshots , executing remote commands , downloading additional files and managing the remote machine with programs such as UltraVNC .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others tool others
In this case , we observed an interesting new second stage payload that includes spreading capabilities , that we call “ Aversome infector ” .		others others others others others others others others others sub_activity sub_activity sub_activity others others sample_function sample_function others others others others others malware malware others others
This malware seems to have been developed to maintain a strong persistence in the target network and to move laterally by infecting Microsoft Word and Excel documents on external drives .		others others others others others others others others sample_function sample_function sample_function sample_function others others others others others others sample_function sample_function others others company tool others tool others others others others others
CactusPete is a Chinese-speaking cyber-espionage group active since at least 2012 characterized by medium-level technical capabilities .		threatActor_name others others others others others others others others others time others others others others others others
Historically , this threat actor has targeted organizations within a limited range of countries – South Korea , Japan , the US and Taiwan .		others others reference_word reference_word person others others industry others others others others others others others location location others location others others location others location others
At the end of 2019 the group seemed to shift towards a heavier focus on Mongolian and Russian organizations .		others others time time time reference_word reference_word others others others others others others others others industry industry industry industry others
CactusPete offensive activity against the Russian defense industry and Mongolian government appears to be mostly delineated from its Russian-Mongolian commercial and border relationships .		threatActor_name others others others others industry industry others others government government others others others others others others others others others others others others others
However , one bait exploit document dropping its Flapjack backdoor ( tmplogon.exe , primarily focused on new Russian targets ) is authored in Mongolian .		others others others tool tool tool others others malware malware others sample_name others others others others others others others others others others others others others
The group ’s broadening of techniques , exploit re-purposing , targeting shift and possible expansion suggests changes in the group ’s resources and operations .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
Rancor is a group that has been publicly reported since 2018 , with connections to DragonOK .		threatActor_name others others others others others others others others others time others others others others threatActor_name others
This actor traditionally had a focus on Southeast Asian targets , namely Cambodia , Vietnam and Singapore .		reference_word reference_word others others others others others target_crowd target_crowd target_crowd others others location others location others location others
We noted several updates to the group ’s activity in the last few months , namely the discovery of a new variant of the Dudell malware that we are calling ExDudell , a new tool for bypassing UAC ( User Account Control ) , and new infrastructure utilized in the attacks .		others others others others others others others others others others others others others others others others others others others others others malware malware malware malware malware malware others others others others malware others others others others others others tool others tool tool tool others others others others others others others others others others
Apart from this , we have also identified that the initial lure documents that were previously sent via mail , are now found in the Telegram Desktop directory , suggesting the group is possibly making a shift in its initial delivery method .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
In 2019 , we detected activity by an unknown actor at the time deploying watering holes on websites representing Tibetan interests , fooling victims into installing fake Adobe Flash updates hosted on a GitHub repository .		others time others others others others others others others person others others others sub_activity sub_activity sub_activity others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others tool tool others
Kaspersky thwarted the attack by coordinating a takedown of this repository with GitHub .		location others others others others counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure tool others
After a brief period of inactivity , we detected a new round of watering holes featuring a renewed toolset .		others others others others others others others others others others attack_activity attack_activity attack_activity attack_activity attack_activity others others others others others
We decided to call the group behind this activity Holy Water .		others others others others others others others others others threatActor_name threatActor_name others
The threat actor ’s unsophisticated but creative toolset has been evolving a lot since the inception date , may still be in development , and leverages Sojson obfuscation , NSIS installer , Python , open-source code , GitHub distribution , Go language , as well as Google Drive-based C2 channels .		others others person others others others others others others others others others others others others others others others others others others others others others others others others tool tool others tool tool others program_language others tool tool others tool tool others program_language others others others others others tool tool tool tool others
We recently detected a new , ongoing data exfiltration campaign targeting victims in Turkey that started in February 2020 .		others others others others others others attack_activity attack_activity attack_activity attack_activity others person others location others others others time time others
While StrongPity ’s TTPs in terms of targeting , infrastructure and infection vector haven’t changed , we observed a somewhat peculiar change in the documents they attempt to exfiltrate .		others threatActor_name others others tool others others others others others others others others others others others others others others others others others others others others others others others others others others others others
In this campaign , StrongPity updated its latest signature backdoor , named StrongPity2 , and added more files to exfiltrate to its list of common Office and PDF documents , including Dagesh Pro Word Processor files used for Hebrew dotting , RiverCAD files used for river flow and bridge modelling , plain-text files , archives as well as GPG encrypted files and PGP keys .		others others others others threatActor_name sub_activity sub_activity sub_activity sub_activity malware others others malware others others sub_activity sub_activity sub_activity others others others others others others others tool sub_activity tool sub_activity others others tool tool tool tool tool others others others others others tool tool others others others others others others others others tool tool others others others others others tool tool tool others others others others
In March , we discovered a targeted campaign to distribute Milum , a Trojan designed to gain remote control of devices in target organizations , some of which operate in the industrial sector .		others time others others others others others others others others malware others others malware others others others sample_function sample_function sample_function sample_function others others others others others others others others others others industry industry others
The first signs of this operation , which we have dubbed WildPressure , can be traced back to August 2019 ; still , the campaign remains active .		others others others others others others others others others others others threatActor_name others others others others others others time time others others others others others others others others
The Milum samples we have seen so far do not share any code similarities with any known APT campaigns .		others malware others others others others others others others others others others others others others others others others others others
The malware provides attackers with remote control over infected devices , allows downloading and executing commands , collecting and exfiltrating information and installing upgrades in the malware .		reference_word reference_word others person others sub_activity sub_activity sub_activity sub_activity sub_activity others others sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity sub_activity others
In late December 2019 , Kaspersky Threat Attribution Engine detected a new variant of the Zerocleare wiper that had possibly been used in targeted attacks on energy sector targets in Saudi Arabia .		others others time time others security_team tool tool tool others others malware malware malware malware malware malware others others others others others others others others others industry industry others others location location others
This quarter , we identified a new variant of this wiper , called Dustman .		others others others others others others others others others others others others others malware others
It is similar to Zerocleare in terms of wiping and distribution , but changes in variables and technical names suggest this might have been in readiness for a new wave of attacks specifically targeting Saudi Arabia ’s energy sector , based on messages embedded in the malware and the mutex created by it .		others others others others malware others others others others others others others others others others others others others others others others others others others others others others others others others others others others others location location others others industry industry others others others others others others others others others others others others others others others
The PDB file of the Dustman wiper suggested that this destructive code was the release edition and was ready for deployment in a target network .		others tool tool others others malware others others others others others others others others others others others others others others others others others others others others
These changes coincided with the New Year holidays , during which many employees take time off to celebrate .		others others others others others others others others others others others others others others others others others others others
Shamoon was delivered with similar timing in 2012 during Ramadan celebrations .		malware others others others others others others time others others others others
A Lazarus campaign outlined by the Italian security company Telsy in November 2019 allowed us to find a connection to previous activity from the group targeting cryptocurrency businesses .		others threatActor_name sub_activity others others others industry industry industry company others time time others others others others others others others others others others others others others industry industry others
The malware mentioned on Telsy ’s blog is a first stage downloader that has been observed since mid-2018 .		others others others others company others others others others others sub_activity sub_activity sub_activity others others others others others time others
We found that the second stage malware is a variant of Manuscrypt , uniquely attributed to Lazarus , deploying two types of payloads .		others others others others others others others others others malware malware malware others others others others threatActor_name others sub_activity sub_activity sub_activity sub_activity sub_activity others
The first is a manipulated Ultra VNC program , and the second is a multi-stage backdoor .		others others others others others tool tool tool others others others others others others malware malware others
This type of multi-stage infection procedure is typical of the Lazarus group ’s malware , especially when using the Manuscrypt variant .		others others others others others others others others others others threatActor_name others others others others others others others others others malware malware others
In this campaign , our telemetry indicates that the Lazarus group attacked cryptocurrency businesses in Cyprus , the US , Taiwan and Hong Kong , and the campaign extended until the beginning of 2020 .		others others others others others others others others others threatActor_name others others industry industry others location others others location others location others location location others others others others others others others time time time others
Kimsuky , an actor we have been tracking since 2013 , was especially active during 2019 .		threatActor_name others others others others others others others others time others others others others others time others
In December , Microsoft took down 50 domains used by the group and filed a lawsuit against the attackers in a Virginia court .		others time others company sub_activity sub_activity tool tool others others reference_word reference_word others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others
However , the group has continued its activity without significant changes .		others others others others others others others others others others others others
We recently discovered a new campaign where the actor used a decoy image themed around New Year ’s greetings that delivers its old downloader with a new evolved next-stage payload designed to steal information that uses a new encryption method .		others others others others others others others others person others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others others sample_function sample_function others others others others others others others
At the end of January , we stumbled upon a malicious script exploiting an Internet Explorer vulnerability , CVE-2019-1367 .		others others time time time others others others others others sub_activity sub_activity others others tool tool sub_activity others vulnerability_cve others
After closely examining the payload and finding connections with previous activity , we concluded that DarkHotel was behind this campaign , probably in progress since 2018 .		others others others others others others others others others others others others others others others threatActor_name others others reference_word reference_word others others others others others time others
The campaign saw DarkHotel utilize a multi-stage binary infection phase using home-brewed malware .		others others others threatActor_name others others sub_activity sub_activity sub_activity others others malware malware others
The initial infection creates a downloader which fetches another downloader to collect system information and fetch the final backdoor only for high-value victims .		others others others sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity others sample_function sample_function sample_function others sub_activity sub_activity sub_activity sub_activity others others others others others
DarkHotel used a unique combination of TTPs in this campaign .		threatActor_name others others others others others tool others others others others
The threat actor used diverse infrastructure to host malware and to control infected victims , including a compromised web server , a commercial hosting service , a free hosting service and a free source code tracking system .		others others person others sub_activity sub_activity others sub_activity sub_activity others others sub_activity sub_activity sub_activity others others others tool tool tool others others tool tool tool others others tool tool tool others others tool tool tool tool tool others
We were able to confirm targeted companies in South Korea and Japan in this campaign .		others others others others others others industry others location location others location others others others others
In March , researchers from Google revealed that a group of hackers used five zero-days to target North Koreans and North Korean-focused professionals in 2019 .		others time others person others company others others others others others person others others vul_aliases others others person person person person person person others time others
The group exploited flaws in Internet Explorer , Chrome , and Windows with phishing emails that carried malicious attachments or links to malicious sites , as well as watering-hole attacks .		reference_word reference_word others sub_activity others tool tool others tool others others OS_name others attack_activity attack_activity others sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity others others others others attack_activity attack_activity others
We were able to match two of the vulnerabilities – one in IE and one in Windows – to DarkHotel .		others others others others others others others others others others others others tool others others others OS_name others others threatActor_name others
FunnyDream is a campaign that started in mid-2018 , targeting high-profile entities in Malaysia , Taiwan and the Philippines , with the majority of victims in Vietnam .		attack_activity others others others others others others time others others industry industry others location others location others others location others others others target_crowd target_crowd target_crowd others location others
Our analysis revealed that it ’s part of a wider campaign that stretches back a few years and targets governments , and specifically foreign organizations , of countries in Southeast Asia .		others others others others others others others others others others attack_activity attack_activity others others others others others others others others government others others others industry industry others others others others location location others
The attacker ’s backdoor downloads and uploads files from/to a C2 , executes commands and runs new processes in the victim .		others person others others malware sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity tool others sub_activity sub_activity others sub_activity sub_activity sub_activity others others others others
It also collects information about other hosts on the network and is delivered to new hosts through remote execution utilities .		reference_word others sub_activity sub_activity others others others others others others others others sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity others
The attacker also used an RTL backdoor and Chinoxy backdoor .		reference_word reference_word others others others tool malware others malware malware others
The C2 infrastructure has been active since mid-2018 and domains show an overlap with the FFRAT malware family .		others tool tool others others others others time others others others others others others others malware malware malware others
In a number of cases , indications suggest the backdoor was delivered via a previous long-term compromise .		others others others others others others others others others malware others others others others others others others others
The campaign is still active .		others others others others others others
Operation AppleJeus was one of the more notable campaigns of Lazarus , and the first time the actor targeted macOS targets .		attack_activity attack_activity others others others others others others others others threatActor_name others others others others others others person others OS_name target_crowd others
Our January follow-up research revealed significant changes to the group ’s attack methodology : homemade macOS malware and an authentication mechanism to carefully deliver the next-stage payload , as well as loading the next-stage payload without touching the disk .		others time others others others others others others reference_word reference_word others others others others others malware OS_name malware others others tool tool others others sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others others
To attack Windows victims , the group has elaborated a multi-stage infection procedure and significantly changed the final payload .		others attack_goal OS_name attack_goal others reference_word reference_word others sub_activity sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity sub_activity others
We believe that Lazarus has been more careful in its attacks since the release of Operation AppleJeus and has employed a number of methods to avoid detection .		others others others threatActor_name others others others others others others others others others others others attack_activity attack_activity others others others others others others others others others others others
We identified several victims in the UK , Poland , Russia and China .		others others others person others others location others location others location others location others
Moreover , we were able to confirm that several of the victims are linked to cryptocurrency organizations .		others others others others others others others others others others others others others others others industry industry others
Roaming Mantis is a financially motivated actor first reported in 2017 , when it used SMS to distribute its malware to Android devices based in South Korea .		threatActor_name threatActor_name others others others others others others others others time others others others others tool others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others location location others
Since then , the scope of the group ’s activities has widened considerably , supporting 27 languages , targeting iOS as well as Android , and even mining cryptocurrency .		others others others others others others reference_word reference_word others others others others others others others others others others others others OS_name others others others OS_name others others others target_crowd target_crowd others
The actor also added new malware families , including Fakecop and Wroba.j to its arsenal , and is still active using ‘ SMiShing ‘ for Android malware distribution .		others person others sub_activity sub_activity sub_activity sub_activity others others malware others malware others others others others others others others others others others tool others others OS_name sample_function sample_function others
In a recent campaign it distributed malicious APKs masquerading as popular couriers and customized for the targeted countries , including Japan , Taiwan , South Korea and Russia .		others others others others reference_word sub_activity sub_activity sub_activity sub_activity others others others others sub_activity sub_activity sub_activity target_crowd target_crowd others others location others location others location location others location others
TransparentTribe started using a new module named USBWorm at the beginning of 2019 , as well as improving its custom .NET tool named CrimsonRAT .		threatActor_name others others others others others others malware others others others others time others others others others sub_activity sub_activity tool tool tool others malware others
Based on our telemetry , USBWorm was used to infect thousands of victims , most of them located in Afghanistan and India , providing the attacker with the ability to download and execute arbitrary files , spread to removable devices and steal files of interest from infected hosts even those disconnected from the internet .		others others others others others malware others others others others others others target_crowd others others others others others others location others location others others others person others others others others sub_activity sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity others location location others others others others others others others
As we previously reported , this group mainly focuses on military targets , which are usually compromised with Office documents armed with malicious VBA and open-source malware like Peppy RAT and CrimsonRAT .		others others others others others reference_word reference_word others others others target_crowd target_crowd others others others others others others tool tool others others sub_activity tool others others others others malware malware others malware others
In its new campaign , which is still active , we noticed the group ’s focus shift more towards targeting entities located in Afghanistan in addition to India .		others others others others others others others others others others others others reference_word reference_word others others others others others others others industry others others location others others others location others
Transparent Tribe has also developed a new implant designed to infect Android devices , a modified version of the AhMyth Android RAT which is open source malware available on GitHub .		threatActor_name threatActor_name others others others others sub_activity sub_activity others others sample_function OS_name sample_function others others malware malware malware malware malware OS_name malware others others others others others others others tool others
During the last months of 2019 , we observed an ongoing campaign conducted by Fishing Elephant .		others others time time time time others others others others others sub_activity others others threatActor_name threatActor_name others
The group continues to use both Heroku and Dropbox in order to deliver its tool of choice , AresRAT .		reference_word reference_word others others others others tool others tool others others others others others others others others others tool others
We discovered that the actor incorporated a new technique into its operations that is meant to hinder manual and automatic analysis – geo-fencing and hiding executables within certificate files .		others others others reference_word reference_word sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others others sub_activity sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity others
During our research , we also detected a change in victimology that may reflect the current interests of the threat actor : the group is targeting government and diplomatic entities in Turkey , Pakistan , Bangladesh , Ukraine and China .		others others others others others others others others others others others others others others others others others others others others others others reference_word reference_word others others government target_crowd industry industry others location others location others location others location others location others
While the threat landscape isn’t always full of “ groundbreaking ” events , when we cast our eyes back over the activities of APT threat actors , there are always interesting developments .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Our regular quarterly reviews are intended to highlight the key developments .		others others others others others others others others others others others others
These are some of the main trends that we ’ve seen this year so far .		others others others others others others others others others others others others others others others others others
It ’s clear from the activities of various APT groups , including CactusPete , LightSpy , Rancor , Holy Water , TwoSail Junk and others that geo-politics continues to be an important driver of APT activity .		others others others others others others others others others others others others others threatActor_name others threatActor_name others threatActor_name others threatActor_name threatActor_name others threatActor_name threatActor_name others others others others others others others others others others others others others others
This was also underlined this quarter by the UK National Cyber Security Centre laying responsibility for disruptive attacks on Georgia at the feet of Russia ’s military intelligence service , indictments in the US of two Chinese nationals for laundering $100 million in cryptocurrency on behalf of North Korea and the alleged ‘ catfishing ’ of IDF soldiers by Hamas .		others others others others others others others others location government government government government others others others others others others location others others others others location others others government government government others others others others location others person person person others sub_activity sub_activity sub_activity sub_activity others others others others others location location others others others others others others others others others others others others
Financial gain remains a motive for some threat actors , as evidenced by the activities of Lazarus and Roaming Mantis .		attack_goal attack_goal others others others others others person person others others others others others others others threatActor_name others threatActor_name threatActor_name others
Southeast Asia is the most active region in terms of APT activities , including established actors such as Lazarus , DarkHotel and Kimsuky , and newer groups such as Cloud Snooper and Fishing Elephant .		location location others others others others others others others others sub_activity sub_activity others others others others others others threatActor_name others threatActor_name others threatActor_name others others others others others others threatActor_name threatActor_name others threatActor_name threatActor_name others
APT threat actors such as CactusPete , TwoSail Junk , FunnyDream , DarkHotel continue to exploit software vulnerabilities .		others others others others others threatActor_name others threatActor_name threatActor_name others threatActor_name others threatActor_name others others others sub_activity sub_activity others
APT threat actors continue to include mobile implants in their arsenal .		person person person others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
APT threat actors such as ( but not limited to ) Kimsuky , Hades and DarkHotel , as well as opportunistic criminals , are exploiting the COVID-19 pandemic .		others others others others others others others others others others others threatActor_name others threatActor_name others threatActor_name others others others others person person others others others others sub_activity sub_activity others
All in all , we see the continuous growth of activity in Asia and how some of the actors we called newcomers are now well established .		others others others others others others others others others others others others location others others others others others others others others others others others others others others
On the other hand , the more traditional advanced actors seem to be more and more selective in their operations , probably following a change of paradigm .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The use of mobile platforms for infections and the distribution of malware is on the rise .		others others others others others others others others others others others others others others others others others
Every actor seems to have some artefacts for these platforms and in some campaigns they are the main target .		others others others others others others others others others others others others others others others others others others others others
COVID-19 is clearly top of everyone ’s minds at the moment and APT threat actors have also been seeking to exploit this topic in spear-phishing campaigns .		others others others others others others others others others others others others others person person person others others others others others others others others others attack_activity attack_activity others
We do not believe this represents a meaningful change in terms of TTPs : they ’re simply using it as a newsworthy topic to lure their victims .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
However , we are closely monitoring the situation .		others others others others others others others others others
As always , we would note that our reports are the product of our visibility into the threat landscape .		others others others others others others others others others others others others others others others others others others others others
However , it should be borne in mind that , while we strive to continually improve , there is always the possibility that other sophisticated attacks may fly under our radar .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
