Threat Assessment : WastedLocker Ransomware Activities .		others others others others others others others
Once the Cobalt Strike payload is installed on a victim ’s machine , it is then used to move laterally through the victim ’s network and facilitate the identification of additional systems on which attackers can deploy their main payloads .		others others tool tool tool others others others others others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others sample_function sample_function sample_function sample_function sample_function sample_function others others person others sub_activity sub_activity sub_activity sub_activity others
WastedLocker attackers have also been observed using legitimate Windows utilities such as Windows Management Instrumentation [ WMI ] and PsExec to do this as well .		malware person others others others others others others others others others others tool tool tool others tool others others tool others others others others others others
Of particularly high value to targeted ransomware attackers are systems that directly affect a victim ’s customer-facing revenue-generating business operations , internal systems of high visibility and high use , and systems that contain ( or facilitate the deployment of ) system backups .		others others others others others others others person others attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others others attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others
Finally , once sufficient reconnaissance of the victim ’s network has been conducted , the attackers move to deploy the WastedLocker ransomware payload using one or more system management utilities .		others others others others others others others others others others others others others others others others person others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
During execution on a target host , the ransomware will :   Attempt to elevate execution privileges ( if not already running as Administrator ) .		others others others others others others others others others others others others others others others others others others others others others others others others others
Attempt to disable Windows Defender monitoring .		others others others others others others others
Delete shadow copies/volume snapshots .		others others others others others
Install itself as a service .		others others others others others others
Once installed , the delivery of the payload is complete and files are overwritten .		others others others others others others others others others others others others others others others
The ransomware mainly uses a .<victim name>wasted extension , though files containing ransom note details are appended with a .<victim_name>wasted_info extension .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The *.wasted_info ransom note files we have analyzed thus far resemble the following example where variable data is shown below between <> characters .		others others others others others others others others others others others others others others others others others others others others others others others others others others
The actor email addresses used can differ , and the domain names include the following ( in most- to least-used order ) :   PROTONMAIL.CH , AIRMAIL.CC , ECLIPSO.CH , TUTANOTA.COM and PROTONMAIL.COM .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The trend of targeted ransomware attacks is on the rise because they are comparatively more effective and yield higher ransoms than more common forms of “ spray-and-pray ”  ransomware attacks similar to the ones observed by Unit 42 during the early stages of the COVID-19 pandemic .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
WastedLocker is a prime example of a targeted ransomware attack .		others others others others others others others others others others others
The impact a group of determined cybercriminals can have against organizations can be devastating , and the methodologies they utilize only serve to underscore the need for enterprises to employ both robust defensive technologies and capable cybersecurity expertise into their environments .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Palo Alto Networks detects/prevents WastedLocker in the following ways .		others others others others others others others others others others
WildFire :  all known samples are identified as malware .		others others others others others others others others others others
Cortex XDR Agent with :  indicators for WastedLocker .		others others others others others others others others others
Anti-Ransomware Module to detect WastedLocker encryption behaviors .		others others others others others others others others
Local Analysis detection to detect WastedLocker binaries .		others others others others others others others others
Behavioral Threat Protection ( BTP ) triggers on Volume Shadow Copy being deleted by WastedLocker .		others others others others others others others others others others others others others others others others
Next-Generation Firewalls :  DNS Signatures detect the known command and control ( C2 ) domains , which are also categorized as malware in PAN-DB .		others others others others others others others others others others others others others others others others others others others others others others others others others
AutoFocus :  Tracking related activity using the WastedLocker tag .		others others others others others others others others others others
