Pig in a poke : smartphone adware .		others others others others others others malware others
This obfuscated Trojan usually hides in the app that handles the graphical interface of the system , or in the Settings utility , without which the smartphone cannot function properly .		others others malware others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others others others others others
The malware delivers its payload , which in turn can download and run arbitrary files on the device .		others others sub_activity sub_activity sub_activity others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
It ’s interesting to note that sometimes there is no payload , and the Trojan is unable to perform its task .		others others others others others others others others others others others others others others others others others others others others others others others
The Sivu Trojan is a dropper masquerading as an HTMLViewer app .		others others others others others others others others others others others others
The malware consists of two modules and can use root permissions on the device .		others others others others others others others others others others others others others others others
The first module displays ads on top of other windows , and in notifications .		others others others others others others others others others others others others others others others
The second module is a backdoor allowing remote control of the smartphone .		others others others others others others others others others others others others others
Its capabilities include installing , uninstalling , and running apps , which can be used to covertly install both legitimate and malicious apps , depending on the intruder ’s goals .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This adware app pretends to be a system service , calling itself Android Services ( com.android.syscore ) .		others others others others others others others others others others others others others others others others others others
It can download and install apps behind the user ’s back , as well as display ads in notifications .		others others others others others others others others others others others others others others others others others others others others others
What ’s more , Plague.f can display ads in SYSTEM_ALERT_WINDOW — a pop-up window that sits on top of all apps .		others others others others others others others others others others others others others others others others others others others others others others others
Agent.pac can imitate the CIT TEST app , which checks the correct operation of device components .		others others others others others others others others others others others others others others others others others
At C&C ’s command , it can run apps , open URLs , download and run arbitrary DEX files , install/uninstall apps , show notifications , and start services .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This Trojan dropper hides in an app called STS , which has no functions other than displaying ads .		others others others others others others others others others others others others others others others others others others others
The downloaded code is obfuscated .		others others others others others others
It can deploy the ToastWindow function , which in this context is analogous to SYSTEM_ALERT_WINDOW — a window that sits on top of all apps .		others others others others others others others others others others others others others others others others others others others others others others others others others others
It can also download and run code .		others others others others others others others others
Unlike the previous Trojans , Necro.d is a native library located in the system directory .		others others others others others others others others others others others others others others others others
Its launch mechanism is built into another system library , libandroid_servers.so , which handles the operation of Android services .		others others others others others others others others others others others others others others others others others others others others
At the command of C&C , Necro.d can download , install , uninstall , and run apps .		others others others others others others others others others others others others others others others others others others others others
In addition , the developers decided to leave themselves a backdoor for executing arbitrary shell commands .		others others others others others others others others others others others others others others others others others
On top of that , Necro.d can download Kingroot superuser rights utility — seemingly so that the OS security system does not interfere with delivering “ very important ” content for the user .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
We came across the malware Facmod.a in apps required for the smartphone to operate normally : Settings , Factory Mode , SystemUI .		others others others others others others others others others others others others others others others others others others others others others others others
Our eye was caught by devices with not one , but two malicious modules embedded in SystemUI .		others others others others others others others others others others others others others others others others others others
The first module ( com.android.systemui.assis ) receives an address from the server ufz.doesxyz.com for downloading and running arbitrary code under the name DynamicPack :  The second ( com.cash ) loads the payload from the encrypted file in the app ’s resources .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The payload solves the usual tasks ( for this type of threat ) of installing and running apps :  In addition , Facmod.a has functions for periodically starting the browser and opening a page in it with advertising .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The Guerrilla.i Trojan is found in the Launcher system app , responsible for the functioning of the smartphone “ desktop.		others others others others others others others others others others others others others others others others others others others others others
” .		others others
The Trojan is tasked with periodically displaying ads and opening advertising pages in the browser .		others others others others others others others others others others others others others others others others
Guerrilla.i receives the configuration file by calling htapi.getapiv8.com/api.php?rq=plug .		others others others others others others others others others others others
This file can also contain an address for downloading an additional module extending the functionality .		others others others others others others others others others others others others others others others others
This dropper can take cover in the Theme app ( com.nbc.willcloud.themestore ) .		others others others others others others others others others others others others others
Its features are not original : downloading , installing , and running apps without the user ’s knowledge .		others others others others others others others others others others others others others others others others others others others others
Another piece of adware that we discovered was built into the wallpaper catalog app .		others others others others others others others others others others others others others others others
The payload of Secretad.c is contained in the file kgallery.c1ass .		others others others others others others others others others others others
It gets unpacked and launched , for example , when the device is unlocked on or apps are installed :  Secretad.c can display ads in full screen mode , open pages in the browser , or launch the advertised app itself .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Like many other adware programs , Secretad.c can install apps without the user knowing about it .		others others others others others others others others others others others others others others others others others
The app also has one more ad module :  Its payload is encrypted in the file assets/1498203975110.dat .		others others others others others others others others others others others others others others others others others others
Among other things , it can cause the advertised app ’s page on Google Play to unexpectedly open , installed apps to start , or the browser to open .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Some smartphones contain adware modules pre-installed by the manufacturers themselves .		others others others others others others others others others others others
A few vendors openly admit to embedding adware under the hood of their smartphones ; some allow it to be disabled , while others do not , describing it as part of their business model to reduce the cost of the device for the end user .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The user generally has no choice between buying the device at the full price , or a little cheaper with lifetime advertising .		others others others others others others others others others others others others others others others others others others others others others others others
What ’s more , we did not find any electronics store offering a clear warning to users that they would be forced to watch ads .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
In other words , buyers might not suspect that they are spending their cash on a pocket-sized billboard .		others others others others others others others others others others others others others others others others others others others
Meizu devices make no secret that they display ads in apps .		others others others others others others others others others others others others
The advertising is fairly unobtrusive , and you can even turn it off in the settings .		others others others others others others others others others others others others others others others others others
However , in the preinstalled AppStore app ( c4296581148a1a1a008f233d75f71821 ) , we uncovered hidden adware able to load under the radar and display itself in invisible windows ( such method is usually used to boost the number of showings ) , which eats up data and battery power :  But that ’s not all .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The app can download and execute third-party JavaScript code :  Furthermore , the pre-installed AppStore app can mute the sound , access text messages , and cut and paste their contents into loaded pages .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This approach is often used in outright malicious apps which , unbeknown to the user , sign up to paid subscriptions .		others others others others others others others others others others others others others others others others others others others others others others
One can only trust in the decency of the adware controllers , and hope that third parties do not gain access to it .		others others others others others others others others others others others others others others others others others others others others others others others others
But AppStore is not the only suspicious app on Meizu devices .		others others others others others others others others others others others others
In Meizu Music ( com.meizu.media.music 19e481d60c139af3d9881927a213ed88 ) , we found an encrypted executable file used to download and execute a certain Ginkgo SDK :  What this SDK does can only be guessed at : not all Meizu devices download it , and we were unable to get hold of the latest version .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
However , the versions of Ginkgo SDK that we obtained from other sources display ads and install apps without the user ’s knowledge .		others others others others others others others others others others others others others others others others others others others others others others others others others
The com.vlife.mxlock.wallpaper app ( 04fe069d7d638d55c796d7ec7ed794a6 ) also contains an encrypted executable file , and basically offers standard functions for gray-market adware modules , including the ability to install apps on the sly .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
We contacted Meizu to report our findings , but did not receive a response .		others others others others others others others others others others others others others others others
In addition to dubious files in devices from particular vendors , we found a problem affecting a huge number of smartphones .		others others others others others others others others others others others others others others others others others others others others others others
The memory of many devices contains the file /bin/fotabinder ( 3fdd84b7136d5871afd170ab6dfde6ca ) , which can download files to user devices and execute code on them received from one of the following remote servers : adsunflower.com , adfuture.cn , or mayitek.com .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This file is most likely part of the update or testing system , but the encrypted C&C addresses and functions providing remote access to the device raise a red flag .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The examples in our investigation show that the focus of some mobile device suppliers is on maximizing profits through all kinds of advertising tools , even if those tools cause inconvenience to the device owners .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
If advertising networks are ready to pay for views , clicks , and installations regardless of their source , it makes sense to embed ad modules into devices to increase the profit from each device sold .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Unfortunately , if a user purchases a device with such pre-installed advertising , it is often impossible to remove it without risking damage to the system .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
In this case , all hopes rest on enthusiasts who are busy creating alternative firmware for devices .		others others others others others others others others others others others others others others others others others others
But it ’s important to understand that reflashing can void the warranty and even damage the device .		others others others others others others others others others others others others others others others others others others others
As for ad modules have not yet done anything malicious , the user can only hope that the developers do not tack on ads from a malicious partner network without even realizing it themselves .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
MD5 42c97a5da141b9cfd7696583875bcef5 .		others others others
0065d7177dfd65cebb1e2e788dce0082 .		others others
fc0824678f582b0bdf65856e90cf0a01 .		others others
520b50eee2f9dc522a87398f3bd5be94 .		others others
cf808957da17f6a0b5d266b0e301bf63 .		others others
C&C www.ywupscsff.com/fud.do .		others others others others others
www.mzeibiyr.com/7ve5.do .		others others
i151125.infourl.net : 9080. www.jueoxdr.com/ea.do .		others others others others others
ufz.doesxyz.com .		others others
htapi.getapiv8.com/api.php?rq=plug .		others others others others
stable.icecyber.org .		others others
404mobi.com .		others others
51ginkgo.com .		others others
lbjg7.com .		others others
bigdata800.com .		others others
apd1.warnlog.com .		others others
apd1.thunup.com .		others others
