KONNI : A Malware Under The Radar For Years .		malware others others others others others others others others others
Once executed, two files were dropped on the targeted system: a decoy document (a picture) and a fake svchost.exe binary.		others others others sample_function sample_function sample_function sample_function others others others others others others others others others others others others others others others others others others
Both files were stored in "C:\Windows".		others others others others others others others others others others others
The fake svchost binary is the KONNI malware.		others others others others others others malware others others
The first task of the malware is to generate an ID to identify the infected system.		others others others others others others others others sub_activity sub_activity sub_activity others others others attack_goal attack_goal others
This ID is generated based on the installation date of the system, as found in the registry (HKLM\Software\Microsoft\Windows NT\CurrentVersion\InstallDate).		others others others others others others others others others others others others others others others others others others others others others others others
The second task of malware is to ping the CC and get orders.		others others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
The malware includes 2 domains: phpschboy.prohosts.org, jams481.site.bz.		others reference_word others others others others domain_evil others domain_evil others
The developer used the Microsoft Winsocks API to handle the network connection.		others others others others others others others others others others others others others
Surprisingly, this isn't the easiest or the most efficient technical choice for HTTP connection.		others others others others others others others others others others others others others others others others others
The malware samples we analysed connected to only one URI: <c2-domain>/login.php.		others others others others others others others others others others others domain_evil domain_evil domain_evil domain_evil others
This version of KONNI is not designed to execute code on the infected system.		others others others malware others others others others others others others others others others others
The purpose is to be executed only once and steal data on the infected system, here are the main features: Keyloggers, Clipboard stealer, Firefox profiles and cookies stealer, Chrome profiles and cookies stealer, Opera profiles and cookies stealer.		others others others others others others others others others attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others others others others others others others sample_function others sample_function sample_function others sample_function sample_function sample_function sample_function sample_function others sample_function sample_function sample_function sample_function sample_function others sample_function sample_function sample_function sample_function sample_function others
The name of the .scr file was directly linked to tension between North Korea and USA in March 2016: more information.		others others others others reference_word reference_word others others others others others others location location others location others time time others others others others
Based on the compilation dates of the binaries, the campaign took place in the same period.		others others others others others others others others others others others others others others others others others others
An interesting fact: the dropped library was compiled in 2014 and appears in our telemetry in August 2015.		others others others others others others others others others others others others others others others others others others others others
Indicating that this library was probably used in another campaign.		others others others others others others others others others others others
The .scr file contains 2 Office documents.		others others others others others others others others
The first document was in English and a second in Russian.		others others others others others others others others others others others others
In the sample only the English version can be displayed to the user (that is hardcoded in the sample).		others others others others others others others others others others others others others others others others others others others others others others
The Russian document is not used by the sample, we assume that the author of the malware forgot to remove the resource containing the Russia decoy document.		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The malware author changed the malware architecture, this version is divided in two binaries: conhote.dll, winnit.exe.		others others others others others others others others others others others others others others others others sample_name others sample_name others
Another difference is the directory where the files are dropped, it's no longer C:\Windows but rather the local setting of the current user (%USERPROFILE%\Local Settings\winnit\winnit.exe).		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Thanks to this modification, the malware can be executed with a non-administrator account.		others others others others others others others others others sample_function sample_function sample_function sample_function sample_function others
The .dll file is executed by the .exe file.		others others others others others others others others others others
In this version, a shortcut is created in order to launch winnit.exe in the following path %USERPROFILE%\Start Menu\Programs\Startup\Anti virus service.lnk.		others others others others others others others others others others others others others others others others others others others others others others others others others
As you can see the attacker has went to great lengths to disguise his service as a legitimate Antivirus Service by using the name 'Anti virus service.lnk'.		others others others others others person others others others others others others attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others
This is of course simple but often it can be enough for a user to miss something malicious by name.		others others others others others others others others others others others others others others others others others others others others others
As in the previous version, the ID of the infected system is generated with exactly the same method.		others others others others others others others others others others others others others others others others others others others others
The C2 is different and the analysed version this time only contains a single domain: dowhelsitjs.netau.net.		others others others others others others others others others others others others others others others others domain_evil others
In this version, the developer used a different API, the Wininet API which make more sense for Web requests.		others others others others others others others others others others others others others others others others others others others others others others
Moreover the C2 infrastructure evolved too, more .php files are available through the web hosting:  <c2-domain>/login.php (for infected machine registration) <c2-domain>/upload.php (for uploading files on the C2) <c2-domain>/download.php (for downloading file from the C2).		others others others others others others others others others others others others others others others others others others others others others others others sample_function sample_function sample_function others others others others others others others sample_function sample_function sample_function sample_function sample_function others others others others others others others sample_function sample_function sample_function sample_function sample_function others others
This version includes the stealer features mentioned in the previous version and additionally Remote Administration Tool features such as file uploading/download and arbitrary command execution.		others others others others others others others others others others others others others others others others others others others others others others others others others others
The library is only used to perform keylogging and clipboard stealing.		others others others others others others others others others others others others
Indeed, the malware author moved this part of the code from the core of the malware to a library.		others others others others others others others others others others others others others others others others others others others others others
An interesting element is that the malware looks for filenames created with the previous version of KONNI.		others others others others others others others others others others others others others others others others others others
This implies that the malware targeted the same people as the previous version and they are designed to work together.		others others others others others others others others others others others others others others others others others others others others others
The malware internally uses the following files:  solhelp.ocx sultry.ocx helpsol.ocx psltre.ocx screentmp.tmp (log file of the keylogger) spadmgr.ocx apsmgrd.ocx wpg.db.		others others others others others others others others sample_name sample_name sample_name sample_name sample_name others sample_function sample_function sample_function sample_function sample_function others sample_name sample_name sample_name others
In this campaign, the malware author uses the following name: Pyongyang Directory Group email April 2017 RC_Office_Coordination_Associate.scr.		others others others others others reference_word others others others others others others attack_activity attack_activity attack_activity attack_activity time time sample_name sample_name
The decoy document shown after infection is an Office document containing email addresses, phone numbers and contacts of members of official organizations such as the United Nations, UNICEF, Embassies linked to North Korea.		others others others others others others others others others others others others others others others others others others others others others target_crowd target_crowd others others others government government others government others government others others location location others
The .scr files drops two files: an executable and a library.		others others others sample_function sample_function sample_function others others others others others others others
As in the previous version, the persistence is achieved by a Windows shortcut (in this case adobe distillist.lnk).		others others others others others others others others others others others others others others others others others others others others others others
Contrary to the previous version, the developers moved the core of malware to the library.		others others others others others others others others others others others others others others others others others
The executable performs the following tasks: If the system is a 64-bit version of Windows, it downloads and executes a specific 64-bit version of the malware thanks to a powershell script.		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Loading the dropped library.		others others others others others
The library contains the same features as the previous version as well as new ones.		others others others others others others others others others others others others others others others others
This version of KONNI is the most advanced with better coding.		others others others malware others others others others others others others others
The malware configuration contains one Command and Control: pactchfilepacks.net23.net.		others others others others others others others others others domain_evil others
A new URI is available: <c2-domain>/uploadtm.php.		others others others others others others others others others others others
This URI is used with a new feature implemented in this version: the malware is able to perform screenshot (thanks to the GDI API) and uploads it thank to this URL.		others others others others others others others others others others others others others others reference_word others others others sample_function sample_function others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function others
The malware checks if a file used on a previous version of KONNI is available on the system.		others reference_word sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
Here is the complete list of files internally used by the RAT:  error.tmp (the log file of the keylogger) tedsul.ocx helpsol.ocx trepsl.ocx psltred.ocx solhelp.ocx sulted.ocx.		others others others others others others others others others others others others others sample_name others others others others others others others others sample_name sample_name sample_name sample_name sample_name sample_name others
The handling of instructions has improved too.		others others others others others others others others
Here are the 7 actions that the infected machine can be instructed to perform:  Delete a specific file.		others others others others others others others others others others others others others others others others others others others others
Upload a specific file based on a filename.		others others others others others others others others others
Upload a specific file based on the full path name.		others others others others others others others others others others others
Create a screenshot and uploads it on the C2.		others others others others others others others others tool others
Get system information.		others others others others
Download a file from the Internet.		others others others others others others others
Execute a command.		others others others others
When the attacker wants to gather information on the infected system (action 5), it retrieves the following information:  Hostname IP address Computer name Username name Connected drive OS version Architecture Start menu programs Installed software.		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The last identified campaign where KONNI was used was named Inter Agency List and Phonebook - April 2017 RC_Office_Coordination_Associate.scr.		others others others others others malware others others others others attack_activity attack_activity attack_activity attack_activity attack_activity others time time sample_name others
This file drops exactly the same files than the previous campaign but the decoy document is different.		others others others others others others others others others others others others others others others others others others
This document contains the name, phone number and email address of members of agencies, embassies and organizations linked to North Korea.		others others others others others others others others others others others others others others others others others others others others others location location others
The analysis shows us the evolution of KONNI over the last 3 years.		others others others others others others others malware others others others others others others
The last campaign was started a few days ago and is still active.		others others others others others others others others others others others others others others
The infrastructure remains up and running at the time of this post.		others others others others others others others others others others others others others
The RAT has remained under the radar for multiple years.		others others others others others others others others others others others
An explanation could be the fact that the campaign was very limited nature, which does not arouse suspicion.		others others others others others others others others others others others others others others others others others others others others
This investigation shows that the author has evolved technically (by implementing new features) and in the quality of the decoy documents.		others others others others others others others others others others others others others others others others others others others others others others others others
The campaign of April 2017 used pertinent documents containing potentially sensitive data.		others others others time time others others others others others others others others
Moreover the metadata of the Office document contains the names of people who seems to work for a public organization.		others others others others others others others others others others others others others others others others others others others others others
We don't know if the document is a legitimate compromised document or a fake that the attacker has created in an effort to be credible.		others others others others others others others others others others others others others others others others others others others others others others others others others others others
Clearly the author has a real interest in North Korea, with 3 of the 4 campaigns are linked to North Korea.		others others others others others others others others location location others others others others others others others others others others location location others
Additional ways our customers can detect and block this threat are listed below.		others others others others others others others others others others others others others others
Advanced Malware Protection (AMP) is ideally suited to prevent the execution of the malware used by these threat actors.		others others others others tool others others others others others others others others others others others others others others others others others
CWS or WSA web scanning prevents access to malicious websites and detects malware used in these attacks.		tool others tool others others others others others others others others others others others others others others others
Email Security can block malicious emails sent by threat actors as part of their campaign.		tool tool others others others others others others others others others others others others others others
The Network Security protection of IPS and NGFW have up-to-date signatures to detect malicious network activity by threat actors.		others others others others others tool others tool others others others others others others others others others others others others
AMP Threat Grid helps identify malicious binaries and build protection into all Cisco Security products.		tool tool tool others others others others others others others others others company company others others
Umbrella, our secure internet gateway (SIG), blocks users from connecting to malicious domains, IPs, and URLs, whether users are on or off the corporate network.		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
SHA256: 413772d81e4532fec5119e9dce5e2bf90b7538be33066cf9a6ff796254a5225f.		encryption_algo others sha2 others
Filename: beauty.scr.		others others sample_name others
SHA256: eb90e40fc4d91dec68e8509056c52e9c8ed4e392c4ac979518f8d87c31e2b435.		encryption_algo others sha2 others
Filename: C:\Windows\beauty.jpg.		others others others others others others
File type: JPEG image data, JFIF standard 1.02.		others others others others others others others others others others others
SHA256: 44150350727e2a42f66d50015e98de462d362af8a9ae33d1f5124f1703179ab9.		encryption_algo others sha2 others
Hilename: C:\Windows\svchost.exe.		others others others others others others
File type: PE32 executable (GUI) Intel 80386, for MS Windows.		others others others others others others others others others others others others company company others
phpschboy.prohosts.org.		domain_evil others
jams481.site.bz.		domain_evil others
SHA256: 94113c9968db13e3412c1b9c1c882592481c559c0613dbccfed2fcfc80e77dc5.		encryption_algo others sha2 others
Filename: How can North Korean hydrogen bomb wipe out Manhattan.scr.		others others sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name others
SHA256: 56f159cde3a55ae6e9270d95791ef2f6859aa119ad516c9471010302e1fb5634.		encryption_algo others sha2 others
Filename: conhote.dll.		others others sample_name others
SHA256: 553a475f72819b295927e469c7bf9aef774783f3ae8c34c794f35702023317cc.		encryption_algo others sha2 others
Filename: winnit.exe.		others others sample_name others
SHA256: 92600679bb183c1897e7e1e6446082111491a42aa65a3a48bd0fceae0db7244f.		encryption_algo others sha2 others
Filename: Anti virus service.lnk.		others others sample_name sample_name sample_name others
dowhelsitjs.netau.net.		domain_evil others
SHA256: 69a9d7aa0cb964c091ca128735b6e60fa7ce028a2ba41d99023dd57c06600fe0.		encryption_algo others sha2 others
Filename: Pyongyang Directory Group email April 2017.RC_Office_Coordination_Associate.scr.		others others sample_name sample_name sample_name sample_name sample_name sample_name others
SHA256: 4585584fe7e14838858b24c18a792b105d18f87d2711c060f09e62d89fc3085b.		encryption_algo others sha2 others
Filename: adobe distillist.lnk.		others others sample_name sample_name others
SHA256: 39bc918f0080603ac80fe1ec2edfd3099a88dc04322106735bc08188838b2635.		encryption_algo others sha2 others
Filename: winload.exe.		others others sample_name others
SHA256: dd730cc8fcbb979eb366915397b8535ce3b6cfdb01be2235797d9783661fc84d.		encryption_algo others sha2 others
Filename: winload.dll.		others others sample_name others
Pactchfilepacks.net23.net.		domain_evil others
checkmail.phpnet.us.		domain_evil others
KONNI: 413772d81e4532fec5119e9dce5e2bf90b7538be33066cf9a6ff796254a5225f44150350727e2a42f66d50015e98de462d362af8a9ae33d1f5124f1703179ab9553a475f72819b295927e469c7bf9aef774783f3ae8c34c794f35702023317cc56f159cde3a55ae6e9270d95791ef2f6859aa119ad516c9471010302e1fb563494113c9968db13e3412c1b9c1c882592481c559c0613dbccfed2fcfc80e77dc5f091d210fd214c6f19f45d880cde77781b03c5dc86aa2d62417939e7dce047ff0f327d67b601a87e575e726dc67a10c341720267de58f3bd2df3ce705055e757234f9d50aadb605d920458cc30a16b90c0ae1443bc7ef3bf452566ce111cece839bc918f0080603ac80fe1ec2edfd3099a88dc04322106735bc08188838b2635581e820637decf37bfd315c6eb71176976a0f2d59708f2836ff969873b86c7db640477943ad77fb2a74752f4650707ea616c3c022359d7b2e264a63495abe45e69a9d7aa0cb964c091ca128735b6e60fa7ce028a2ba41d99023dd57c06600fe097b1039612eb684eaec5d21f0ac0a2b06b933cc3c078deabea2706cb69045355dae9d8f9f7f745385286775f6e99d3dcc55bbbe47268a3ea20deffe5c8fd0f0edd730cc8fcbb979eb366915397b8535ce3b6cfdb01be2235797d9783661fc84de6a9d9791f763123f9fe1f69e69069340e02248b9b16a88334b6a5a611944ef9ead47df090a4de54220a8be27ec6737304c1c3fe9d0946451b2a60b8f11212d1.		malware others others others
