APT28 : AT THE CENTER OF THE STORM .		threatActor_name others others others others others others others others
APT28 NETWORK ACTIVITY HAS LIKELY SUPPORTED INFORMATION OPERATIONS :  World Anti-Doping Agency ( WADA ) :  SEPTEMBER 2016 .		threatActor_name others others others others others others others others government government government others government others others time time others
On September 13 , WADA confirmed that APT28 had compromised its networks and accessed athlete medical data .		others time time others government others others threatActor_name others sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity others
On September 12 , 2016 , the "Fancy Bears' Hack Team" persona claimed to have compromised WADA and released athletes' medical records as "proof of American athletes taking doping."		others time time time time others others others threatActor_name threatActor_name threatActor_name threatActor_name threatActor_name others others others others others sub_activity government others sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others
.		others
U.S. Democratic National Committee ( DNC ) :  APRIL – SEPTEMBER 2016 .		location government government government others government others others time time time time others
The DNC announced it had suffered a network compromise and that a subsequent investigation found evidence of two breaches , attributed to APT28 and APT29 .		others government others others others others others others others others others others others others others others others others others others others others threatActor_name others threatActor_name others
FireEye analyzed the malware found on DNC networks and determined that it was consistent with our previous observations of APT28 tools .		security_team sub_activity sub_activity sub_activity sub_activity sub_activity government others others others others others others others others others others others others threatActor_name others others
In June 2016 , shortly after the DNC's announcement , the Guccifer 2.0 persona claimed responsibility for the DNC breach and leaked documents taken from the organization's network .		others time time others others others others government others others others others threatActor_name threatActor_name others others others others others government others others sub_activity sub_activity others others others others others others others
Guccifer 2.0 continued to leak batches of DNC documents through September .		threatActor_name threatActor_name others others sub_activity sub_activity sub_activity sub_activity sub_activity others time others
John Podesta :  MARCH – NOVEMBER 2016 .		person person others time time time time others
Investigators found that John Podesta , Hillary Clinton's presidential campaign chairman , was one of thousands of individuals targeted in a mass phishing scheme using shortened URLs that security researchers attributed to APT28 .		person others others person person others person person others others others others others others others others others others others others others others others attack_activity others others tool tool others person person others others threatActor_name others
Throughout October and into early November , WikiLeaks published 34 batches of email correspondence stolen from John Podesta's personal email account .		time time time time time time others tool sub_activity sub_activity sub_activity sub_activity sub_activity others others others person person others others others others others
Correspondence of other individuals targeted in the same phishing campaign , including former Secretary of State Colin Powell and Clinton campaign staffer William Rinehart , were published on the "DC Leaks" website .		others others others target_crowd others others others others attack_activity others others others others government government government person person others person person person person person others others others others others others tool tool others others others
U.S. Democratic Congressional Campaign Committee ( DCCC ) :  MARCH - OCTOBER 2016 .		location government government government government others government others others time time time time others
In July , the DCCC announced that it was investigating an ongoing "cybersecurity incident" that the FBI believed was linked to the compromise of the DNC .		others time others others government others others others others others others others others others others others others others government others others others others others others others others government others
House Speaker Nancy Pelosi later confirmed that the DCCC had suffered a network compromise .		government government person person others others others others government others others others others others others
Investigators indicated that the actors may have gained access to DCCC systems as early as March .		person others others others person others others sub_activity sub_activity sub_activity government sub_activity others others others time others
In August , the Guccifer 2.0 persona contacted reporters covering U.S. House of Representative races to announce newly leaked documents from the DCCC pertaining to Democratic candidates .		others time others others threatActor_name threatActor_name others sub_activity sub_activity others location government government government others others others others others others others others government others others others others others
From August to October , Guccifer 2.0 posted several additional installments of what appear to be internal DCCC documents on "his" WordPress site .		others time time time others threatActor_name threatActor_name sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others others others others
TV5Monde :  FEBRUARY 2015 , APRIL 2015 .		company others time time others time time others
In February , FireEye identified CORESHELL traffic beaconing from TV5Monde's network , confirming that APT28 had compromised TV5Monde's network .		others time others security_team others tool tool tool others company others others others others others threatActor_name others others company tool tool others
In April 2015 , alleged pro-ISIS hacktivist group CyberCaliphate defaced TV5Monde's websites and social media profiles and forced the company's 11 broadcast channels offline .		others time time others others others others others threatActor_name others company others others others others others others others others others others others others others others others others
FireEye identified overlaps between the domain registration details of CyberCaliphate's website and APT28 infrastructure .		security_team others others others others others others others others threatActor_name others others others threatActor_name others others
Ukrainian Central Election Commission ( CEC ) :  MAY 2014 .		government government government government others government others others time time others
Ukrainian officials revealed that the investigation into the compromise of the CEC's internal network identified malware traced to APT28 .		others others others others others others others others others others others government others others others others others others others threatActor_name others
During the May 2014 Ukrainian presidential election , purported pro-Russian hacktivists CyberBerkut conducted a series of malicious activities against the CEC including a system compromise , data destruction , a data leak , a distributed denial-of-service ( DDoS ) attack , and an attempted defacement of the CEC website with fake election results .		others others time time others others others others others others others threatActor_name others others others others others others others others government others others sub_activity sub_activity others sub_activity sub_activity others others sub_activity sub_activity others others attack_activity attack_activity others attack_activity others others others others others others sub_activity sub_activity sub_activity government sub_activity others others others others others
As news of the DNC breach spread , APT28 was preparing for another set of operations : countering the condemnation that Russia was facing after doping allegations and a threatened blanket ban of the Russian team from the upcoming Rio Games .		others others others others government others others others threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Russia , like many nations , has long viewed success in the Olympic Games as a source of national prestige and soft power on the world stage .		location others others others others others others others others others others others others others others others others others others others others others others others others others others others
The doping allegations and prospective ban from the Games further ostracized Russia , and likely provided motivation to actively counter the allegations by attempting to discredit anti-doping agencies and policies .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Our investigation of APT28's compromise of WADA's network , and our observations of the surrounding events reveal how Russia sought to counteract a damaging narrative and delegitimize the institutions leveling criticism .		others others others threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
ALLEGATIONS OF RUSSIAN ATHLETES' WIDESPREAD DOPING :  NOV ( 2015 ) : WADA declares the Russian Anti-Doping Agency ( RUSADA ) noncompliant .		others others others others others others others others time time time time others government others others government government government others government others others others
JULY 18 : WADA-commissioned report documents evidence of Russian athletes' widespread doping .		time time others tool tool tool others others others others others others others others
AUG 4 : Russian athletes were barred from competing in the Olympic Games .		time time others person person others others others others others others industry industry others
APT28 COMPROMISES WADA :  EARLY AUG : APT28 sends spear phishing emails to WADA employees .		threatActor_name others government others time time others threatActor_name others attack_activity attack_activity others others government person others
AUG 10 : APT28 uses a legitimate user account belonging to a Russian athlete to log into WADA's AntiDoping Administration and Management System ( ADAMS ) database .		time time others threatActor_name others others tool tool tool others others others person person others others others government others tool tool tool tool tool others tool others others others
AUG 25-SEP 12 : APT28 gains access to an International Olympic Committee account created specifically for the 2016 Olympic Games , and views and downloads athlete data .		time time time others threatActor_name sub_activity sub_activity others others government government government others others others others others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity others
