APT Trends Report Q2 2018 .		others others others others others others
This new artefact directly targets Exchange Servers and uses legitimate standard calls to intercept emails , exfiltrate data and even send mails on behalf of the victims .		others reference_word reference_word others others industry industry others others others others others others others others others others others others others others others others others others others others others
We believe this actor has been using this technique since maybe as early as 2014 , and that there is a version affecting Unix servers running Postfix and Sendmail .		others others others others others others others others others others others others others others time others others others others others others others others others others others others others others others
So far we have seen victims of this implant in the Middle East and Central Asia .		others others others others others person others others others others others location location others location location others
One good example would be WhiteWhale , an actor that has been extremely quiet since 2016 .		others others others others others others others others others others others others others others others time others
We detected a new campaign last April where the actor was distributing both the Taidoor and Yalink malware families .		others others others others others time time others others reference_word others others others others malware others malware others others others
This activity was almost exclusively targeting Japanese entities .		others others others others others others others others others
Kimsuky decided to take advantage of this theme to distribute its malware in a new campaign .		others others others others others others others others others others others others others others others others others
A massive update to its arsenal in late 2017 and early 2018 was mobilized in a new wave of spear-phishing emails .		others others others others others others others others time others others time others others others others others others others others others others
We also discovered a new low-sophistication set of activity we call Perfanly , which we couldn´t attribute to any known actor .		others others others others others others others others others others others others others others others others others others others others others others
It has been targeting governmental entities in Malaysia and Indonesia since at least 2017 .		others others others others others others others location others location others others time time others
It uses custom multistage droppers as well as freely available tools such as Metasploit .		others others others others others others others others others others others others others others others
Between June and July , we observed a battery of attacks against various institutions in Kuwait .		time time time time others others others others others others others others others others others others others
These attacks leverage Microsoft Office documents with macros , which drop a combination of VBS and Powershell scripts using DNS for command and control .		others others others others others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
