Sowbug : Cyber espionage group targets South American and Southeast Asian governments .		others others others others others others others others others others others others others
One of the tactics it uses to avoid drawing attention to itself is impersonating commonly used software packages such as Windows or Adobe Reader .		others others others others others others others others others others others others others others others others others others others others others others others others others
It has never attempted to compromise the software itself .		others others others others others others others others others others
Rather , it gives its tools file names similar to those used by the software and places them in directory trees that could be mistaken for those used by the legitimate software .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This allows the attackers to hide in plain sight , as their appearance in process listings is unlikely to arouse suspicion .		others others others others others others others others others others others others others others others others others others others others others others
For example , in September 2016 , Sowbug infiltrated an organization in Asia , deploying the Felismus backdoor on one of its computers , Computer A , using the file name adobecms.exe in CSIDL_WINDOWS\debug .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
From there , it installed additional components and tools to a directory named CSIDL_APPDATA\microsoft\security .		others others others others others others others others others others others others others others others
The attackers then began to perform reconnaissance activities on Computer A via cmd.exe , collecting system-related information , such as the OS version , hardware configuration , and network information .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
They then performed some further reconnaissance , attempting to identify all installed applications on the computer .		others others others others others others others others others others others others others others others others others
They returned four days later , creating a sub-directory called “ common ” in the Adobe directory of the Program Files folder , i.e .		others others others others others others others others others others others others others others others others others others others others others others others others others
c:\Program Files\Adobe\common , and installed another tool in this sub-directory ,  again named adobecms.exe .		others others others others others others others others others others others others others others others others others
This was possibly an updated version of the backdoor .		others others others others others others others others others others
The attackers ’ network reconnaissance appeared to be successful because a second computer of interest in the organization was identified and compromised .		others others others others others others others others others others others others others others others others others others others others others others others
The attackers then returned to Computer A , installing another executable called fb.exe .		others others others others others others others others others others others others others others
This file appears to be used to copy Felismus across the network to other computers and there is evidence that the attackers used it to attempt to infect at least two more computers .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The attackers took further measures to remain under the radar by carrying out their operations outside of standard office hours .		others others others others others others others others others others others others others others others others others others others others others
In this case , the attackers maintained a presence on the target ’s network for nearly six months between September 2016 and March 2017 .		others others others others others others others others others others others others others others others others others others others others others others others others others others
How Sowbug performs its initial infiltration of a target ’s network remains unknown .		others others others others others others others others others others others others others others others
In some cases , there was no trace of how Felismus made its way onto compromised computers , meaning it was likely deployed from other compromised computers on the network .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
In other attacks , there was evidence that Felismus was installed using a tool known as Starloader ( detected by Symantec as Trojan.Starloader ) .		others others others others others others others others others others others others others others others others others others others others others others others others others
This is a loader that installs and decrypts data from a file called Stars.jpg .		others others others others others others others others others others others others others others others
Additionally , Starloader was also observed deploying additional tools used by the attackers , such as credential dumpers and keyloggers .		others others others others others others others others others others others others others others others others others others others others others
It is still unknown how Starloader is installed on the compromised computer .		others others others others others others others others others others others others others
One possibility is that the attackers use fake software updates to install files .		others others others others others others others others others others others others others others
Symantec has found evidence of Starloader files being named AdobeUpdate.exe , AcrobatUpdate.exe , and INTELUPDATE.EXE among others .		others others others others others others others others others others others others others others others others others others
These were used to create versions of the Felismus backdoor as well as other tools .		others others others others others others others others others others others others others others others others
While cyber espionage attacks are often seen against targets in the U.S. , Europe , and Asia , it is much less common to see South American countries targeted .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
However , the number of active cyber espionage operations has increased steadily in recent years and the emergence of Sowbug is a reminder that no region is immune to this kind of threat .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Symantec customers are protected against Sowbug and Symantec has also made efforts to notify identified targets of its operations .		others others others others others others others others others others others others others others others others others others others others
Customers with Intelligence Services or WebFilter-enabled products are protected against activity associated with the Sowbug group .		others others others others others others others others others others others others others others others others others
These products include :  Web Security Service ( WSS ) .		others others others others others others others others others others others
ProxySG .		others others
Advanced Secure Gateway ( ASG ) .		others others others others others others others
Security Analytics .		others others others
Content Analysis .		others others others
Malware Analysis .		others others others
SSL Visibility .		others others others
PacketShaper .		others others
Symantec has the following specific detections in place for the threats called out in this blog :  Backdoor.Felismus .		others others others others others others others others others others others others others others others others others others others
Trojan.Starloader .		others others
System Infected : Backdoor.Felismus Activity .		others others others others others others
System Infected : Backdoor.Felismus Activity 2 .		others others others others others others others
System Infected : Backdoor.Felismus Activity 3 .		others others others others others others others
Backdoor.Felismus samples 514f85ebb05cad9e004eee89dde2ed07 Backdoor.Felismus .		others others others others others
00d356a7cf9f67dd5bb8b2a88e289bc8 Backdoor.Felismus .		others others others
c1f65ddabcc1f23d9ba1600789eb581b Backdoor.Felismus .		others others others
967d60c417d70a02030938a2ee8a0b74 Backdoor.Felismus .		others others others
Trojan.Starloader samples 4984e9e1a5d595c079cc490a22d67490 Trojan.Starloader .		others others others others others
Hacktools e4e1c98feac9356dbfcac1d8c362ab22 Hacktool.Mimikatz .		others others others others
Installation directory .		others others others
%WINDOWS%\debug .		others others others others others
%APPDATA%\microsoft\security .		others others others others others
Command and control infrastructure .		others others others others others
nasomemberDOTcom .		others others
cosecmanDOTcom .		others others
unifoxsDOTcom .		others others
