Cycldek : Bridging the ( air ) gap .		threatActor_name others others others others others others others others
Communicated URL Scheme http://%s : %d/link?url=%s&enpl=%s&encd=%s http://%s : %d/search.jsp?referer=%s&kw=%s&psid=%s or http://%s : %d/search.jsp?url=%s&referer=%s&kw=%s&psid=%s .		others string others url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil others others url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil others
As demonstrated by the table , the variants share similar behavior .		others others others others others others others others others others others others
For example , both use DLL load order hijacking to run code from DLLs impersonating dependencies of legitimate AV utilities and both share a mutex naming convention of random UUIDs , where mutexes are used for synchronization of thread execution .		others others others others others string others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
By comparing code in both implants , we can find multiple functions that originate from the PCShare RAT ;  however , several others ( like the injection code in the figure below ) are proprietary and demonstrate identical code that may have been written by a shared developer .		others others others others others others others others others others others others others others others others malware malware others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Moreover , both implants leverage similar injected shellcode used to load the RedCore and BlueCore implants .		others others others others others others others program_language others others others others sample_name others sample_name others others
This shellcode , which resides in the files ‘ stdole.tlb ’  and ‘ msgsm64.acm ’  , contains a routine used to decrypt the implants ’ raw executable from an embedded blob , map it to memory and execute it from its entry point in a new thread .		others program_language others others others others others others others sample_name others others others sample_name others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Since both pieces of shellcode are identical for the two variants and cannot be attributed to any open source project , we estimate that they originate from a proprietary shared resource .		others others others others program_language others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Having said that , it is also evident that there are differences between the variants .		others others others others others others others others others others others others others others others others
The clearest distinctions can be made by looking at malware functionality that is unique to one type of implant and absent from the other .		others others others others others others others others others others others others others others others others others others others others others others others others others
The following are examples of features that could be found only in RedCore implants , suggesting that despite their similarity with BlueCore , they were likely used by a different entity for different purposes :  Keylogger :  RedCore records the title of the current foreground window ( if it exists ) and logs keystrokes each 10ms to an internal buffer of size 65530 .		others others others others others others others others others others others others sample_name others others others others others others others others sample_name others others others others others others others others others others others others others tool others sample_name sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others others others others others others others others others others others others
When this buffer is filled , data from it is written to a file named ‘ RCoRes64.dat ’  .		others others others others others others others others others others others others others others others others sample_name others others
The data is encoded using a single byte XOR with the key 0xFA .		others others others others others others others others string others others others string others
Device enumerator :  RedCore registers a window class intended to intercept window messages with a callback that checks if the inspected message was sent as a result of a DBT_DEVICEARRIVAL Such events signal the connection of a device to the system , in which case the callback verifies that this device is a new volume , and if it is , it sends a bitmap with the currently available logical drives to the C&C .		tool tool others sample_name others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others tool tool tool others
RDP logger :  RedCore subscribes to an RDP connection event via ETW and notifies the C&C when it occurs .		protocol others others sample_name sample_function sample_function sample_function protocol sample_function sample_function sample_function string sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
The code that handles this functionality is based on a little-known Github repository named EventCop which is intended to obtain a list of users that connected to a system via RDP .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others protocol others
The open-source code was modified so that instead of printing the data of the incoming connection , the malware would contact the C&C and inform it about the connection event .		others others others others others others others others others others others others others others others others others others others others others others tool tool tool others others others others others others others others
Proxy server :  RedCore spawns a server thread that listens on a pre-configured port ( by default 49563 ) and accepts requests from non-localhost connections .		tool tool others sample_name sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
A firewall exception is made for the process before the server starts running , and any subsequent requests passed from a source to it will be validated and passed on to the C&C in their original format .		others tool others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others tool tool tool others others others others others
Perhaps the most notable difference between the two implants is the URL scheme they use to connect and beacon their C&C servers .		others others others others others others others others reference_word others others string others others others others others others others others tool tool tool others others
By looking for requests made using similar URL patterns in our telemetry , we were able to find multiple C&C servers and divide the underlying infrastructure based on the aforementioned two clusters .		others others others others others others others string others others others others others others others others others others others tool tool tool others others others others others others others others others others others others others
The requests by each malware type were issued only by legitimate and signed applications that were either leveraged to side-load a malicious DLL or injected with malicious code .		others others others others others others others others others others others others others others others others others others others others others others string others others others others others others
All of the discovered domains were used to download further samples .		others others others others others others others others others others others others
The conclusion that we were able to reach from this is that while all targets were diplomatic and government entities , each cluster of activity had a different geographical focus .		others others others others others others others others others others others others others others others others target_crowd target_crowd target_crowd target_crowd others others others others others others others others others others others
The operators behind the BlueCore cluster invested most of their efforts on Vietnamese targets with several outliers in Laos and Thailand , while the operators of the RedCore cluster started out with a focus on Vietnam and diverted to Laos by the end of 2018 .		others person others others sample_name others others others others others others others target_crowd others others others others others location others location others others others person others others sample_name others others others others others others others location others others others location others others others others time others
The statistics of these activities , based on the number of detected samples we witnessed downloaded from each cluster of C&Cs , are outlined in the figures below .		others others others others others others others others others others others others others others others others others others others others tool tool others others others others others others others others others
Furthermore , considering both differences and similarities , we are able to conclude that the activities we saw are affiliated to a single actor , which we refer to as Cycldek .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others
In several instances , we spotted unique tools crafted by the group that were downloaded from servers of both groups .		others others others others others others others others others others others others others others others others others others others others others
One example of this , which can be seen in the figure below , is a tool custom built by the group named USBCulprit .		others others others others others others others others others others others others others others others others others others others others others reference_word others tool others
Two samples of it were downloaded from both BlueCore and RedCore servers .		others others others others others others others others sample_name others sample_name others others
A more comprehensive list can be found in the Appendix .		others others others others others others others others others others others
All in all , this suggests the entities operating behind those clusters are sharing multiple resources – both code and infrastructure – and operating under a single organizational umbrella .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
During the analysis , we were able to observe a variety of tools downloaded from both BlueCore and RedCore implants used for either lateral movement in the compromised networks or information stealing from infected nodes .		others others others others others others others others others others others others others others others others sample_name others sample_name others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
There were several types of these tools – some were proprietary and formerly unseen in the wild ;  others were pieces of software copied from open-source post-exploitation frameworks , some of which were customized to complete specific tasks by the attackers .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
As in the cases of RedCore and BlueCore , the downloaded tools were all invoked as side-loaded DLLs of legitimate signed applications .		others others others others others sample_name others sample_name others others others others others others others others others others others others others others others
Such applications included AV components like wsc_proxy.exe ( Avast remediation service ) , qcconsol.exe and mcvsshld.exe ( McAfee components ) , as well as legitimate Microsoft and Google utilities like the resource compiler ( rc.exe ) and Google Updates ( googleupdate.exe ) .		others others others others others others sample_name others tool others others others others sample_name others sample_name others tool others others others others others others others company others tool others others others tool tool others sample_name others others tool tool others sample_name others others
These tools could be used in order to bypass weak security mechanisms like application whitelisting , grant the malware additional permissions during execution or complicate incident response .		others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
As already mentioned , the bulk of these tools are common and widespread among attackers , sometimes referred to as living-off-the-land binaries , or LOLbins .		others others others others others others others others others others others others others others others others others others others others others others others others sample_name others
Such tools can be part of open-source and legitimate software , abused to conduct malicious activities .		others others others others others others others others others others others others others others others others others
Examples include BrowserHistoryView ( a Nirsoft utility to obtain browsing history from common browsers ) , ProcDump ( Sysinternals tools used to dump memory , possibly to obtain passwords from running processes ) , Nbtscan ( command line utility intended to scan IP networks for NetBIOS information ) and PsExec ( Sysinternals tools used to execute commands remotely in the network , typically used for lateral movement ) .		others others tool others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others tool others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others tool others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others tool others tool sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others
The rest of the tools were either developed fully by the attackers or made use of known tools that were customized to accommodate particular attack scenarios .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
The following are several notable examples :  Custom HDoor :  an old tool providing full-featured backdoor capabilities like remote machine administration , information theft , lateral movement and the launch of DDoS attacks .		others others others others others others others tool tool others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
Developed by a hacker known as Wicked Rose , it was popular in Chinese underground forums for a while and made its way into the APT world in the form of variants based on it .		others others others others others others person person others others others others others others others others others others others others others others others others others string others others others others others others others others others others
One example is the Naikon APT that made use of the original tool .		others others others others threatActor_name threatActor_name others others others others others others others others
The custom version used by Cycldek uses a small subset of the features and the attackers used it to scan internal networks and create tunnels between compromised hosts in order to avoid network detections and bypass proxies .		others others others others others threatActor_name others others others others others others others others others others others reference_word others attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others
The tool allows the attackers to exfiltrate data from segregated hosts accessible through the local network but not connected to the internet .		others others others others others others others others others others others others others others others others others others others others others others others
JsonCookies :  proprietary tool that steals cookies from SQLite databases of Chromium-based browsers .		tool others others others others sample_function string sample_function string sample_function sample_function sample_function sample_function others
For this purpose , the sqlite3.dll library is downloaded from the C&C and used during execution to parse the database and generate a JSON file named ‘ FuckCookies.txt ’  containing stolen cookie info .		others others others others others sample_name others others others others others tool tool tool others others others others others others others others others others others string others others others sample_name others others others string others others
ChromePass :  proprietary tool that steals saved passwords from Chromium-based browser databases .		tool others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
The output of the parsed database is an HTML document containing a table with URLs and their corresponding stolen username and password information .		others others others others others others others others program_language others others others others others others others others others others others others others others others
This program includes a descriptive command line message that explains how to use it , as outlined below .		others others others others others others others others others others others others others others others others others others others
One of the most notable examples in Cycldek ’s toolset that demonstrates both data stealing and lateral movement capabilities is a malware we discovered and dubbed USBCulrpit .		others others others others others others others threatActor_name others others others others others others others others others others others others others others others others others others others malware others
This tool , which we saw downloaded by RedCore implants in several instances , is capable of scanning various paths in victim machines , collecting documents with particular extensions and passing them on to USB drives when they are connected to the system .		others reference_word others others others others others others sample_name others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
It can also selectively copy itself to a removable drive in the presence of a particular file , suggesting it can be spread laterally by having designated drives infected and the executable in them opened manually .		reference_word others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others others others others others others others others others others others others others others
During the time the malware was active , it showed little change in functionality .		others others others others others others others others others others others others others others others
Based on Kaspersky ’s telemetry , USBCulprit has been seen in the wild since 2014 , with the latest samples emerging at the end of 2019 .		others others tool others others others others malware others others others others others others others time others others others others others others others others others others time others
The most prominent addition incorporated to samples detected after 2017 is the capability to execute files with a given name from a connected USB .		others others others others others others others others others time others others others others others others others others others others others others others string others
This suggests that the malware can be extended with other modules .		others others others others others others others others others others others others
However , we were not able to capture any such files and their purpose remains unknown .		others others others others others others others others others others others others others others others others others
Another change we saw is the loading scheme used for variants spotted after 2017 .		others others person others others others others others others others others others others time others
The older versions made use of a dropper that wrote a configuration file to disk and extracted an embedded cabinet archive containing a legitimate binary and a malicious side-loaded DLL .		others others others others others others others malware others others others others others others others others others others others others others others others others others others others others others string others
This was improved in the newer versions , where an additional stage was added , such that the side-loaded DLL decrypts and loads a third file from the archive containing the malicious payload .		others others others others others others others others others others others others others others others others others others others string others others others others others others others others others others others others others others
As a result , the latter can be found in its decrypted form only in memory .		others others others others others others others others others others others others others others others others others
This loading scheme demonstrates that the actor behind it makes use of similar TTPs seen in the previously described implants attributed to Cycldek .		others others others others others others person others others others others others others others others others others others others others others others threatActor_name others
For example , binaries mimicking AV components are leveraged for conducting DLL load-order hijacking .		others others others others others others others others others others others string others others others
In this case , one of the files dropped from the cabinet archive named ‘ wrapper.exe ’  ( originally named ‘ PtUserSessionWrapper.exe ’  and belonging to Trend Micro ) forces the execution of a malicious DLL named ‘ TmDbgLog.dll ’  .		others others others others others others others others others others others others others others others sample_name others others others others others sample_name others others others others others others others others others others others others others string others others sample_name others others
Also , the malware makes use of an encrypted blob that is decrypted using RC4 and executed using a custom PE loader .		others others others reference_word others others others others others string others others others others encryption_algo others others others others others tool tool others
Once USBCulprit is loaded to memory and executed , it operates in three phases :  Boostrap and data collection :  this stage prepares the environment for the malware ’s execution .		others malware others others others others others others others others others others others others others tool others others others others others others others others others others others reference_word others others others others
Namely , it invokes two functions named ‘ CUSB::RegHideFileExt ’  and ‘ CUSB::RegHideFile ’  that modify registry keys to hide the extensions of files in Windows and verify that hidden files are not shown to the user .		others others others others others others others others function function function others others others function function function others others others others others others others others others others others others OS_name others others others others others others others others others others others others
It also writes several files to disk and initializes a data structure with paths that are later used or searched by the malware.Additionally , the malware makes a single scan to collect files it intends to steal using a function named ‘ CUSB::USBFindFile ’  .		others others others others others others others others others others others others others others others others others others others others others others others others others reference_word others others others others others others others others others others others others others others others others function function function others others
They are sought by enumerating several predefined directories to locate documents with either one of the following extensions : *.pdf ;  *.doc ;  *.wps ;  *docx ;  *ppt ;  *.xls ;  *.xlsx ;  *.pptx ;  *.rtf .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Every document found is logged in a file that enlists all targeted paths for theft within a directory , such that every checked directory has a corresponding list file .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The chosen files are then grouped into encrypted RAR archives .		others others others others others others others others tool others others
To achieve that , the malware extracts a ‘ rar.exe ’  command line utility , hardcoded as a cabinet archive in its binary , and runs it against every list created in the former step .		others others others others others reference_word others others others sample_name others others others others others others others others others others others others others others others others others others others others others others others others others others
The password for the archive is initialized at the beginning of the malware ’s execution , and is set to ‘ abcd !		others others others others others others others others others others others others others others others others others others others others others others others others
@#$ ’  for most variants that we observed .		others others others others others others others others others others others
It is worth noting that sought documents can be filtered by their modification date .		others others others others others others others others others others others others others others others
Several variants of USBCulprit perform a check for a file named ‘ time ’  within the directory from which the malware is executed .		others others others malware others others others others others others others others others others others others others others others others others others others others
This file is expected to have a date-time value that specifies the modification timestamp beyond which files are considered of interest and should be collected .		others others others others others others others others others others others others others others others others others others others others others others others others others others
If the ‘ time ’  file doesn’t exist , it is created with the default value ‘ 20160601000000 ’  corresponding to 01/06/2016 00:00:00 .		others others others others others others others others others others others others others others others others others others others others others others others time time others
USB connection interception and data exfiltration/delivery :  when bootstrapping and data collection is completed , the malware attempts to intercept the connection of new media and verify that it corresponds to a removable drive .		string others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This is achieved by running an infinite loop , whereby the malware is put to sleep and wakes at constant intervals to check all connected drives with the GetDriveTypeW function .		others others others others others others others others others others others reference_word others others others others others others others others others others others others others others others others function others others
If at least one is of type DRIVE_REMOVABLE , further actions are taken .		others others others others others others others string others others others others others others
When a USB is connected , the malware will verify if stolen data should be exfiltrated to it or it already contains existing data that should be copied locally .		others others string others others others others others others others others others others others others others others others others others others others others others others others others others others others
To do this , a directory named ‘ $Recyc1e.Bin ’  will be searched in the drive and if not found , will be created .		others others others others others others others others sample_name sample_name others others others others others others others others others others others others others others others others
This directory will be used as the target path for copying files to the drive or source path for obtaining them from it .		others others others others others others others others others others others others others others others others others others others others others others others others
To understand which direction of file copy should take place , a special marker file named ‘ 1.txt ’  is searched locally .		others others others others others others others others others others others others others others others others others sample_name others others others others others
If it exists , the malware would expect to find the aforementioned ‘ $Recyc1e.Bin ’  directory in the drive with previously stolen document archives and attempt to copy it to the disk .		others others others others others others others others others others others others others sample_name sample_name others others others others others others others others others others others others others others others others others others others
Otherwise , the local archive files will be copied to the same directory from the disk to the drive .		others others others others others others others others others others others others others others others others others others others others
Lateral movement and extension :  as part of the same loop mentioned above , the existence of another marker file named ‘ 2.txt ’  will be checked locally to decide if lateral movement should be conducted or not .		others others others others others others others others others others others others others others others others others others others others others others sample_name others others others others others others others others others others others others others others others others
Only if this file exists , will the malware ’s binary be copied from its local path to the ‘ $Recyc1e.Bin ’  directory .		others others others others others others others others others others others others others others others others others others others others others sample_name sample_name others others others
It ’s noteworthy that we were unable to spot any mechanism that could trigger the execution of the malware upon USB connection , which leads us to believe the malware is supposed to be run manually by a human handler.Apart from the above , USBCulprit is capable of updating itself or extending its execution with further modules .		others others others others others others others others others others others others others others others others others others others others others string others others others others others others others others others others others others others others others others others others others others others others others malware others others others others others others others others others others others others others
This is done by looking for the existence of predefined files in the USB and executing them .		others others others others others others others others others others others others others string others others others others
Examples for these include { D14030E9-C60C-481E-B7C2-0D76810C6E96 } and { D14030E9-C60C-481E-B7C2-0D76810C6E95 } .Unfortunately , we could not obtain those files during analysis and cannot tell what their exact purpose is .		others others others others others sample_name others others others sample_name others others others others others others others others others others others others others others others others others others others others others
We can only guess that they are used as extension modules or updated versions of the malware itself based on their behavior .		others others others others others others others others others others others others others others others others others others others others others others others
The former is an archive that is extracted to a specific directory that has its files enumerated and executed using an internal function named ‘ CUSB::runlist ’  , while the latter is a binary that is copied to the %TEMP% directory and spawned as a new process .		others others others others others others others others others others others others others others others others others others others others others others others others others function function function others others others others others others others others others others others others others others others others others others others others others others others others
The characteristics of the malware can give rise to several assumptions about its purpose and use cases , one of which is to reach and obtain data from air-gapped machines .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This would explain the lack of any network communication in the malware , and the use of only removable media as a means of transferring inbound and outbound data .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Also , we witnessed some variants issue commands to gather various pieces of host network information .		others others others others others others others others others others others others others others others others others
These are logged to a file that is later transferred along with the stolen data to the USB and can help attackers profile whether the machine in which the malware was executed is indeed part of a segregated network .		others others others others others others others others others others others others others others others others others string others others others others others others others others others others others others others others others others others others others others others others
Another explanation is that the malware was handled manually by operators on the ground .		others others others others others others others others others others others others others others others
As mentioned earlier , there is no evident mechanism for automatically executing USBCulprit from infected media , and yet we saw that the same sample was executed from various drive locations , suggesting it was indeed spread around .		others others others others others others others others others others others others malware others others others others others others others others others others others others others others others others others others others others others others others others others others
This , along with the very specific files that the malware seeks as executable extensions and could not be found as artifacts elsewhere in our investigation , point to a human factor being required to assist deployment of the malware in victim networks .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Cycldek is an example of an actor that has broader capability than publicly perceived .		threatActor_name others others others others others person others others others others others others others others
While most known descriptions of its activity give the impression of a marginal group with sub-par capabilities , the range of tools and timespan of operations show that the group has an extensive foothold inside the networks of high-profile targets in Southeast Asia .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others location location others
Furthermore , our analysis of the implants affiliated to the group give an insight into its organizational structure .		others others others others others others others others others others others others others others others others others others others
As already stated , the similarities and differences in various traits of these pieces of malware indicate that they likely originated from different arms of a single organization .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Perhaps it ’s worth noting that we noted multiple points where such entities didn’t work in a well-coordinated manner , for example , infecting machines using the BlueCore implant when they were already infected with RedCore .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others sample_name others others others others others others others sample_name others
Lastly , we believe that such attacks will continue in Southeast Asian countries .		others others others others others others others others others others others others others others
The use of different tools to reach air-gapped networks in the same countries and attempts to steal data from them have been witnessed in the past .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
Our analysis shows this type of activity has not ceased – it has merely evolved and changed shape , in terms of malware and actors .		others others others others others others others others others others others others others others others others others others others others others others others others others others
We continue to track the actor and report on its activity in our Threat Intelligence Portal .		others others others others others others others others others others others others others others others others others
