APT trends report Q2 2019 .		others others others others others others
On May 14 , FT reported that a zero-day vulnerability in WhatsApp had been exploited , allowing attackers to eavesdrop on users , read their encrypted chats , turn on the microphone and camera and install spyware that allows even further surveillance , such as browsing through a victim ’s photos and videos , accessing their contact list and more .		time time time others security_team others others others vul_aliases vul_aliases others tool others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
In order to exploit the vulnerability , the attacker simply needs to call the victim via WhatsApp .		others others others others others others others others others others others others others others others others others others
This specially crafted call can trigger a buffer overflow in WhatsApp , allowing an attacker to take control of the application and execute arbitrary code in it .		others others others others others others others others others others tool others others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
Apparently , the attackers used this method to not only snoop on people ’s chats and calls but also to exploit previously unknown vulnerabilities in the operating system , which allowed them to install applications on the device .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The vulnerability affects WhatsApp for Android prior to 2.19.134 , WhatsApp Business for Android prior to 2.19.44 , WhatsApp for iOS prior to 2.19.51 , WhatsApp Business for iOS prior to 2.19.51 , WhatsApp for Windows Phone prior to 2.18.348 and WhatsApp for Tizen prior to 2.18.15 .		others others others others others OS_name OS_name OS_name OS_name others tool others others OS_name OS_name OS_name OS_name others others others OS_name OS_name OS_name OS_name others others others others OS_name OS_name OS_name OS_name others tool others OS_name OS_name OS_name OS_name OS_name others others others OS_name OS_name OS_name OS_name others
WhatsApp released patches for the vulnerability on May 13 .		counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure others time time others
Some have suggested that the spyware may be Pegasus , developed by Israeli company NSO .		others others others others others others others others malware others others others company company company others
We continue to track the activities of Russian-speaking APT groups .		others others others others others others others others others others others
These groups usually show a particular interest in political activities , but apart from a couple of interesting exceptions we failed to detect any remarkable examples during the last quarter .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
We did find a potential connection between Hades and a leak at the RANA institute .		others others others others others others others threatActor_name others others others others others threatActor_name threatActor_name others
Hades is possibly connected to the Sofacy threat actor , most notable for being behind Olympic Destroyer , as well as ExPetr and several disinformation campaigns such as the Macron leaks .		threatActor_name others others others others others threatActor_name threatActor_name threatActor_name others others others others others others malware malware others others others others malware others others others others others others others attack_activity attack_activity others
Earlier this year , a website named Hidden Reality published leaks allegedly related to an Iranian entity named the RANA institute .		time time time others others others others security_team security_team others others others others others others attack_activity attack_activity attack_activity attack_activity attack_activity attack_activity others
This was the third leak in two months that disclosed details of alleged Iranian threat actors and groups .		others others others others others others others others others others others others others others others others others others others
Close analysis of the materials , the infrastructure and the dedicated website used by those behind the leak led us to believe that these leaks might be connected to Hades .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others
This might be part of a disinformation campaign in which Hades helps to raise doubts about the quality of the information leaked in other cases from earlier this year .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Zebrocy continued adding new tools to its arsenal using various kinds of programming languages .		tool others sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others
We found Zebrocy deploying a compiled Python script , which we call PythocyDbg , within a Southeast Asian foreign affairs organization : this module primarily provides for the stealthy collection of network proxy and communications debug capabilities .		others others tool others others others tool tool others others others others reference_word others others others government government government government government others others others others others others others others others others others others others others others others others
In early 2019 , Zebrocy shifted its development efforts with the use of Nimrod/Nim , a programming language with syntax resembling both Pascal and Python that can be compiled down to JavaScript or C targets .		time time time others tool others others others others others others others others others others others others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
Both the Nim downloaders that the group mainly uses for spear-phishing , and other Nim backdoor code , are currently being produced by Zebrocy and delivered alongside updated compiled AutoIT scripts , Go , and Delphi modules .		others others tool tool others others others others others others others others others others others others others others others others others others others tool others others others others others others others others others others others others others others
The targets of this new Nimcy downloader and backdoor set includes diplomats , defense officials and ministry of foreign affairs staff , from whom they want to steal login credentials , keystrokes , communications , and various files .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The group appears to have turned its attention towards the March events involving Pakistan and India , and unrelated diplomatic and military officials , while maintaining ongoing access to local and remote networks belonging to Central Asian governments .		person person others others others others others others others others attack_activity attack_activity attack_activity attack_activity attack_activity attack_activity others others others others others others others others others others others others others others others others others others others government government government others
We also recently observed some interesting new artifacts that we relate to Turla with varying degrees of confidence .		others others others others others others others others others others others others others others others others others others others
In April 2019 , we observed a new COMpfun-related targeted campaign using new malware .		time time time others others others others others malware malware malware malware malware malware others
The Kaspersky Attribution Engine shows strong code similarities between the new family and the old COMpfun .		security_team security_team security_team security_team others others others others others others others others others others others malware others
Moreover , the original COMpfun is used as a downloader in one of the spreading mechanisms .		others others others others malware others sample_function sample_function sample_function sample_function others others others others others others others
We called the newly identified modules Reductor after a .pdb path left in some samples .		others others others others others others others others others others others others others others others others
We believe the malware was developed by the same COMPfun authors that , internally , we tentatively associated with the Turla APT , based on victimology .		others others others others others others others others others malware others others others others others others others others others others threatActor_name threatActor_name others others others others others
Besides the typical RAT functions ( upload , download , execute files ) , Reductor ’s authors put a lot of effort into manipulating installed digital root certificates and marking outbound TLS traffic with unique host-related identifiers .		others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others malware others others others others others others others others others sample_function sample_function sample_function sample_function sample_function others sample_function sample_function sample_function sample_function others others others others others
The malware adds embedded root certificates to the target host and allows operators to add additional ones remotely through a named pipe .		reference_word reference_word sample_function sample_function sample_function sample_function others others others others others sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others
The solution used by Reductor ’s developers to mark TLS traffic is the most ingenious part .		others others others others malware others others others others others others others others others others others others others
The authors don’t touch the network packets at all ; instead they analyze Firefox source and Chrome binary code to patch the corresponding system pseudo-random number generation ( PRNG ) functions in the process ’s memory .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Browsers use PRNG to generate the “ client random ” sequence during the very beginning of the TLS handshake .		others others others others others others others others others others others others others others others others others others others others
Reductor adds the victims ’ unique encrypted hardware- and software-based identifiers to this “ client random ” field .		malware sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others others
Additionally we identified a new backdoor that we attribute with medium confidence to Turla .		others others others others others others others others others others others others others threatActor_name others
The backdoor , named Tunnus , is .NET-based malware with the ability to run commands or perform file actions on an infected system and send the results to its C2 .		others others others others malware others others others others others others others others sample_function sample_function others sample_function sample_function sample_function others others others others others sample_function sample_function sample_function sample_function sample_function sample_function others
So far , the C2 infrastructure has been built using compromised sites with vulnerable WordPress installations .		others others others others others others others others others others others others others others others others others
According to our telemetry , Tunnus ’s activity started last March and was still active at the time of writing .		others others others others others attack_activity attack_activity attack_activity attack_activity others time time others others others others others others others others others others
ESET has also reported PowerShell scripts being used by Turla to provide direct , in-memory loading and execution of malware .		security_team others others others tool others others others others threatActor_name others others others others others others others others others others others
This is not the first time this threat actor has used PowerShell in this way , but the group has improved these scripts and is now using them to load a wide range of custom malware from its traditional arsenal .		others others others others others others reference_word reference_word reference_word others others tool others others others others others others others others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others others
The payloads delivered via the PowerShell scripts – the RPC backdoor and PowerStallion – are highly customized .		others others others others others tool others others others tool tool others tool others others others others others
Symantec has also been tracking targeted attacks in a series of campaigns against governments and international organizations across the globe over the past 18 months .		security_team others others others others attack_activity attack_activity attack_activity attack_activity attack_activity attack_activity attack_activity others others others others others others others others time time time time time others
The attacks have featured a rapidly evolving toolset and , in one notable instance , the apparent hijacking of infrastructure belonging to OilRig .		others others others others others others others others others others others others others others others others others others others others others others threatActor_name others
They have uncovered evidence that the Waterbug APT group ( aka Turla , Snake , Uroburos , Venomous Bear and KRYPTON ) has conducted a hostile takeover of an attack platform belonging to OilRig ( aka Crambus ) .		others others others others others others threatActor_name others others others others threatActor_aliases others threatActor_aliases others threatActor_aliases others threatActor_aliases threatActor_aliases others threatActor_aliases others others others others others others others others others others others others threatActor_name others others threatActor_aliases others others
Researchers at Symantec suspect that Turla used the hijacked network to attack a Middle Eastern government that OilRig had already penetrated .		others others security_team others others threatActor_name others others others others others others others government government government others threatActor_name others others others others
This is not the first time that we have seen this type of activity .		others others others others others others others others others others others others others others others
Clearly , operations of this kind make the job of attribution more difficult .		others others others others others others others others others others others others others others
The international community continues to focus on the activity of Russian-speaking threat actors .		others others others others others others others others others others others others others others
Over the last 18 months , the UK has shared information on attacks attributed to Russian hackers with 16 NATO allies , including attacks on critical national infrastructure and attempts to compromise central government networks .		time time time time time others others government others others others others others others others person person others others others others others others others others others others others others others others others others others others others
In his former capacity as UK foreign secretary , Jeremy Hunt , recently urged nations to band together to create a deterrent for state-sponsored hackers .		others others others others others others others others others others others others others others others others others others others others others others others others others others
As part of this push , the UK and its intelligence partners have been slowly moving towards a ‘ name and shame ’ approach when dealing with cyberattacks .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The use of the ‘ court of public opinion ’ in response to cyberattacks is a trend that we highlighted in our predictions for 2019 .		others others others others others others others others others others others others others others others others others others others others others others others others others others
To help this new strategy the EU recently passed new laws that will make it possible for EU member states to impose economic sanctions against foreign hackers .		others others others others others government government others counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure others
Researchers at the Microstep Intelligence Bureau have published a report on targeted attacks on the Ukrainian government that they attribute to the Gamaredon threat actor .		others others others security_team security_team security_team others others others others others others others others others government government others others others others others threatActor_name others others others
Recently , the group launched attacks on a number of state organizations in Ukraine using Pterodo , malware used exclusively by this group .		others others person person others others others industry industry industry industry industry others location others malware others others others others others others others others
Since February , the attackers have deployed a large number of dynamic domain names and newly registered domain names believed to be used to launch targeted attacks against elections in Ukraine .		others time others person person others others others others others others others others others others others others others others others others others others others others attack_goal attack_goal attack_goal attack_goal others location others
We found an active campaign by a Chinese APT group we call SixLittleMonkeys that uses a new version of the Microcin Trojan and a RAT that we call HawkEye as a last stager .		others others others others others others others others others others others others threatActor_name others others others others others others others malware malware others others tool others others others tool others others others others others
The campaign mainly targets government bodies in Central Asia .		others others others others government government government government government others
For persistence , the operators use .DLL search order hijacking .		others others others others others others others others others others others
This consists of using a custom decryptor with a system library name ( e.g.		others others others others others others others others others others others others others others others
, version.dll or api-ms-win-core-fibers-l1-1-1.dll ) in directories , along with the legitimate applications that load these libraries into memory .		others others others others others others others others others others others others others others others others others others others others
Among other legitimate applications , the threat actor uses the Google updater , GoogleCrashHandler.exe , for .DLL hijacking .		others others others others others others others others others others others others others others others others others others others
Custom encryptors protect the next stagers from detection on disk and from automated analysis , using the same encryption keys in different samples .		others others others others others others others others others others others others others others others others others others others others others others others others
For secure TLS communication with its C2 , the malware uses the Secure Channel ( Schannel ) Windows security package .		others others others others others others others others malware malware others others tool tool tool tool tool tool tool tool others
ESET discovered that the attackers behind the Plead malware have been distributing it using compromised routers and man-in-the-middle ( MITM ) attacks in April .		security_team others others others others others others malware others others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others time others
Researchers have detected this activity in Taiwan , where the Plead malware has been most actively deployed .		others others others others others others location others others others malware others others others others others others others
Trend Micro has previously reported the use of this malware in targeted attacks by the BlackTech group , primarily focused on cyber-espionage in Asia .		security_team security_team others others others others others others others others others others others others others threatActor_name threatActor_name others others others others others others location others
ESET telemetry has revealed multiple attempts to deploy it .		security_team others others others others others others others others others
LuckyMouse activity detected by Palo Alto involved the attackers installing web shells on SharePoint servers to compromise government organizations in the Middle East , probably exploiting CVE-2019-0604 , a remote code execution vulnerability used to compromise the server and eventually install a web shell .		threatActor_name others others others security_team security_team others others others others others others others tool others others government government government others others location location others others others vulnerability_cve others others others others others others others others others others others others others others others others others others
The actors uploaded a variety of tools that they used to perform additional activities on the compromised network , such as dumping credentials , as well as locating and pivoting to additional systems on the network .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Of particular note is the group ’s use of tools to identify systems vulnerable to CVE-2017-0144 , the vulnerability exploited by EternalBlue and used in the 2017 WannaCry attacks .		others others others others others others others others others others others others others others others others vulnerability_cve others others others others others malware others others time time time attack_activity attack_activity others
This activity appears to be related to campaigns exploiting CVE-2019-0604 mentioned in recent security alerts from the Saudi Arabian National Cyber Security Center and the Canadian Center for Cyber Security .		others others others others others others others others others vulnerability_cve others others others others others others others security_team security_team security_team security_team security_team security_team others others security_team security_team security_team security_team security_team others
Last year , a number of Chinese hackers allegedly linked to the Chinese government were indicted in the US .		time time others others others others others others others others others others government government others others others others government others
In May , the US Department of Justice indicted a Chinese national for a series of computer intrusions , including the 2015 data breach of health insurance company Anthem which affected more than 78 million people .		time time others others government government government government others others person person person person person person person person others others others attack_activity attack_activity attack_activity others others others others others others others others others others others others others
The last three months have been very interesting for this region , especially considering the multiple leaks of alleged Iranian activity that were published within just a few weeks of each other .		others others others others others others others others others others others others others others others others others others others location others others others others others others others others others others others others others
Even more interesting is the possibility that one of the leaks may have been part of a disinformation campaign carried out with the help of the Sofacy/Hades actor .		others others others others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others others
In March , someone going by the handle Dookhtegan or Lab_dookhtegan started posting messages on Twitter using the hashtag #apt34 .		time time others others others others others others others others others others others others others others others others others others threatActor_name others
Several files were shared via Telegram that supposedly belonged to the OilRig threat actor .		others others others others others tool others others others others others threatActor_name others others others
They included logins and passwords of several alleged hacking victims , tools , infrastructure details potentially related to different intrusions , the résumés of the alleged attackers and a list of web shells – apparently relating to the period 2014-18 .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others time others
The targeting and TTPs are consistent with this threat actor , but it was impossible to confirm the origins of the tools included in the dump .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
Assuming that the data in the dump is accurate , it also shows the global reach of the OilRig group , which has generally been thought to operate primarily in the Middle East .		others others others others others others others others others others others others others others others others others others threatActor_name others others others others others others others others others others others others location location others
On April 22 , an entity going by the alias Bl4ck_B0X created a Telegram channel named GreenLeakers .		time time time others others others others others others others threatActor_name others others others others others others others
The purpose of the channel , as stated by its creator , was to publish information about the members of the MuddyWater APT group , “ along with information about their mother and spouse and etc.		others others others others others others others others others others others others others others others others others others others others others threatActor_name others others others others others others others others others others others others others others others
” , for free .		others others others others others
In addition to this free information , the Bl4ck_B0X actor (s ) also hinted that “ highly confidential ” information related to MuddyWater would be put up for sale .		others others others others others others others others threatActor_name others others others others others others others others others others others others others others threatActor_name others others others others others others others
On April 27 , three screenshots were posted in the GreenLeakers Telegram channel , containing alleged screenshots from a MuddyWater C2 server .		others others others others others others others others others others others others others others others others others others others others others others others
On May 1 , the channel was closed to the public and its status changed to private .		others others others others others others others others others others others others others others others others others others
This was before Bl4ck_B0X had the chance to publish the promised information on the MuddyWater group .		others others others threatActor_name others others others others others others others others others others threatActor_name others others
The reason for the closure is still unclear .		others others others others others others others others others
Finally , a website named Hidden Reality published leaks allegedly related to an entity named the Iranian RANA institute .		others others others others others others others others others others others others others others others others threatActor_name threatActor_name threatActor_name others
It was the third leak in two months disclosing details of alleged Iranian threat actors and groups .		others others others others others others others others others others others others others others others others others others
Interestingly , this leak differed from the others by employing a website that allows anyone to browse the leaked documents .		others others others others others others others others others others others others others others others others others others others others others
It also relies on Telegram and Twitter profiles to post messages related to Iranian CNO capabilities .		others others others others others others others others others others others others others others others others others
The Hidden Reality website contains internal documents , chat messages and other data related to the RANA institute ’s CNO ( Computer Network Operations ) capabilities , as well as information about victims .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Previous leaks were focused more on tools , source code and individual actor profiles .		others others others others others others others others others others others others others others others
Close analysis of the materials , the infrastructure and the dedicated website used by the leakers , provided clues that led us to believe Sofacy/Hades may be connected to these leaks .		others others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others others others others others others others
There was also other Muddywater activity unrelated to the leak , as well as discoveries linked to previous activity by the group , such as ClearSky ’s discovery of two domains hacked by MuddyWater at the end of 2018 to host the code of its POWERSTATS malware .		others others others others threatActor_name others others others others others others others others others others others others others others others others others others others others security_team others others others others others others others others threatActor_name others others others others time others others others others others others malware others others
In April , Cisco Talos published its analysis of the BlackWater campaign , related to MuddyWater activity .		time time others security_team security_team others others others others others threatActor_name others others others others threatActor_name others others
The campaign shows how the attackers added three distinct steps to their operations , allowing them to bypass certain security controls to evade detection : an obfuscated VBA script to establish persistence as a registry key , a PowerShell stager and FruityC2 agent script , and an open source framework on GitHub to further enumerate the host machine .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others tool others others tool others others others others others others others others others others others others others others others others others
This could allow the attackers to monitor web logs and determine whether someone outside the campaign has made a request to their server in an attempt to investigate the activity .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Once the enumeration commands run , the agent communicates with a different C2 and sends back data in the URL field .		others others others others others others others others others others others others others others others others others others others others others others
Trend Micro also reported MuddyWater ’s use of a new multi-stage PowerShell-based backdoor called POWERSTATS v3 .		security_team security_team others others threatActor_name others others others others others others others tool tool others malware malware others
We published a private report about four Android malware families and their use of false flag techniques , among other things .		others others others others others others others others others others others others others others others others others others others others others others
One of the campaigns sent spear-phishing emails to a university in Jordan and the Turkish government , using compromised legitimate accounts to trick victims into installing malware .		others others others others others others others others others others others location others others government government others others others others others others others others others others others others
Regarding other groups , we discovered new activity related to ZooPark , a cyber-espionage threat actor that has focused mainly on stealing data from Android devices .		others others others others others others others others others others threatActor_name others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function others
Our new findings include new malicious samples and additional infrastructure that has been deployed since 2016 .		others others others others others others others others others others others others others others others time others
This also led to us discovering Windows malware implants deployed by the same threat actor .		others others others others others others others others others others others others others others others others
The additional indicators we found shed some light on the targets of past campaigns , including Iranian Kurds – mainly political dissidents and activists .		others others others others others others others others others others others others others others others others others others others others others others others others others
Recorded Future published an analysis of the infrastructure built by APT33 ( aka Elfin ) to target Saudi organizations .		others others others others others others others others others others threatActor_name others others threatActor_aliases others others others others others others
Following the exposure of a wide range of their infrastructure and operations by Symantec in March , researchers at Recorded Future discovered that APT33 , or closely aligned actors , reacted by either parking or reassigning some of their domain infrastructure .		others others others others others others others others others others others others others security_team others time others others others security_team security_team others others threatActor_name others others others others others others others others others others others others others others others others others others
The fact that this activity was executed just a day or so after the report went live suggests the Iranian threat actors are acutely aware of the media coverage of their activities and are resourceful enough to be able to react in a quick manner .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Since then , the attackers have continued to use a large swath of operational infrastructure , well in excess of 1,200 domains , with many observed communicating with 19 different commodity RAT implants .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
An interesting development appears to be their increased preference for njRAT , with over half of the observed suspected APT33 infrastructure being linked to njRAT deployment .		others others others others others others others others others others malware others others others others others others others others threatActor_name others others others others malware others others
On a more political level , there were several news stories covering Iranian activity .		others others others others others others others others others others others others others others others
A group connected to the Iranian Revolutionary Guard has been blamed for a wave of cyber-attacks against UK national infrastructure , including the Post Office , local government networks , private companies and banks .		others others others others others security_team security_team security_team others others others others others others others others others others others others others others others others others others others others others others others others others others others
Personal data of thousands of employees were stolen .		others others others others others others others others others
It is believed that the same group was also responsible for the attack on the UK parliamentary network in 2017 .		others others others others others others others others others others others others others others others others others others others time others
The UK NCSC ( National Cyber Security Centre ) is providing assistance to affected organizations .		others security_team security_team others security_team security_team security_team security_team others others others others others others others others
Microsoft recently obtained a court order in the US to seize control of 99 websites used by the Iranian hacking group APT35 ( aka Phosphorus and Charming Kitten ) .		others others others others others others others others others others others others others others others others others others location others others threatActor_name others others threatActor_aliases others threatActor_aliases threatActor_aliases others others
The threat actor used spoofed websites , including those of Microsoft and Yahoo , to conduct cyberattacks against businesses , government agencies , journalists and activists who focus on Iran .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The sinkholing of these sites will force the group to recreate part of its infrastructure .		others others others others others others others others others others others others others others others others
The US Cybersecurity and Infrastructure Security Agency ( CISA ) has reported an increase in cyberattacks by Iranian actors or proxies , targeting US industries and government agencies using destructive wiper tools .		others security_team security_team security_team security_team security_team security_team others security_team others others others others others others others others others others others others others others industry industry industry industry industry others tool tool tool others
The statement was posted on Twitter by CISA director , Chris Krebs .		others others others others others others others security_team others others others others others
This quarter we detected a lot of Korean-related activity .		others others others others others others others others others others
However , for the rest of the Southeast Asian region there has not been that much activity , especially when compared to earlier periods .		others others others others others others others others others others others others others others others others others others others others others others others others others
Early in Q2 , we identified an interesting Lazarus attack targeting a mobile gaming company in South Korea that we believe was aimed at stealing application source code .		others others others others others others others others threatActor_name others others others others others others others others others others others others others others others sample_function sample_function sample_function sample_function others
It ’s clear that Lazarus keeps updating its tools very quickly .		others others others others others threatActor_name others others others others others others others
Meanwhile , BlueNoroff , the Lazarus sub-group that typically targets financial institutions , targeted a bank in Central Asia and a crypto-currency business in China .		others others threatActor_name others others threatActor_name others others others others industry industry others others others industry industry industry industry industry industry industry industry industry industry others
In a recent campaign , we observed ScarCruft using a multi-stage binary to infect several victims and ultimately install a final payload known as ROKRAT – a cloud service-based backdoor .		others others others others others others others threatActor_name others others others others others others others others others others others others others others others others tool others others others others others others
ScarCruft is a highly skilled APT group , historically using geo-political issues to target the Korean Peninsula .		threatActor_name others others others others others others others others others others others others others others location location others
We found several victims worldwide identified as companies and individuals with ties to North Korea , as well as a diplomatic agency .		others others others others others others others others others others others others others others others others others others others others others others others
Interestingly , we observed that ScarCruft continues to adopt publicly available exploit code in its tools .		others others others others others threatActor_name others others others others others others others others others others others
We also found an interesting overlap in a Russian-based victim targeted both by ScarCruft and DarkHotel – not the first time that we have seen such an overlap .		others others others others others others others others others others others others others threatActor_name others threatActor_name others others others others others others others others others others others others others
ESET recently analyzed a new Mac OS sample from the OceanLotus group that had been uploaded to VirusTotal .		security_team others others others others OS_name OS_name others others others threatActor_name others others others others others others tool others
This backdoor shares its features with a previous Mac OS variant , but the structure has changed and detection is now much harder .		others others others others others others others others OS_name OS_name others others others others others others others others others others others others others others
Researchers were unable to find the dropper associated with this sample , so they could not identify the initial compromise vector .		others others others others others others others others others others others others others others others others others others others others others others
The US Department of Homeland Security ( DHS ) has reported Trojan variants , identified as HOPLIGHT , being used by the North Korean government .		others security_team security_team security_team security_team security_team others security_team others others others tool others others others others tool others others others others others government government government others
The report includes an analysis of nine malicious executable files .		others others others others others others others others others others others
Seven of them are proxy applications that mask traffic between the malware and the remote operators .		others others others others others others others others others others others others others others others others others
The proxies have the ability to generate fake TLS handshake sessions using valid public SSL certificates , disguising network connections with remote malicious actors .		others others others others others others others others others others others others others others others others others others others others others others others others others
One file contains a public SSL certificate and the payload of the file appears to be encoded with a password or key .		others others others others others others others others others others others others others others others others others others others others others others others
The remaining file does not contain any of the public SSL certificates , but attempts outbound connections and drops four files : the dropped files primarily contain IP addresses and SSL certificates .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
In June , we came across an unusual set of samples used to target diplomatic , government and military organizations in countries in South and Southeast Asia .		others others others others others others others others others others others others others others others others others others others others others others others location location location location others
The threat actor behind the campaign , which we believe to be the PLATINUM APT group , uses an elaborate , previously unseen , steganographic technique to conceal communication .		others others others others others others others others others others others others others threatActor_name others others others others others others others others others others others others others others others others
A couple of years ago , we predicted that more and more APT and malware developers would use steganography , and this campaign provides proof : the actors used two interesting steganography techniques in this APT .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
It ’s also interesting that the attackers decided to implement the utilities they need as one huge set – an example of the framework-based architecture that is becoming more and more popular .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
On May 14 , Microsoft released fixes for a critical Remote Code Execution vulnerability ( CVE-2019-0708 ) in Remote Desktop Services ( formerly known as Terminal Services ) that affects some older versions of Windows : Windows 7 , Windows Server 2008 R2 , Windows Server 2008 and some unsupported versions of Windows – including Windows 2003 and Windows XP .		others time time others security_team others others others others others vul_aliases vul_aliases vul_aliases vul_aliases others vulnerability_cve others others others others others others others others others others others others others others others others others others others others OS_name OS_name others OS_name OS_name OS_name OS_name others OS_name OS_name OS_name others OS_name OS_name OS_name OS_name OS_name others others OS_name OS_name others OS_name OS_name others
Details on how to mitigate this vulnerability are available in our private report ‘ Analysis and detection guidance for CVE-2019-0708 ’ .		others others others others others others others others others others others others others others others others others others others vulnerability_cve others others
The Remote Desktop Protocol ( RDP ) itself is not vulnerable .		others others others others others others others others others others others others
This vulnerability is pre-authentication and requires no user interaction .		others others others others others others others others others others
In other words , the vulnerability is ‘ wormable ’ , meaning that any future malware that exploits this vulnerability could propagate from vulnerable computer to vulnerable computer in a similar way that WannaCry spread .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Microsoft has not observed exploitation of this vulnerability , but believes it is highly likely that malicious actors will write an exploit for it .		others others others others others others others others others others others others others others others others others others others others others others others others others
