IXESHE An APT Campaign .		threatActor_name others others others others
Cause a system to pause or sleep for a specified number of minutes .		attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others
Spawn a remote shell .		attack_goal attack_goal attack_goal attack_goal others
List all current files and directories .		attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others
Every IXESHE case we examined revealed that the original infection vector was a targeted email with a PDF exploit as attachment .		others threatActor_name others others others others others others others others others others others others tool others tool tool tool others others others
Older versions also used an XLS exploit .		others others others others others tool others others
Opening the .PDF file drops and executes a malware in a victim ’s system .		others others others others others others others others others others others others others others others others
The malware displays a blank .PDF file or a decoy document related to the targeted attack .		others others others others others others others others others others others others others others others others others
The emails normally come from compromised personal accounts or are entirely spoofed .		others tool others others others others others others others others others others others
Emails from spoofed senders were usually sent via mail servers in the United States and China .		tool others others others others others others others tool tool others location location location others location others
Once dropped onto target systems by means of a document exploit attached to a tailored email , the malware drops an executable file into one of the following folders :  %APPDATA%\Locations\ .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
%APPDATA%\Adobe .		others others others others others
%TEMP% The malware also sets the executable file ’s attributes to ”  Hidden .		others others others others others others others others others others others others others others others others others
”  Some of the file names the attackers used include :  winhlps.exe .		others others others others others others others person others others others sample_name others
acrotry.exe .		sample_name others
AcroRd32.exe .		sample_name others
Updater.exe In order for the malware to survive rebooting , it normally creates the following registry run key :  HKEY_CURRENT_USER\Software\Microsoft\Windows\ CurrentVersion\Run The registry run key , in turn , points to the malware that has been dropped .		sample_name others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The value name of this entry varies from sample to sample .		others others others others others others others others others others others others
Some of the names the attackers used for it include :   Adobe Assistant .		others others others others person person others others others others others tool tool others
Migrated .		tool others
Some samples , however , do not use a registry run key as load point .		others others others others others others others others others others others others others others others others
Some of the more recent samples we observed create a shortcut ( i.e .		others others others others others others others others others others others others others others
, .LNK file ) in the Startup folder with names such as adobe reader speed launch.lnk .		others others others others others others others others others others others others others others others others others
The malware also checks a system ’s proxy settings for later use in C&C communications : HKEY_CURRENT_USER\Software\Microsoft\Windows\ CurrentVersion\Internet Settings ProxyEnable ProxyServer .		others others others others others others others others others others others others others others others others others others others others others others others others others
Upon installation , the malware starts communicating with one of its C&C servers .		others others others others others others others others others others others others others others others others
Most of the samples appeared to have at least three C&C servers hard coded for redundancy .		others others others others others others others others others others others others others others others others others others others
The C&C communications are easy to identify , as these tended to be coded in the following predetermined format : http://[ C&C Server ]/[ ACD ] [ EW ]S[ Some Numbers ] .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
jsp?		others others
[ Encrypted Base64 Blob ] Some samples alternatively use an FGKD.jsp or an FPK.jsp file .		others others others others others others others others others others tool others others tool others others
The Base64 blob is of particular interest .		others others others others others others others others
It makes use of a custom Base64 alphabet .		others others others others others others others others others
Once decoded , this blob reveals a standardized structure of the information sent to the registered C&C server , which includes the following details :   Computer name .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Local IP address .		others others others others
Proxy server IP and port .		others others others others others others
Malware ID .		others others others
To date , we have seen several custom Base64 alphabets , including :   +NO5RZaGHviIjhYq8b4ndQ=p012ySTcCDrs/xPgUz67FM3wemKfkJLBo9VtWXlEuA .		others others others others others others others others others others others others others string others
HZa4vjIiGndQ=p012y+NO5RST/xPgUz67FMhYq8b3wemKfkJLBocCDrs9VtWXlEu .		string others
j4vpGZaHnIdQ=i012y+N/zPgUO5RSTx67FMhYb8q3wemKckJLBofCDrs9VtWXlEu .		string others
p12kJLBofCDrs9VtWXlEuainyj4vd+=H0GZIQNO5RST/zPgUx67FMhYb8q3wemKc .		string others
aZHGviIj4ndQ=p012y+NO5RST/xPgUz67FMhYq8b3wemKfkJLBocCDrs9VtWXlEu .		string others
ZvQIajHi4ndG=p012y+NO5RST/xPgUz67FMhYq8b3wemKfkJLBocCDrs9VtWXlEu .		string others
ZaGHviIj4ndQ=p012y+NO5RST/xPgUz67FMhYq8b3wemKfkJLBocCDrs9VtWXlEu .		string others
4HIvZGjaiQdn=p012y+NO5RST/xPgUz67FMhYq8b3wemKfkJLBocCDrs9VtWXlEu .		string others
pGIaHnZj0vdQ=i421y+NO5RSY/zMgUx67KPhTb8q3wemFckBLJufWErs9VtCXlDo .		string others
QpaZIivj4ndG=H021y+NO5RST/xPgUz67FMhYq8b3wemKfkJLBocCDrs9VtWXlEu .		string others
pGZaHnIj4vdQ=i012y+NO5RST/zPgUx67FMhYb8q3we mKckJLBofCDrs9VtWXlEu .		string string others
Some similarities exist across different versions of the Base64 alphabet , which indicates that these are most likely not completely randomly generated .		others others others others others others others others others others others others others others others others others others others others others others others
Instead , the attackers manually cut and pasted older versions after altering some parts .		others others others others others others others others others others others others others others others
The malware ID seems to be a campaign code with a different IP address for each attack .		others others others others others others others others others others others others others others others others others others
Some of the campaign codes we have seen include :  It appears that the numbers in the given campaign codes refer to dates when the campaigns were launched in  ”  MMDD ”  format .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The letters are possibly related to the target industry or company .		others others others others others others others others others others others others
PAGE 4 | IXESHE If the malware does not get a response from the C&C server , it will choose another random number after the AWS part of the URL and try again .		others others others threatActor_name others others others others others others others others others others tool tool tool others others others others others others others others others others others others others others tool others others others others
Once connected , the malware specifically waits for the remote server to issue the following commands , which may vary from one version to another :  del [ parameter ] : Allows a remote user to delete files .		others others others others others others others others others others others others others others others others others others others others others others others others others others tool others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
disk [ parameter ] : Lists all available drives .		tool others others others others sample_function sample_function sample_function sample_function others
dos [ parameter ] : Allows a remote user to execute commands via cmd.exe .		tool others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
get [ parameter ] : Allows a remote user to download a file from the remote server onto a local machine .		tool others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
list [ parameter ] : Lists files on the victim ’s machine .		tool others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
ls [ parameter ] : Allows a remote user to display the contents of a directory .		tool others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
kill [ parameter ] : Allows a remote user to terminate processes .		tool others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
put [ parameter ] : Allows a remote user to upload a file from a local machine to a remote server .		tool others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
rsh [ parameter ] : Similar to the sh or dos [ parameter ] except for the fact that this is an already-existing file or shell .		tool others others others others others others others tool others tool others others others others others others others others others others others others others others others others
run [ parameter ] : Allows a remote user to execute programs .		tool others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
sh [ parameter ] : Allows a remote user to execute commands via cmd.exe .		tool others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
sleep [ parameter ] : Causes a system to sleep for a certain amount of time .		tool others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
Related AES Campaign We have also been tracking another campaign , which we refer to as the  ”  AES campaign , ”  which appears to be related to IXESHE .		others encryption_algo others others others others others others others others others others others others others others others others encryption_algo others others others others others others others others others threatActor_name others
The main body of the malware related to the IXESHE campaign can be identified by its connection to a C&C server using a file such as AWS12345.jsp and a custom Base64 blob ; the malware associated with the AES campaign operates very similarly .		others others others others others others others others others threatActor_name others others others others others others others others others tool tool tool others others others others others others sample_name others others others tool tool others others others others others others encryption_algo others others others others others
The samples used in the AES campaign slightly differed in terms of C&C communication but had significant similarities with IXESHE malware , which used the format : http://C&C Server/ACDES Some Numbers.jsp .		others others others others others encryption_algo others others others others others others tool tool tool others others others others others others threatActor_name others others others others others others others url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil others
Even though the network traffic format of the AES campaign was slightly similar , instead of the more familiar AWS[ random ].jsp format , it used several other formats for certain commands or events such as :  AES : Initial beacon .		others others others others others others others others encryption_algo others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others encryption_algo others sample_function sample_function others
DES : Send the path of %systemdir% .		encryption_algo others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
PES : Send the result of the  ”  put ”  command .		encryption_algo others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
SEU : Send the ”  error ”  or ”  invalid ”  command .		others others others others others others others others others others others others others
SUS : Send the system name , which is not encoded , upon receiving the ”  exit ”  command .		others others others others others others others others others others others others others others others others others others others others
ZES : Send the result of the ”  dos ”  command .		others others others others others others others others others others others others
Another difference in the traffic is that AWS uses the POST method with the format , ”  http://C&C Server/FPK Some Numbers.jsp?Base64 Blob , ”  when the ”  get ”  command is invoked .		others others others others others others others tool others others tool others others others others others others url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil others others others others others others others others others others others
The Base64 blob contains the file specified in the ”  get ”  command .		others others others others others others others others others others others others others others
Analysis of the binaries also revealed similarities between the AES and AWS samples .		others others others others others others others others others encryption_algo others tool others others
These included the encoding algorithm and commands used .		others others others others others others others others others
Even though some commands varied , the format and parameters used essentially remained the same .		others others others others others others others others others others others others others others others others
