Gaza Cybergang Group1, operation SneakyPastes .		threatActor_name threatActor_name threatActor_name others others attack_activity others
If the user clicks on the link , he will be prompted to download a RAR file that contains the stage 1 malware/lure , which he will execute afterwards .		others others others others others others others others others others others others others sample_function sample_function sample_function sample_function others others others others others others others others others others sample_function sample_function others
The diagram below displays at a high level the steps taken by typical Gaza Cybergang Group1 lure samples .		others others others others others others others others others others others others others threatActor_name threatActor_name threatActor_name others others others
While different samples may use different methods to infect ( i.e.		others others sample_name others others others tool others others others others others
invoke PowerShell , VBS , .NET app downloader , etc. )		others tool others tool others tool tool tool others others others others
, they generally stick to the same scenario of a persistent RAT that steals data and uploads it to the C2 server despite the different hard-coded domains .		others others others others others others others others others others tool tool others sample_function sample_function others sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others
Stage 1 sample file : 3amadi_hamas.zip .		others others others others others sample_name others
MD5: e686ffa90b2bfb567547f1c0dad1ae0b .		others others md5 others
Type : Compressed container .		others others others others others
Child file/lure MD5: 92dd0f16e8ae274d83ba1d0d5b2e342 .		others others others others md5 others
This sample ZIP file , which is similar to many other stage 1 downloaders in this campaign , contains an executable that is a compiled AutoIt script and which embeds some interesting functions .		others reference_word reference_word reference_word others others others others others others others others others others others others others others others others tool others others others tool tool tool others others others others others others others
The executable attempts to download a couple of files from different sources and saves them in the AppData and Startup folders for persistence , then invokes the first downloaded file – Picture2.exe .		others tool others others sample_function sample_function sample_function sample_function sample_function others others others others others others others others function others function others others others others others sample_function sample_function sample_function sample_function sample_function others others others
After analyzing the files downloaded from the above first stage malware , it was clear that the threat actor wanted to achieve stable persistence on the victim machine , and also used more than one technique to exfiltrate data .		others others others others others others others others others others others others others others others others others person person others others attack_goal attack_goal attack_goal others others others others others others others others others others others others others attack_goal attack_goal others
The analyzed samples had a lot of similarities in terms of the code used and especially in the persistence techniques .		others others others others others others others others others others others others others others others others others others others others others
All the stages ’ executables are created as chains to avoid detection and protect the C2 server .		others others others others others others others others tool others sample_function sample_function others sample_function sample_function sample_function sample_function others
They consist mainly of persistence mechanisms and simple instructions despite their different forms ( VBS scripts , PowerShell scripts , known software with open source code that can be backdoored , and in-house built dotnet apps ) .		reference_word others others others tool tool others tool tool others others others others others tool tool others tool tool others others tool others others others others others others others others others others others others tool tool others others
The RAT , however , had a multitude of functionalities such as to download and execute , compress , encrypt , upload , search directories , etc .		others tool others others others others others others others others others others others sample_function sample_function sample_function others sample_function others sample_function others sample_function others sample_function sample_function others others others
The threat actor ’s main objective for using this RAT ( known as Razy/NeD worm/Wonder Botnet ) was obvious from the victim data that was collected – it was to search for specific file extensions such as PDF , DOC , DOCX , XLS , and XLSX , where they are compressed in RAR files per category , stored in temp directories within a folder named by victim ID ( bot ID – long MD5 string ) , encrypted and uploaded to the C2 .		others person person others others others others others others others tool others others others tool tool tool others others others others others others others others others others others others others others sample_function sample_function sample_function sample_function others others others others others others others others others others others others others others others others others sample_function sample_function sample_function sample_function others others others others others others others others others others others others others others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function others
KEYWORD : Downloads encrypted strings found on the /Feed server page that represents specific keywords of interest which , if found , then compresses/encrypts using Winrar appending “ Keyword ” in the file name and uploading to the C2 using a POST command at the path “ /FeedBack.php ” .		function others sample_function sample_function sample_function others others others others others others others others others others others others others others others others others others others others tool others others others others others others others others others sample_function sample_function sample_function sample_function others others tool tool others others others others others others others
FeedBack.php validates the sender by User-Agent , saves the data in the “ RAR ” server directory and stores the metadata in the mssql database for later reference .		sample_name others others others others tool others sample_function sample_function sample_function others others others tool others others others others sample_function sample_function sample_function others others others others others others others others
KEY : Trigger to upload all data gathered to the C2 using a POST command at the path “ /log.php ” .		function others tool others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others tool tool others others others others others others others
Log.php validates the sender by User-Agent , saves the data in the “ UP ” server directory and stores the metadata in the mssql database for later reference .		sample_name others others others others tool others sample_function sample_function sample_function others others others others others others others others sample_function sample_function sample_function others others others others others others others others
KEYS : Deletes the file named by tempPath + “ ky ” file so as not to upload anything .		function others sample_function sample_function sample_function sample_function others tool tool tool tool tool tool others others others others others others others
REUPLOAD : Re-uploads recent data to the C2 server using POST at the path “ /FeedBack.php ” .		function others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others tool others others others others others others others
RESTARTME : Restarts the RAT application process .		function others sample_function sample_function sample_function sample_function sample_function others
BLOCK : Creates a file in the Temp path and names it “ Block~ ” + PCID to kill the RAT .		function others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others sample_name others others others others sample_function sample_function sample_function others
SCREEN : Takes a PNG screenshot of the main screen and names the file with timestamps , then uploads it to the C2 server using POST at the path “ /FeedBack.php ” .		function others sample_function sample_function sample_function sample_function others others others others others sample_function sample_function sample_function sample_function sample_function others others sample_function sample_function sample_function sample_function sample_function sample_function others tool others others others others others others others
LAN : Creates a file in the Temp path and names it “ LA ” + PCID to possibly spread through LAN .		function others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others others others others sample_function sample_function sample_function others
Note : this seems to refer to an unloaded feature/module of the RAT that is not currently in use .		others others reference_word others others others others others tool tool tool tool tool others others others others others others others
LANS : Deletes the file created by the LAN command to reverse the effect .		function others sample_function sample_function sample_function others others others tool tool others sample_function sample_function sample_function others
USB : Creates a file in the Temp path and names it “ us ” + PCID then invokes another program module named Remo.test to identify removable drives .		function others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others others others others others others others others tool others sample_function sample_function sample_function others
USBS : Deletes the file created by the USB command to reverse the effect .		function others sample_function sample_function sample_function others others others tool tool others sample_function sample_function sample_function others
HD : Creates a file in the Temp path and names it “ hd ” + PCID then invokes another program module named hd.test1 to identify logical drives .		function others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others others others others others others others others tool others sample_function sample_function sample_function others
HDS : Deletes the file created by the HD command to reverse the effect .		function others sample_function sample_function sample_function others others others tool tool others sample_function sample_function sample_function others
SHUTDOWN : Shuts down the system using cmd /s /t 0 .		function others sample_function sample_function sample_function sample_function others tool tool tool tool others
RESTART : Reboots the system using cmd /r /t 0 .		function others sample_function sample_function sample_function others tool tool tool tool others
PROCANDSOFT : Lists all active processes and all installed software and uploads the results to the C2 server using a POST command at the “ /log.php ” .		function others sample_function sample_function sample_function sample_function others sample_function sample_function sample_function others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others tool tool others others others others others others
DEL-TEMP : Deletes all files in the “ AppData/Local/Temp ” path .		function others sample_function sample_function sample_function others others others others others others others
RAR : Creates RAR files per logical drive containing data with timestamps for the past 7 days , then uploads RAR to the C2 server using a POST command at the path “ /FeedBack.php ” .		function others sample_function sample_function sample_function others others others others others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function others others tool tool others others others others others others others
RARM : Creates RAR files per logical drive containing data with timestamps for the past 30 days , then uploads RAR to the C2 server using a POST command at the path “ /FeedBack.php ” .		function others sample_function sample_function sample_function others others others others others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function others others tool tool others others others others others others others
RARW : Creates RAR files per logical drive containing data with timestamps for the past 7 days , then uploads RAR to the C2 server using a POST command at the path “ /FeedBack.php ” .		function others sample_function sample_function sample_function others others others others others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function others others tool tool others others others others others others others
KILL : Kills system processes .		function others sample_function sample_function sample_function others
In 2018 , the threat actor mostly relied on a single C2 server ( 192.169.7.250 ) and rotated a multitude of domain names over a period of time .		others time others others person person others others others others others tool tool others IP_evil others others sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others
However , the attacks different stages were hosted on a variety of free sites such as Mailimg , Github , Pastebin , dev-point.co , a.pomf.cat , and upload.cat .		others others others reference_word others others others others others others others others tool tool others others others others others others others others others others others others others others others
The phishing email infrastructure though relied on disposable email providers such as bit-degree.com , mail4gmail.com , careless-whisper.com and others .		others attack_activity attack_activity others others others others tool tool tool others others tool others tool others tool tool tool others
Based on the analyzed metrics , the victims were spread across 39 countries and reached 240+ unique victims .		others others others others others others others others others others others others others others others others others others others
The Palestinian Territories host the majority of the victims , followed by Jordan , Israel , then Lebanon , as noted in the below table .		others location location others others others others others others others others others location others location others others location others others others others others others others others
The most targeted entities are embassies , government entities , education , media outlets , journalists , activists , political parties or personnel , healthcare and banking .		others others others others others government others government government others industry others industry industry others target_crowd others target_crowd others target_crowd target_crowd target_crowd target_crowd others industry others industry others
While Gaza Cybergang Group1 described in this post looks like a low sophistication group , with limited infrastructure and attack files that can be found in the wild , they are the most relentless in their attacks , with continuous targeting and high malleability .		others threatActor_name threatActor_name threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others sample_function sample_function others sample_function sample_function others
This has allowed the group to achieve reasonable success against a relatively wide array of victims .		others others others others others others others others others others others others others others others others others
Gaza Cybergang is evolving and adapting to the MENA region – a complex setting with complex requirements .		threatActor_name threatActor_name others others others others others others location location others others others others others others others others
The attacks are now divided into three groups with different levels of sophistication and different levels of targeting .		reference_word reference_word others others others others others others others others others others others others others others others others others
We expect the damage caused by these groups to intensify and the attacks to extend into other regions that are also linked to the complicated Palestinian situation .		others others others others others others others others others others others reference_word reference_word others attack_goal attack_goal attack_goal attack_goal others others others others others others attack_goal location attack_goal others
The attackers also seem to be within reach of more advanced tools , techniques and procedures , and we expect them to rely more on these in future attacks .		person person others others others others others others others others tool tool tool tool tool tool others others others others others others others others others others others others others others
More information on Desert Falcons ( Group2 ) and Operation Parliament ( Group3 ) will be presented in future publications .		others others others threatActor_name threatActor_name others reference_word others others attack_activity attack_activity others reference_word others others others others others others others others
B3a472f81f800b32fe6595f44c9bf63b Feb 2016 Translation : Letter for you from the Turkish Ministry of Foreign Affairs on Russian military operations in Syria .		md5 time time others others others others others others others government government government government government others location others others others location others
en.gameoolines.com ( 185.117.72.190 ) .		domain_evil others IP_evil others others
Df3f3ad279ca98f947214ffb3c91c514 e8a29c7a6f6c0140152ca8a01e336b37 March 2016 dw.downloadtesting.com ( 185.117.75.105 ) .		md5 md5 time time domain_evil others IP_evil others others
f9bcc21fbb40247167c8c85ed6ef56e3 March 2016 Dl.topgamse.com ( 45.63.97.44 ) .		md5 time time domain_evil others IP_evil others others
D9dbb65a42ffe0575f0e99f7498a593e April 2016 Translation : Saudi Foreign Affairs telegram for you , please see – important.exe .		md5 time time others others government government government others others others others others others others sample_function others
en.gameoolines.com ( 185.117.72.190 ) .		domain_evil others IP_evil others others
221EEF8511169C0496BBC79F96E84A4A April 2016 Translation : Report on Saudi available information , to be updated with new info upon availability .		md5 time time others others others others location others others others others others others others others others others others others
dw.downloadtesting.com ( 185.117.75.105 ) .		domain_evil others IP_evil others others
62DF4BC3738BE5AD4892200A1DC6B59A Inside : 55d33d9da371fdfe7871f2479621444a May 2016 Translation : Information on possible attack by Houthis on Saudi sites – private .		md5 others others md5 time time others others others others others others others others others location others others others others
dw.downloadtesting.com ( 185.117.75.105 ) .		domain_evil others IP_evil others others
RAR md5 E686FFA90B2BFB567547F1C0DAD1AE0B Stage 1 executable / lure .		others others md5 others others others others others others
RAR md5 CE5AA4956D4D0D66BED361DDD7DB1A3B Stage 1 executable / lure .		others others md5 others others others others others others
RAR md5 4F34902C9F458008BAE26BFA5C1C00DA Stage 1 executable / lure .		others others md5 others others others others others others
RAR md5 535F8EA65969A84A68CEAF88778C6176 Stage 1 executable / lure .		others others md5 others others others others others others
RAR md5 E8A29C7A6F6C0140152CA8A01E336B37 Stage 1 executable / lure .		others others md5 others others others others others others
RAR md5 E782610BF209E81ECC42CA94B9388580 Stage 1 executable / lure .		others others md5 others others others others others others
