FancyBearTracksUkrainianArtillery .		others others
This assessment is based on a number of factors , but chief among them is the likelihood that a military member would only trust and use an application designed to calculate something as critical as targeting data if it was developed and promoted by a member of their own forces .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The type of operational activity described here suggests an extremely sophisticated understanding of the target that only a skilled adversary would likely possess .		others others others others others others others others others others others others others others others others others others others others others others others others
By late December 2014 , the total number of Russian forces in the region was approximately 10,000 troops .		others time time time others others others others others others others others others others others others others others others
Because the Android malware could facilitate gross position information , its successful deployment could have facilitated anticipatory awareness of Ukrainian artillery force troop movement , thus providing Russian forces with useful strategic planning information .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Indeed , the 55th Artillery Brigade and similar artillery units operated frequently against pro-Russian separatists in eastern Ukraine .		others others others others others others others others others others others others others others others others others others others
A video posted on 18 October 2015 specifically shows them employing the Попр-Д30.apk application and operating in the vicinity of eastern Ukraine .		others others others others time time time others others others others others others others others others others others others others others others others
The choice of the Russian language character set in the application further underscores the targeting of forces within eastern Ukraine , as Russian is the predominant language utilized in that region .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
An assessment of languages spoken by region based on the most recent census information illustrates the permeation of the Russian language in that region and highlights the value of providing Russian in the malicious Попр-Д30.apk application .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
One alternative theory regarding the use of the Russian language in the application could be that targeting may have been directed at pro-Russian forces operating in eastern Ukraine .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
A relevant and likely counterargument for this theory , however , is that Russian forces likely have employed fire support systems and other technologies that can already calculate targeting data , negating the need for an application to perform this task .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Additionally , the application was initially developed by a member of the Ukrainian army .		others others others others others others others others others others others others others others others
An opposing force would probably not adopt technology developed by the enemy for use on the battlefield .		others others others others others others others others others others others others others others others others others others
The eastern Ukrainian front has been markedly impacted by heavy fighting involving Russian troops and pro-Russian rebel fighters deployed to this region .		others others others others others others others others others others others others others others others others others others others others others others others
Artillery forces on both sides of the conflict have served an important role .		others others others others others others others others others others others others others others
For Ukrainian troops , artillery forces have also shouldered a heavy cost .		others others others others others others others others others others others others others
According to an update provided in March 2017 by the International Institute for Strategic Studies ( IISS ) Research Associate for Defence and Military Analysis , Henry Boyd , "excluding the Naval Infantry battalion in the Crimea which was effectively captured wholesale , the Ukrainian Armed Forces lost between 15% and 20% of their pre-war D–30 inventory in combat operations .		others others others others others others time time others others others others others others others others others others others others others others others others others others person person others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Between July and August 2014 , Russian backed forces launched some of the most decisive attacks against Ukrainian forces , resulting in significant loss of life , weaponry , and territory .		others time time time time others others others others others others others others others others others others others others others others others others others others others others others others others others others
According to open sources , Ukrainian service personnel from the 24th and 72nd Mechanized Brigade , as well as the 79th Airborne Brigade , were among the units to have suffered casualties .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
International monitoring groups later assessed some of the attacks were likely to have come from inside Russian territory .		others others others others others others others others others others others others others others others others others others others
A malware-infected Попр-Д30.apk application probably could not have provided all the necessary data required to directly facilitate the types of tactical strikes that occurred between July and August 2014 .		others others others others others others others others others others others others others others others others others others others others others others others others others time time time time others
Eyewitness accounts from individuals within the impacted units reported seeing an unmanned aerial vehicle ( UAV ) used in the area prior to one attack , underscoring the need for precise locational data for these particular strikes and introducing the possibility that the Android malware served to support the reconnaissance role of traditional battlefield assets .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Although traditional overhead intelligence surveillance and reconnaissance ( ISR ) assets were likely still needed to finalize tactical movements , the ability of this application to retrieve communications and gross locational data from infected devices , could provide insight for further planning , coordination , and tasking of ISR , artillery assets , and fighting forces .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The X-Agent Android variant does not exhibit a destructive function and does not interfere with the function of the original Попр-Д30.apk application .		others malware others others others others others others others others others others others others others others others others others others others others others
Therefore , CrowdStrike Intelligence has assessed that the likely role of this malware is strategic in nature .		others others others others others others others others others others others others others others others others others others
The capability of the malware includes gaining access to contacts , Short Message Service ( SMS ) text messages , call logs , and internet data , and FANCY BEAR would likely leverage this information for its intelligence and planning value .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others threatActor_name threatActor_name others others others others others others others others others others others others
CrowdStrike Intelligence assesses a tool such as this has the potential ability to map out a unit ’s composition and hierarchy , determine their plans , and even triangulate their approximate location .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This type of strategic analysis can enable the identification of zones in which troops are operating and help prioritize assets within those zones for future targeting .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
The development of the X-Agent Android malware represents an expansion of FANCY BEAR capabilities in terms of mobile malware , and illustrates the practical application of full-spectrum combat as envisioned in the eponymous doctrinal writings of General Valery GERASIMOV .		others others others others malware others others others others others others threatActor_name threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others others others others
As a part of full-spectrum operations in Ukraine , Russia-based adversaries have leveraged malware on the battlefield , in the civil sector , and against critical infrastructure .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
They have also engaged in aggressive information operations in the media .		others others others others others others others others others others others others
In relation to this broader picture of Russian computer operations , the approach to targeting mobile smartphone and tablet devices in order to gain strategic insight into communications is a tactic that cannot be disregarded .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
CrowdStrike assesses that the observed and described X-Agent implant targeting Ukrainian military Android devices running the Попр-Д30.apk application is likely only the initial iteration of this type of malware .		others others others others others others others malware others others others others others others others others others others others others others others others others others others others others others others
While this malware was initially discovered in a battlefield environment , an adversary could also leverage it in attacks against non-military targets .		others others others others others others others others others others others others others others others others others others others others others others others
Mobile devices and internet-connected technology have increasingly proliferated civilian and military organizations .		others others others others others others others others others others others others others
This technique may very likely be deployed in the political , government , or non-governmental sectors in the near future .		others others others others others others others others others others others others others others others others others others others others others
