Introducing WhiteBear .		others threatActor_name others
Registry subkeys :  { 629336E3-58D6-633B-5182-576588CF702A } Contains the RSA private key used to encrypt / decrypt other resources / resource 101 { 3CDC155D-398A-646E-1021-23047D9B4366 } Resource 105 – current file location { 81A03BF8-60AA-4A56-253C-449121D61CAF } Resource 106 – process names { 31AC34A1-2DE2-36AC-1F6E-86F43772841F } Contains the internet C&C transport module / resource 107 { 8E9810C5-3014-4678-27EE-3B7A7AC346AF } Resource 108 – C&C config { 28E74BDA-4327-31B0-17B9-56A66A818C1D } Resource 110 “ plugins ”  { 4A3130BD-2608-730F-31A7-86D16CE66100 } Resource 111 { 119D263D-68FC-1942-3CA3-46B23FA652A0 } Unique Guid ( “ ObjectID ”  )  { 1DC12691-2B24-2265-435D-735D3B118A70 } “ Task Queue ”  { 6CEE6FE1-10A2-4C33-7E7F-855A51733C77 } “ Result Queue ”  { 56594FEA-5774-746D-4496-6361266C40D0 }  unknown { 831511FA-190D-5D85-8A4A-279F2F592CC7 }  unknown Finally , if the main WhiteBear module fails to use registry storage , it uses “ FS Storage ”  in file %TEMP%KB943729.log .		others others others others string others others others encryption_algo others others others others others others others others others others others others others string others others others others others others others others string others others others others others others others string others others others others tool tool tool others others others others others others string others others others others tool tool tool others others string others others others others others others others string others others others others string others others others others others others others others others string others others others others others others string others others others others others others string others others others string others others others others others tool tool tool tool others others others others others others reference_word others others tool tool others others others sample_name sample_name sample_name sample_name sample_name
The module reads all of its data and binary components from one of the storages and then verifies the integrity of data ( RSA+bzip2 compression+signature ) .		reference_word reference_word sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others sample_function sample_function sample_function sample_function sample_function others others others others others
The module maintains functionality which is divided into a set of subsystems that are loosely named by the developers :  result queue task queue message processing system autorun manager execution subsystem inject manager PEStorage local transport manager / internal transport channel It creates the following temporary files :  %TEMP%CVRG72B5.tmp.cvr %TEMP%CVRG1A6B.tmp.cvr %TEMP%CVRG38D9.tmp.cvr %TEMP%~DF1E05.tmp contains the updated body of the loader during an update .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others reference_word others others others others others others sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
Every day ( as specified by local time ) the main module restarts the transport subsystem which includes :  message processing named pipe transport ( “ NPTransport ”  )  If the registry/file storage is empty , the module performs a ‘ migration ’  of hardcoded modules and settings to the storage location .		others others others others others others others others others reference_word reference_word reference_word sample_function sample_function sample_function sample_function others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This data is encrypted with a new RSA key ( which is also stored in the registry ) .		others others others others others others others encryption_algo others others others others others others others others others others others
The data in the registry is prepended with a 0xC byte header .		others others others others others others others others others others others others others
The maximum size of each registry item is 921,600 bytes ;   if the maximum size is exceeded , it is split into several items .		others others others others others others others others others others others others others others others others others others others others others others others others others
The format of the header is shown below :  [ 4 :  service DWORD ] [ 4 :  chunk index ] [4 :  chunk size including header ]  Every time the orchestrator module is loaded it validates that the storage area contains the appropriate data and that all of the components can be decrypted and validated .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others tool others others others reference_word sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others others sample_function sample_function sample_function others
If these checks fail the module reinstalls a configuration from the resource “ REINSTALL ”  .		others others others others reference_word reference_word sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others
List of commands :  1 :  new task 2 :  update the loader + orchestrator file 4 :  send task result 5 :  send settings 6 :  write results to registry/file storage 7 :  enable / disable c2 transport / update status 8 :  uninstall 9 :  nop 10 :  “ CMessageProcessingSystem::Receive_NO_CONNECT_TO_GAYZER ”  ;  write results to registry 11 :  write the last connection data ‘ { 56594FEA-5774-746D-4496-6361266C40D0 } ’  aka “ last connection ”  storage value 12 :  “ give cache ”  – write cached commands from the C&C 13 :  “ take cache ”  – append C&C commands to the cache The “ LocalTransport manager ”  handles named pipe communication and identifies if the packet received is designated to the current instance or to someone else ( down the route ) .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others tool others others others others others others others others others others others others others tool tool tool others others others others others others others others others others others others others others others string others others others others reference_word reference_word others others others others others others others others others others others others others others others tool tool tool others others others others others others others others tool tool tool others others others others others others tool tool others sample_function sample_function sample_function sample_function others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others others others others
In the latter scenario the LocalTansport manager re-encrypts the packet , serializes it ( again ) , and pushes the packet via a named pipe on the local network to another hop , ( NullSessionPipes ) .		others others others others others tool tool sample_function sample_function sample_function others sample_function sample_function others others others others others sample_function sample_function sample_function others others others tool others others others others others others others others others tool others others
This effectively makes each infected node a packet router .		others others others others others others others others others others
The Autorun manager subsystem is responsible for tracking the way that the malicious module starts in the system and it maintains several different methods for starting automatically :  LinkAutorun The subsystem searches for a LNK file in the target directory , changes the path to “ cmd.exe ”  and the description to ‘ /q /c start “ ”  “ %s ” && start “ ”  “ %s ” ‘  TaskScheduler20Autorun The subsystem creates the ITaskService ( works only on Windows Vista+ ) and uses the ITaskService interface to create a new task with a logon trigger StartupAutorun The subsystem creates a LNK file in %STARTUP% ScreenSaverAutorun The subsystem installs as a current screensaver with a hidden window HiddenTaskAutorun The subsystem creates the task ITaskScheduler ( works only on pre-Vista NT ) .		others tool tool others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others reference_word sample_function sample_function sample_function sample_function others others others others tool others others sample_function sample_function sample_function sample_function sample_function others others others others others sample_function sample_function sample_function others others others others others others others others others others others others others others others others others others others others others others others others others others others others tool others others others others tool others others others others others others others others others others tool others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function tool others others others others others others others string string string tool others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function tool others others others others others tool others others others others others others others others
The task trigger start date is set to the creation date of the Windows directory ShellAutorun Winlogon registry [ HKCUSoftwareMicrosoftWindows NTCurrentVersionWinlogon ] Shell = ”  explorer.exe , … ”  File Uninstallation is done in a discreet manner .		others others others others others others others others others others others others others others others others others others others string string others others others others sample_name others others others others others others others others others others others others
The file is filled with zeroes , then renamed to a temporary filename before being deleted Sample MD5 :  19ce5c912768958aa3ee7bc19b2b032c Type :  PE DLL Linker timestamp :  2002.02.05 17:58:22 ( GMT ) Linker version :  10.0 Signature “ Solid Loop Ldt ”  UTCTime 15/10/2015 00:00:00 GMT – UTCTime 14/10/2016 23:59:59 GMT This transport library does not appear on disk in its PE format .		others others others others others others others others others others others others others others others others others encryption_algo others md5 others others others others others others others time time others others others others others others others others others others others others others others others others others others others others others others reference_word reference_word reference_word others others others others others others others others others others
It is maintained as encrypted resource 107 in the orchestrator module , then decrypted and loaded by the orchestrator directly into the memory of the target process .		reference_word others others others others others others others others others others others others sample_function sample_function sample_function others others tool others others others others others others others others others
This C2 interaction module is independent , once started , it interacts with the orchestrator using its local named pipe .		reference_word reference_word reference_word reference_word others others others others others others reference_word sample_function sample_function sample_function sample_function others others others others tool others
To communicate with its C2 server , the transport library uses the system user agent or default “ Mozilla/4.0 ( compatible ; MSIE 6.0 ) ”  .		others others others others tool others others reference_word reference_word reference_word others others tool tool tool others others others tool others others others tool tool others others others
Before attempting a connection with its configured C2 server , the module checks if the victim system is connected to Internet by sending HTTP 1.1 GET / requests to the following servers ( this process stops after the first successful connection ) :  If there is no Internet connection available , the module changes state to , “ CANNOT_WORK ”  and notifies the peer by sending command “ 7 ”  over the local pipe .		others others others others others others others tool others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others reference_word reference_word sample_function sample_function sample_function sample_function sample_function sample_function sample_function others sample_function sample_function sample_function others others others others others others others others others others others
The C2 configuration is obtained from the main module with the command “ 5 ”  .		others tool others others others others reference_word reference_word reference_word others others others others others others others
This checks whether the module complies with the schedule specified in the C2 settings ( which includes inactivity time and the interval between connections ) .		others others others others others others others others others others others others tool others others others others others others others others others others others others others
The C2 interaction stages have interesting function names and an odd misspelling , indicating that the developer may not be a native English speaker ( or may have learned the English language in a British setting ) :  “ InternetRelations::GetInetConnectToGazer ”  “ InternetRelations::ReceiveMessageFromCentre ”  “ InternetRelations::SendMessageToCentre ”  “ PipeRelations::CommunicationTpansportPipe ”  The module writes the encrypted log to %TEMP%CVRG38D9.tmp.cvr The module sends a HTTP 1.0 GET request through a randomly generated path to the C2 server .		others tool others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others string string string others others string string string others others string string string others others string string string others reference_word reference_word others others others others others sample_name sample_name sample_name sample_name reference_word reference_word sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others tool others others
The server ’s reply is expected to have its MD5 checksum appended to the packet .		others others others others others others others others others others others others others others others others others
If C2 interaction fails , the module sends the command “ 10 ”  ( “ NO_CONNECT_TO_GAYZER ”  ) to the orchestrator .		others tool others others others reference_word reference_word others others others others string others others others string others others others others others others
We note that the resource section is encrypted/decrypted and packed/decompressed with RSA+3DES+BZIP2 .		others others others others others others others others others others others others others
This implementation is unique and includes the format of the private key as stored in the resource section .		others others others others others others others others others others others others others others others others others others others
3DES is present in Sofacy and Duqu2 components , however they are missing in this Microsoft-centric RSA encryption technique .		encryption_algo others others others threatActor_name others malware others others others others others others others others others encryption_algo others others others
The private key format used in this schema and RSA crypto combination with 3DES is unique to this threat actor .		others others others others others others others others others encryption_algo others others others encryption_algo others others others others person person others
The private key itself is stored as a raw binary blob , in a format similar to the one Microsoft code uses in PVK format .		others others others others others others others others others others others others others others others others others others others company others others others tool others others
This format is not officially documented , but its structures and handling are coded into OpenSSL .		others others others others others others others others others others others others others others others tool others
This private key value is stored in the orchestrator resources without valid headers .		others others others others others others others others others others others others others others
The orchestrator code prepends valid headers and passes the results to OpenSSL functions that parse the blob .		others others others others others others others others others others others others others others others others others others
Most WhiteBear samples are signed with a valid code signing certificate issued for “ Solid Loop Ltd ”  , a once-registered British organization .		others threatActor_name others others others others others others others others others others others others others others others others others others others others others others
Solid Loop is likely a phony front organization or a defunct organization and actors assumed its identity to abuse the name and trust , in order to attain deceptive code-signing digital certificates .		others others others others others others others others others others others others others person sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others others attack_goal attack_goal attack_goal attack_goal attack_goal others
The WhiteBear C2 servers are consistent with long standing Turla infrastructure management practices , so the backdoors callback to a mix of compromised servers and hijacked destination satellite IP hosts .		others threatActor_name tool others others others others others others threatActor_name others others others others others tool tool sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
For example , direct , hardcoded Turla satellite IP C2 addresses are shown below :  C2 IP Address Geolocation IP Space Owner 169.255.137.203 South Sudan IPTEC , VSAT 217.171.86.137 Congo Global Broadband Solution , Kinshasa VSAT 66.178.107.140 Unknown – Likely Africa SES/New Skies Satellites WhiteBear targets over the course of a couple years are related to government foreign affairs , international organizations , and later , defense organizations .		others others others others others others threatActor_name others others tool others others others others others others others others others others others others IP_evil location location company others company IP_evil location company company company others company company IP_evil others others others company others company company threatActor_name others others others others others others others others others others others attack_goal attack_goal attack_goal others government government others others others others government government others
The geolocation of the incidents are below :  Europe South Asia Central Asia East Asia South America WhiteBear activity reliant on this toolset seems to have diminished in June 2017 .		others others others others others others others others location location location location location location location location location threatActor_name others others others others others others others others others others time time others
But Turla efforts continue to be run as multiple subgroups and campaigns .		others threatActor_name others others others others others others others others others others others
This one started targeting diplomatic entities and later included defense related organizations .		reference_word reference_word others others industry industry others others others government government government others
Infrastructure overlap with other Turla campaigns , code artifacts , and targeting are consistent with past Turla efforts .		others others others others threatActor_name others others others others others others others others others others others threatActor_name others others
With this subset of 2016-2017 WhiteBear activity , Turla continues to be one of the most prolific , longstanding , and advanced APT we have researched , and continues to be the subject of much of our research .		others others others others time threatActor_name others others threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Md5 b099b82acb860d9a9a571515024b35f0 19ce5c912768958aa3ee7bc19b2b032c 06bd89448a10aa5c2f4ca46b4709a879 IP 169.255.137.203 217.171.86.137 66.178.107.140 Domain ( s )  soligro.com – interesting because the domain is used in another Turla operation ( KopiLuwak ) , and is the C2 server for the WhiteBear transport library mydreamhoroscope.com		encryption_algo md5 md5 md5 others IP_evil IP_evil IP_evil others others others others domain_evil others others others reference_word reference_word others others others others threatActor_name others others malware others others others others others tool others others others others others others domain_evil
