APT28 : A WINDOW INTO RUSSIA ’ S CYBER  ESPIONAGE OPERATIONS .		others others others others others others others others others others others others
APT28 ’ s malware settings suggest that the developers have done the majority of their work in a Russian language build environment during Russian business hours , which suggests that the Russian government is APT28 ’ s sponsor .		threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others others others others
Some of APT28 ’ s more commonly used tools are the SOURFACE downloader , its second stage backdoor EVILTOSS , and a modular family of implants that we call CHOPSTICK .		others others threatActor_name others others others others others others others others malware malware others others others others others malware others others others others others others others others others others malware others
SOURFACE : This downloader is typically called Sofacy within the cyber security community .		malware others others others others others others malware others others others others others others
However because we have observed the name “ Sofacy ” used to refer to APT28 malware generally ( to include the SOURFACE dropper , EVILTOSS , CHOPSTICK , and the credential harvester OLDBAIT ) , we are using the name SOURFACE to precisely refer to a specific downloader .		others others others others others others others others malware others others others others others threatActor_name others others others others others others malware malware others malware others malware others others others malware malware malware others others others others others others others malware others others others others others others others others
This downloader obtains a second-stage backdoor from a C2 server .		others others others others others others others others tool tool others
CORESHELL is an updated version of SOURFACE .		malware others others others others others malware others
EVILTOSS : This backdoor has been delivered through the SOURFACE downloader to gain system access for reconnaissance , monitoring , credential theft , and shellcode execution .		malware others others others others others others others others malware malware others sample_function sample_function sample_function sample_function sample_function others sample_function others sample_function sample_function others others sample_function sample_function others
CHOPSTICK : This is a modular implant compiled from a software framework that provides tailored functionality and flexibility .		malware others others others others others others others others others others others others others others others others others others
A number of the malware variants that we profile below , especially the CHOPSTICK family , demonstrate formal coding practices indicative of methodical , diligent programmers .		others others others others others others others others others others others others others malware others others others others others others others others others others others others others
The modularity of CHOPSTICK alone , with its flexible and lasting platform , demonstrates planning for long-term use and versatility .		others others others others others others others others others others others others others others others others others others others others others
We have also noted that APT28 tailors implants to their target environments , configuring them to use local network resources such as email servers .		others others others others others threatActor_name others others others others others others others others others others others others others others others others others others others
APT28 has attempted to obfuscate their code and implement counter-analysis techniques :  One of the latest samples of CORESHELL includes counter-reverse engineering tactics via unused machine instructions .		threatActor_name others others others others others others others others others others others others others others others others others malware others others others others others others others others others
This would hinder static analysis of CORESHELL behavior by creating a large amount of unnecessary noise in the disassembly .		others others others others others others malware others others others others others others others others others others others others others
A number of CORESHELL droppers also conduct runtime checks , attempting to determine if they are executing in an analysis environment , and if so , they do not trigger their payloads .		others others others malware others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Many samples across the SOURFACE/CORESHELL , CHOPSTICK , and EVILTOSS malware families obfuscate strings that are decoded at runtime .		others others others others others others malware others others malware others others others others others others others others others others
Two of the malware families ( SOURFACE/CORESHELL and EVILTOSS ) use the same decryption sequence and similar algorithms for string encoding and decoding .		others others others others others others others others malware others others others others others others others others others others others others others others others
These families encode their strings at compile time using a custom stream cipher .		others others others others others others others others others others others others others others
From a high level , these ciphers share a similar design across the malware families but differ slightly in the internal arithmetic operations .		others others others others others others others others others others others others others others others others others others others others others others others others
APT28 has employed RSA encryption to protect files and stolen information moved from the victim ’s network to the controller.APT28 has made incremental and systematic changes to the SOURFACE downloader and its surrounding ecosystem since as early as 2007 .		threatActor_name others others function others others others others others others others others others others others others others others others others others others others others others others others others others malware others others others others others others others others others time others
These changes indicate a long-standing and dedicated development effort behind APT28 .		others others others others others others others others others others threatActor_name others
We have observed samples of the SOURFACE downloader compiled between 2007 and 2014 .		others others others others others others malware others others time time time time others
We call SOURFACE ( samples are frequently named netids.dll ) a first stage downloader because its primary job is to retrieve a second stage payload from a C2 server .		others others malware others others others others others others others others others others others others others others others others others others others others others others others others tool tool others
Until 2013 , the SOURFACE downloader used hard-coded IP addresses for C2 communications , whereas the future CORESHELL samples use domains .		others time others others malware others others others others others others tool others others others others others malware others others others others
First , a malware family is a collection of malware in which each sample shares a significant amount of code with all of the others .		others others others others others others others others others others others others others others others others others others others others others others others others others others
There are exceptions : for example , some files contain public and standard code libraries that we do not take into consideration when making a family determination .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
A malware ecosystem is a group of malware families that work together to perform the same objective .		others others others others others others others others others others others others others others others others others others
Perhaps the simplest and most typical ecosystem is a dropper and a backdoor that are used together .		others others others others others others others others others others others others others others others others others others
They may not share the same code structure , but they are related because one drops and installs the other .		others others others others others others others others others others others others others others others others others others others others others
The ecosystem surrounding the SOURFACE downloader frequently consists of a dropper , which installs SOURFACE .		others others others others malware others others others others others others others others others malware others
The SOURFACE downloader then receives another dropper from its C2 server , and this second dropper installs a second stage backdoor , which is usually EVILTOSS .		others malware others others others others others others others tool tool others others others others others others others others others others others others others others malware others
In April 2013 , based on compile time , the group began to make significant alterations to the SOURFACE downloader .		others time time others others others others others others others others others others others others others others others malware others others
They started by changing the compiled DLL name to “ coreshell.dll ” and making minor changes to the network communications .		others others others others others others others others others others sample_name others others others others others others others others others others
The hostname , volume serial number and OS version data are encoded in the new URL format .		others others others others others others others others others others others others others others others others others others
As seen in the table below , the SOURFACE/CORESHELL developers also made other modifications that changed the exported function name and file size over time .		others others others others others others others others others others others others others others others others others others others others others others others others others others
Table 4 : Evolution of SOURFACE downloader over time .		others others others others others malware others others others others
MD5 Size Compile Date Export Name Notes .		others others others others others others others others
272f0fde35dbdfccbca1e33373b3570d 11264 2013-04-16 10:49:25 UTC Init1 17 .		md5 others others others others others others others
8b92fe86c5b7a9e34f433a6fbac8bc3a 14848 2013-08-06 07:53:03 UTC Initialize 18 .		md5 others others others others others others others
9eebfebe3987fec3c395594dc57a0c4c 12800 2013-08-14 10:48:59 UTC Initialize 19. da2a657dc69d7320f2ffc87013f257ad 12800 2013-08-21 07:52:10 UTC Initialize Same as previous .		md5 others others others others others others md5 others others others others others others others others others
1259c4fe5efd9bf07fc4c78466f2dd09 12800 2013-10-03 09:21:10 UTC Initialize Same as previous .		md5 others others others others others others others others others
3b0ecd011500f61237c205834db0e13a 43520 2014-02-13 16:29:36 UTC Applicate 20 .		md5 others others others others others others others
5882fda97fdf78b47081cc4105d44f7c 45056 2014-05-13 15:18:24 UTC Applicate 21 .		md5 others others others others others others others
791428601ad12b9230b9ace4f2138713 45056 2014-05-13 16:42:26 UTC Applicate Same as previous .		md5 others others others others others others others others others
ead4ec18ebce6890d20757bb9f5285b1 45056 2014-07-25 15:44:04 UTC Applicate Same as previous .		md5 others others others others others others others others others
48656a93f9ba39410763a2196aabc67f 112640 2014-07-30 11:13:24 UTC Applicate 22 .		md5 others others others others others others others
8c4fa713c5e2b009114adda758adc445 112640 2014-07-30 11:13:24 UTC Applicate Same as previous .		md5 others others others others others others others others others
