Operation Dragonfly Analysis Suggests Links to Earlier Attacks .		others threatActor_name others others others others others others others
Comparing this code , we discovered another sample from the group that was used in a July 2013 attack :  MD5 :  4bfdda1a5f21d56afdc2060b9ce5a170 SHA-256 :  07bd08b07de611b2940e886f453872aa8d9b01f9d3c61d872d6cfe8cde3b50d4 Filename :  fl.exe .		others others others others others others others others others others others others others others others others time time others others encryption_algo others md5 encryption_algo others sha2 others others sample_name others
The file was downloaded after a Java exploit executed on the victim ’  s machine , according to the 2013 attack report .		others others others others others others others others others others others others others others others others others others others time others others others
After analyzing the 2013 sample , we noticed that some of the executable ’  s resources were in Russian .		others others others time others others others others others others others others others others others others others others others others
Comparing the code , we find the 2017 sample has a large percentage of the same code as the backdoor used in the 2013 attacks .		others others others others others others others time others others others others others others others others others others others malware others others others time others others
Further , some code in the 2017 backdoor is identical to code in the application TeamViewer , a legitimate remote administration tool used by many around the world .		others others others others others others time malware others others others others others others others tool others others others others others others others others others others others others others
By incorporating the code and in-memory execution , the attackers avoid detection and leave no trace on disk .		others others others others others others others others others others others others others others others others others others others
The correlating hash we discovered that contained the same TeamViewer code was reported by Crysys , a Hungarian security company .		others others others others others others others others others tool others others others others company others others others others others others
In their report on about ‘ “ TeamSpy , ”  they mentioned the hash we correlated as well :  708ceccae2c27e32637fd29451aef4a5 .		others others others others others others others malware others others others others others others others others others others others string others
This particular sample had the following compile date details :  2011:09:07 – 09:27:58+01:00 The TeamSpy attacks were originally aimed at political and human right activists living in the Commonwealth of Independent States ( the former Soviet Union ) and eastern European countries .		others others others others others others others others others others time time time others malware others others others others others target_crowd target_crowd target_crowd target_crowd target_crowd others others others location location location location others others others others others others others location location others others
Although the report attributes the attacks to a threat actor or actors and shared tactics and procedures , the motivations behind TeamSpy appear similar to those of the Dragonfly group .		others others others others others others others others others others others others others others others others others others others others others malware others others others others others others threatActor_name others others
With identical code reuse , could the TeamSpy campaign be the work of Dragonfly ?		others others others others others others others malware others others others others others threatActor_name others
But that ’  s not all of interest .		others others others others others others others others others
We also discovered that the 2017 sample contained code blocks associated with another interesting malware family :  BlackEnergy .		others others others others others time others others others others others others others others others others others malware others
Let ’  s look at an example of the code similarities we discovered :  A BlackEnergy sample from 2016 ( at left ) alongside a Dragonfly sample from 2017 .		others others others others others others others others others others others others others others others malware others others time others others others others others others attack_activity others others time others
Self-deleting code is very common in malware , but it is usually implemented by creating a batch file and executing the batch instead of directly calling the delete command , as we see in the preceding examples .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The BlackEnergy sample used in our comparison was captured in the Ukraine on October 31 , 2015 , and was mentioned in our post on the evolution of the BlackEnergy Trojan .		others malware others others others others others others others others others location others time time time time others others others others others others others others others others others others malware malware others
It is remarkable that this piece of code is almost identical in both samples , and suggests a correlation between the BlackEnergy and Dragonfly campaigns .		others others others others others others others others others others others others others others others others others others others others others malware others threatActor_name others others
Our analysis of this attack tells a story about the actors ’  capability and skills .		others others others others others others others others others others others others others others others others
Their attack precision is very good ;  they know whom and what to attack , using a variety of efforts .		others others others others others others others others others others others others others others others others others others others others others
Their focus is on Windows systems and they use well-known practices to gather information and credentials .		others others others others OS_name others others others others others others others others others others others others
From our research , we have seen the evolution of the code in their backdoors and the reuse of code in their campaigns .		others others others others others others others others others others others others others others malware others others others others others others others others others
How well do the actors cover their tracks ?		others others others others others others others others others
We conclude they are fairly sophisticated in hiding details of their attacks , and in some cases in leaving details behind to either mislead or make a statement .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
We rate threat actors by scoring them in different categories ;  we have  mentioned a few .		others others others others others others others others others others others others others others others others others
The Dragonfly group is in the top echelon of targeting attackers ;  it is critical that those in the targeted sectors be aware of them .		others threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others
The Dragonfly group is most likely after intellectual property or insights into the sector they target , with the ability to take offensive disruptive and destructive action , as was reported in the 2015 attack on the Ukrainian power grid by a BlackEnergy malware family .		others threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others time others others others location others others others others malware others others others
We would like to thank the team at Intezer for their assistance and support during our research .		others others others others others others others others security_team others others others others others others others others others
