Kazuar : Multiplatform Espionage Backdoor with API Access.		malware others others others malware others others others others
Interestingly , one of the paths appears to be for execution on a Mac or Unix host .		others others others others others others others others others others others others others OS_name others OS_name others others
The four possible paths of execution taken by Kazuar ’s main entry point are as follows :  1:If the malware was executed with the “ install ” command-line argument , which uses .NET Framwork ’s InstallHelper method to install the malware as a service .		others others others others others others others others malware others others others others others others others others others others others others others reference_word others others others others others function others others others others others others others others others others function others others others others reference_word others others others others
2:If the malware is started in a non-user interactive environment ( no user interface ) , the malware installs itself as a service .		others others others others reference_word others others others others others others others others others others others others others others others others reference_word others others others others
3:If no arguments are provided and the malware determines it is running in a Windows environment , it saves a DLL to the system that it injects into the explorer.exe process .		others others others others others others others others others reference_word others others others others others others OS_name others others others others others others others others others others others others others others sample_name others others
The injected DLL executable loads the malware ’s executable and runs it within memory of the explorer.exe process .		others others others others others others others others others others others others others others others others others sample_name others others
4:If the malware was executed with the “ single ” command-line argument or the malware determines its running in a Mac or Unix environment , it runs the method containing Kazuar ’s functional code and will limit certain Windows specific functionality if a Mac or Unix environment is detected .		others others others others reference_word others others others others others function others others others others others others others others others others others OS_name others OS_name others others others others others others others malware others others others others others others others others OS_name others others others others OS_name others OS_name others others others others
The flow of execution is carefully guided by its operating environment , which is determined using the .NET Framework Environment.OSVersion.Platform.PlatformID enumeration .		others others others others others others others others others others others others others others others others others others others others others others
Interestingly , we see a specific boolean variable for a PlatformID value of Unix that suggests that Kazuar might be used against Mac or Unix targets that return True for that API .		others others others others others others others others others others others others others OS_name others others others malware others others others others OS_name others OS_name others others others others others others others others
After enumerating the operating environment , Kazuar will attempt to establish persistent access to the system .		others others others others others others malware others others others others others others others others others others
Kazuar uses the method displayed in Figure 4 within its Autorun class to set up persistence on Windows systems , which has multiple options including : Adding a shortcut ( lnk file ) to the Windows startup folder , adding a sub-key to the following paths in the current user ( HKCU ) hive .		malware others others others others others others others others others function others others others others others others OS_name others others others others others others others others others others others others others others others others others OS_name others others others others others others others others others others others others others others others others others others others
Adding a sub-key to the following paths in the current user ( HKCU ) hive :  SOFTWARE\Microsoft\Windows\CurrentVersion\Run .		others others others others others others others others others others others others others others others others others others
SOFTWARE\Microsoft\Windows\CurrentVersion\RunOnce .		others others
SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer\Run .		others others
SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\Shell .		others others others
SOFTWARE\Microsoft\Windows NT\CurrentVersion\Windows\load .		others others others
The Kazuar Trojan initially relies on its command and control channel to allow actors to interact with the compromised system and to exfiltrate data .		others malware malware sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
Kazuar has the capabilities to use multiple protocols , such as HTTP , HTTPS , FTP or FTPS , determined by the prefixes of the hardcoded C2 URLs .		malware others others others others others others others others others others protocol others protocol others protocol others protocol others others others others others others others others protocol others others
So far , we have only observed HTTP used as the C2 protocol in our sample set .		others others others others others others others protocol others others others protocol others others others others others others
All of the known Kazuar C2 servers appear to be compromised WordPress blogs , suggesting that the threat group using Kazuar in attacks also locates and exploits vulnerable WordPress sites as part of their playbook .		others others others others malware protocol others others others others others others others others others others others others others others malware others others others others others others others others others others others others others others others
To interact with its C2 server , Kazuar begins its communication by creating an HTTP GET request to use as a beacon .		others others others others protocol others others malware others others others others others others protocol others others others others others others others others
Kazuar refers to this GUID as an “ agent ” identifier .		malware others others others others others others others string others others others
The initial HTTP beacon shows the base64 encoded AuthToken value within the Cookie field that we believe the C2 server uses to uniquely identify and track individual compromised hosts .		others others protocol others others others others others others others others others others others others others others others protocol others others others others others others others others others others others
Kazuar will read the response from the C2 server and attempt to parse the response as XML formatted data .		malware others others others others others others protocol others others others others others others others others program_language others others others
The XML formatted data will contain what Kazuar refers to as a “ task ” , which is comprised of an action identifier and specific arguments for each action .		others program_language others others others others others malware others others others others others string others others others others others others others others others others others others others others others others
The action identifier is directly related to the command which the actor wishes to run on the compromised system .		others others others others others others others others others others others others others others others others others others others others
Surprisingly , Kazuar also contains methods for each command to equate the action identifier to a string that describes the command , which makes determining the purpose of each command much easier .		others others malware others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Table 2 shows a list of available commands within Kazuar , specifically each action identifier , command string and a description .		others others others others others others others others others malware others others others others others others others others others others others others
1:log Logs a specified debug message .		others others string sample_function sample_function sample_function sample_function sample_function others
2:get Upload files from a specified directory .		others others string sample_function sample_function sample_function sample_function sample_function sample_function others
It appears the actor can specify which files to upload based on their modified , accessed and created timestamps as well .		others others others others others others others others others others others others others others others others others others others others others others
3:put Writes provided data ( referred to as ‘ payload ’ ) to a specified file on the system .		others others string sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others
4:cmd Executes a specified command and writes the output to a temporary file : The temporary file is uploaded to the C2 server :  5:sleep	Trojan sleeps for a specified time :  6:upgrade Upgrades the Trojan by changing the current executable ’s file extension to “ .old ” and writing a newly provided executable in its place .		others others string sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others others protocol others others others others string malware sample_function sample_function sample_function sample_function sample_function others others others string sample_function sample_function malware others others others others others others others others others others others others others others others others others others others others others others others
7:scrshot Takes a screenshot of the entire visible screen .		others others string sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
The screenshot is saved to a specified filename or using a filename with the following format : [year]-[month]-[day]-[hour]-[minute]-[second]-[milisecond].jpg .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The file is uploaded to the C2 server .		others others others others others others protocol others others
8:camshot Creates a Window called “ WebCapt ” to capture an image from an attached webcam , which it copies to the clipboard and writes to a specified file or a file following the same format from the “ scrshot ” command .		others others string sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others function others others others
The file is uploaded to the C2 server .		others others others others others others protocol others others
9:uuid Sets the unique agent identifier by providing a specific GUID .		others others string sample_function sample_function sample_function sample_function sample_function others others others others others others
10:interval Sets the transport intervals , specifically the minimum and maximum time intervals between C2 communications .		others others string sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others protocol others others
11:server Sets the C2 servers by providing a list of URLs .		others others string sample_function sample_function protocol sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
12:transport Sets the transport processes by providing a list of processes that Kazuar will inject its code and execute within .		others others string sample_function sample_function sample_function sample_function others others others others others others others malware others others others others others others others others
13:autorun Sets the autorun type as discussed earlier in this blog .		others others string sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
Kazuar will accept the following strings for this command : DISABLED , WINLOGON , POLICIES , HKCURUN , RUNONCE , LOADKEY , STARTUP .		malware others others others others others others others others others string others string others string others string others string others string others string others
14:remote Sets a remote type .		others others string sample_function sample_function sample_function sample_function others
We are only aware of one remote type that instructs Kazuar to act as an HTTP server and allow the threat actor to interact with the compromised system via inbound HTTP requests .		others others others others others others others others others others malware others others others others protocol others others others others others others others others others others others others others others protocol others others
15:info	Gathers system information , specifically information referred to as : Agent information , System information , User information , Local groups and members , Installed software , Special folders , Environment variables , Network adapters , Active network connections , Logical drives , Running processes and Opened windows .		others others string sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
16:copy	Copies a specified file to a specified location .		others others string sample_function sample_function sample_function sample_function others others others others others
Also allows the C2 to supply a flag to overwrite the destination file if it already exists .		others others others protocol others others others others others others others others others others others others others others
17:move	Moves a specified file to a specified location .		others others string sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
Also allows the C2 to supply a flag to delete the destination file if it exists .		others others others protocol others others others others others others others others others others others others others
18:remove Deletes a specified file .		others others string sample_function sample_function sample_function sample_function others
Allows the C2 to supply a flag to securely delete a file by overwriting the file with random data before deleting the file .		others others protocol others others others others others others others others others others others others others others others others others others others others others
19:finddir Find a specified directory and list its files , including the created and modified timestamps , the size and file path for each of the files within the directory .		others others string sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others others others others others others others others others others others others others others others others
20:kill	Kills a process by name or by process identifier ( PID ) .		others others string sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others
21:tasklisk	List running processes .		others others string sample_function sample_function sample_function others
Uses a WMI query of “ select * from Win32_Process ” for a Windows system , but can also running “ ps -eo comm ,pid ,ppid ,user ,start ,tty ,args ” to obtain running processes from a Unix system .		others others others others others others function function function function others others others OS_name others others others others others others others function function function function function function function function function function function function function function function others others others others others others others OS_name others others
22:suicide We believe this command is meant to uninstall the Trojan , but it is not currently implemented in the known samples .		others others string others others others others others sample_function sample_function sample_function sample_function malware others others others others others others others others others others others others
23:plugin Installing plugin by loading a provided Assembly , saving it to a file whose name is the MD5 hash of the Assembly ’s name and calling a method called “ Start ” .		others others string sample_function sample_function others others others others others others others others others others others others others others others others others others others others others others others others others others others others others function others others
24:plugout Removes a plugin based on the Assembly ’s name .		others others string sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
25:pluglist	Gets a list of plugins and if they are “ working ” or “ stopped ” .		others others string sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
26:run Runs a specified executable with supplied arguments and saves its output to a temporary file .		others others string sample_function sample_function sample_function sample_function others others others others others others others others others others others others
The temporary file is up loaded to the C2 server .		others others others others others others others others protocol others others
As can be seen from the Table 2 above , Kazuar has an extensive command set , many of which are similar in functionality as other backdoor Trojans .		others others others others others others others others others others malware others others others others others others others others others others others others others others others others malware others
However , a few commands specific to Kazuar appear to be unique and are worth further discussion .		others others others others others others others malware others others others others others others others others others others
First , several of these commands contain checks to determine the environment in order to use appropriate paths or commands .		others others others others others others others others others others others others others others others others others others others others others
The ‘ tasklist ’ command will use a WMI query or the “ ps ” command , which allows Kazuar to obtain running processes from both Windows and Unix systems .		others others function others others others others others tool others others others others function others others others others others malware others others others others others others OS_name others OS_name others others
Also , Kazuar ’s ‘ cmd ’ command will run commands using “ cmd.exe ” for Windows systems and “ /bin/bash ” for Unix systems .		others others malware others others others function others others others others others others others sample_name others others OS_name others others others function others others OS_name others others
These two commands provide evidence that the authors of Kazuar intended to use this malware as a cross-platform tool to target both Windows and Unix systems .		others others others others others others others others others malware others others others others others others others others others others others others OS_name others OS_name others others
Kazuar contains three commands related to plugins : plugin , plugout and pluglist .		malware others others others others others others others function others function others function others
These three commands allow an actor to administer a framework that allows Kazuar to use additional plugins .		others others others others others others others others others others others others malware others others others others others
This plugin framework provides Kazuar potentially endless functionality , as its operators can provide additional .NET applications that Kazuar can load and execute .		others others others others malware others others others others others others others others others others others others others malware others others others others others
While many backdoor Trojans have extensive command handlers and plugin frameworks , Kazuar ’s ‘ remote ’ command provides a functionality that is rarely seen in backdoors used in espionage campaigns .		others others others malware others others others others others others others others malware others others others function others others others others others others others others others others others others others others others others
This command instructs the Trojan to start a thread to listen for inbound HTTP requests , which effectively turns Kazuar into a webserver .		others others others others malware others others others others others others others others protocol others others others others others malware others others others others
This functionality provides an API for the Trojan to run commands on the compromised system .		others others others others others others others malware others others others others others others others others
To initiate this functionality , the actor will issue the ‘ remote ’ command and provide a list of URI prefixes that Kazuar ’s HTTP listener will process and respond to .		others others others others others others others others others others others function others others others others others others others others others others malware others others protocol others others others others others others others
The URI prefix supplied by the actor would be added to the “ Prefixes ” property of the HttpListener class , which requires a schema , a host , an optional port and optional path .		others others others others others others others others others others others others others function others others others others function others others others others others others others others others others others others others others others others others
The actor would then issue HTTP requests to URLs that match these URI prefixes using specific methods , specifically OPTIONS , POST , GET and PUT methods to interact with the compromised system using Kazuar ’s command set seen in Table 3 .		others person others others others protocol others others others others others others others others others others others others others function others function others function others function others others others others others others others others malware others others others others others others others others others
This functionality flips the communication flow between the Trojan and the C2 server .		others others others others others others others others malware others others protocol others others
Instead of the Trojan initiating communications with its C2 server , the C2 server sends requests directly to the Trojan .		others others others malware others others others others protocol others others others protocol others others others others others others malware others
This communications flow is important if the compromised system is a remotely accessible server that may raise flags when initiating outbound requests .		others others others others others others others others others others others others others others others others others others others others others others others
Also , by creating this type of API access , the threat actors could use one accessible server as a single point to dump data to and exfiltrate data from .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
OPTIONS No functionality , just responds with an HTTP “ OK ” status .		function others others others others others others others protocol others others others others others
POST Actor provides XML formatted data that Kazuar will use to create a new task .		function others others protocol others others others malware others others others others others others others others
Uses the exact same method to parse the XML data obtained in the initial C2 communications channel discussed earlier .		others others others others others others others others protocol others others others others others protocol others others others others others
Kazuar writes the results of the task to a log file that it references as “ res ” within a folder referenced as “ tsk ” .		malware others others others others others others others others others others others others others others others others others others others others others others others others others others
GET	Provides the contents of the results of the previous task created via the HTTP POST request that is stored in the “ res ” file .		function others others others others others others others others others others others others others protocol others others others others others others others others others others others others
PUT	Actor provides XML formatted data that Kazuar will use to create a new task .		function others others protocol others others others malware others others others others others others others others
This method is similar to the POST method , however , instead of saving the results of the command to a “ res ” file it responds to the HTTP PUT request with the results of the command .		others others others others others others function others others others others others others others others others others others others others others others others others others others others others others protocol function others others others others others others others others
While yet another fully featured backdoor alone is not particularly novel , the existence of a code path for Unix , combined with the portability of .NET Framework code makes the Kazuar Trojan an interesting tool to keep an eye on .		others others others others others others others others others others others others others others others others others others others OS_name others others others others others others others others others others others malware malware others others others others others others others others others
Another interesting portion of this malware is its remote API that allows actors to issue commands to the compromised system via inbound HTTP requests .		others others others others others others others others others others others others others others others others others others others others others others protocol others others
Based on our analysis , we believe that threat actors may compile Windows and Unix based payloads using the same code to deploy Kazuar against both platforms .		others others others others others others others others others others others others OS_name others OS_name others others others others others others others others malware others others others others
Palo Alto Networks AutoFocus subscribers can explore additional samples using the Kazuar AutoFocus tag .		company company company company others others others others others others others malware others others others
Kazuar : 8490daab736aa638b500b27c962a8250bbb8615ae1c68ef77494875ac9d2ada2 .		malware others md5 others
Kazuar : b51105c56d1bf8f98b7e924aa5caded8322d037745a128781fa0bc23841d1e70 .		malware others md5 others
Kazuar : bf6f30673cf771d52d589865675a293dc5c3668a956d0c2fc0d9403424d429b2 .		malware others md5 others
Kazuar : cd4c2e85213c96f79ddda564242efec3b970eded8c59f1f6f4d9a420eb8f1858 .		malware others md5 others
Kazuar : http://gaismustudija.lv/wp-includes/pomo/kontakti.php .		malware others url_evil url_evil url_evil others
Kazuar : http://hcdh-tunisie.org/wp-includes/SimplePie/gzencode.php .		malware others url_evil url_evil url_evil others
Kazuar : http://www.gallen.fi/wp-content/gallery/ .		malware others url_evil url_evil url_evil others
Kazuar : %LOCALAPPDATA%\/[a-f0-9]{32}\/[a-f0-9]{32}\.dll .		malware others string string string string string string string string string string string string string string string string string string string
Kazuar : %LOCALAPPDATA%\/[a-f0-9]{32}\/[a-f0-9]{32}/ .		malware others string string string string string string string string string string string string string string string string string string string
Kazuar : %USERPROFILE%\Start Menu\Programs\Startup\*.lnk .		malware others string string string string string string string string
