Following the Trail of BlackTech’s Cyber Espionage Campaigns .		others others others others threatActor_name others others others others others others
They are mostly accompanied by decoy documents to further trick users .		reference_word others others others others tool tool others others attack_goal attack_goal others
We ’ve also seen PLEAD use exploits for these vulnerabilities :  CVE-2015-5119 , patched by Adobe last July , 2015 .		others others others others others attack_activity others others others others others others vulnerability_cve others others others company others time time time others
CVE-2012-0158 , patched by Microsoft last April , 2012 .		vulnerability_cve others others others company others time time time others
CVE-2014-6352 , patched by Microsoft last October , 2014 .		vulnerability_cve others others others company others time time time others
CVE-2017-0199 , patched by Microsoft last April , 2017 .		vulnerability_cve others others others company others time time time others
PLEAD also dabbled with a short-lived , fileless version of their malware when it obtained an exploit for a Flash vulnerability ( CVE-2015-5119 ) that was leaked during the Hacking Team breach .		attack_activity others others others others others others others others others others others others others others others others others others others others others vulnerability_cve others others others others others others others others others others
PLEAD actors use a router scanner tool to scan for vulnerable routers , after which the attackers will enable the router ’s VPN feature then register a machine as virtual server .		attack_activity others others others tool tool tool others attack_goal attack_goal attack_goal attack_goal others others others others others others others others others others others others others others others others others others others others others
This virtual server will be used either as a C&C server or an HTTP server that delivers PLEAD malware to their targets .		others others others others others others others others others tool tool tool tool others others tool tool others others attack_activity others others others others others
PLEAD also uses CVE-2017-7269 , a buffer overflow vulnerability Microsoft Internet Information Services ( IIS ) 6.0 to compromise the victim ’s server .		attack_activity others others vulnerability_cve others others others others others vul_aliases vul_aliases vul_aliases vul_aliases vul_aliases vul_aliases vul_aliases vul_aliases others others others others others others others others
This is another way for them to establish a new C&C or HTTP server .		others others others others others others others attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others
PLEAD ’s backdoor can :  Harvest saved credentials from browsers and email clients like Outlook .		malware malware malware malware others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
List drives , processes , open windows , and files .		sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
Open remote Shell .		sub_activity sub_activity sub_activity others
Upload target file .		sub_activity sub_activity sub_activity others
Execute applications via ShellExecute API .		sub_activity sub_activity sub_activity sub_activity sub_activity others
Delete target file .		sub_activity sub_activity sub_activity others
PLEAD also uses the document-targeting exfiltration tool DRIGO , which mainly searches the infected machine for documents .		attack_activity others others others others others others tool others others others attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others
Each copy of DRIGO contains a refresh token tied to specific Gmail accounts used by the attackers , which are in turn linked to a Google Drive account .		others others others tool others others tool tool others others others others others others others others others others others others others others others others others others others others others
The stolen files are uploaded to these Google Drives , where the attackers can harvest them .		others others others others others others others others others others others others others others others others others
This campaign , first observed in 2010 , is believed to be operated by a well-funded group given how it appeared to have purchased the source code of the BIFROST backdoor , which the operators enhanced and created other tools from .		reference_word reference_word others others others others time others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Shrouded Crossbow targeted privatized agencies and government contractors as well as enterprises in the consumer electronics , computer , healthcare , and financial industries .		attack_activity attack_activity others target_crowd target_crowd others target_crowd target_crowd others others others company others others industry industry others industry others industry others others industry industry others
Shrouded Crossbow employs three BIFROST-derived backdoors : BIFROSE , KIVARS , and XBOW .		attack_activity attack_activity others others others malware others malware others malware others others malware others
Like PLEAD , Shrouded Crossbow uses spear-phishing emails with backdoor-laden attachments that utilize the RTLO technique and accompanied by decoy documents .		others attack_activity others attack_activity attack_activity others attack_activity tool others malware malware others others others tool tool others others others others others others
BIFROSE , known for evading detection by communicating with its C&C servers via Tor protocol , also has a version targeting UNIX-based operating systems , which are usually used in servers , workstations , and mobile devices .		malware others others others attack_goal attack_goal others others others others tool tool tool tool others protocol protocol others others others others others others OS_name OS_name OS_name others others others others others others industry others industry others others industry industry others
KIVARS has less functionality than BIFROSE , but its modular structure made it easier to maintain .		malware others others others others malware others others others others others others others others others others others
KIVARS enabled attackers to download and execute files , list drives , uninstall malware service , take screenshots , activate/deactivate keylogger , show/hide active windows , and trigger mouse clicks and keyboard inputs .		malware others others others function function function function others function function others function function function others function function others function function others function function function others others function function function function function function others
A 64-bit version of KIVARS also emerged to keep pace with the popularity of 64-bit systems .		others others others others malware others others others others others others others others others others others others
XBOW ’s capabilities are derived from BIFROSE and KIVARS ; Shrouded Crossbow gets its name from its unique mutex format .		malware others others others others others others malware others malware others attack_activity attack_activity others others others others others others others others others
Waterbear has actually been operating for a long time .		attack_activity others others others others others others others others others
The campaign ’s name is based on its malware ’s capability to equip additional functions remotely .		reference_word reference_word others others others others others others others others others others others others others others others others others
Waterbear similarly employs a modular approach to its malware .		attack_activity others others others others others others others others others
A loader component executable will connect to the C&C server to download the main backdoor and load it in memory .		others malware malware malware others others others others tool tool tool tool others attack_goal attack_goal attack_goal attack_goal others attack_goal attack_goal attack_goal attack_goal others
A later version of this malware appeared and used patched server applications as its loader component , while the main backdoor is either loaded from an encrypted file or downloaded from the C&C server .		others others others others others others others others others others others others others others others others others others others others malware others others others others others others others others others others others tool tool tool tool others
The tactic it later adopted required prior knowledge of their targets ’ environment .		others others others others others others others others others others others others others others
It ’s possible attackers used Waterbear as a secondary payload to help maintain presence after gaining some levels of access into the targets ’ systems .		others others others others others others attack_activity others others others others others others others others others others others others others others others others others others others others
Based on the use of the same C&C servers , the campaigns ’ coordinated efforts , and similarities in tools , techniques , and objectives , we can conclude that they are operated by the same group .		others others others others others others others tool tool tool tool others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
It is not uncommon , for instance , for a group—especially a well-funded one—to split into teams and run multiple campaigns .		others others others others others others others others others others others others others others others others others others others others others others
While most of the campaigns ’ attacks are conducted separately , we ’ve seen apparently joint operations conducted in phases that entail the work of different teams at each point in the infection chain .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Similarities between tools and techniques .		others others others others others others
PLEAD and KIVARS , for instance , share the use of RTLO techniques to disguise their installers as documents .		attack_activity others malware others others others others others others others others tool tool others attack_goal attack_goal attack_goal attack_goal attack_goal others
Both also use decoy documents to make the RTLO attack more convincing .		reference_word others others tool tool others others others tool others others others others
Another similarity is the use of a small loader component to load encrypted backdoors into memory .		others others others others others others others others others others others others others others others others others
Similar Objectives .		others others others
The ulterior motive of these campaigns is to steal important documents from their victims ; initial recipients of their attacks are not always their primary target .		others others others others reference_word reference_word others others attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others others others others others others others others others others others others others
For instance , we saw several decoy documents stolen by the attackers that are then used against another target .		others others others others others others others others others others others others others others others others others others others others
This indicates that document theft is most likely the first phase of an attack chain against a victim with ties to the intended target .		others others others others others others others others others others others others others others others others others others others others others others others others others
While PLEAD and KIVARS are most likely to be used in first phase attacks , Waterbear can be seen as a secondary backdoor installed after attackers have gained a certain level of privilege .		others attack_activity others malware others others others others others others others others others others others attack_activity others others others others others others tool others others others others others others others others others others others
Based on the type of documents stolen by these campaigns , we can get a clearer view of who they ’re targeting and compromising , the purpose of their campaigns , and when they take place .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Below are some of the categories or labels of the stolen documents :  Address book Budget Business Contract Culture Defense Education Energy Foreign affairs Funding application Human affairs Internal affairs Laws Livelihood economy Meeting Official letter Password list Performance appraisal Physical culture Press release Public security Schedule .		others others others others others others others others others others others others others tool tool others others tool others others others others others others others others industry industry others others others others others others tool tool tool tool others others others others tool tool industry industry tool others
PLEAD , Shrouded Crossbow , and Waterbear are still actively mounting their campaigns against its targets , which is why organizations must proactively secure their perimeter .		attack_activity others attack_activity attack_activity others others attack_activity others others others others others others others others others others others others others others others others others others others others
IT/system administrators and information security professionals can consider making a checklist of what to look out for in the network for any signs of anomalies and suspicious behavior that can indicate intrusions .		person person others person person person others others counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure others
Adopting best practices and employing multilayered security mechanisms and strategies against targeted attacks are also recommended .		counter_measure counter_measure counter_measure others counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure others others others others
Network traffic analysis , deployment of firewalls and intrusion detection and prevention systems , network segmentation , and data categorization are just some of them .		counter_measure counter_measure counter_measure others counter_measure counter_measure counter_measure others counter_measure counter_measure others counter_measure counter_measure others counter_measure counter_measure others others counter_measure counter_measure others others others others reference_word others
Trend Micro™ Deep Discovery™ provides detection , in-depth analysis , and proactive response to today ’s stealthy malware , and targeted attacks in real-time .		security_team security_team security_team security_team others others others others others others others others others others others others others others others others others others others others others others
It provides a comprehensive defense tailored to protect organizations against targeted attacks and advanced threats through specialized engines , custom sandboxing , and seamless correlation across the entire attack lifecycle , allowing it to detect threats like the above mentioned zero-day attacks even without any engine or pattern update .		reference_word others others others others others others others others others others others others others others others counter_measure counter_measure others counter_measure counter_measure others others counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure others others others others others others others others others others others others others others others others others others others others
Trend Micro™ Deep Security™ and Vulnerability Protection provide virtual patching that protects endpoints from threats that abuses unpatched vulnerabilities .		security_team security_team security_team security_team others counter_measure others others tool tool others others others others others others others others others others
OfficeScan ’s Vulnerability Protection shield endpoints from identified and unknown vulnerability exploits even before patches are deployed .		tool others others tool tool others others others others others others others others others others others others others others
Trend Micro™ Smart Protection for Endpoints with Maximum XGen™ security infuses high-fidelity machine learning into a blend of threat protection techniques to eliminate security gaps across user activity and any endpoint—the broadest possible protection against advanced attacks .		security_team security_team security_team security_team security_team security_team security_team security_team security_team security_team others others others others others others others others others others others others others others others others others others others others others others others others others others others others
An overview and analysis of the various malware used by PLEAD , Shrouded Crossbow , and Waterbear , along with their Indicators of Compromise ( hashes , C&Cs ) , can be found in this technical brief .		others others others others others others others others others others attack_activity others attack_activity attack_activity others others attack_activity others others others others tool tool tool others string others string string string others others others others others others others others others others
