Hades, the actor behind Olympic Destroyer is still alive .		threatActor_name others others others others malware malware others others others others
Unfortunately we don’t know what exact vulnerability was exploited in the Joomla CMS .		others others others others others others others others others others others others others tool tool others
What is known is that one of the payload hosting servers used Joomla v1.7.3 , which is an extremely old version of this software , released in November 2011 .		others others others others others others others others others others others others tool tool others others others others others others others others others others others others others time time others
Based on several target profiles and limited victim reports , we believe that the recent operations by Hades target Russia , Ukraine and several other European countries .		others others others others others others others others others others others others others others others others others threatActor_name others location others location others others others location location others
According to our telemetry , several victims are entities from the financial sector in Russia .		others others others others others others others others others others others industry others others location others
In addition , almost all the samples we found were uploaded to a multi-scanner service from European countries such as the Netherlands , Germany and France , as well as from Ukraine and Russia .		others others others others others others others others others others others others others others others others reference_word reference_word others others others location others location others location others others others others others location others location others
Since our visibility is limited , we can only speculate about the potential targets based on the profiles suggested by the content of selected decoy documents , email subjects or even file names picked by the attackers .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others person others
One such decoy document grabbed our attention .		others others others others others others others others
It referred to ‘ Spiez Convergence ’ , a bio-chemical threat research conference held in Switzerland , organized by SPIEZ LABORATORY , which not long ago was involved in the Salisbury attack investigation .		others others others others others others others others others others others others others others others location others others others government government others others others others others others others others others location others others others
Some other spear-phishing documents include words in the Russian and German language in their names :  9bc365a16c63f25dfddcbe11da042974 Korporativ.doc da93e6651c5ba3e3e96f4ae2dd763d94 Korporativ_2018.doc e2e102291d259f054625cc85318b7ef5 E-Mail-Adressliste_2018.doc .		others others attack_activity others others others others others others others others others others others others others md5 sample_name md5 sample_name md5 sample_name others
One of the most recent weaponized documents was uploaded to a malware scanning service from Ukraine in a file named ‘ nakaz.zip ’ , containing ‘ nakaz.doc ’ ( translated as ‘ order.doc ’ from Ukrainian ) .		others others others others others others others others others others others others others others others location others others others others others sample_name others others others others sample_name others others others others others reference_word others others others others others
According to metadata , the document was edited on June 14th .		others others others others others others others others others time time others
The Cyrillic messages inside this and previous documents are in perfect Russian , suggesting that it was probably prepared with the help of a native speaker and not automated translation software .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Once the user enables macro , a decoy document is displayed , taken very recently from a Ukrainian state organization ( the date inside indicates 11 June 2018 ) .		others others others others others others others others others others others others others others others others others others others others others others others others others time time time others others
The text of the document is identical to the one on the official website of the Ukrainian Ministry of Health .		others others others others others others others others others others others others others others others others government government government government others
Further analysis of other related files suggest that the target of this document is working in the biological and epizootic threat prevention field .		others others others others others others others others others others others others others others others others others industry others industry industry industry others others
Although not comprehensive , the following findings can serve as a hint to those looking for a better connection between this campaign and previous Hades activity .		others others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others others
More information on overlaps and reliable tracking of Hades ’ attacks is available to subscribers of Kaspersky Intelligence Reporting Services ( see below ) .		others others others others others others others others threatActor_name others others others others others others others security_team security_team security_team security_team others others others others others
The documents above show apparent structural similarity as if they were produced by the same tool and obfuscator .		others others others others others others others others others others others others others others others others others others others
The highlighted function name in the new wave of attacks isn’t in fact new .		others others others others others others others others others others others others others others others others others
While being uncommon , a function named “ MultiPage1_Layout ” was also found in the Olympic Destroyer spear phishing document ( MD5: 5ba7ec869c7157efc1e52f5157705867 ) .		others others others others others others others others function others others others others others others malware malware attack_activity attack_activity others others encryption_algo others md5 others others
Despite initial expectations for it to stay low or even disappear , Hades , the actor behind the Olympic Destroyer attack , has resurfaced with new attacks in Europe , Russia and Ukraine .		others others others others others others others others others others others others threatActor_name others others others others others malware malware others others others others others others others others location others location others location others
In late 2017 , a similar reconnaissance stage preceded a larger cyber-sabotage stage meant to destroy and paralyze infrastructure of the Winter Olympic Games as well as related supply chains , partners and even venues at the event location .		others others time others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
It ’s possible that in this case we have observed a reconnaissance stage that will be followed by a wave of destructive attacks with new motives .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
That is why it is important for all bio-chemical threat prevention and research companies and organizations in Europe to strengthen their security and run unscheduled security audits .		others others others others others others others others company company company company company company others others others location others others others others others others others others others others
The variety of financial and non-financial targets could indicate that the same malware was used by several groups with different interests – i.e .		others others others others others others others others others others others others others others others others others others others others others others others others
a group primarily interested in financial gain through cybertheft and another group or groups looking for espionage targets .		others others others others others others others others others others others others others others others others others others others
This could also be a result of cyberattack outsourcing , which is not uncommon among nation state actors .		others others others others others others others others others others others others others others others others others others others
On the other hand , the financial targets might be another false flag operation by an actor who has already excelled at this during the Pyeongchang Olympics to redirect researchers ’ attention .		others others others others others others others others others others others others others others others others others others others others others others others others others location others others others others others others others
Certain conclusions could be made based on motives and the selection of targets in this campaign .		others others others others others others others others others others others others others others others others others
However , it is easy to make a mistake when trying to answer the question of who is behind this campaign with only the fragments of the picture that are visible to researchers .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Hades ’ Olympic Destroyer-related activities at the beginning of this year , with their sophisticated deception efforts , changed the attribution game forever .		threatActor_name others malware others others others others others others others others others others others others others others others others others others others others others
We believe that it is no longer possible to draw conclusions based on few attribution vectors discovered during regular investigation .		others others others others others others others others others others others others others others others others others others others others others
The resistance to and deterrence of threats such as Olympic Destroyer should be based on cooperation between the private sector and governments across national borders .		others others others others others others others others others malware malware others others others others others others others others others others others others others others others
Unfortunately , the current geopolitical situation in the world only boosts the global segmentation of the internet and introduces many obstacles for researchers and investigators .		others others others others others others others others others others others others others others others others others others others others others others others others others others
This will encourage APT attackers to continue marching into the protected networks of foreign governments and commercial companies .		others others others others person others others others others others others others others others others others others others others
The best thing we can do as researchers is to keep tracking threats like this .		others others others others others others others others others others others others others others others others
We will keep monitoring Hades and report on new discovered activities of this group .		others others others others threatActor_name others others others others others others others others others others
More details about Hades , Olympic Destroyer and related activity are available to subscribers of Kaspersky Intelligence Reporting services .		others others others threatActor_name others malware malware others others others others others others others others security_team security_team security_team security_team others
Contact : intelreports@kaspersky.com .		others others url url url others
Hades : 9bc365a16c63f25dfddcbe11da042974 Korporativ.doc .		threatActor_name others md5 sample_name others
Hades : da93e6651c5ba3e3e96f4ae2dd763d94 Korporativ_2018.doc .		threatActor_name others md5 sample_name others
Hades : 6ccd8133f250d4babefbd66b898739b9 corporativ_2018.doc .		threatActor_name others md5 sample_name others
Hades : abe771f280cdea6e7eaf19a26b1a9488 Scan-2018-03-13.doc.bin .		threatActor_name others md5 sample_name others
Hades : b60da65b8d3627a89481efb23d59713a Corporativ_2018.doc .		threatActor_name others md5 sample_name others
Hades : b94bdb63f0703d32c20f4b2e5500dbbe .		threatActor_name others md5 others
Hades : 79.142.76.40:80/news.php .		threatActor_name others url_evil others
Hades : 79.142.76.40:8989/login/process.php .		threatActor_name others url_evil others
Hades : 79.142.76.40:8989/admin/get.php .		threatActor_name others url_evil others
Hades : 159.148.186.116:80/admin/get.php .		threatActor_name others url_evil others
Hades : 159.148.186.116:80/login/process.php .		threatActor_name others url_evil others
Hades : 159.148.186.116:80/news.php .		threatActor_name others url_evil others
