GRIZZLY STEPPE – Russian Malicious Cyber Activity .		attack_activity attack_activity others others others others others others
Contact DHS or law enforcement immediately .		others others others others others others others
We encourage you to contact DHS NCCIC ( NCCICCustomerService@hq.dhs.gov or 888-282-0870 ) , the FBI through a local field office or the FBI's Cyber Division ( CyWatch@ic.fbi.gov or 855-292-3937 ) to report an intrusion and to request incident response resources or technical assistance .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Routinely evaluate known and published vulnerabilities , perform software updates and technology refreshes periodically , and audit external-facing systems for known Web application vulnerabilities .		others others others others others others others others others others others others others others others others others others others others others others others others others
Take steps to harden both Web applications and the servers hosting them to reduce the risk of network intrusion via this vector .		others others others others others others others others others others others others others others others others others others others others others others others
Use and configure available firewalls to block attacks .		others others others others others others others others others
Take steps to further secure Windows systems such as installing and configuring Microsoft's Enhanced Mitigation Experience Toolkit ( EMET ) and Microsoft AppLocker .		others others others others others others others others others others others others others others others others others others others others others others others others others
Monitor and remove any unauthorized code present in any www directories .		others others others others others others others others others others others others
Disable , discontinue , or disallow the use of Internet Control Message Protocol ( ICMP ) and Simple Network Management Protocol ( SNMP ) and response to these protocols as much as possible .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Remove non-required HTTP verbs from Web servers as typical Web servers and applications only require GET , POST , and HEAD .		others others others others others others others others others others others others others others others others others others others others others others
Where possible , minimize server fingerprinting by configuring Web servers to avoid responding with banners identifying the server software and version number .		others others others others others others others others others others others others others others others others others others others others others others others
Secure both the operating system and the application .		others others others others others others others others others
Update and patch production servers regularly .		others others others others others others others
Disable potentially harmful SQL-stored procedure calls .		others others others others others others others
Sanitize and validate input to ensure that it is properly typed and does not contain escaped code .		others others others others others others others others others others others others others others others others others others
Consider using type-safe stored procedures and prepared statements .		others others others others others others others others others
Perform regular audits of transaction logs for suspicious activity .		others others others others others others others others others others
Perform penetration testing against Web services .		others others others others others others others
Ensure error messages are generic and do not expose too much information .		others others others others others others others others others others others others others
Implement a Sender Policy Framework ( SPF ) record for your organization's Domain Name System ( DNS ) zone file to minimize risks relating to the receipt of spoofed messages .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Educate users to be suspicious of unsolicited phone calls , social media interactions , or email messages from individuals asking about employees or other internal information .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
If an unknown individual claims to be from a legitimate organization , try to verify his or her identity directly with the company .		others others others others others others others others others others others others others others others others others others others others others others others others
Do not provide personal information or information about your organization , including its structure or networks , unless you are certain of a person's authority to have the information .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Do not reveal personal or financial information in social media or email , and do not respond to solicitations for this information .		others others others others others others others others others others others others others others others others others others others others others others others
This includes following links sent in email .		others others others others others others others others
Pay attention to the URL of a website .		others others others others others others others others others
Malicious websites may look identical to a legitimate site , but the URL often includes a variation in spelling or a different domain than the valid website ( e.g.		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
, .com vs. .net ) .		others others others others others others
If you are unsure whether an email request is legitimate , try to verify it by contacting the company directly .		others others others others others others others others others others others others others others others others others others others others others
Do not use contact information provided on a website connected to the request ; instead , check previous statements for contact information .		others others others others others others others others others others others others others others others others others others others others others others others
Information about known phishing attacks is also available online from groups such as the Anti-Phishing Working Group ( http://www.antiphishing.org ) .		others others others others others others others others others others others others others others others others others others others others others others others
Take advantage of anti-phishing features offered by your email client and web browser .		others others others others others others others others others others others others others others
Patch all systems for critical vulnerabilities , prioritizing timely patching of software that processes Internet data , such as web browsers , browser plugins , and document readers .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Reduce privileges to only those needed for a user's duties .		others others others others others others others others others others others others
Restrict users' ability ( permissions ) to install and run unwanted software applications , and apply the principle of " Least Privilege " to all systems and services .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Restricting these privileges may prevent malware from running or limit its capability to spread through the network .		others others others others others others others others others others others others others others others others others others
Carefully consider the risks before granting administrative rights to users on their own machines .		others others others others others others others others others others others others others others others
Scrub and verify all administrator accounts regularly .		others others others others others others others others
Configure Group Policy to restrict all users to only one login session , where possible .		others others others others others others others others others others others others others others others others
Enforce secure network authentication where possible .		others others others others others others others
Instruct administrators to use non-privileged accounts for standard functions such as Web browsing or checking Web mail .		others others others others others others others others others others others others others others others others others others
Segment networks into logical enclaves and restrict host-to-host communication paths .		others others others others others others others others others others others
Containment provided by enclaving also makes incident cleanup significantly less costly .		others others others others others others others others others others others others
Configure firewalls to disallow RDP traffic coming from outside of the network boundary , except for in specific configurations such as when tunneled through a secondary VPN with lower privileges .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Audit existing firewall rules and close all ports that are not explicitly needed for business .		others others others others others others others others others others others others others others others others
Specifically , carefully consider which ports should be connecting outbound versus inbound .		others others others others others others others others others others others others others
Enforce a strict lockout policy for network users and closely monitor logs for failed login activity .		others others others others others others others others others others others others others others others others others
This can be indicative of failed intrusion activity .		others others others others others others others others others
If remote access between zones is an unavoidable business need , log and monitor these connections closely .		others others others others others others others others others others others others others others others others others others
In environments with a high risk of interception or intrusion , organizations should consider supplementing password authentication with other forms of authentication such as challenge/response or multifactor authentication using biometric or physical tokens .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Enforce a tiered administrative model with dedicated administrator workstations and separate administrative accounts that are used exclusively for each tier to prevent tools , such as Mimikatz , for credential theft from harvesting domain-level credentials .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Implement multi-factor authentication ( e.g.		others others others others others others
, smart cards ) or at minimum ensure users choose complex passwords that change regularly .		others others others others others others others others others others others others others others others others
Be aware that some services ( e.g.		others others others others others others others others
, FTP , telnet , and .rlogin ) transmit user credentials in clear text .		others others others others others others others others others others others others others others others
Minimize the use of these services where possible or consider more secure alternatives .		others others others others others others others others others others others others others others
Properly secure password files by making hashed passwords more difficult to acquire .		others others others others others others others others others others others others others
Password hashes can be cracked within seconds using freely available tools .		others others others others others others others others others others others others
Consider restricting access to sensitive password hashes by using a shadow password file or equivalent on UNIX systems .		others others others others others others others others others others others others others others others others others others others
Replace or modify services so that all user credentials are passed through an encrypted channel .		others others others others others others others others others others others others others others others others
Avoid password policies that reduce the overall strength of credentials .		others others others others others others others others others others others
Policies to avoid include lack of password expiration date , lack of lockout policy , low or disabled password complexity requirements , and password history set to zero .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Ensure that users are not re-using passwords between zones by setting policies and conducting regular audits .		others others others others others others others others others others others others others others others others others
Use unique passwords for local accounts for each device .		others others others others others others others others others others
Ensure event logging ( applications , events , login activities , security attributes , etc . )		others others others others others others others others others others others others others others others others others
is turned on or monitored for identification of security issues .		others others others others others others others others others others others
Configure network logs to provide enough information to assist in quickly developing an accurate determination of a security incident .		others others others others others others others others others others others others others others others others others others others others
Upgrade PowerShell to new versions with enhanced logging features and monitor the logs to detect usage of PowerShell commands , which are often malware-related .		others others others others others others others others others others others others others others others others others others others others others others others others others
Secure logs , potentially in a centralized location , and protect them from modification .		others others others others others others others others others others others others others others others
Prepare an incident response plan that can be rapidly implemented in case of a cyber intrusion .		others others others others others others others others others others others others others others others others others
DHS offers a variety of resources for organizations to help recognize and address their cybersecurity risks .		others others others others others others others others others others others others others others others others others
Resources include discussion points , steps to start evaluating a cybersecurity program , and a list of hands-on resources available to organizations .		others others others others others others others others others others others others others others others others others others others others others others others
For a list of services , visit https://www.us-cert.gov/ccubedvp .		others others others others others others others others others others others
Other resources include :  The Cyber Security Advisors ( CSA ) program bolsters cybersecurity preparedness , risk mitigation , and incident response capabilities of critical infrastructure entities and more closely aligns them with the Federal Government .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
CSAs are DHS personnel assigned to districts throughout the country and territories , with at least one advisor in each of the 10 CSA regions , which mirror the Federal Emergency Management Agency regions .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
For more information , email cyberadvisor@hq.dhs.gov .		others others others others others others others others others
Cyber Resilience Review ( CRR ) is a no-cost , voluntary assessment to evaluate and enhance cybersecurity within critical infrastructure sectors , as well as state , local , tribal , and territorial governments .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The goal of the CRR is to develop an understanding and measurement of key cybersecurity capabilities to provide meaningful indicators of an entity's operational resilience and ability to manage cyber risk to critical services during normal operations and times of operational stress and crisis .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Visit https://www.cert.org/resilience/rmm.html to learn more about the CERT Resilience Management Model .		others others others others others others others others others others others others others others
Enhanced Cybersecurity Services ( ECS ) helps critical infrastructure owners and operators protect their systems by sharing sensitive and classified cyber threat information with Commercial Service Providers ( CSPs ) and Operational Implementers ( OIs ) .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
CSPs then use the cyber threat information to protect CI customers .		others others others others others others others others others others others others
OIs use the threat information to protect internal networks .		others others others others others others others others others others
For more information , email ECS_Program@hq.dhs.gov .		others others others others others others others others others
The Cybersecurity Information Sharing and Collaboration Program ( CISCP ) is a voluntary information-sharing and collaboration program between and among critical infrastructure partners and the Federal Government .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
For more information , email CISCP@us-cert.gov .		others others others others others others others others others
The Automated Indicator Sharing ( AIS ) initiative is a DHS effort to create a system where as soon as a company or federal agency observes an attempted compromise , the indicator will be shared in real time with all of our partners , protecting them from that particular threat .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
That means adversaries can only use an attack once , which increases their costs and ultimately reduces the prevalence of cyber-attacks .		others others others others others others others others others others others others others others others others others others others others others others
While AIS will not eliminate sophisticated cyber threats , it will allow companies and federal agencies to concentrate more on them by clearing away less sophisticated attacks .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
AIS participants connect to a DHS-managed system in the NCCIC that allows bidirectional sharing of cyber threat indicators .		others others others others others others others others others others others others others others others others others others others
A server housed at each participant's location allows each to exchange indicators with the NCCIC .		others others others others others others others others others others others others others others others others others
Participants will not only receive DHS-developed indicators , but can share indicators they have observed in their own network defense efforts , which DHS will then share with all AIS participants .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
For more information , visit https://www.dhs.gov/ais .		others others others others others others others others others
The Cybersecurity Framework ( Framework ) , developed by the National Institute of Standards and Technology ( NIST ) in collaboration with the public and private sectors , is a tool that can improve the cybersecurity readiness of entities .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The Framework enables entities , regardless of size , degree of cyber risk , or cyber sophistication , to apply principles and best practices of risk management to improve the security and resiliency of critical infrastructure .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The Framework provides standards , guidelines , and practices that are working effectively today .		others others others others others others others others others others others others others others others
It consists of three parts—the Framework Core , the Framework Profile , and Framework Implementation Tiers—and emphasizes five functions : Identify , Protect , Detect , Respond , and Recover .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Use of the Framework is strictly voluntary .		others others others others others others others others
For more information , visit https://www.nist.gov/cyberframework or email cyberframework@nist.gov .		others others others others others others others others others others others others others others
