Don’t Panic: COVID-19 Cyber Threats .		others others others others others others others others others
Example file attachment names include :  AWARENESS NOTICE ON CORONAVIRUS COVID-19 DOCUMENT_pdf.exe Coronavirus COVID-19 upadte.xlsx CORONA VIRUS1.uue CORONA VIRUS AFFECTED CREW AND VESSEL.xlsm covid19.ZIP .		others others others others others others sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name others
Neither of these lists is exhaustive and new variants on these themes will quickly emerge .		others others others others others others others others others others others others others others others others
We ’  ve also identified malicious emails using subjects containing COVID-19 and related keywords to deliver ransomware ( e.g .		others others others others others others others others others others others others others others others others others others others others
EDA2 ) and info stealer malware ( e.g .		malware others others others others others others others others
AgentTesla ) in attacks across various industries .		malware others others others others others others others
Target industries include , but are not limited to , government healthcare organization , medical research universities , industrial manufacturing firms , and research institutes .		others others others others others others others others others others industry industry industry others industry industry industry others industry industry industry others others industry industry others
Example email subject lines include : Coronavirus disease , COVID19 .		others others others others others others others others others others others
Example file attachment names include : 20200323-sitrep-63-covid-19.doc .		others others others others others others sample_name others
Example file attachment names include : COVID-19 Supplier Notice/COVID-19 Supplier Notice.jpg.exe .		others others others others others others sample_name sample_name sample_name sample_name sample_name others
Example file attachment names include : Corporate advisory CoronaVirus ( Covid-19 )/Corporate advisory Co .		others others others others others others others others others others others others others others others others
Expect these attacks to continue in the coming weeks and months .		others others others others others others others others others others others others
As the news evolves , the attackers will adapt .		others others others others others others others others others others
We simultaneously see the same attacks using common themes related to tax filing , invoices , and shipping orders .		others others others others others others others others others others others others others others others others others others others others
As people seek out information about COVID-19 , how it is impacting them , and how they can stay safe , many are looking to their smartphone for help .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
There have already been multiple cases reported of malicious Android applications that claim to offer information about the virus .		others others others others others others others others others others others others others others others others others others others others
These allow the attacker to spy on you through your devices , or encrypt your device and hold it for ransom .		others others others others others others others others others others others others others others others others others others others others others others
As always , Android users should not install applications from untrusted sources ( stick to the Google Play store ) and iPhone users should not jailbreak their phones and install apps from third-party sources ( stick to the App Store ) .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
In the past few weeks , thousands ( in fact over 100,000 ) of domains have been registered containing terms like “ covid , ”  “ virus ”  , and “ corona ” .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
We ’  ve identified 116,357 newly registered domains with coronavirus-related names between January 1 and March 31 .		others others others others others others others others others others others time time time time time time others
Out of these , 2,022 are classified as “ malicious ”  and more than 40,000 are considered “ high-risk ”  .		others others others others others others others others others others others others others others others others others others others others others
Additionally , from February 1 to March 31 , we witnessed a 569% growth in malicious domain registrations , preying on consumers with some of the following tactics :  Fake webshops :  Scam websites that offered high-demand items like face masks or hand sanitizers for a discounted price .		others others time time time time time time others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Credit card skimmers :  Scripts on other malicious stores that sell pandemic-relevant goods to steal credit card information .		others others others others others others others others others others others others others others others others others others others
Fake ebooks :  Domains set up to prey into consumer fear and coerce them into buying COVID-19 ebooks by playing a video about the scariest situations and events related to the pandemic .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Illicit pharmacies :  Unlicensed and leverage compromised websites that use domain names suggesting they sell remedies for COVID-19 when they actually advertise Viagra and other drugs unrelated to the virus .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Not all newly registered coronavirus-related domains will be malicious , but all of them should be treated as suspect .		others others others others others others others others others others others others others others others others others others others others
Whether they claim to have information , a testing kit , or a cure , the fact that the website didn’t exist until the pandemic became news should make you very skeptical of their validity .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Between March 24 , 2020 at 18:25 UTC and March 26 at 11:54 UTC , Unit 42 observed several malicious emails sent from the spoofed address noreply@who.int ( actual sender IP address at the time of the attack was 176.223.133.91 ) to several individuals associated with a Canadian government health organization actively engaged in COVID-19 response efforts , and a Canadian university conducting COVID-19 research .		time time time time time time time time time time time time time time others others others others others others others others others others others others email_evil email_evil email_evil others others others others others others others others others others others others IP_evil others others others others others others others others others others others others others others others others others others others others others others others others others others
The emails all contained a malicious Rich Text Format ( RTF ) phishing lure with the file name 20200323-sitrep-63-covid-19.doc , ( SHA256 :  62d38f19e67013ce7b2a84cb17362c77e2f13134ee3f8743cbadde818483e617 ) .		others others others others others others others others others others others others others others others others others others sample_name others others encryption_algo others sha2 others others
When opened with a vulnerable application , it attempts to deliver EDA2 , an open-source ransomware variant associated with a larger , parent ransomware family called HiddenTear .		others others others others others others others others others others others malware others others others others others others others others others others others others others others malware others
This ransomware payload , when opened with a vulnerable application , attempts to deliver the ransomware payload using a known shared Microsoft component vulnerability , CVE-2012-0158 .		others others others others others others others others others others others others others others others others others others others others others company others others others vulnerability_cve others
Malspam actors are also taking advantage of the ongoing COVID-19 pandemic crisis , as we found malware droppers distributed to a number of our customers within the healthcare , pharmaceutical and government industries ( among others ) .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
These phishing emails attempted to deliver variants of the AgentTesla malware family , which is an info-stealing malware that ’  s been around since 2014 .		others others others others others others others others others malware others others others others others others others others others others others others others others time others
Attackers were also found hosting a RedLine Stealer sample at the URL covid-19-gov.com within a ZIP file .		others others others others others others sample_name sample_name others others others others url_evil others others others others others
When the contents of the ZIP file are extracted , the RedLine Stealer binary was revealed to have the filename Covid-Locator.exe .		others others others others others others others others others others others sample_name sample_name others others others others others others others sample_name others
In general , the best practices we recommend are still the right way to keep your organization and your network protected from these threats .		others others others others others others others others others others others others others others others others others others others others others others others others others
Our products and services are just as capable at preventing threats using COVID-19 related themes as they are for other messages that track users into clicking links and opening attachments .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Consider taking the following actions to ensure you are taking advantage of our protection :  Run a Best Practice Assessment to identify where your configuration could be altered to improve your security posture .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Use PAN-DB URL Filtering to block the “ Newly-Registered Domains ”  , which contains domains registered in the last 32 days .		others tool tool others others others others others others others others others others others others others others others others others others others
While these may not all be malicious , it could prevent your users from succumbing to scams .		others others others others others others others others others others others others others others others others others others
This post was last updated on April 27 to reflect the latest campaigns and scams that Unit 42 researchers have detected and stopped .		others others others others others others time time others others others others others others others others others others others others others others others others
We will continue updating this blog as new information related to this threat comes to light .		others others others others others others others others others others others others others others others others others
To see how Palo Alto Networks can protect against threats during your remote operations , visit our Secure Remote Workforce page for resources and product solutions .		others others others tool tool tool others others others others others others others others others others others security_team security_team security_team others others others others others others others
